hac_label,n_chunks,gloss,top_terms
2,21,kame,"kame, xib'alb'a, junajpu, jun, xcha', la, b'a"
5,17,b'alam,"b'alam, tojil, amaq', kitze', majukutaj, aq'ab', jakawitz"
1,9,sipakna,"sipakna, kak'ix, Unnamed: 332, k'ajolab', wuqub', keje, k'ajol"
3,7,ajaw,"ajaw, q'alel, k'iche', ajpop, tinamit, chinamit, q'amja"
4,6,alom,"k'ajolom, alom, kaj, b'itol, tz'aqol, b'it, tepew"
