"Imagen principal","Tipo","Nombre","Nombre analítico","Ximenez spelling","Analytical name",""
"","oficio","Yakolatam Utza'm Pop Saqlatol","YAKOLATAM_UTZA'M_POP_SAQLATOL","yacolatam, vꜩam pop zaclatol","YAKOLATAM_UTZA'M_POP_SAQLATOL","edit"
"","persona","Wajxaqib' K'am (gen. 10)","WAJXAQIB'_K'AM_KQDIEZ","Vahxaqui caam ","WAJXAQIB'_K'AM_KQDIEZ","edit"
"","oficio","Lolmet Kejnay","LOLMET_KEJNAY","lolmet, queh nay; Lolmet queh nai","LOLMET_KEJNAY","edit"
"","oficio","Nima Lolmet Ye'oltux","NIMA_LOLMET_YE'OLTUX","nima lolmet yeoltux ","NIMA_LOLMET_YE'OLTUX","edit"
"","oficio","Popol Winaq pa Jom Tzalatz'","POPOL_WINAQ_PA_JOM_TZALATZ'","popol vinacm pahom tzalatz ","POPOL_WINAQ_PA_JOM_TZALATZ'","edit"
"","oficio","Ajtzik Winaq","AJTZIK_WINAQ","ahtzic vinac ","AJTZIK_WINAQ","edit"
"","oficio","Uchuch K'amja","UCHUCH_K'AMJA","vchuchcamha","UCHUCH_K'AMJA","edit"
"","persona","Ajaw Lolmet","AJAW_LOLMET","ahau lolmet","AJAW_LOLMET","edit"
"","oficio","Ajaw Q'alel","AJAW_Q'ALEL","ahau ꜫalel","AJAW_Q'ALEL","edit"
"","persona","Ajaw Nim Ch'okoj","AJAW_NIM_CH'OKOJ","ahau nim chocoh ","AJAW_NIM_CH'OKOJ","edit"
"","persona","B'alam K'onache' (gen. 3)","B'ALAM_K'ONACHE'_KQTRES","conache, balam conache","B'ALAM_K'ONACHE'_KQTRES","edit"
"","oficio","Ajaw Ajtzik Winaq","AJAW_AJTZIK_WINAQ","ahau ahtzic vinac ","AJAW_AJTZIK_WINAQ","edit"
"","persona","Ajaw Jaqawitz","AJAW_JAQAWITZ","ahau hacavitz ","AJAW_JAQAWITZ","edit"
"","persona","B'elejeb' Kej (gen. 4)","B'ELEJEB'_KEJ_NJCUATRO","beleheb queh","B'ELEJEB'_KEJ_NJCUATRO","edit"
"","linaje","Tz'utuja","TZ'UTUJA","ahau tzutuha ","TZ'UTUJA","edit"
"","persona","K'oka'ib (gen. 2)","K'OKA'IB_KQDOS","qocaib ","K'OKA'IB_KQDOS","edit"
"","oficio","Q'alel Saqik","Q'ALEL_SAQIK","ealel zaquic","Q'ALEL_SAQIK","edit"
"","persona","Istayul (gen. 7)","ISTAYUL_NJSIETE","Ztayul","ISTAYUL_NJSIETE","edit"
"","persona","Q'ukumatz (gen. 5)","Q'UKUMATZ_KQCINCO","cucumaꜩ","Q'UKUMATZ_KQCINCO","edit"
"","persona","Tepepul (gen. 6)","TEPEPUL_KQSEIS","tepepul, Tepepul","TEPEPUL_KQSEIS","edit"
"","persona","Kawisimaj (gen. 7)","KAWISIMAJ_KQSIETE","cavizimah, cauizimah","KAWISIMAJ_KQSIETE","edit"
"","persona","K'o'akutek (gen. 2)","K'O'AKUTEK_NJDOS","qoacutec","K'O'AKUTEK_NJDOS","edit"
"","persona","Achaq' Ib'oy","ACHAQ'_IB'OY","achac yboy","ACHAQ'_IB'OY","edit"
"","persona","K'o'ajaw (gen. 2)","K'O'AJAW_AKDOS","qoahau","K'O'AJAW_AKDOS","edit"
"","oficio","Q'alel Achij","Q'ALEL_ACHIJ","ꜫalel achih ","Q'ALEL_ACHIJ","edit"
"","deidad","Nakxit","NAKXIT","nacxit ","NAKXIT","edit"
"","oficio","Rajpop Achij","RAJPOP_ACHIJ","rahpop achih ","RAJPOP_ACHIJ","edit"
"","oficio","Ajtojil","AJTOJIL","ahtohil ","AJTOJIL","edit"
"","oficio","Q'alel K'amja","Q'ALEL_K'AMJA","cale camha ","Q'ALEL_K'AMJA","edit"
"","oficio","Rajtz'alam Achij","RAJTZ'ALAM_ACHIJ","rahꜩalam achih","RAJTZ'ALAM_ACHIJ","edit"
"","oficio","Ajq'ukumatz","AJQ'UKUMATZ","ah cuꜫumatz ","AJQ'UKUMATZ","edit"
"","topónimo","Ewab'al Siwan","EWAB'AL_SIWAN","evabal zivan ","EWAB'AL_SIWAN","edit"
"","topónimo","Pa Awilix","PA_AWILIX","pa vlix ","PA_AWILIX","edit"
"","topónimo","Jaqawitz Juyub'","JAQAWITZ_JUYUB","caꜫha hacavitz ","JAQAWITZ_JUYUB","edit"
"","topónimo","Silisib'","SILISIB'","pa zilizib ","SILISIB'","edit"
"","topónimo","Chi Ratinib'al Tojil","CHI_RATINIB'AL_TOJIL","ratinibal tohil","CHI_RATINIB'AL_TOJIL","edit"
"","linaje","B'alam Kolob'","B'ALAM_KOLOB'","balam colob","B'ALAM_KOLOB'","edit"
"","topónimo","Saqkabaja","SAQKABAJA","zacabaha","SAQKABAJA","edit"
"","linaje","Yaki Tepew","TEPEW_YAKI","Tepeu iaqui","TEPEW_YAKI","edit"
"","linaje","Tepew Oloman","TEPEW_OLOMAN","tepeu, oloman","TEPEW_OLOMAN","edit"
"","linaje","Rab'inaleb'","RAB'INALEB'","rabinaleb ","RAB'INALEB'","edit"
"","linaje","K'ojaj","K'OJAJ","cohah","K'OJAJ","edit"
"","linaje","Kaqchikeleb'","KAQCHIKELEB'","caꜫchiqueleb ","KAQCHIKELEB'","edit"
"","linaje","Tamub'","TAMUB'","tamub","TAMUB'","edit"
"","linaje","Ajtz'ikina Ja","AJTZ'IKINA_JA","ah q,inquina ","AJTZ'IKINA_JA","edit"
"","linaje","Ilokab'","ILOKAB'","ílocab","ILOKAB'","edit"
"","linaje","Saqajib","SAQAJIB","zacahib ","SAQAJIB","edit"
"","linaje","Ajpop Sotz'il","AJPOP_SOTZ'IL","ah pozotzil ","AJPOP_SOTZ'IL","edit"
"","linaje","Kumatz Amaq'","KUMATZ_AMAQ'","cumatz","KUMATZ_AMAQ'","edit"
"","linaje","Ajpop Xajil","AJPOP_XAJIL","ah poxa ","AJPOP_XAJIL","edit"
"","topónimo","Tujal Ja","TUJAL_JA","tuhal ha","TUJAL_JA","edit"
"","linaje","Kaweq","KAWEQ","cavec queche ","KAWEQ","edit"
"","linaje","Uch'ab'aja","UCH'AB'AJA","vchabaha","UCH'AB'AJA","edit"
"","linaje","Q'alel Ajaw","Q'ALEL_AJAW","ꜫalelahau ","Q'ALEL_AJAW","edit"
"","linaje","Ajch'umila Ja","AJCH'UMILA_JA","ah chumila ","AJCH'UMILA_JA","edit"
"","oficio","Ajpop","AJPOP","ahpop ","AJPOP","edit"
"","linaje","Ajkib'a Ja","AJKIB'A_JA","ahquibaha ","AJKIB'A_JA","edit"
"","oficio","Ajpop K'amja","AJPOP_K'AMJA","ahpopcam ","AJPOP_K'AMJA","edit"
"","linaje","Ajb'atena Ja","AJB'ATENA_JA","ah batenaba ","AJB'ATENA_JA","edit"
"","linaje","Ajaw K'iche'","AJAW_K'ICHE'","ahau quiche","AJAW_K'ICHE'","edit"
"","linaje","Akul Winaq","AKUL_WINAQ","acul vinac ","AKUL_WINAQ","edit"
"","linaje","Oxib' ri nim ja","OXIB_RI_NIM_JA","oxib ri nimha","OXIB_RI_NIM_JA","edit"
"","linaje","B'alam Ja'","B'ALAM_JA'","balamíja","B'ALAM_JA'","edit"
"","linaje","Saqik","SAQIK","xuxic qui","SAQIK","edit"
"","linaje","Kanchajeleb'","KANCHAJELEB'","canchahe leb ","KANCHAJELEB'","edit"
"","linaje","Kawkeb'","KAWKEB'","caoqueb","KAWKEB'","edit"
"","topónimo","Q'eqa b'e","Q'EQA_B'E","queca be","Q'EQA_B'E","edit"
"","topónimo","Pa Tojil","PA_TOJIL","patohil ","PA_TOJIL","edit"
"","topónimo","Saqi b'e","SAQI_B'E","zaqui be","SAQI_B'E","edit"
"","topónimo","Amaq' Tam","AMAQ'_TAM","amactan","AMAQ'_TAM","edit"
"","topónimo","Q'ana b'e","Q'ANA_B'E","ꜫana be","Q'ANA_B'E","edit"
"","topónimo","Amaq' Uq'in k'at","AMAQ'_UQ'IN_K'AT","amac vquin cat","AMAQ'_UQ'IN_K'AT","edit"
"","lugar","Q'equma Ja","Q'EQUMA_JA","quecuma ha","Q'EQUMA_JA","edit"
"","lugar","Xuxulim Ja","XUXULIM_JA","xuxulim ha ","XUXULIM_JA","edit"
"","lugar","B'alam Ja'","B'ALAM_JA'","balami ha","B'ALAM_JA'","edit"
"","lugar","Sotz'i Ja","SOTZ'I_JA","tzotzi ha","SOTZ'I_JA","edit"
"","topónimo","Chayim Ja","CHAYIM_JA","chaim ha","CHAYIM_JA","edit"
"","lugar","Pusb'al Chaaj","PUSB'AL_CHAAJ","pucbal chah","PUSB'AL_CHAAJ","edit"
"","topónimo","Raxa b'e","RAXA_B'E","raxa be","RAXA_B'E","edit"
"","topónimo","Paxil","PAXIL","Pan paxil","PAXIL","edit"
"","topónimo","Me'awan","ME'AWAN","meauan","ME'AWAN","edit"
"","lugar","Xib'alb'a","XIB'ALB'A","xibalba","XIB'ALB'A","edit"
"","topónimo","K'ayala'","K'AYALA'","cayala","K'AYALA'","edit"
"","topónimo","Nim xob' Karchaj","NIM_XOB'_KARCHAJ","nim xob carchah","NIM_XOB'_KARCHAJ","edit"
"","topónimo","Tulán","TULÁN","tulan zu","TULÁN","edit"
"","topónimo","Nu' Siwan","NU'_SIWAN","nuzivan","NU'_SIWAN","edit"
"","topónimo","Suywa","SUYWA","zuiva","SUYWA","edit"
"","topónimo","K'ulku Siwan","K'ULKU_SIWAN","cul, cu zivan ","K'ULKU_SIWAN","edit"
"","topónimo","Nim Xo'l","NIM_XO'L","nim xol","NIM_XO'L","edit"
"","lugar","Kaqa b'e (camino rojo)","KAQA_B'E","ꜫaꜫabe, caca be","KAQA_B'E","edit"
"","topónimo","Chi Pixab'","CHI_PIXAB'","chi pixab ","CHI_PIXAB'","edit"
"","deidad","Jun Toj","JUN_TOJ","hun toh ","JUN_TOJ","edit"
"","deidad","Sotz'i Ja Chimalkan","SOTZI_JA_CHIMALKAN","tzotziha chimalcan ","SOTZI_JA_CHIMALKAN","edit"
"","deidad","Chamalkan","CHAMALKAN","chamalcan","CHAMALKAN","edit"
"","deidad","Ixtaj","IXTAJ","xtah","IXTAJ","edit"
"","deidad","Ixpuch'","IXPUCH'","xpuch","IXPUCH'","edit"
"","oficio","Tepew","TEPEW","tepeu","TEPEW","edit"
"","animal","Kotzb'alam","KOTZB'ALAM","cotzbalam","KOTZB'ALAM","edit"
"","deidad","Ajal Q'ana","AJAL_Q'ANA","ahal ꜫana","AJAL_Q'ANA","edit"
"","objeto","Lotz kik'","LOTZ_KIK'","lotzquíc","LOTZ_KIK'","edit"
"","deidad","Awilix","AWILIX","avilix ","AWILIX","edit"
"","deidad","Q'ukumatz","Q'UKUMATZ","gucumatz","Q'UKUMATZ","edit"
"","animal","Tukumb'alam","TUKUMB'ALAM","tucumbalam","TUKUMB'ALAM","edit"
"","evento","Chuq'anal","CHUQ'ANAL","chueanal","CHUQ'ANAL","edit"
"","deidad","Kik' Re","KIK'_RE","quíc xíc","KIK'_RE","edit"
"","deidad","Jaqawitz","JAQAWITZ","hacauitz ","JAQAWITZ","edit"
"","deidad","Uk'u'x Cho","UK'U'X_CHO","vqux cho ","UK'U'X_CHO","edit"
"","deidad","Wuqub' Kaqix","WUQUB'_KAQIX","vvcub caquix","WUQUB'_KAQIX","edit"
"","deidad","Ajal Mes","AJAL_MES","ahalmez","AJAL_MES","edit"
"","deidad","Kik' Rixk'aq","KIK'_RIXK'AQ","quíc ríx ꜫaꜫ","KIK'_RIXK'AQ","edit"
"","deidad","Nik'aqaj Taq'aj","NIK'AQAJ_TAQ'AJ","nicacahtacah ","NIK'AQAJ_TAQ'AJ","edit"
"","deidad","Uk'u'x Palo","UK'U'X_PALO","vqux palo ","UK'U'X_PALO","edit"
"","deidad","Junajpu","JUNAJPU","hun ahpu","JUNAJPU","edit"
"","deidad","Ajal Toq'ob","AJAL_TOQ'OB","ahaltocob","AJAL_TOQ'OB","edit"
"","deidad","Xpurpuweq","XPURPUWEQ","xparpuec","XPURPUWEQ","edit"
"","animal","Wok","WOK","voc","WOK","edit"
"","deidad","Ajraxa Laq","AJRAXA_LAQ","ah raxalaꜫ","AJRAXA_LAQ","edit"
"","deidad","Sipakna","SIPAKNA","zipacna","SIPAKNA","edit"
"","deidad","Patan","PATAN","patan","PATAN","edit"
"","deidad","Pujuyu'","PUJUYU'","puhuyu","PUJUYU'","edit"
"","deidad","Yolkwat Kitzalkwat","YOLKWAT_KITZALKWAT","yolcuat quiꜩalcuat","YOLKWAT_KITZALKWAT","edit"
"","deidad","Ajraxa Tzel","AJRAXA_TZEL","ah raxatzel","AJRAXA_TZEL","edit"
"","deidad","Kab'raqan","KAB'RAQAN","cabracan","KAB'RAQAN","edit"
"","deidad","Ch'ab'i Tukur","CH'AB'I_TUKUR","saeta tecolote","CH'AB'I_TUKUR","edit"
"","deidad","Xulu","XULU","xuluppacam ","XULU","edit"
"","deidad","Xpiyakok","XPIYAKOK","xpiyacoc","XPIYAKOK","edit"
"","deidad","Chimalmat","CHIMALMAT","chimalmat","CHIMALMAT","edit"
"","deidad","Juraqan Tukur","JURAQAN_TUKUR","huracan tucur","JURAQAN_TUKUR","edit"
"","deidad","Pak'am","PAK'AM","xulupacam ","PAK'AM","edit"
"","deidad","Ixmukane","IXMUKANE","Xmucane","IXMUKANE","edit"
"","grupo de deidades","Ka'ib' K'ajolab'","KA'IB_K'AJOLAB'","caib qaholab","KA'IB_K'AJOLAB'","edit"
"","deidad","Kaqix Tukur","KAQIX_TUKUR","caquix tucur","KAQIX_TUKUR","edit"
"","persona","B'alam Aq'ab'","B'ALAM_AQ'AB'","Balam acab","B'ALAM_AQ'AB'","edit"
"","deidad","Uk'u'x Kaj","UK'U'X_KAJ","vqux cah huracan ","UK'U'X_KAJ","edit"
"","deidad","Wuqub' Junajpu","WUQUB'_JUNAJPU","vvcub hun ahpu","WUQUB'_JUNAJPU","edit"
"","deidad","Jolom Tukur","JOLOM_TUKUR","tecolote cabeza","JOLOM_TUKUR","edit"
"","persona","Majuk'utaj","MAJUK'UTAJ","Mahucutah","MAJUK'UTAJ","edit"
"","deidad","Tz'aqol","TZ'AQOL","tzacol","TZ'AQOL","edit"
"","deidad","Kaqulja Jun Raqan","KAQULJA_JUN_RAQAN","caculha huracan","KAQULJA_JUN_RAQAN","edit"
"","deidad","Jun B'atz'","JUN_B'ATZ'","hun batz","JUN_B'ATZ'","edit"
"","grupo de deidades","Rajawal Xib'alb'a","RAJAWAL_XIB'ALB'A","rahaual xibalba ","RAJAWAL_XIB'ALB'A","edit"
"","persona","Iq'i B'alam","IQ'I_B'ALAM","Iquibalam","IQ'I_B'ALAM","edit"
"","deidad","B'itol","B'ITOL","bitol","B'ITOL","edit"
"","deidad","Ch'ipi Kaqulja","CH'IPI_KAQULJA","chipa caculha","CH'IPI_KAQULJA","edit"
"","deidad","Jun Chowen","JUN_CHOWEN","hun chouen","JUN_CHOWEN","edit"
"","deidad","Ixkik'","IXKIK'","xquíc ","IXKIK'","edit"
"","persona","Kaqa palo ja'","KAQA_PALO_JA'","caha paluma, eaha paluna","KAQA_PALO_JA'","edit"
"","deidad","Alom","ALOM","alom","ALOM","edit"
"","deidad","Raxa Kaqulja","RAXA_KAQULJA","raxa caculha","RAXA_KAQULJA","edit"
"","deidad","Ixb'aqiyalo","IXB'AQIYALO","xbaquíyalo","IXB'AQIYALO","edit"
"","deidad","Ixtoj","IXTOJ","xtoh","IXTOJ","edit"
"","persona","Chomi Ja'","CHOMI_JA'","chumíha","CHOMI_JA'","edit"
"","deidad","K'ajolom","K'AJOLOM","qaholom","K'AJOLOM","edit"
"","grupo de deidades","Uk'u'x Kaj Uk'u'x Ulew","UK'U'X_KAJ_UK'U'X_ULEW","vqux cah vquxvleu","UK'U'X_KAJ_UK'U'X_ULEW","edit"
"","deidad","Jun Kame'","JUN_KAME'","huncame","JUN_KAME'","edit"
"","deidad","Ixq'anil","IXQ'ANIL","xcanil","IXQ'ANIL","edit"
"","persona","Tz'ununi Ja'","TZ'UNUNI_JA'","ꜩununiha","TZ'UNUNI_JA'","edit"
"","deidad","Junajpu Wuch'","JUNAJPU_WUCH","hun ahpu vuch","JUNAJPU_WUCH","edit"
"","deidad","Tepew Q'ukumatz","TEPEW_Q'UKUMATZ","tepeu qucumatz ","TEPEW_Q'UKUMATZ","edit"
"","deidad","Wuqub' Kame'","WUQUB'_KAME'","vvcub came","WUQUB'_KAME'","edit"
"","deidad","Ixkakaw","IXKAKAW","xcacauíx ","IXKAKAW","edit"
"","persona","Kak'ixa Ja'","KAK'IXA_JA'","caquixaha","KAK'IXA_JA'","edit"
"","deidad","Junajpu Utiw","JUNAJPU_UTIW","hun ahpu vtiu","JUNAJPU_UTIW","edit"
"","animal","K'otk'owach","K'OTK'OWACH","cotcovach ","K'OTK'OWACH","edit"
"","deidad","Xikiripat","XIKIRIPAT","xiquiripat","XIKIRIPAT","edit"
"","deidad","Ixtziya'","IXTZIYA'","ix pu tziya ","IXTZIYA'","edit"
"","linaje","K'enech Ajaw","K'ENECH_AJAW","quenech, ahau","K'ENECH_AJAW","edit"
"","deidad","Saqi Nim Aq Sis","SAQI_NIM_AQ_SIS","Zaquinima tzÿz","SAQI_NIM_AQ_SIS","edit"
"","animal","Kamalotz'","KAMALOTZ'","camalotz","KAMALOTZ'","edit"
"","deidad","Ajal Puj","AJAL_PUJ","ahal puh","AJAL_PUJ","edit"
"","animal","Wak","WAK","vac","WAK","edit"
"","deidad","Tojil","TOJIL","tohil ","TOJIL","edit"
"","deidad","Kaq","KAQ","ꜫaꜫ","KAQ","edit"
"","deidad","Jun Raqan","JUN_RAQAN","huracan","JUN_RAQAN","edit"
"","deidad","Xb'alamq'e","XB'ALAMQ'E","xbalanque","XB'ALAMQ'E","edit"
"","deidad","Jun Junajpu","JUN_JUNAJPU","hunhunahpu","JUN_JUNAJPU","edit"
