"Imagen principal","Tipo","Nombre","Nombre analítico","Ximenez spelling","Analytical name",""
"","objeto","Makutax","MAKUTAX","macutax","MAKUTAX","edit"
"","objeto","Pich Kej","PICH_KEJ","pich queh","PICH_KEJ","edit"
"","objeto","Jolom","JOLOM","holom","JOLOM","edit"
"","objeto","Tzikwil B'alam","TZIKWIL_B'ALAM","ꜩicuil balam","TZIKWIL_B'ALAM","edit"
"","objeto","Tzikwil Koj","TZIKWIL_KOJ","ꜩicvil coh","TZIKWIL_KOJ","edit"
"","objeto","Q'anab'aj","Q'ANAB'AJ","canabah","Q'ANAB'AJ","edit"
"","objeto","Tatil","TATIL","tatil","TATIL","edit"
"","objeto","Chamcham","CHAMCHAM","chamcham","CHAMCHAM","edit"
"","objeto","Sub'aq","SUB'AQ","zubac","SUB'AQ","edit"
"","objeto","Q'alib'aj","Q'ALIB'AJ","ealibah","Q'ALIB'AJ","edit"
"","objeto","Mu'j","MU'J","muh","MU'J","edit"
"","objeto","Pisom Q'aq'al","PISOM_Q'AQ'AL","pisom ꜫaꜫal","PISOM_Q'AQ'AL","edit"
"","animal","Aqaj","AQAJ","acah","AQAJ","edit"
"","objeto","Torob","TOROB","torob","TOROB","edit"
"","objeto","K'im","K'IM","quim","K'IM","edit"
"","canto","Qamuku","QAMUKU","camucu","QAMUKU","edit"
"","persona","Saqi K'oxol","SAQI_K'OXOL","zaquicoxol","SAQI_K'OXOL","edit"
"","animal","Saq K'uch","SAQ_K'UCH","zaccuch","SAQ_K'UCH","edit"
"","animal","Sotz","SOTZ","zoꜩ","SOTZ","edit"
"","lugar","K'asam Aj","K'ASAM_AJ","cazamah","K'ASAM_AJ","edit"
"","animal","Tz'ikin","TZ'IKIN","ꜩiquin","TZ'IKIN","edit"
"","objeto","Tzima","TZIMA","zima","TZIMA","edit"
"","deidad","Rajpop","RAJPOP","rahpop achihab","RAJPOP","edit"
"","lugar","Tijob'al Ja","TIJOB'AL_JA","tihobal ha","TIJOB'AL_JA","edit"
"","persona","Sor. Obispo","SOR_OBISPO","Sor obispo","SOR_OBISPO","edit"
"","objeto","Kinaq'","KINAQ'","quinac","KINAQ'","edit"
"","objeto","Sakil","SAKIL","zaquil","SAKIL","edit"
"","objeto","Ik","IK","ic","IK","edit"
"","objeto","Kakaw","KAKAW","caco","KAKAW","edit"
"","objeto","Peq","PEQ","pec","PEQ","edit"
"","objeto","Kab'","KAB'","cab","KAB'","edit"
"","objeto","K'awex","K'AWEX","","K'AWEX","edit"
"","objeto","Tapa'l","TAPA'L","","TAPA'L","edit"
"","objeto","Q'inom","Q'INOM","quinom","Q'INOM","edit"
"","objeto","Ajache'","AJACHE'","ahache","AJACHE'","edit"
"","objeto","Tulul","TULUL","tulul","TULUL","edit"
"","objeto","Aj","AJ","ah","AJ","edit"
"","objeto","Tzamiy","TZAMIY","zamÿ","TZAMIY","edit"
"","objeto","Wa","WA","va","WA","edit"
"","objeto","Jal","JAL","hal","JAL","edit"
"","objeto","Ixim","IXIM","ixim","IXIM","edit"
"","objeto","Tz'ite'","TZ'ITE'","ꜩite, q,ite","TZ'ITE'","edit"
"","lugar","B'ix","B'IX","pa bix, pa abix","B'IX","edit"
"","objeto","Kotz'i'j","KOTZ'I'J","coq,ih, muchit, coꜩih","KOTZ'I'J","edit"
"","objeto","Mak Ek'","MAK_EK'","mac ec, ec","MAK_EK'","edit"
"","deidad","Rati't Saq","RATI'T_SAQ","ratiꜩac","RATI'T_SAQ","edit"
"","deidad","Rati't Q'ij","RATI'T_Q'IJ","ratit quih","RATI'T_Q'IJ","edit"
"","deidad","Ajtoltekat","AJTOLTEKAT","ah toltecat","AJTOLTEKAT","edit"
"","deidad","Ajq'ol","AJQ'OL","ah eol","AJQ'OL","edit"
"","deidad","Ajtz'alam","AJTZ'ALAM","ahꜩalam","AJTZ'ALAM","edit"
"","deidad","Ajch'ut","AJCH'UT","ah chut","AJCH'UT","edit"
"","deidad","Ajyamanik","AJYAMANIK","ah yamanic","AJYAMANIK","edit"
"","deidad","Ajk'uwal","AJK'UWAL","ah cuval","AJK'UWAL","edit"
"","deidad","Nima Sis","NIMA_SIS","nima ꜩÿz","NIMA_SIS","edit"
"","deidad","Nim Aq","NIM_AQ","nimac","NIM_AQ","edit"
"","deidad","Ka'mul K'ajolom","KA'MUL_K'AJOLOM","camul qaholom","KA'MUL_K'AJOLOM","edit"
"","deidad","Ka'mul Alom","KA'MUL_ALOM","camul alom","KA'MUL_ALOM","edit"
"","deidad","Ajmox wach","AJMOX_WACH","ah moxvach","AJMOX_WACH","edit"
"","deidad","Ajlatzab'","AJLATZAB'","ahlaꜩab","AJLATZAB'","edit"
"","deidad","Ajmuqulik K'u'x","AJMUQULIK_K'U'X","ah muculic qux","AJMUQULIK_K'U'X","edit"
"","deidad","Ajtukur","AJTUKUR","ahtucur","AJTUKUR","edit"
"","deidad","Ajtza","AJTZA","ahꜩa","AJTZA","edit"
"","objeto","Q'oq","Q'oq","coc","Q'oq","edit"
