topic_id,top_terms,gloss,label
0,"xib'alb'a, kame, -naki, samajel, b'a",xib'alb'a,xib'alb'a T0
1,"b'alam, tojil, kitze', majukutaj, amaq'",b'alam,b'alam T1
2,"ajaw, ajpop, k'iche', ajawab', q'amja",ajaw,ajaw T2
3,"kaj, tz'aqol, alom, uk'ux, b'itol",kaj,kaj T3
4,"kak'ix, sipakna, -, k'ajolab', in",kak'ix,kak'ix T4
5,"kati't, ix, kej, qati't, b'atz'",kati't,kati't T5
