para_num,line_id,token_num,token_str,term_str,chunk_num
0,1,0,POPOL,popol,0
0,1,1,WUJ,wuj,0
0,2,0,OJER,ojer,0
0,2,1,TAQ,taq,0
0,2,2,TZIJ,tzij,0
0,3,0,XB'AN,xb'an,0
0,3,1,PA,pa,0
0,3,2,TINAMIT,tinamit,0
0,3,3,"K'ICHE',",k'iche',0
0,4,0,RAMAQ',ramaq',0
0,4,1,K'ICHE',k'iche',0
0,4,2,WINAQ,winaq,0
0,6,0,Versión,versin,0
0,6,1,crítica,crtica,0
0,6,2,y,y,0
0,6,3,actualizada,actualizada,0
0,7,0,Ajtz'ib'ab',ajtz'ib'ab',0
0,8,0,Nab'e,nab'e,0
1,1,0,Are',are',0
1,1,1,uxe',uxe',0
1,1,2,ojer,ojer,0
1,1,3,tzij,tzij,0
1,1,4,waral,waral,0
1,1,5,K'iche',k'iche',0
1,1,6,ub'i'.,ub'i',0
2,1,0,Waral,waral,0
2,1,1,xchiqatz'ib'aj,xchiqatz'ib'aj,0
2,1,2,wi,wi,0
2,2,0,xchiqatikib'a',xchiqatikib'a',0
2,2,1,wi,wi,0
2,2,2,ojer,ojer,0
2,2,3,tzij,tzij,0
2,3,0,utikarib'al,utikarib'al,0
2,3,1,uxe'nab'al,uxe'nab'al,0
2,3,2,puch,puch,0
2,4,0,ronojel,ronojel,0
2,4,1,xb'an,xb'an,0
2,4,2,pa,pa,0
2,4,3,tinamit,tinamit,0
2,4,4,K'iche',k'iche',0
2,5,0,ramaq',ramaq',0
2,5,1,K'iche',k'iche',0
2,5,2,winaq,winaq,0
2,6,0,are,are,0
2,6,1,k'ut,k'ut,0
2,6,2,xchiqak'am,xchiqak'am,0
2,6,3,wi,wi,0
2,7,0,uk'utunisaxik,uk'utunisaxik,0
2,7,1,uq'alajob'isaxik,uq'alajob'isaxik,0
2,7,2,utzijoxik,utzijoxik,0
2,7,3,puch,puch,0
2,8,0,ewaxib'al,ewaxib'al,0
2,8,1,saqirib'al,saqirib'al,0
2,8,2,rumal,rumal,0
2,8,3,tz'aqol,tz'aqol,0
2,8,4,b'itol,b'itol,0
2,9,0,alom,alom,0
2,9,1,k'ajolom,k'ajolom,0
2,10,0,Jun,jun,0
2,10,1,Ajpu,ajpu,0
2,10,2,"Wuch',",wuch',0
2,10,3,Jun,jun,0
2,10,4,Ajpu,ajpu,0
2,10,5,Utiw,utiw,0
2,11,0,Saqinim,saqinim,0
2,11,1,"Aq,",aq,0
2,11,2,Saqinim,saqinim,0
2,11,3,"Tzis,",tzis,0
2,12,0,Tepew,tepew,0
2,12,1,Q'ukumatz,q'ukumatz,0
2,13,0,uk'u'x,uk'u'x,0
2,13,1,cho,cho,0
2,13,2,uk'u'x,uk'u'x,0
2,13,3,palo,palo,0
2,14,0,ajraxalaq,ajraxalaq,0
2,14,1,ajraxatzel,ajraxatzel,0
2,15,0,chuchaxik,chuchaxik,0
2,15,1,rachb'ixik,rachb'ixik,0
2,15,2,rachtzijoxik,rachtzijoxik,0
2,15,3,ri,ri,0
2,15,4,iyom,iyom,0
2,15,5,mamon,mamon,0
2,16,0,Xpiyakok,xpiyakok,0
2,16,1,Xmukane,xmukane,0
