chunk_num,k'aslem,uwinaqirik,qajaw,kaqaj,nutzij,kumatz,iwati't,qa,rajawarem,utzijoxik,palo,qajoq,kab'raqan,kawisimaj,kuchumakik',xwinaqirik,uk'exel,uch'akatajik,jalan,kamul,qatz,q'eqa,suywa,kal,pokob',wij,kityo'jil,etamanel,taq'aj,ya'ol,b'anoj,xech'akatajik,xek'ajolanik,xb'anik,yak,xekikot,utza'm,kisachik,xikin,uwa,xkik',chuq'ab',juwinaq,uchuch,kimi'al,chub'inik,amaq'el,wila,xare,kojb'e,xkitzukuj,ulo,usachik,xutz'onoj,xukut,chuwa,chiwil,kojcha',uxe'najik,chulkiya',kojb'ek,ib'i',chutzinik,xekuchu,wal,kul,taqol,qajuyub'al,chaq'ab',mata,kipam,xtikar,jalajoj,ub'aq',kub'ul,xe'ik'owik,ub'i'nam,tzalam,xutzinik,chikiya',xtikarik,chik'ama',ke'ulik,chiqaya',q'ol,xkitz'onoj,uk'utb'al,xkikojo,xkikot,xkikob'isaj,kib'ij,xokik,chikamik,k'aslik,kaweq,xna'ojix,xuya',jarub',sanik,q'alel,xe'ik'ow,lal,chiwinaqir,q'apoj,uq'ab',kikamik,puj,ajtzik',nuwach,upa,xub'an,kichaq',wub',sipakna,ixim,kaqan,saqil,jumaj,ukik'el,xril,xkita'o,xya',ajb'it,xe'ulik,ajtz'aq,nimaq,aq'ab'al,loq,aponoq,kuk'a'm,chib'ek,kiwachib'al,xch'akataj,kib'ix,xkiya',toq'ob',chuch,karaj,kiwa,kab'an,kekikotik,istayul,mixb'isonik,chuwi',mixutzinik,choq',kikajaw,xkikoj,xekel,chuchax,ra'il,ral,kaq,kichi',ik',mama',b'elejeb',q'ana,kaminaq,kepetoq,chupan,k'im,xojpe,kamik,nimal,utzijel,uwi',toqob',kanajoq,xkina',xub'ij,iwach,uk'amik,keb'e,kakib'ano,kojkamik,xpetik,quk',unimal,uq'ij,b'anol,chik'am,rismal,chiqab'ij,ox,ilol,aq'aroq,xpiyakok,umam,ajam,chajal,rixoqil,ajlab'al,xub'ina'j,iwumal,xepetik,koj,k'ajolom,alom,xech'akataj,tzuqul,qamam,k'ool,kikab'awil,xkaj,tzel,achij,kitinamit,kikab'ichal,recha',k'otuja,nija'ib'ab',puwaq,utiw,ub'ixik,qachuch,ch'ob',iwech,kiq'aq'al,xkitaq,xch'awik,kixoqil,xil,kib'i,chel,xoponik,k'axtok',xkam,xucha'xik,ukoq,xaqi,kak'ix,ajawarem,xe'oponik,b'atz',chowen,utikarik,iwuk',saqirik,kinawal,sis,xkikuch,ka,aq,anim,xe'el,itzel,kich'ab'al,chopon,relik,kati't,chikib'ano,poy,xsaqirik,keje,utzilaj,uqajaw,kawiqib',lab'al,b'aq,tulan,qati't,ajpop,q'amja,q'aq'chekeleb',ub'i,naj,xuk'am,xch'aw,ch'ipi,jom,kej,chib'e,q'equmal,chawaxoq,qatzij,xech'awik,k'axk'ol,jujunal,kiq'ab',k'ux,k'echelaj,xkitik'ib'a,kijujunal,xkilo,qak'ux,kib'anoj,kiq'ij,rax,xax,chinamit,jolom,xb'ek,ub'aq,tz'ikin,k'olik,ukaj,xk'is,juraqan,xkanaj,chuchi',iwib',xwinaqir,aq'anoq,ub'ik,utukel,ati't,ujolom,b'it,aj,tepew,kaqulja,iwe,xe',rab'inaleb',kij,ixoq,k'eche',jutaq,qaqajaw,jupa,xk'am,k'amol,k'a'm,tamub',b'itol,tz'aqol,ojer,tinamit,kib'e,tz'ikina,xkipixab'aj,ch'umil,kajawarem,chok,chiya',taqal,xe'ul,nima'q,chaaj,xe'uxik,chipe,xmukane,qech,cha',xb'an,usamajel,releb'al,kik'ajol,wach,q'aq'al,utzij,xekamik,qib',usaqirik,kiqajaw,nawal,wech,saqiroq,junam,kochoch,ya',rox,chuxe',samajel,al,kixcha',unab'e,uxe',kus,xek'oje,ilokab',k'ya,kichuch,q'ukumatz,mi,xe'ok,xul,xkib'ij,ju,xopon,xraj,q'alaj,jusuk',je,saqi,rajawal,uchi',xepe,xe,ki,raxa,juta,uk'ajol,ajk'ajb',ke'ucha'xik,xma,kich'akatajik,q'aq',tz'aq,xk'oje,xekam,najt,xuchax,kacha',rochoch,apanoq,uk'oje'ik,xkik'am,xkil,awilix,ula,oxib',k'iche',kecha',a,ajk'ixb',chucha'xik,k'ajol,ajilan,kekikot,kik',qawach,kik'oje'ik,tzij,tojil,on,kab'awil,ja',cha,xel,ukab',siwan,raqan,kame,k'ajolab',xqaj,in,retal,kitzij,xe'uchax,wakamik,kajib',xe'ucha'xik,sqaqi'n,xkib'an,xe'opon,b'e,lo,xb'e,jakawitz,qe,k'ute,kanoq,chuxoq,lib'aj,saq,kaj,ik'i,kitze',waral,chuxik,kuk',xeb'ek,ab'aj,xpe,majukutaj,apa,kib'il,jujun,at,ajaw,xkib'ano,xchiqab'ij,chikop,xok,ajawab',xib'alb'a,uk'ux,chu,ka'ib',wa'e,upam,amaq',chi',b'alam,wa',xeb'e,tzatz,ch'uti,che',ix,oj,k'a,wa,jusu,kech,kina'oj,rij,mana
0,0.17734394126322456,0.059114647087741515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23645858835096606,0.23645858835096606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11822929417548303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059114647087741515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059114647087741515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059114647087741515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22112822454650832,0.0,0.0,0.0,0.0,0.0,0.0,0.2764102806831354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11056411227325416,0.11056411227325416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11056411227325416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05528205613662708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05528205613662708,0.0,0.05208977618011583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10417955236023166,0.10417955236023166,0.0,0.05208977618011583,0.0,0.05208977618011583,0.0,0.0,0.04936494383509234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05208977618011583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05208977618011583,0.05208977618011583,0.0,0.05208977618011583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04936494383509234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04936494383509234,0.0,0.0,0.04936494383509234,0.04936494383509234,0.0,0.0,0.0,0.09872988767018467,0.04936494383509234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04936494383509234,0.0,0.0,0.0,0.0,0.043044008650406286,0.1409883154414352,0.1409883154414352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17962879722133243,0.0,0.0,0.0,0.0,0.22453599652666553,0.1409883154414352,0.0,0.04699610514714506,0.0,0.0,0.0,0.0,0.0,0.0,0.04699610514714506,0.0,0.0,0.04490719930533311,0.0,0.1409883154414352,0.1409883154414352,0.13472159791599933,0.04136652967898833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04490719930533311,0.0,0.0,0.0,0.0,0.043044008650406286,0.0,0.0,0.04490719930533311,0.0,0.0,0.0,0.0,0.0,0.04490719930533311,0.0,0.0,0.0,0.0,0.0,0.0,0.04490719930533311,0.0,0.0,0.0,0.043044008650406286,0.0,0.0,0.043044008650406286,0.0,0.0,0.03984440833966936,0.0,0.0,0.0,0.0,0.0,0.23906645003801616,0.0,0.0,0.03845407188835795,0.0,0.0,0.0,0.0,0.03845407188835795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04136652967898833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03845407188835795,0.1538162875534318,0.0,0.03984440833966936,0.0,0.1538162875534318,0.03845407188835795,0.0,0.0,0.0,0.0,0.037176852738866104,0.17998859559162939,0.0,0.0,0.03388671073829324,0.07199543823665175,0.03490439127546892,0.0,0.037176852738866104,0.03490439127546892,0.07435370547773221,0.0,0.0,0.0,0.0,0.0,0.037176852738866104,0.0,0.0,0.0,0.0,0.0,0.035997719118325874,0.0,0.0,0.035997719118325874,0.0,0.0,0.0,0.03388671073829324,0.0,0.03388671073829324,0.0,0.1317447215107784,0.3476741785284022,0.0,0.0,0.12818249048634833,0.0,0.06777342147658648,0.0,0.0329361803776946,0.03204562262158708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030420822933619637,0.0,0.0,0.0,0.15210411466809817,0.0,0.0,0.0912624688008589,0.028305551370833675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05413804893230884,0.0,0.0,0.0,0.0,0.0,0.0,0.028972848210700185,0.0,0.0
1,0.0,0.18321381696607597,0.0,0.0,0.0,0.10762777291277709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12214254464405064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06107127232202532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12214254464405064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06107127232202532,0.0,0.0,0.06107127232202532,0.0,0.0,0.0,0.0,0.0,0.06107127232202532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06107127232202532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422365424360448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11422365424360448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05711182712180224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16144165936916563,0.0,0.0,0.0,0.0,0.0,0.10762777291277709,0.26906943228194274,0.26906943228194274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05381388645638854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05381388645638854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05381388645638854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05381388645638854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10199773073633313,0.0,0.2783614484503127,0.0,0.0,0.050998865368166564,0.0,0.050998865368166564,0.0,0.050998865368166564,0.0,0.0,0.046393574741718784,0.0,0.050998865368166564,0.0,0.0,0.050998865368166564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444687146692904,0.0,0.0,0.0,0.0,0.0,0.0,0.04855162090802707,0.14565486272408118,0.0,0.0,0.0,0.0,0.0,0.04855162090802707,0.0,0.0,0.19420648363210827,0.0,0.0,0.0,0.0,0.0,0.0,0.09710324181605413,0.0,0.0,0.0,0.0,0.18557429896687513,0.0,0.14565486272408118,0.14565486272408118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09278714948343757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046393574741718784,0.0,0.08893742933858079,0.0,0.0,0.0,0.0,0.0,0.04446871466929039,0.0,0.041163211354543004,0.0,0.04446871466929039,0.0,0.0,0.0,0.041163211354543004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12820713935547695,0.04273571311849232,0.0,0.0,0.0,0.0,0.0,0.0,0.08547142623698464,0.0,0.0,0.0,0.04273571311849232,0.0,0.0,0.0,0.041163211354543004,0.03972685640326926,0.0,0.0,0.0,0.041163211354543004,0.041163211354543004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03972685640326926,0.0,0.1859460062397074,0.0,0.0,0.0,0.03605968554045084,0.03840736280335404,0.0,0.0,0.0,0.0,0.0,0.03840736280335404,0.07211937108090168,0.0,0.0,0.14423874216180335,0.0,0.0,0.0,0.0331062950092048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03605968554045084,0.0,0.1496590769115235,0.0,0.0,0.0331062950092048,0.03500832097541449,0.0,0.0,0.0,0.0,0.0,0.0,0.07001664195082898,0.0,0.12263620219626123,0.0,0.0322418997339872,0.0,0.03142771636413024,0.0,0.0,0.0,0.15713858182065119,0.0322418997339872,0.0,0.0,0.029242431802519016,0.0,0.03142771636413024,0.05717549711990252,0.0,0.0,0.0,0.03142771636413024,0.08389493193846155,0.05717549711990252,0.11696972721007606,0.0,0.029242431802519016,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17433321353798367,0.0,0.0,0.0,0.0,0.0,0.0,0.08716660676899184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08716660676899184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16303063575734209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24454595363601314,0.0,0.16303063575734209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08151531787867104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07680818985923552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08151531787867104,0.0,0.0,0.0,0.0,0.0,0.30723275943694206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15361637971847103,0.15361637971847103,0.07680818985923552,0.23042456957770657,0.07680818985923552,0.23042456957770657,0.0,0.0,0.07279032962947622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15361637971847103,0.07680818985923552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07680818985923552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07680818985923552,0.0,0.0,0.07680818985923552,0.0,0.0,0.0,0.07680818985923552,0.0,0.0,0.0,0.0,0.07279032962947622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06929739445039956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07279032962947622,0.07279032962947622,0.0,0.0,0.0,0.0,0.0,0.06621723000620666,0.0,0.0,0.07279032962947622,0.0,0.0,0.07279032962947622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06929739445039956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06346989046931302,0.06346989046931302,0.20789218335119866,0.0,0.06621723000620666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06929739445039956,0.0,0.0,0.0,0.0,0.13859478890079913,0.13859478890079913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538795618772521,0.13243446001241332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06346989046931302,0.0,0.0,0.06621723000620666,0.06621723000620666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05875196833252022,0.05875196833252022,0.0,0.0,0.12199277856042312,0.05670186879376837,0.0,0.17625590499756066,0.0,0.06099638928021156,0.0,0.0,0.0,0.05875196833252022,0.0,0.0,0.12199277856042312,0.0,0.0,0.0,0.0,0.06099638928021156,0.0,0.0,0.0,0.11750393666504044,0.0,0.0,0.0,0.0,0.0,0.0,0.05875196833252022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05307989105154297,0.0,0.0,0.0,0.05307989105154297,0.20587096421663287,0.0,0.0,0.05146774105415822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10293548210831643,0.0,0.0,0.0,0.0,0.05307989105154297,0.0,0.0,0.15440322316247465,0.0,0.0,0.19986854257863965,0.0,0.09713109102026359,0.0,0.0,0.0,0.04725238707045641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04996713564465991,0.0,0.0,0.0,0.04601864164182723,0.0,0.13456968996067095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04485656332022365,0.03991421969853542,0.0,0.0,0.04375945189137976,0.0,0.0,0.040803096814431075,0.0,0.03991421969853542,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1622250579741879,0.0,0.0,0.0,0.0,0.0,0.08111252898709395,0.1622250579741879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111252898709395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111252898709395,0.0,0.0,0.0,0.08111252898709395,0.0,0.0,0.0,0.0,0.0,0.0,0.08111252898709395,0.0,0.0,0.0,0.08111252898709395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08111252898709395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15170749050375948,0.14294709309757644,0.0,0.0,0.0,0.0,0.0,0.0,0.15170749050375948,0.0,0.07585374525187974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07585374525187974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07147354654878822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07585374525187974,0.0,0.0,0.0,0.0,0.0,0.0,0.07147354654878822,0.0,0.3573677327439411,0.0,0.0,0.0,0.0,0.21442063964636465,0.0,0.0,0.0,0.0,0.0,0.07147354654878822,0.0,0.07147354654878822,0.0,0.0,0.0,0.06773474316487152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14294709309757644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07147354654878822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2709389726594861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06773474316487152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06773474316487152,0.0,0.06773474316487152,0.0,0.0,0.13546948632974304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06448440663733236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05906164667099584,0.0,0.12896881327466472,0.0,0.06161817222686901,0.0,0.0,0.0,0.0,0.0,0.12323634445373802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19345321991199707,0.19345321991199707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06161817222686901,0.0,0.0,0.0,0.0,0.12323634445373802,0.0,0.05906164667099584,0.12323634445373802,0.0,0.0,0.0,0.0,0.0,0.06161817222686901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06161817222686901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056759940268309814,0.054671403546198746,0.0,0.0,0.0,0.11351988053661963,0.0,0.0,0.054671403546198746,0.0,0.056759940268309814,0.0,0.0,0.0,0.054671403546198746,0.056759940268309814,0.0,0.0,0.0,0.11351988053661963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054671403546198746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05276369181544233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051011190863651794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04789309568077314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04789309568077314,0.0,0.0,0.04649671346184959,0.0,0.0,0.19877146410440294,0.0,0.0,0.04397051529284978,0.04649671346184959,0.0,0.0,0.0451924695015882,0.21985257646424894,0.0,0.0,0.0,0.0,0.20360089382655316,0.0,0.0,0.0,0.08348218262563756,0.04397051529284978,0.0,0.0,0.16696436525127512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04072017876531063,0.04174109131281878,0.2599940958597091,0.07593830930908957,0.0,0.0,0.0,0.0,0.11390746396363435,0.03975429282088059,0.0,0.03714201369424416
