term|gloss
IXKIK'|Madre de los héroes gemelos Junajpu y Xbalamke. Su nombre equivale a "Joven sangre Luna".  
IXMUKANE|Es la comadrona, abuela del Sol y de la claridad que muele nueve veces las mazorcas amarillas y mazorcas blancas para crear a los cuatro padres primigenios.  
IXPUCH'|"Tierna", nombre de una de las doncellas enviadas a lavar al río de Tojil, Awilix y Jaqawitz.  
IXQ'ANIL|Q'anil es un día del calendario que significa "madurez", en referencia al maíz cuando está listo para ser cosechado. Otra de las cuatro divinidades invocadas por Ixkik'.  
IXTAJ|"Niña", nombre de la otra doncella enviada a lavar al río de Tojil, Awilix y Jaqawitz.  
IXTOJ|Toj es un día del calendario, deidad femenina que literalmente significa "día de pago"; pero que significa día para presentar ofrendas. Otra de las cuatro divinidades invocadas por Ixkik' en la recolección de alimento.  
IXTZIYA'|Deidad de la comida de maíz. Otra de las cuatro divinidades invocadas por Ixkik'.  
JAQAWITZ|Nombre de la deidad recibida por Majuk'utaj.  
JULISNAB|Probablemente el antiguo nombre del volcán de Almolonga, destruido por una erupción hace miles de años y del cual solo queda un "agujero" donde se ubica el pueblo de Almolonga, Quetzaltenango.  
JUMETA JA|Nombre de una de las cuatro divisiones que habitaron Chi K'ix junto con el ahora sitio arqueológico llamado Kawinal. Jumeta Ja quiere decir "corteza de árbol".  
JUN BATZ'|Hijo de Jun Junajpu e Ixbaqiyalo. Junto con su hermano gemelo Jun Chowen, constituyen los "dioses de la palabra" y de las artes. Eran invocados por artistas en la antigüedad.  
JUN CHOWEN|Hijo de Jun Junajpu e Ixbaqiyalo. Junto con su hermano gemelo Jun Batz', constituyen los "dioses de la palabra" y de las artes. Eran invocados por artistas en la antigüedad.  
JUN JUNAJPU|Primer hijo de la pareja mitológica Xpiyakok e Ixmukane. Fue el padre de Jun Batz' y Jun Chowen con Ixbaqiyalo; y en Xibalbá su cabeza decapitada embaraza a Ixkik'.  
JUN KAME|Literalmente: "1 muerte" que junto con "7 muerte" eran los jueces supremos de Xibalba. Kame es un día del calendario.  
JUN RAQAN|Nombre del Corazón del Cielo, referido a una fuerza portentosa asociada a tormentas tropicales conocidas como huracanes. De ahí que Brinton (1890:122) propone que ese término maya pasó a las Antillas y de allí a las lenguas indoeuropeas.  
JUNAJPU|Nombre de un día en el calendario maya. Nombre de uno de los héroes gemelos. También posiblemente nombre prehispánico del volcán de Acatenango.  
JUNAJPU K'OY|Nombre de una melodía que después se convierte en el nombre de los monos, también conocido como baile de los monos.  
JUNAJPU UTIW|Metáfora para decir: "Cazador coyote". Deidad del anochecer.
JUNAJPU, WOK|Deidades en el panteón k'iche'. Wok era el mensajero de Jurakan que llegaba a presenciar el juego de pelota de Jun Junajpu y Wuqub Junajpu. Estos hermanos son sacrificados en Xibalba y sus hijos, los héroes gemelos, establecen el día Junajpu como nombre en el calendario maya para ser invocados.  
JUNAJPU WUCH'|Metáfora para decir: "Cazador Tacuacín". Deidad del amanecer.  
KABAWIL POM|Nombre del incienso que quemó Majuk'utaj cuando apareció el Sol.  
KABRAQAN|Segundo hijo de Wukub Kak'ix. Su nombre significa "temblor", "terremoto", porque destruía montañas. Podría ser también el nombre prehispánico del volcán de Agua.  
K'AJBAJA|Casa del sacrificio.  
K'AJOLOM|Se deriva de k'ajol, "hijo" más del agentivo -om hace referencia al varón que engendra. Juntos con Alom constituyen la pareja creadora.  
KAK'IXAJA'|Esposa de Ik'balam. Significa, "Guacamaya de agua".  
KANCHAJELEB|Nombre de una de las 13 ramas de pueblos y casas reales. Algunos traductores ubican a sus descendientes en el área de Sacapulas.  
KAQAPALOJA'|Esposa de Balam Ki'tze'. Significa: "Agua roja de mar".  
KAQCHIKELEB|Nombre de una de las 13 ramas de pueblos y casas reales. Es el pueblo Kaqchikel.  
KAQULA JUN RAQAN|"Rayo Huracán", fuerza portentosa. Nombre de una de las manifestaciones de Corazón del Cielo.  
KAWEQ|Linaje k'iche' cuyo origen fue Balam Ki'tze'.  
KAWINAL|Cuarta división de Chi K'ix. Kawinal es un sitio arqueológico, ubicado a las márgenes de río Blanco, a unos 3 kilómetros antes de confluir con el río Negro o Chixoy en jurisdicción de Cubulco, Baja Verapaz.  
KAWISMAJ|Señor principal, quien junto con K'ikab, extendió el dominio k'iche'.  
KAWISTAN POM|Nombre del incienso que quemó Balam Aq'ab cuando apareció el Sol.  
KAWKEB|Conforme a Recinos (1953:234), podría ser lo que ahora se conoce como Santa María Cauqué y Santiago Sacatepéquez.  
K'AYALA'|Nombre mitológico del lugar donde, junto con Paxil, se encontraron las mazorcas amarillas y mazorcas blancas con que se formaron los primeros seres humanos.  
KE'EMA|Literalmente quiere decir "tejido", nombre de uno de los Señores Nija'ib.  
K'ELETZU|Cotorra parlanchina.  
K'ENECH AJAW|Muy probablemente son los Itzá y Mopán. También se les asocia como practicantes del culto al Sol.  
K'IKAB|Señor principal, quien junto con Kawisimaj, extendió su poderío hasta Ayutla, San Marcos, Saqulew, (Huehuetenango), Lajuj Kej (Quetzaltenango) e incluso partes de la costa sur como otros territorios.  
KIK' RE|"Dientes sangrantes", Señor de Xibalba.  
KIK' RIXK'AQ|"Garras sangrantes", Señor de Xibalba.  
K'O'AJAW|El nombre significa "Señor noble", hijo de Majuk'utaj.  
K'O'AKUL|Primer hijo de Balam Aq'ab.  
K'O'AKUTEK|Segundo hijo de Balam Aq'ab.  
K'O'AJ|Antepasado de los K'enech Ajaw. Los K'ojaj habrían sido un pueblo asociado al culto de la Luna.  
K'O'AX'IB|Primer hijo de Balam Ki'tze'.  
K'ONACHE'|Hijo de K'oqawib. Perteneció a la tercera generación por la línea de los Kaweq.  
K'OQAWIB|Segundo hijo de Balam Ki'tze'.  
K'OTUJA|Señor principal, quien con Istayul, conformó la cuarta generación.  
KUCHUMA KIK'|Señor de Xibalba, quien junto con Xikiripat, enfermaba la sangre de la gente.  
K'ULBA|Viene de k'ulbat' que quiere decir mojón o límite. Uno de los cuatro sitios de Chi K'ix, junto con el ahora sitio arqueológico llamado Kawinal.  
KUMATZ|Nombre de una de las 13 ramas de pueblos y casas reales. Significa "Serpiente"; cuyos descendientes continúan llevando ese apellido.  
KUWATEPECH|Viene del náhuatl y literalmente quiere decir "Serpiente que se encorva". Es el nombre de un Señor principal de la undécima generación. Probablemente de la palabra náhuatl se derive el nombre del actual Coatepeque.  
LAMAKIB|Pueblo aliado a los Ajtz'ikinaja, actuales habitantes de Santiago Atitlán.  
LOLMET KEJNAY|Recolector de impuestos, autoridad al frente de los Kaweq. Entre los Señores principales de los Ajaw K'iche', se le identifica como Ajaw Lolmet.  
MAJUK'UTAJ|Tercer padre primigenio k'iche', su nombre quiere decir "quien no esconde nada".  
MAKA'|Literalmente lugar donde se "recoge agua". Es el antiguo sitio donde se ubicó Zacualpa, cerca de donde hoy se encuentra dicho pueblo.  
MAKAMOB|Probablemente sea el antiguo nombre del Cerro Quemado en Quetzaltenango.  
MEQ'ENA'|"Aguas calientes", hoy conocido como Totonicapán.  
MIXTAM POM|Nombre del incienso que quemó Balam Ki'tze' cuando apareció el Sol.  
NAKXIT|"Señor del Oriente", única autoridad con muchos poderes en Chichén Itzá y ante quien miembros de la segunda generación k'iche' fueron a recibir los símbolos y emblemas de poder.  
NIJA'IB|Linaje y nombre de una de las casas reales descendientes de Balam Aq'ab.  
NIK'AQAJ TAQ'AJ|Nombre de la deidad que recibió Ik'balam.  
NIMA K'AMJA|"Principal en la línea de sucesión". Autoridad frente los Nija'ib.  
NIMA LOLMET YE'OLTUX|"Recolector de impuestos". Autoridad frente los Nija'ib.  
NIM CH'OKOJ KAWEQ|Gran maestro de la palabra entre los Kaweq.  
NIM CH'OKOJ NIJA'IB|Gran maestro de la palabra entre los Nija'ib.  
NIM CH'OKOJ|Gran maestro de la palabra. Fueron tres los trascriptores y escritores del *Popol Wuj* que conforme a Recinos, se realizó entre 1554 y 1558. Uno era de los Kaweq, otro de los Nija'ib y el tercero de los Ajaw K'iche'.  
NIM XO'L|"Gran hondonada", muy probablemente a los alrededores o el actual pueblo de San Pedro Carchá, Alta Verapaz.  
OXIB KEJ|Kej es un día del calendario y en este caso nombre de Señor principal, quien junto con Belejeb Tz'i', fue torturado y ejecutado por Pedro de Alvarado.  
PA MAKA'|Literalmente "En el lugar donde se recoge agua". Es el mismo *Maka'* mencionado arriba.  
PAK'AM|Uno de los adivinos que junto con Xulu reciben instrucciones de los héroes gemelos en Xibalba antes de inmolarse y luego volver a la vida para acabar con los Señores de la Muerte.  
PAN PAXIL|Nombre mitológico del lugar donde, junto con K'ayala', se encontraron las mazorcas amarillas y mazorcas blancas con que se formaron los primeros seres humanos.  
PATAN|Señor de Xibalba, quien junto con Xik, provocaba la muerte súbita de la gente en los caminos. *Patan* también significa "oficio", "tributo" y "mecapal".  
PAXIL|Es el mismo *Pan Paxil* mencionado arriba.  
PEKUL|"Peñasco derrumbado", probable nombre prehispánico del volcán de Agua, aunque con ese nombre también se conoce al volcán Santo Tomás.  
PETATAYUB|Nombre náhuatl de Ayutla hoy conocida como ciudad "Tecún Umán", San Marcos.  
PISOM Q'AQ'AL|Envoltorio Sagrado.  
POPOL WINAQ CHI T'UY|Probablemente, ministro tesorero. Uno de los Señores principales entre los Kaweq.  
POPOL WINAQ PA JOM TZALATZ'|Sería el ministro de Deportes. Otro Señor principal entre los Kaweq.  
Q'ALEL|Señor principal que en el aspecto de guerreros se le asocia a "capitán" y en el aspecto político a "ministro".  
Q'ALEL AJAW|Señor con poder, su título deviene de *q'aq'*, "fuego" que equivale a "poder".  
Q'ALEL K'AMJA|Señor principal en función de canciller.  
Q'ALEL SAQIK|Señor principal del linaje Saqik.  
QAMUQU|Nombre de un canto.  
Q'UMARAQ AJ|"Lugar de las cañas podridas", nombre antiguo de Utatlán. Tradicionalmente se le ha identificado como Q'umarkaj o Gumarcaj.  
RABINALEB|Nombre de una de las 13 ramas de pueblos y casas reales. Son los de Rabinal.  
RAJPOP ACHIJ|Guardianes militares de la estera. En un caso se identifica así a los mensajeros de los Señores de Xibalba y en otro, a un puesto político dentro del rango militar cuando varios personajes fueron ascendidos de puesto.  
RAJTZ'ALAM ACHIJ|Encargado de los límites territoriales. Igual que el anterior, esto ocurrió cuando varios personajes fueron ascendidos de puesto.  
RAXA KAQULJA|Nombre de una de las manifestaciones de Corazón del Cielo y que equivale a "Rayo hermoso".  
RAXA NANAWAK|Dios azteca que lanzó un rayo para abrir la montaña donde se encontró el maíz.  
SAQAJIB|Pueblo aliado a los Ajtz'ikinaja, actuales habitantes de Santiago Atitlán.  
SAQI NIM AQ y SAQI NIM SIS|Ésta es una pareja de ancianos que acompañan el proceso de creación. Sus nombres zoomórficos están asociados a porciones del tiempo.  
SAQIK'OXOL|Personaje mitológico que cuando salió el Sol se fue a ocultar en el bosque para no ser petrificado. En la actualidad se  
