doc_id,doc_str
0,THIS IS THE BEGINNING OF THE ANCIENT TRADITIONS of this place
1,called Quiche
2,"HERE we shall write  We shall begin to tell the ancient stories of the beginning,"
3,"the origin of all that was done in the citadel of Quiche, among the people of the Quiche"
4,nation
5,"
                                  
                                                  
Here we shall gather the manifestation, the declaration, the account of the sowing"
6,"and the dawning by the Framer and the Shaper, She Who Has Borne Children and"
8,"He Who Has Begotten Sons, as they are called; along with Hunahpu Possum and"
9,"Hunahpu Coyote, Great White Peccary and Coati, Sovereign and Quetzal"
10,"Serpent, Heart of Lake and Heart of Sea, Creator of the Green Earth and Creator of"
11,"the Blue Sky, as they are called."
13,These collectively are evoked and given expression as the Midwife and the
14,"Patriarch, whose names are Xpiyacoc and Xmucane, the Protector and the"
19,"Shelterer, Twice Midwife and Twice Patriarch, as they are called in Quiche traditions."
20,They gave voice to all things and accomplished their purpose in purity of being and in
21,truth
22,This account we shall now write under the law of God and Christianity  We
23,shall bring it forth because there is no longer the means whereby the Popol Vuh may be
24,"seen, the means of seeing clearly that had come from across the seathe account of our"
26,"obscurity, and the means of seeing life clearly, as it is said. The original book exists that"
27,"was written anciently, but its witnesses and those who ponder it hide their faces"
28,Great is its performance and its account of the completion and germination of
29,all the sky and earthits four corners and its four sides. All then was measured and
30,"staked out into four divisions, doubling over and stretching the measuring cords of the"
31,"womb of sky and the womb of earth  Thus were established the four corners, the four"
33,"sides, as it is said, by the Framer and the Shaper, the Mother and the Father of life and"
34,"all creation, the giver of breath and the giver of heart, they who give birth and give"
35,"heart to the light everlasting, the child of light born of woman and the son of light born"
36,"of man, they who are compassionate and wise in all thingsall that exists in the sky"
37,"and on the earth, in the lakes and in the sea."
39,THIS IS THE ACCOUNT of when all is still silent and placid  All is silent and
40,calm  Hushed and empty is the womb of the sky.
41,"THESE, then, are the first words, the first speech. There is not yet one person, one"
42,"animal, bird, fish, crab, tree, rock, hollow, canyon, meadow, or forest. All alone the sky"
43,"exists. The face of the earth has not yet appeared. Alone lies the expanse of the sea, along"
44,with the womb of all the sky. There is not yet anything gathered together. All is at rest.
45,"Nothing stirs. All is languid, at rest in the sky. There is not yet anything standing erect."
46,"Only the expanse of the water, only the tranquil sea lies alone  There is not yet anything"
47,"that might exist. All lies placid and silent in the darkness, in the night."
48,"All alone are the Framer and the Shaper, Sovereign and Quetzal Serpent, They"
49,Who Have Borne Children and They Who Have Begotten Sons. Luminous they are in
50,"the water, wrapped in quetzal feathers and cotinga feathers. Thus they are called"
