folio|side|para_num|lb|lb_str|lb_str_plain
1|1|2|36|"<choice><abbr>q<hi rend=""superscript"">o</hi></abbr><expan instant=""false"">quando</expan></choice> seacabo de formar todo el cielo, y la"|qoquando seacabo de formar todo el cielo, y la
1|1|2|37|tierra, su ser cuadrado, su ser repartido|tierra, su ser cuadrado, su ser repartido
1|1|2|38|en cuatro partes, su ser señalado, su ser|en cuatro partes, su ser señalado, su ser
1|1|2|39|amojonado con estacas, su ser medido a|amojonado con estacas, su ser medido a
1|1|2|40|mecates, o cuerdas, y su ser estirada la|mecates, o cuerdas, y su ser estirada la
1|1|2|41|"cuerda en el zielo, y en la tierra; <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>es di<pc> –</pc>"|cuerda en el zielo, y en la tierra; q’quees di–
1|1|2|42|cho de cuatro esquinas, y cuatro lados|cho de cuatro esquinas, y cuatro lados
1|1|2|43|"por el <rs ana=""TZ'AQOL"">formador</rs>, y <rs ana=""B'ITOL"">criador</rs>. su <rs ana=""ALOM""><choice><abbr>M<hi rend=""superscript"">e.</hi></abbr><expan instant=""false"">Madre</expan></choice></rs> y su <rs ana=""K'AJOLOM""><choice><abbr>P<hi rend=""superscript"">e.</hi></abbr><expan instant=""false"">Padre</expan></choice></rs>"|por el formador, y criador. su Me.Madre y su Pe.Padre
1|1|2|44|"de la vida. y de la creazíon. <choice><abbr>q<hi rend=""superscript"">e</hi></abbr><expan instant=""false"">que</expan></choice> da respira"|de la vida. y de la creazíon. qeque da respira
1|1|2|45|zion, y resuello, paridos, y cuídados, de|zion, y resuello, paridos, y cuídados, de
1|1|2|46|la paz claridad de los híjos, pensador, y en<pc> –</pc>|la paz claridad de los híjos, pensador, y en–
1|2|2|1|"tendedor detodahermosur a <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>ay en el zielo, ti<pc> –</pc>"|tendedor detodahermosur a q’queay en el zielo, ti–
1|2|2|2|"erra, lagunas y <rs ana=""PALO"">mar</rs>."|erra, lagunas y mar.
1|2|3|3|"<hi rend=""large"">ESTE ES SV SER DICHO QVANDO</hi>"|ESTE ES SV SER DICHO QVANDO
1|2|3|4|estaba en suspenso, en calma, en silenzío, sin|estaba en suspenso, en calma, en silenzío, sin
1|2|3|5|moverse, sin cosa sino vazío el zielo.|moverse, sin cosa sino vazío el zielo.
1|2|4|6|"<hi rend=""large"">I</hi> esta es la primera palabra, y eloquençía."|I esta es la primera palabra, y eloquençía.
1|2|4|7|"aun no avía hombres, animales, <rs ana=""TZ'IKIN"">pajaros</rs>, <rs ana=""KAR"">pes<pc> –</pc>"|aun no avía hombres, animales, pajaros, pes–
1|2|4|8|"cado</rs>, <rs ana=""TAP"">cangrejo</rs>, palo, piedra, hoyo, varran<pc> –</pc>"|cado, cangrejo, palo, piedra, hoyo, varran–
1|2|4|9|ca, paja, ní monte; síno solo estaba el cíelo.|ca, paja, ní monte; síno solo estaba el cíelo.
1|2|4|10|"no se manifestava la haz de la tierra; sino <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>"|no se manifestava la haz de la tierra; sino q’que
1|2|4|11|"solo estaba <rs ana=""PALO"">el mar</rs> represado, y todo lo de el"|solo estaba el mar represado, y todo lo de el
1|2|4|12|cielo; aun no avía cosa alguna junta, ní|cielo; aun no avía cosa alguna junta, ní
1|2|4|13|sonaba nada, ní cosa alguna se meneaba, ní|sonaba nada, ní cosa alguna se meneaba, ní
1|2|4|14|"cosa <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>hízíera, <hi rend=""underline"">mal</hi>. ní cosa <choice><abbr>q’</abbr><expan instant=""false"">que</expan></choice>hízíera, coꜩ. esto<pc> –</pc>"|cosa q’quehízíera, mal. ní cosa q’quehízíera, cotz. esto–
