lang,folio,side,para_num,lb,lb_str,lb_str_plain
quc,1,2,3,4,"caꜩinonic cacazilanic, caca","catzinonic cacazilanic, caca"
quc,1,2,3,5,"lolinic, catolona puch v","lolinic, catolona puch v"
quc,1,2,3,6,pa cah.,pa cah.
quc,1,2,4,7,"<hi rend=""large"">V</hi>ae cute nabe ꜩih nabe vch<pc> –</pc>",Vae cute nabe tzih nabe vch–
quc,1,2,4,8,"an. mahabi oꜫ hun vinac, hun","an. mahabi oq' hun vinac, hun"
quc,1,2,4,9,"chicop, <rs ana=""TZ'IKIN"">ꜩiquin</rs>, <rs ana=""KAR"">car</rs>, <rs ana=""TAP"">tap</rs>, che","chicop, tziquin, car, tap, che"
quc,1,2,4,10,"abah, hul, zivan, quim, qui<pc> –</pc>","abah, hul, zivan, quim, qui–"
quc,1,2,4,11,chelah; xa v tu quel cah qolic.,chelah; xa v tu quel cah qolic.
quc,1,2,4,12,maui calah v vach vleu; xa,maui calah v vach vleu; xa
quc,1,2,4,13,"vtuquel remanic <rs ana=""PALO"">palo</rs> vpa<pc> –</pc>",vtuquel remanic palo vpa–
quc,1,2,4,14,"cah, ronohel, mahabi na quila","cah, ronohel, mahabi na quila"
quc,1,2,4,15,"camolobic, cacoꜩobic, hun ta","camolobic, cacotzobic, hun ta"
quc,1,2,4,16,"cazilobic camal cabantah, ca","cazilobic camal cabantah, ca"
quc,1,2,4,17,coꜩ cabantah pa cah. xma qo,cotz cabantah pa cah. xma qo
quc,1,2,4,18,"vinaquila qolic, yacalic; xa","vinaquila qolic, yacalic; xa"
quc,1,2,4,19,"remanic ha, xa lianic <rs ana=""PALO"">palo</rs>, xa","remanic ha, xa lianic palo, xa"
quc,1,2,4,20,"vtuquel remanic, xma qo vi na","vtuquel remanic, xma qo vi na"
quc,1,2,4,21,quilalo qolic; xa cachamanic,quilalo qolic; xa cachamanic
quc,1,2,4,22,"caꜩininic chi queꜫum, chi aꜫab,","catzininic chi queq'um, chi aq'ab,"
quc,1,2,4,23,"xa vtuquel ri <rs ana=""TZ'AQOL"">ꜩacol</rs>, <rs ana=""B'ITOL"">bitol</rs>, <rs ana=""TEPEW_Q'UKUMATZ"">te<pc> –</pc>","xa vtuquel ri tzacol, bitol, te–"
quc,1,2,4,24,"peu, gucumaꜩ</rs> e <rs ana=""ALOM"">alom</rs>, e <rs ana=""K'AJOLOM"">qaho<pc> –</pc>","peu, gucumatz e alom, e qaho–"
quc,1,2,4,25,lom</rs> qo pa ha zactetoh e qovi,lom qo pa ha zactetoh e qovi
quc,1,2,4,26,"e mucutal pa cuc, pa raxon","e mucutal pa cuc, pa raxon"
quc,1,2,4,27,"are vbinaam viri <rs ana=""Q'UKUMATZ"">gucumaꜩ</rs>",are vbinaam viri gucumatz
quc,1,2,4,28,"e nimac etamanel, e nimac ah<pc> –</pc>","e nimac etamanel, e nimac ah–"
quc,1,2,4,29,naoh chiqui qoheic; quehe,naoh chiqui qoheic; quehe
quc,1,2,4,30,cut xax qo vi ri cah qonaipu<pc> –</pc>,cut xax qo vi ri cah qonaipu–
quc,1,2,4,31,"ch <rs ana=""UK'U'X_KAJ"">vqux cah</rs> are vbi ri ca<pc> –</pc>",ch vqux cah are vbi ri ca–
quc,1,2,4,32,bauil chuqhaxic.,bauil chuqhaxic.
quc,1,2,5,33,"<hi rend=""large"">T</hi>a xpe cut vꜩih varal xul",Ta xpe cut vtzih varal xul
quc,1,2,5,34,"cuq ri <rs ana=""TEPEW_Q'UKUMATZ"">tepeu gucumaꜩ</rs> varal",cuq ri tepeu gucumatz varal
quc,1,2,5,35,chi quecumal chi aꜫabal xqh<pc> –</pc>,chi quecumal chi aq'abal xqh–
quc,1,2,5,36,"au ruq ri <rs ana=""TEPEW_Q'UKUMATZ"">tepeu gucumaꜩ</rs>, xe","au ruq ri tepeu gucumatz, xe"
quc,1,2,5,37,"qha cut, ta xenaohinic, ta xe","qha cut, ta xenaohinic, ta xe"
quc,1,2,5,38,"bizonic, xerico quib, xquicuch","bizonic, xerico quib, xquicuch"
quc,1,2,5,39,"qui ꜩih, qui naoh, ta xcalah","qui tzih, qui naoh, ta xcalah"
quc,1,2,5,40,"ta xquiquxlaah quib .<unclear reason=""illegible"" instant=""false"">+</unclear> zac ta<add place=""above"" instant=""false"" status=""unremarkable"">xevi</add>",ta xquiquxlaah quib .+ zac taxevi
quc,1,2,5,41,"xcalah puch vinac, ta xqui<pc> –</pc>","xcalah puch vinac, ta xqui–"
quc,1,2,5,42,naohih v ꜩuquic v vinaqui<pc> –</pc>,naohih v tzuquic v vinaqui–
quc,1,2,5,43,"ric che, caam, v ꜩucuquic pu<pc> –</pc>","ric che, caam, v tzucuquic pu–"
quc,1,2,5,44,ch qazlem vinaquirem chi,ch qazlem vinaquirem chi
quc,1,2,5,45,"queꜫumal, chi aꜫabal, rumal","queq'umal, chi aq'abal, rumal"
quc,1,2,5,46,"ri <rs ana=""UK'U'X_KAJ"">vqux cah</rs> <rs ana=""JUN_RAQAN"">huracan</rs> vbi,","ri vqux cah huracan vbi,"
quc,2,1,5,1,"<rs ana=""KAQUILJA_JUN_RAQAN"">caculha huracan</rs> nabe, vcab","caculha huracan nabe, vcab"
quc,2,1,5,2,"cut <rs ana=""CH'IPI_KAQULJA"">chipa caculha</rs>, roxchic","cut chipa caculha, roxchic"
quc,2,1,5,3,"<rs ana=""RAXA_KAQULJA"">raxa caculha</rs> chi e cu oxib",raxa caculha chi e cu oxib
quc,2,1,5,4,"rÿ <rs ana=""UK'U'X_KAJ"">vqux cah</rs> ta xeul cuq ri",ri vqux cah ta xeul cuq ri
quc,2,1,5,5,"<rs ana=""TEPEW_Q'UKUMATZ"">tepeu gucumaꜩ</rs>, ta xnaohi<pc> –</pc>","tepeu gucumatz, ta xnaohi–"
quc,2,1,5,6,"xic zac qazlem, hupacha ta cha","xic zac qazlem, hupacha ta cha"
quc,2,1,5,7,"uaxoc ta caquiro puch, apa<pc> –</pc>","uaxoc ta caquiro puch, apa–"
quc,2,1,5,8,"chinac ꜩucul <rs ana=""K'OOL"">cool</rs> ta chuxoc",chinac tzucul cool ta chuxoc
quc,2,1,5,9,quixnohintah. areri ha chel,quixnohintah. areri ha chel
quc,2,1,5,10,"tah chihamatah, chivinaquir","tah chihamatah, chivinaquir"
quc,2,1,5,11,va vleu vlaquel ta curib cha<pc> –</pc>,va vleu vlaquel ta curib cha–
quc,2,1,5,12,"ta cut, ta chauaxoc ta zaquiroc,","ta cut, ta chauaxoc ta zaquiroc,"
quc,2,1,5,13,"cah vleu, ma ta cut v quihila<pc> –</pc>","cah vleu, ma ta cut v quihila–"
quc,2,1,5,14,bal vcalaibal rÿ caꜩac ca<pc> –</pc>,bal vcalaibal ri catzac ca–
quc,2,1,5,15,bit ta vinaquiroc vinac ꜩac,bit ta vinaquiroc vinac tzac
quc,2,1,5,16,vinac bit xeqha cut ta xvi<pc> –</pc>,vinac bit xeqha cut ta xvi–
quc,2,1,5,17,naquir cu ri vleu cumal; xa<pc> –</pc>,naquir cu ri vleu cumal; xa–
quc,2,1,5,18,quiꜩih xqohe vi v vinaqui<pc> –</pc>,quitzih xqohe vi v vinaqui–
quc,2,1,5,19,"ric chivinaquir vleu, vleuh","ric chivinaquir vleu, vleuh"
quc,2,1,5,20,xecha libah chi xvinaquiric;,xecha libah chi xvinaquiric;
quc,2,1,5,21,queheri xa ꜩuꜩ xa mayui v,queheri xa tzutz xa mayui v
quc,2,1,5,22,vinaquiric chic u pupuheic,vinaquiric chic u pupuheic
quc,2,1,5,23,ta xtape pa ha ri huiub hu<pc> –</pc>,ta xtape pa ha ri huiub hu–
quc,2,1,5,24,zuc nimac huyub xuxic xa<pc> –</pc>,zuc nimac huyub xuxic xa–
quc,2,1,5,25,qui naual xa qui puz xbana<pc> –</pc>,qui naual xa qui puz xbana–
quc,2,1,5,26,tah vi vnaohixic huyub ta<pc> –</pc>,tah vi vnaohixic huyub ta–
quc,2,1,5,27,"cah, huzuc rach vinaquiric","cah, huzuc rach vinaquiric"
quc,2,1,5,28,"v quizizil, v pachahil v vach.","v quizizil, v pachahil v vach."
quc,2,1,5,29,"quehe cut xquicot vi ri <rs ana=""Q'UKUMATZ"">qu<pc> –</pc>",quehe cut xquicot vi ri qu–
quc,2,1,5,30,"cumaꜩ</rs>, vꜩ mi xatulic at <rs ana=""UK'U'X_KAJ"">vqux","cumatz, vtz mi xatulic at vqux"
quc,2,1,5,31,"cah</rs>, at <rs ana=""JUN_RAQAN"">huracan</rs>, at pu <rs ana=""CH'IPI_KAQULJA"">chipi<pc> –</pc>","cah, at huracan, at pu chipi–"
quc,2,1,5,32,"caculha</rs>, <rs ana=""RAXA_KAQULJA"">raxa caculha</rs>, xchu<pc> –</pc>","caculha, raxa caculha, xchu–"
quc,2,1,5,33,ꜩinic caꜩac cabit xeqha cut.,tzinic catzac cabit xeqha cut.
quc,2,1,5,34,nabe cut xvinaquir vleuh,nabe cut xvinaquir vleuh
quc,2,1,5,35,"huyub tacah, xchobochox vbe","huyub tacah, xchobochox vbe"
quc,2,1,5,36,ha xbiniheic colehe racan,ha xbiniheic colehe racan
quc,2,1,5,37,"xol tac huyub, xa chobol chic","xol tac huyub, xa chobol chic"
quc,2,1,5,38,"xeqohe vi ha, ta xcutunihe<pc> –</pc>","xeqohe vi ha, ta xcutunihe–"
quc,2,1,5,39,ic nimac huyub. quehe cut,ic nimac huyub. quehe cut
quc,2,1,5,40,v vinaquiric vlew ri ta xvi<pc> –</pc>,v vinaquiric vlew ri ta xvi–
quc,2,1,5,41,"naquiric cumal ri <rs ana=""UK'U'X_KAJ"">vqu x cah</rs>",naquiric cumal ri vqu x cah
quc,2,1,5,42,"<rs ana=""UK'U'X_ULEW"">vqux vleu</rs> quevchaxic rÿ",vqux vleu quevchaxic ri
quc,2,1,5,43,cute nabe xquinohih xcolo,cute nabe xquinohih xcolo
quc,2,1,5,44,"vi ri cah, xcolo nai puch v<pc> –</pc>","vi ri cah, xcolo nai puch v–"
quc,2,1,5,45,leuh chupan ha. quehe cut,leuh chupan ha. quehe cut
quc,2,1,5,46,vnaohixic ri ta xquinohih ta,vnaohixic ri ta xquinohih ta
quc,2,1,5,47,xquibizoh ruꜩinic vbana,xquibizoh rutzinic vbana
quc,2,2,5,1,tahic cumal.,tahic cumal.
quc,2,2,6,2,"<hi rend=""large"">T</hi>a xquinohih chic vchicop<pc> –</pc>",Ta xquinohih chic vchicop–
quc,2,2,6,3,il huyub chahal re quichelah,il huyub chahal re quichelah
quc,2,2,6,4,"ronohel, vvinaquil huyub ri","ronohel, vvinaquil huyub ri"
quc,2,2,6,5,"<rs ana=""KEJ"">quieh</rs>, <rs ana=""TZ'IKIN"">ꜩiquin</rs>, <rs ana=""KOJ"">qoh</rs>, <rs ana=""B'ALAM"">balam</rs>, <rs ana=""KUMATZ"">cu<pc> –</pc>","quieh, tziquin, qoh, balam, cu–"
quc,2,2,6,6,"maꜩ</rs>, <rs ana=""SOCHOJ"">zochoh</rs>, <rs ana=""K'ANTI'"">canti</rs> chahal ca<pc> –</pc>","matz, zochoh, canti chahal ca–"
quc,2,2,6,7,"am cacha ri <rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs>","am cacha ri alom, qaholom"
quc,2,2,6,8,"xa pa chilolinic, maxa on chi<pc> –</pc>","xa pa chilolinic, maxa on chi–"
quc,2,2,6,9,"ꜩininic vxeche, caam, cate vꜩ","tzininic vxeche, caam, cate vtz"
quc,2,2,6,10,chiqohe chahal re xeqha cut,chiqohe chahal re xeqha cut
quc,2,2,6,11,"ta xquinohih, xqhiꜩihoh puch","ta xquinohih, xqhitzihoh puch"
quc,2,2,6,12,"huzu cu xvinaquir <rs ana=""KEJ"">queh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs>",huzu cu xvinaquir queh tziquin
quc,2,2,6,13,"ta zquizipah cut rochoch <rs ana=""KEJ"">qu<pc> –</pc>",ta zquizipah cut rochoch qu–
quc,2,2,6,14,"eh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs>. at <rs ana=""KEJ"">queh</rs> pa beyaa",eh tziquin. at queh pa beyaa
quc,2,2,6,15,"pa zivan catvar vi, varal cat","pa zivan catvar vi, varal cat"
quc,2,2,6,16,"qohe vi pa quim pa zacul, pa","qohe vi pa quim pa zacul, pa"
quc,2,2,6,17,"quechelah, quipoco vi ivib, ca<pc> –</pc>","quechelah, quipoco vi ivib, ca–"
quc,2,2,6,18,"hcah ibinibal, ychacabal chu<pc> –</pc>","hcah ibinibal, ychacabal chu–"
quc,2,2,6,19,xic xevqhaxic ta xquichic cut,xic xevqhaxic ta xquichic cut
quc,2,2,6,20,"cochoch chuti <rs ana=""TZ'IKIN"">ꜩiquin</rs>, nima","cochoch chuti tziquin, nima"
quc,2,2,6,21,"<rs ana=""TZ'IKIN"">ꜩiquin</rs>. ixix <rs ana=""TZ'IKIN"">ꜩiquin</rs> chuvi",tziquin. ixix tziquin chuvi
quc,2,2,6,22,"che, chuvi caam quixochoch<pc> –</pc>","che, chuvi caam quixochoch–"
quc,2,2,6,23,"in vi, quixhain vi, chiri quix<pc> –</pc>","in vi, quixhain vi, chiri quix–"
quc,2,2,6,24,"poc vi, quixquiritah vi chu e<pc> –</pc>","poc vi, quixquiritah vi chu e–"
quc,2,2,6,25,"ab che, chueab caam xevqh<pc> –</pc>","ab che, chueab caam xevqh–"
quc,2,2,6,26,"axic <rs ana=""KEJ"">quieh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs> taxquiba<pc> –</pc>",axic quieh tziquin taxquiba–
quc,2,2,6,27,no quibanoh ronohel xuca<pc> –</pc>,no quibanoh ronohel xuca–
quc,2,2,6,28,"mo v varabal, v yacalibal","mo v varabal, v yacalibal"
quc,2,2,6,29,quehe cut cochoch vi chicop,quehe cut cochoch vi chicop
quc,2,2,6,30,"ri vleu xuyao <rs ana=""ALOM"">alom</rs>, <rs ana=""K'AJOLOM"">qaho<pc> –</pc>","ri vleu xuyao alom, qaho–"
quc,2,2,6,31,lom</rs>. xuꜩininaca chic ronohel,lom. xutzininaca chic ronohel
quc,2,2,6,32,"ri <rs ana=""KEJ"">queh</rs> <rs ana=""TZ'IKIN"">ꜩiquin</rs>",ri queh tziquin
quc,2,2,7,33,"<hi rend=""large"">T</hi>a xevqhax chicut rÿ <rs ana=""KEJ"">queh</rs>",Ta xevqhax chicut ri queh
quc,2,2,7,34,"<rs ana=""TZ'IKIN"">ꜩiquin</rs> rumal <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs> <rs ana=""ALOM"">a<pc> –</pc>",tziquin rumal tzacol bitol a–
quc,2,2,7,35,"lom</rs>, <rs ana=""K'AJOLOM"">qaholom</rs>: quixqhauoc ,","lom, qaholom: quixqhauoc ,"
quc,2,2,7,36,quixziquinoc mi xyonoliqui<pc> –</pc>,quixziquinoc mi xyonoliqui–
quc,2,2,7,37,"nic, mixziquinic, quixqha va he","nic, mixziquinic, quixqha va he"
quc,2,2,7,38,"tah chi huhunal, chu hutac chobil","tah chi huhunal, chu hutac chobil"
