folio|side|para_num|lb|ana_num|ana_id
4|1|8|26|1|TZ'AQOL
4|1|8|26|2|B'ITOL
4|1|8|27|1|K'OOL
4|1|8|28|1|IXIM
4|1|8|28|2|TZ'ITE'
4|1|8|31|1|IXIM
4|1|8|31|2|TZ'ITE'
4|1|8|32|1|UK'U'X_KAJ
4|1|8|33|1|TEPEW_Q'UKUMATZ
4|2|8|1|1|UK'U'X_KAJ
4|2|8|12|1|TZ'AQOL
4|2|8|12|2|B'ITOL
4|2|9|19|1|UK'U'X_KAJ
4|2|9|22|1|TZ'ITE'
4|2|9|23|1|TZ'AQOL
4|2|9|23|2|B'ITOL
4|2|9|25|1|TZ'AQOL
4|2|9|25|2|B'ITOL
4|2|9|30|1|Q'OL
4|2|9|31|1|K'OTK'OWACH
4|2|9|32|1|KAMALOTZ'
4|2|9|34|1|KOTZB'ALAM
4|2|9|35|1|TUKUMB'ALAM
4|2|9|40|1|ALOM
4|2|9|41|1|K'AJOLOM
4|2|9|41|2|UK'U'X_KAJ
4|2|9|41|3|JUN_RAQAN
5|1|9|2|1|KA'
5|1|9|6|1|KA'
5|2|9|7|1|K'OY
5|2|9|10|1|TZ'AQOL
5|2|9|11|1|B'ITOL
5|2|9|11|2|K'OY
5|2|10|18|1|WUQUB'_KAQIX
5|2|10|42|1|WUQUB'_KAQIX
5|2|10|44|1|WUQUB'_KAQIX
6|1|10|5|1|WUQUB'_KAQIX
6|1|10|11|1|WUQUB'_KAQIX
6|1|10|13|1|TZ'AQOL
6|1|10|13|2|B'ITOL
6|1|11|15|1|WUQUB'_KAQIX
6|1|11|16|1|KA'IB'_K'AJOLAB'
6|1|11|17|1|JUNAJPU
6|1|11|17|2|XBALANKE
6|1|11|21|1|UK'U'X_KAJ
6|1|11|22|1|KA'IB'_K'AJOLAB'
6|1|11|34|1|KA'IB'_K'AJOLAB'
6|1|11|34|2|WUB
6|1|11|36|1|WUQUB'_KAQIX
6|1|11|37|1|SIPAKNA
6|1|11|38|1|KAB'RAQAN
6|1|11|39|1|CHIMALMAT
6|1|11|40|1|CHIMALMAT
6|1|11|40|2|CHIMALMAT
6|1|11|41|1|WUQUB'_KAQIX
6|1|11|41|2|SIPAKNA
6|1|11|42|1|CHAAJ
6|1|11|43|1|CHI_Q'AQ'
6|1|11|43|2|JUNAJPU_JUYUB'
6|1|11|44|1|PEK_UL_YA'
6|1|11|44|2|YA'XKANUL
6|1|11|44|3|MAKAMOB'
6|1|11|45|1|JULISNAB'
6|2|11|1|1|SIPAKNA
6|2|11|2|1|KAB'RAQAN
6|2|11|7|1|WUQUB'_KAQIX
6|2|11|8|1|WUQUB'_KAQIX
6|2|11|10|1|SIPAKNA
6|2|11|12|1|KAB'RAQAN
6|2|11|13|1|WUQUB'_KAQIX
6|2|11|16|1|KA'IB'_K'AJOLAB'
6|2|11|20|1|KA'IB'_K'AJOLAB'
6|2|12|21|1|WUB
6|2|12|21|2|WUQUB'_KAQIX
6|2|12|22|1|KA'IB'_K'AJOLAB'
6|2|12|26|1|WUQUB'_KAQIX
6|2|12|28|1|WUQUB'_KAQIX
6|2|12|32|1|JUNAJPU
6|2|12|32|2|XB'ALAMQ'E
6|2|12|34|1|WUQUB'_KAQIX
6|2|12|35|1|KA'IB'_K'AJOLAB'
6|2|12|37|1|KA'IB'_K'AJOLAB'
6|2|12|37|2|WUQUB'_KAQIX
6|2|12|40|1|JUNAJPU
6|2|12|41|1|WUB
6|2|12|43|1|CHIMALMAT
6|2|12|44|1|JUNAJPU
6|2|12|47|1|JUNAJPU
6|2|12|48|1|WUQUB'_KAQIX
7|1|12|3|1|JUNAJPU
7|1|12|4|1|WUQUB'_KAQIX
7|1|12|6|1|WUQUB'_KAQIX
7|1|12|8|1|JUNAJPU
7|1|12|8|2|WUQUB'_KAQIX
7|1|12|12|1|CHIMALMAT
7|1|12|13|1|WUQUB'_KAQIX
7|1|12|15|1|WUB
7|1|12|22|1|WUQUB'_KAQIX
7|1|12|23|1|JUNAJPU
7|1|12|24|1|JUNAJPU
7|1|12|25|1|XB'ALAMQ'E
7|1|12|26|1|SAQI_NIM_AQ_SIS
7|1|12|28|1|SAQI_NIM_AQ_SIS
7|1|12|28|2|SAQI_NIM_AQ_SIS
7|1|12|29|1|SAQI_NIM_AQ_SIS
7|1|12|31|1|SAQI_NIM_AQ_SIS
7|1|12|32|1|SAQI_NIM_AQ_SIS
7|1|12|33|1|KA'IB'_K'AJOLAB'
7|1|12|34|1|SAQI_NIM_AQ_SIS
7|1|12|36|1|WUQUB'_KAQIX
7|1|12|45|1|WUQUB'_KAQIX
7|1|12|46|1|KA'IB'_K'AJOLAB'
7|2|12|2|1|WUQUB'_KAQIX
7|2|12|3|1|SAQI_NIM_AQ_SIS
7|2|12|4|1|KA'IB'_K'AJOLAB'
7|2|12|6|1|WUQUB'_KAQIX
7|2|12|7|1|WUQUB'_KAQIX
7|2|12|8|1|WUQUB'_KAQIX
7|2|12|9|1|SAQI_NIM_AQ_SIS
7|2|12|11|1|SAQI_NIM_AQ_SIS
7|2|12|11|2|WUQUB'_KAQIX
7|2|12|12|1|WUQUB'_KAQIX
7|2|12|14|1|KA'IB'_K'AJOLAB'
7|2|12|15|1|WUQUB'_KAQIX
7|2|12|15|2|SAQI_NIM_AQ_SIS
7|2|12|18|1|WUQUB'_KAQIX
7|2|12|19|1|SAQI_NIM_AQ_SIS
7|2|12|20|1|WUQUB'_KAQIX
7|2|12|25|1|WUQUB'_KAQIX
7|2|12|34|1|WUB
7|2|12|34|2|KA'IB'_K'AJOLAB'
7|2|12|38|1|WUQUB'_KAQIX
7|2|12|41|1|WUQUB'_KAQIX
7|2|12|45|1|IXIM
8|1|12|1|1|WUQUB'_KAQIX
8|1|12|1|2|IXIM
8|1|12|3|1|IXIM
8|1|12|4|1|WUQUB'_KAQIX
8|1|12|7|1|WUQUB'_KAQIX
8|1|12|12|1|JUNAJPU
8|1|12|12|2|XB'ALAMQ'E
8|1|12|13|1|WUQUB'_KAQIX
8|1|12|14|1|JUNAJPU
8|1|12|15|1|CHIMALMAT
8|1|12|16|1|WUQUB'_KAQIX
8|1|12|17|1|WUQUB'_KAQIX
8|1|12|31|1|IXMUKANE
8|1|12|32|1|XPIYAKOK
8|1|12|35|1|WUQUB'_KAQIX
8|1|12|38|1|KA'IB'_K'AJOLAB'
8|1|12|39|1|UK'U'X_KAJ
8|1|13|40|1|SIPAKNA
8|1|13|41|1|WUQUB'_KAQIX
8|1|13|43|1|SIPAKNA
8|1|13|43|2|SIPAKNA
8|1|13|45|1|MOTZ
8|2|13|2|1|SIPAKNA
8|2|13|3|1|MOTZ
8|2|13|4|1|MOTZ
8|2|13|10|1|MOTZ
8|2|13|12|1|KA'IB'_K'AJOLAB'
8|2|13|17|1|MOTZ
8|2|13|29|1|MOTZ
8|2|13|31|1|SIPAKNA
8|2|13|45|1|MOTZ
9|1|13|1|1|SIPAKNA
9|1|13|5|1|SIPAKNA
9|1|13|14|1|SIPAKNA
9|1|13|19|1|MOTZ
9|1|13|35|1|MOTZ
9|1|13|39|1|MOTZ
9|1|13|42|1|SANIK
9|1|13|45|1|SIPAKNA
9|1|13|47|1|MOTZ
9|2|13|1|1|SANIK
9|2|13|5|1|SIPAKNA
9|2|13|5|2|MOTZ
9|2|13|7|1|SANIK
9|2|13|11|1|SIPAKNA
9|2|13|13|1|SANIK
9|2|13|14|1|MOTZ
9|2|13|17|1|MOTZ
9|2|13|18|1|MOTZ
9|2|13|21|1|SIPAKNA
9|2|13|24|1|MOTZ
9|2|13|26|1|SIPAKNA
9|2|13|26|2|WUQUB'_KAQIX
9|2|13|28|1|MOTZ
9|2|13|30|1|MOTZ
9|2|13|33|1|SIPAKNA
9|2|13|33|2|KA'IB'_K'AJOLAB'
9|2|13|34|1|JUNAJPU
9|2|13|34|2|XB'ALAMQ'E
9|2|14|37|1|SIPAKNA
9|2|14|38|1|KA'IB'_K'AJOLAB'
9|2|14|38|2|JUNAJPU
9|2|14|39|1|XB'ALAMQ'E
9|2|14|40|1|KA'IB'_K'AJOLAB'
9|2|14|40|2|MOTZ
9|2|14|42|1|SIPAKNA
9|2|14|42|2|KAR
9|2|14|42|3|TAP
10|1|14|3|1|JUNAJPU
10|1|14|3|2|XB'ALAMQ'E
10|1|14|4|1|MAK_EK'
10|1|14|5|1|MAK_EK'
10|1|14|6|1|TAP
10|1|14|9|1|TAP
10|1|14|11|1|ME'AWAN
10|1|14|13|1|KA'IB'_K'AJOLAB'
10|1|14|14|1|SIPAKNA
10|1|14|15|1|SIPAKNA
10|1|14|16|1|SIPAKNA
10|1|14|18|1|KA'IB'_K'AJOLAB'
10|1|14|18|2|SIPAKNA
10|1|14|20|1|KAR
10|1|14|20|2|TAP
10|1|14|23|1|SIPAKNA
10|1|14|24|1|JUNAJPU
10|1|14|24|2|XB'ALAMQ'E
10|1|14|25|1|TAP
10|1|14|31|1|JUNAJPU
10|1|14|31|2|XB'ALAMQ'E
10|1|14|33|1|KA'IB'_K'AJOLAB'
10|1|14|34|1|SIPAKNA
10|1|14|40|1|JUNAJPU
10|1|14|40|2|XB'ALAMQ'E
10|1|14|42|1|KA'IB'_K'AJOLAB'
10|1|14|44|1|TZ'IKIN
10|1|14|44|2|WUB
10|1|14|46|1|SIPAKNA
10|1|14|47|1|KA'IB'_K'AJOLAB'
10|2|14|10|1|SIPAKNA
10|2|14|11|1|SIPAKNA
10|2|14|13|1|TAP
10|2|14|16|1|SIPAKNA
10|2|14|16|2|KAR
10|2|14|33|1|SIPAKNA
10|2|14|34|1|SIPAKNA
10|2|14|34|2|KA'IB'_K'AJOLAB'
10|2|14|35|1|JUNAJPU
10|2|14|35|2|XB'ALAMQ'E
10|2|14|37|1|SIPAKNA
10|2|14|37|2|WUQUB'_KAQIX
10|2|14|38|1|ME'AWAN
10|2|14|40|1|KAB'RAQAN
10|2|15|43|1|WUQUB'_KAQIX
10|2|15|43|2|KAB'RAQAN
10|2|15|45|1|JUNAJPU
10|2|15|45|2|IXB'ALAMQ'E
10|2|15|46|1|KAB'RAQAN
11|1|15|1|1|JUN_RAQAN
11|1|15|1|2|CH'IPI_KAQULJA
11|1|15|1|3|RAXA_KAQULJA
11|1|15|3|1|JUNAJPU
11|1|15|3|2|IXB'ALAMQ'E
11|1|15|3|3|KAB'RAQAN
11|1|15|4|1|WUQUB'_KAQIX
11|1|15|10|1|JUN_RAQAN
11|1|15|11|1|KA'IB'_K'AJOLAB'
11|1|15|12|1|JUN_RAQAN
11|1|15|14|1|UK'U'X_KAJ
11|1|15|15|1|KA'IB'_K'AJOLAB'
11|1|15|16|1|JUN_RAQAN
11|1|15|17|1|KAB'RAQAN
11|1|15|21|1|KA'IB'_K'AJOLAB'
11|1|15|22|1|KAB'RAQAN
11|1|15|23|1|KAB'RAQAN
11|1|15|27|1|KAB'RAQAN
11|1|15|27|2|JUNAJPU
11|1|15|28|1|XB'ALAMQ'E
11|1|15|30|1|KAB'RAQAN
11|1|15|31|1|WUB
11|1|15|40|1|TZ'IKIN
11|1|15|41|1|KAB'RAQAN
11|1|15|43|1|JUNAJPU
11|1|15|43|2|XB'ALAMQ'E
11|1|15|44|1|KAB'RAQAN
11|2|15|1|1|JUNAJPU
11|2|15|2|1|XB'ALAMQ'E
11|2|15|3|1|KA'IB'_K'AJOLAB'
11|2|15|7|1|WUB
11|2|15|7|2|TZ'IKIN
11|2|15|8|1|WUB
11|2|15|9|1|WUB
11|2|15|10|1|WUB
11|2|15|11|1|B'AQ
11|2|15|11|2|WUB
11|2|15|12|1|TZ'IKIN
11|2|15|13|1|WUB
11|2|15|13|2|KAB'RAQAN
11|2|15|14|1|B'AQ
11|2|15|14|2|KA'IB'_K'AJOLAB'
11|2|15|15|1|TZ'IKIN
11|2|15|16|1|TZ'IKIN
11|2|15|19|1|TZ'IKIN
11|2|15|21|1|TZ'IKIN
11|2|15|24|1|TZ'AQOL
11|2|15|24|2|B'ITOL
11|2|15|25|1|KA'IB'_K'AJOLAB'
11|2|15|28|1|KAB'RAQAN
11|2|15|29|1|JUNAJPU
11|2|15|30|1|XB'ALAMQ'E
11|2|15|30|2|TZ'IKIN
