ana_id|quc|spa|label|dh
XIKIRIPAT|4|2|Xikiripat|2.8073549220576037
XIKIRI_PAT|2|5|Xikiri Pat|2.8073549220576037
XMUKANE|4|0|Xmukane|1.0
XMUKUR|3|3|Xmukur|1.5849625007211559
XPIYAKOK|23|20|Xpiyakok|3.906890595608519
XPURPUWEQ|3|3|Xpurpuweq|2.321928094887362
XTZUL|1|1|Xtzul|0.0
XULU|3|2|Xulu|1.0
XUXULIM_JA|1|3|Xuxulim Ja|1.5849625007211559
XUXULUM_JA|1|0|Xuxulum Ja|0.0
YA'XKANUL|1|1|Ya'Xkanul|0.0
YACHWACH|4|1|Yachwach|2.0
YAK|5|5|Yak|2.8073549220576037
YAKI|5|4|Yaki|2.8073549220576037
YAKI_TEPEW|1|1|Yaki Tepew|1.5849625007211559
YAKOLATAM|1|1|Yakolatam|0.0
YAKOLATAM_UTZA'M_POP_SAQLATOL|1|1|Yakolatam Utza'M Pop Saqlatol|0.0
YOLKWAT_KITZALKWAT|1|1|Yolkwat Kitzalkwat|1.5849625007211559
