ana_id,n_annotated,surface_form,form_length
AJMUQULIK_K'U'X,1,ah muculic qux,3
AJPATAN,1,ahpatan,1
AJPOP,22,ah pop,2
AJPOP,22,ahpop,1
AJPOP,22,ahpopol,1
AJPOP_K'AMJA,17,ah pop camha,3
AJPOP_K'AMJA,17,ahpop camba,2
AJPOP_K'AMJA,17,ahpop camha,2
AJPOP_K'AMJA,17,ahpop camhail,2
AJPOP_K'AMJA,17,ahpopcam ha,2
AJPOP_K'AMJA,17,ahpopcamha,1
AJPOP_SOTZ'IL,1,ah pozotzil,2
AJPOP_XAJIL,1,ah po xa,3
AJQ'OL,1,ah eol,2
AJQ'UKUMATZ,2,ah cucumatz,2
AJQ'UKUMATZ,2,ah cuq'umatz,2
AJRAXA_LAQ,2,ah ra xalaq',3
AJRAXA_LAQ,2,ah raxalac,2
AJRAXA_TZEL,2,ah raxatzel,2
AJRAXA_TZEL,2,ah raxazel,2
AJTOJIL,2,ah to hil,3
AJTOJIL,2,ahtohil,1
AJTOLTEKAT,1,ah toltecat,2
AJTUKUR,1,ahtucur,1
AJTZ'ALAM,1,ahtzalam,1
AJTZ'IKINA_JA,7,ah q ' i quinaha,5
AJTZ'IKINA_JA,7,ah q ' iquina ha,5
AJTZ'IKINA_JA,7,ah q ' iquinaha,4
AJTZ'IKINA_JA,7,ah q inquina ha,4
AJTZ'IKINA_JA,7,ahq ' i quinaha,4
AJTZ'IKINA_JA,7,quinaha,1
AJTZA,1,ahtza,1
AJTZIK_WINAQ,9,ah tzic vina,3
AJTZIK_WINAQ,9,ah tzic vinac,3
AJTZIK_WINAQ,9,ahtzic vinac,2
AJTZIK_WINAQ,9,ahtzicvinac,1
AJTZIK_WINAQ,9,ahzic vinac,2
AJTZIK_WINAQ,9,atzih vinac,2
AJTZIK_WINAQ,9,ea lel ah tzic vinac,5
AJTZIK_WINAQ_AJAW,1,a h tzic vinac ahau,5
AJYAMANIK,1,ah yamanic,2
AJ_KAB'RAQAN,1,ah cabracan,2
AKUL_WINAQ,1,acul vinac,2
ALOM,19,a lom,2
ALOM,19,alom,1
ALOM,19,chuch,1
ALOM,19,ichuch,1
ALOM,19,vchuch,1
AMAQ'_TAM,2,a mactan,2
AMAQ'_TAM,2,amac dan,2
AMAQ'_UQ'IN_K'AT,1,am ac vquin cat,4
AQ,3,ae,1
AQ,3,aq',1
AQAJ,2,acah,1
ASTAPULUL,1,aztapulul,1
AWILIX,33,ahau,1
AWILIX,33,au lix,2
AWILIX,33,auilix,1
AWILIX,33,aulix,1
AWILIX,33,avi lix,2
AWILIX,33,avilix,1
AWILIX,33,avlix,1
AWILIX,33,chicut ahau,2
B'ALAM,23,ba lam,2
B'ALAM,23,ba lamil,2
B'ALAM,23,balam,1
B'ALAM_ KOLOB',1,balam colob,2
B'ALAM_AQ'AB',60,acab,1
B'ALAM_AQ'AB',60,b alam acab,3
B'ALAM_AQ'AB',60,ba lam acab,3
B'ALAM_AQ'AB',60,balam a cab,3
B'ALAM_AQ'AB',60,balam acaab,2
B'ALAM_AQ'AB',60,balam acab,2
B'ALAM_AQ'AB',60,balam aeab,2
B'ALAM_AQ'AB',60,balamacab,1
B'ALAM_JA,6,ba lami ha,3
B'ALAM_JA,6,balam rochoch,2
B'ALAM_JA,6,balami ha,2
B'ALAM_JA,6,balamiha,1
B'ALAM_JA,6,pa ha,2
B'ALAM_JA,6,pabala mi ha,3
B'ALAM_K'ONACHE'_KQTRES,2,b alam conache,3
B'ALAM_K'ONACHE'_KQTRES,2,conache,1
B'ALAM_KI'TZE',65,b alam quitze,3
B'ALAM_KI'TZE',65,ba lam quitze,3
B'ALAM_KI'TZE',65,balam qui tze,3
B'ALAM_KI'TZE',65,balam quitze,2
B'ALAM_KI'TZE',65,balamqui tze,2
B'ALAM_KI'TZE',65,vmam,1
B'ALAM_KI'TZE',65,vqahau,1
B'AQ,3,bac,1
B'AQ,3,vbac,1
B'AQ,3,xubac,1
B'ATE,8,bate,1
B'ATE,8,ibate,1
B'ATE,8,vbate,1
B'ATZ'A_NJSEIS',1,b atza,2
B'ELEJEB'_KEJ_NJCUATRO,2,b eleheb quih,3
B'ELEJEB'_KEJ_NJCUATRO,2,be heb te queh,4
B'ELEJEB'_KEJ_NUEVE,1,b eleheb quih,3
B'ELEJEB'_T'ZI'_KQDOCE,1,beleheb tzi,2
B'ITOL,29,ah bit,2
B'ITOL,29,ahbit,1
B'ITOL,29,bi tol,2
B'ITOL,29,bit ol,2
B'ITOL,29,bitol,1
B'ITOL,29,hun bit,2
B'OQOTAJINAQ_SANAYEB',1,bocotahinac zanaieb,2
BALAM_KI'TZE,1,balam quitze,2
CH'ABI'_TUKUR,2,chabi tucur,2
CH'ABI'_TUKUR,2,qhabi tucur,2
CH'ABI_Q'AQ',1,cabi cac,2
CH'AMIYA_BAQ,7,cha mia bac,3
CH'AMIYA_BAQ,7,chamia bac,2
CH'AMIYA_BAQ,7,chamia baca,2
CH'AMIYA_BAQ,7,chamiabaca,1
CH'AMIYA_BAQ,7,vbeleh culel,2
CH'AMIYA_JOLOM,7,chamia holom,2
CH'AMIYA_JOLOM,7,chamiaholom,1
CH'AMIYA_JOLOM,7,qha mia holom,3
CH'AMIYA_JOLOM,7,vlahuh cubulel,2
CH'IPI_KAQULJA,8,chipa caculha,2
CH'IPI_KAQULJA,8,chipi caculha,2
CH'IPI_KAQULJA,8,chipica culha,2
CH'IPI_KAQULJA,8,chipicaculha,1
CH'IPI_NANAWAK,1,chipina navac,2
CH'ITIK,1,chitic,1
CH'O,14,cho,1
CHAAJ,31,chaa,1
CHAAJ,31,chaah,1
CHAAJ,31,chaaha,1
CHAAJ,31,chaahic,1
CHAAJ,31,chah,1
CHAAJ,31,chahibal,1
CHAAJ,31,cohcha ahic,2
CHAAJ,31,cohchaah,1
CHAAJ,31,echaa hel,2
CHAAJ,31,quechaahic,1
CHAAJ,31,quechahic,1
CHAAJ,31,quichaah,1
CHAAJ,31,xcahchaah,1
CHAJAL_ECHA',2,at chahal re queqha,4
CHAJAL_ECHA',2,chaha l echa,3
CHAMALKAN,1,chamalcan,1
CHAMCHAM,1,chamcham,1
CHAYIM_JA,3,chaim ha,2
CHIMALMAT,6,chi malmat,2
CHIMALMAT,6,chimalmat,1
CHIMALMAT,6,qui chuch,2
CHIMALMAT,6,rixoquil,1
CHITEMAJ,1,chi temah,2
CHIYOM,1,chiyom,1
CHI_CHAQ',1,chiq u chac,3
CHI_ISMACHI,7,chiizmachi,1
CHI_ISMACHI',5,chiizmachi,1
CHI_ISMACHI',5,quitinamit,1
CHI_ISMACHI',5,tinamit,1
CHI_JUNAJPU,1,chihunahpu,1
CHI_K'IX,2,chiquix,1
CHI_PIXAB',3,chi pixab,2
CHI_PIXAB',3,chipixab,1
CHI_Q'AQ',1,chicac,1
CHI_RATINIB'AL_TOJIL,4,chatin vi tohil,3
CHI_RATINIB'AL_TOJIL,4,chi ratinibal tohil,3
CHI_RATINIB'AL_TOJIL,4,chuchi ya,2
CHOLOCHIK_AB'AJ,1,cholochic abah,2
CHOMI_JA',2,chomiha,1
CHULIMAL,2,ah chulimal,2
CHULIMAL,2,chulimal,1
CHUQ'ANAL,1,chueanel,1
CHUWA_TZ'AQ,1,chuva tzac,2
CHUWI'_MEQ'ENA',1,ahmiquina,1
CHUWI_MEQ'ENA',1,chuvi miquina,2
DIOS,2,dios,1
DONADIU,1,donadiu,1
DON_CRISTÓBAL_NJONCE,1,d on christoual chuchaxic,4
DON_JUAN_CORTES_KQCATORCE,1,don ju o cortes,4
DON_JUAN_DE_ROJAS_KQCATORCE,1,d on ju o juan de rojas,7
EWAB'AL_SIWAN,1,evabal zivan,2
IB'OY,2,xayboy,1
IB'OY,2,xquixah yboy,2
IK,4,ic,1
IK'OQ'IJ,5,icoquih,1
IK'OQ'IJ,5,iqoquih,1
IKAJ,7,cah,1
IKAJ,7,icah,1
ILOKAB',21,i locab,2
ILOKAB',21,ilo cab,2
ILOKAB',21,ilocab,1
IQ'I_B'ALAM,41,i qui balam,3
IQ'I_B'ALAM,41,iqui ba lam,3
IQ'I_B'ALAM,41,iqui balam,2
IQ'I_B'ALAM,41,iquiba lam,2
IQ'I_B'ALAM,41,iquibalam,1
ISTAYUL_KQCUATRO,5,a hau ztayul,3
ISTAYUL_KQCUATRO,5,aha zta yul,3
ISTAYUL_KQCUATRO,5,hun ahau,2
ISTAYUL_KQCUATRO,5,iztayul,1
ISTAYUL_KQCUATRO,5,ztayub,1
ISTAYUL_KQOCHO,1,xtayub,1
ISTAYUL_KQSEIS,2,ztayul,1
ISTAYUL_NJSIETE,1,z tayul,2
IXB'ALAMQ'E,2,xbalan que,2
IXB'ALAMQ'E,2,xbalanque,1
IXB'AQIYALO,6,ix pu cachuch,3
IXB'AQIYALO,6,qui chuch,2
IXB'AQIYALO,6,quichuch,1
IXB'AQIYALO,6,rixoquil,1
IXB'AQIYALO,6,xbaqui yalo,2
IXIM,9,i xim,2
IXIM,9,ixim,1
IXIM,9,zaqui ixim,2
IXKAKAW,1,xcacau,1
IXKIK',59,at ta valib,3
IXKIK',59,at valib,2
IXKIK',59,ca chuch,2
IXKIK',59,ca poh,2
IXKIK',59,capoh,1
IXKIK',59,chuch,1
IXKIK',59,hoxol,1
IXKIK',59,hun capoh vme al,4
IXKIK',59,hun capoh vmeal,3
IXKIK',59,in alibla,2
IXKIK',59,in puch alcual la,4
IXKIK',59,ixca chuch,2
IXKIK',59,ixoc,1
IXKIK',59,nu meal,2
IXKIK',59,qui chuch,2
IXKIK',59,quichuch,1
IXKIK',59,valib,1
IXKIK',59,vmeal,1
IXKIK',59,xquic,1
IXKIK',59,xquicuch,1
IXMUKANE,115,a tit,2
IXMUKANE,115,ah bit,2
IXMUKANE,115,at catit,2
IXMUKANE,115,atit,1
IXMUKANE,115,ca tit,2
IXMUKANE,115,camul yiom,2
IXMUKANE,115,catit,1
IXMUKANE,115,chuch,1
IXMUKANE,115,ivatit,1
IXMUKANE,115,ix catit,2
IXMUKANE,115,ixca tit,2
IXMUKANE,115,ixcatit,1
IXMUKANE,115,iyom,1
IXMUKANE,115,lal chichu,2
IXMUKANE,115,lal valib,2
IXMUKANE,115,matzanel,1
IXMUKANE,115,ratit,1
IXMUKANE,115,ratit quih,2
IXMUKANE,115,ratit zac,2
IXMUKANE,115,ricatit,1
IXMUKANE,115,vchuch,1
IXMUKANE,115,x mucane,2
IXMUKANE,115,xmu cane,2
IXMUKANE,115,xmuca ne,2
IXMUKANE,115,xmucane,1
IXOQ_AJAWAB',24,camizanel,1
IXOQ_AJAWAB',24,chuch,1
IXOQ_AJAWAB',24,e canabe chuch,3
IXOQ_AJAWAB',24,e xoccahauab,2
IXOQ_AJAWAB',24,ix quixoquil,2
IXOQ_AJAWAB',24,ixoc,1
IXOQ_AJAWAB',24,qui culel,2
IXOQ_AJAWAB',24,qui xoquil,2
IXOQ_AJAWAB',24,quiculel,1
IXOQ_AJAWAB',24,quixo quil,2
IXOQ_AJAWAB',24,quixoquil,1
IXOQ_AJAWAB',24,quixoquila,1
IXOQ_AJAWAB',24,xoquil,1
IXOQ_AJAWAB',24,xquicot,1
IXPUCH',7,xpu ch,2
IXPUCH',7,xpuch,1
IXQ'ANIL,1,xcanil,1
IXTAJ,7,xtah,1
IXTAJ_IXPUCH,1,capohib,1
IXTAJ_IXPUCH',24,caib capohib,2
IXTAJ_IXPUCH',24,capo hib,2
IXTAJ_IXPUCH',24,capohib,1
IXTAJ_IXPUCH',24,chi capohib,2
IXTAJ_IXPUCH',24,e caib ca pohib,4
IXTAJ_IXPUCH',24,e caib capohib,3
IXTAJ_IXPUCH',24,e caib qui mial,4
IXTAJ_IXPUCH',24,ix qaxtoq,2
IXTAJ_IXPUCH',24,ixcamial,1
IXTAJ_IXPUCH',24,meal,1
IXTAJ_IXPUCH',24,mial,1
IXTAJ_IXPUCH',24,mial ahauab,2
IXTAJ_IXPUCH',24,tac capohib,2
IXTOJ,1,xtoh,1
IXTZIYA',1,ix pu tziya,3
JA'_SIMAJ,1,ha zimah,2
JAL,13,cana hal,2
JAL,13,eana hal,2
JAL,13,eanahal,1
JAL,13,hal,1
