term_str,0,1,2,3,4
vtzilah,0.011777546255279613,0.0031618183952921053,-0.00797845013861423,-0.006317312200985375,0.0011907910753000352
quixoquil,0.017489562077786094,0.005948769782038266,-0.0033690893320795514,0.0007769454535773101,-0.0001633977524211829
huiub,-0.008669105139389,-0.0056968282045329055,-0.009625237982528649,0.02454321917263785,-0.00023673865740578222
recha,-0.012696145099595761,4.1839716003162376e-05,0.0004469206038261756,0.009894320747835986,0.0052494957066653684
cuchumaquic,-0.011040972415169666,-0.001496080354908672,0.006569705769754649,-0.005769566773368796,-0.004135037542698768
vholom,-0.015384661958241579,-0.002114495548340882,0.011955313462372776,-0.006448166667543895,-0.003647661083750029
quetaam,0.0037756678096340828,-0.0019525853201685316,0.0012769200262753052,-0.0035418683308382254,0.0049714211278331305
ivech,-0.0036961718638525843,0.003272468874394106,0.002570976292808031,-0.006749365079071277,-0.003541838475412824
cama,-0.0001301550367420306,0.003575679882022624,-0.0003417620396218781,0.009292326872574046,-0.00030524127564059204
vpa,0.002062254006982991,-0.011093428163777626,-0.008796732913710569,-0.010133479309082413,-0.003948014640624911
qhabal,0.009339597855430693,0.0023913947424646,-0.012849889267994411,-0.006369728804791509,-0.00028312543487488926
vachibal,-0.00028947310430504865,-0.0027983136401543212,-0.00312532871376131,-0.0055931357392067504,-0.00016219994338371516
xcabano,-0.004323327193178844,0.006808355783477592,-0.007100310066225333,0.010543325543233329,0.00038592675663872073
xqhauic,-0.004409737281507154,-0.002098690139453796,-0.0038863203686191955,0.008719280040283207,-0.002863630802913547
xril,-0.006086157999917755,0.0015665441654588142,-0.002361723842102845,-0.0013419491875875413,0.016913354187262388
vchacatahic,-0.005687636227980252,-0.003346950209301167,-0.005430046406454082,0.017600147400711835,-0.0025311524017099475
vtiohil,0.0021900183886954076,-0.013187415977812726,-0.015719493407731114,-0.008549048385672409,-0.006513142386716133
vonon,0.010308402661472137,0.016633430544123345,-0.002295182110049239,0.004147724393810076,-0.0157523488143098
quiqux,0.001870504247031936,0.006869848123675474,0.004446326372707569,-0.002816039329493072,-0.0019407908863279214
tacal,-0.010974402173031823,-0.0010434669599825937,0.004378457613234402,0.002536748129576776,-0.0030709126845121443
vbeel,-0.003856296896010011,-0.0037001907994351152,-0.0033409582600796494,-0.007314814264176671,0.0038602474378101963
quequicotic,0.0036599907673700747,0.006130526069600802,-0.0021842942677226043,-0.0044240414896173684,0.0002840734298118457
zaquiroc,0.004215365986640157,-0.008645684226389764,-0.01272823177504265,-0.005789539437849337,-0.0035518897233443093
xquicoh,-0.0026878560238660374,0.002421976215426286,-0.0032714603041780915,0.005872281084595609,-0.0057113919555493555
etamanel,-0.0023302282435014726,-0.0036368510179604287,-0.004814825308042233,-0.004254332865594342,0.00511308342744779
cacah,-0.004345888519686802,0.009405247768409768,0.004172359518173418,-0.005351114753465294,-0.006808864285694917
chacab,-0.0075482725076574725,0.0020659906536606033,0.0007734067908089374,0.002558451339487224,-0.0038047413928284993
chucab,-0.007650286169350188,0.0018485145025046955,0.0001394930052604526,0.0002656967819454655,0.00376573906206211
