folio,side,para_num,lb_n,found_phrase,matched_form,ana_id,score,line_text
25,1,0,9,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,vvach xbeyaoc cuq ahauab na
25,1,0,9,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,vvach xbeyaoc cuq ahauab na
25,1,0,9,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,vvach xbeyaoc cuq ahauab na
25,1,0,16,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,conohel ahauab oho chahoc ix
25,1,0,16,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,conohel ahauab oho chahoc ix
25,1,0,16,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,conohel ahauab oho chahoc ix
25,2,0,15,xbalba,xibalba,RAJAWAL_XIB'ALB'A,92.3076923076923,qaholab chi que xbalba huticab
25,2,0,15,xbalba,xibalba,JUN_WINAQ,92.3076923076923,qaholab chi que xbalba huticab
25,2,0,23,quicot,xquicot,IXOQ_AJAWAB',92.3076923076923,catahic ri qaholab que quicot
25,2,0,38,chiqui,chiquic,KIK',92.3076923076923,mal cha chanim tah chiqui
26,1,0,41,chiqui,chiquic,KIK',92.3076923076923,pon cu chiqui vach ahau aha
26,2,2,44,caquic,ca quic,KIK',92.3076923076923,caquic ch irichuvi baca micu
27,1,2,41,vholom,v holom,JUNAJPU,92.3076923076923,te puch ta xcupix vholom
27,2,0,6,vholom,v holom,JUNAJPU,92.3076923076923,colana vi vholom chuvi hom
27,2,0,8,quicot,xquicot,IXOQ_AJAWAB',92.3076923076923,came que quicot curi xibal
27,2,0,9,vholom,v holom,JUNAJPU,92.3076923076923,ba conohel rumal vholom
28,1,1,22,chiqui,chiquic,KIK',92.3076923076923,vqhaxic macu chiqui ca caxou
28,1,1,38,vholom,v holom,JUNAJPU,92.3076923076923,quitzih holom chicu vholom
28,2,0,8,chiqui,chiquic,KIK',92.3076923076923,chiqui vach na qui pa ri chibe
29,1,0,20,xquico,xquicot,IXOQ_AJAWAB',92.3076923076923,ban xibalba nimac xac xquico
29,1,0,30,ca qui,ca quic,KIK',92.3076923076923,cachopih vae ri ca qui cah
29,1,0,43,quicot,xquicot,IXOQ_AJAWAB',92.3076923076923,quicot chicut ronohel xibalba
29,2,2,40,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,quitzihoxic xoponic cuq ahauab
29,2,2,40,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,quitzihoxic xoponic cuq ahauab
29,2,2,40,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,quitzihoxic xoponic cuq ahauab
29,2,2,45,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,quecha ahauab quixqha chi
29,2,2,45,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,quecha ahauab quixqha chi
29,2,2,45,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,quecha ahauab quixqha chi
29,2,2,48,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,cut quitzih ahauab chique
29,2,2,48,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,cut quitzih ahauab chique
29,2,2,48,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,cut quitzih ahauab chique
30,1,0,3,ahaual,rahaual,RAJAWAL_XIB'ALB'A,92.3076923076923,bic cohoc apanoc chi ahaual ha
30,1,0,3,ahaual,rahaual,NAKXIT,92.3076923076923,bic cohoc apanoc chi ahaual ha
30,1,0,11,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,chique ri ahauab quehe cu ma
30,1,0,11,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,chique ri ahauab quehe cu ma
30,1,0,11,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,chique ri ahauab quehe cu ma
30,1,1,20,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,xeopon puch cuq ahauab
30,1,1,20,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,xeopon puch cuq ahauab
30,1,1,20,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,xeopon puch cuq ahauab
30,1,1,21,chiqui,chiquic,KIK',92.3076923076923,quemocho chic chiqui xule la
30,1,1,32,cacahau,acahau,KUCHUMA_KIK',92.3076923076923,cacahau ca oh chutic oc ta xe
30,2,0,14,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,e pulinac ahauab pa ha conohel
30,2,0,14,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,e pulinac ahauab pa ha conohel
30,2,0,14,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,e pulinac ahauab pa ha conohel
30,2,0,18,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,hah cut conohel ahauab xa
30,2,0,18,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,hah cut conohel ahauab xa
30,2,0,18,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,hah cut conohel ahauab xa
30,2,0,27,chiqui,chiquic,KIK',92.3076923076923,vinac xquicoloba cut chiqui
30,2,0,28,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,vach ahauab xquimaiha chi
30,2,0,28,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,vach ahauab xquimaiha chi
30,2,0,28,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,vach ahauab xquimaiha chi
30,2,0,32,quicot,xquicot,IXOQ_AJAWAB',92.3076923076923,quicot vqux taxqaztah v
30,2,0,37,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,ahauab vtzbala at ahau
30,2,0,37,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,ahauab vtzbala at ahau
30,2,0,37,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,ahauab vtzbala at ahau
31,1,0,3,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,quehe quequicot ahauab xavi
31,1,1,8,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,pu quiqux ahauab chire qui
31,1,1,8,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,pu quiqux ahauab chire qui
31,1,1,8,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,pu quiqux ahauab chire qui
31,1,1,19,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,qha cut chique ahauab are
31,1,1,19,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,qha cut chique ahauab are
31,1,1,19,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,qha cut chique ahauab are
31,2,1,6,cacahau,acahau,KUCHUMA_KIK',92.3076923076923,icabih naipuch vbi cacahau
31,2,1,11,qui ca,qui cab,K'IKAB'_KQSIETE,92.3076923076923,cu pacol re vae quirail qui ca
31,2,1,12,cacahau,acahau,KUCHUMA_KIK',92.3076923076923,xcol ri cacahau quehe cut mix
32,1,0,31,mucane,xmucane,IXMUKANE,92.3076923076923,mucane xquitic can oc hun
32,1,1,40,qui ca,qui cab,K'IKAB'_KQSIETE,92.3076923076923,vacute vviquic chic qui ca
33,1,0,22,eanaal,eanahal,JAL,92.3076923076923,v eanaal vinac xuxic ta xqui
33,1,0,26,canabe chuch,e canabe chuch,IXOQ_AJAWAB',92.3076923076923,canabe chuch cahau xaq'ana
33,1,0,29,e cahib,e caib,KA'IB'_K'AJOLAB',92.3076923076923,hau e cahib chivinac tzac xa
33,1,1,36,canabe chuch,e canabe chuch,IXOQ_AJAWAB',92.3076923076923,quibi ri canabe chuch cahau
34,1,1,6,chiqui,chiquic,KIK',92.3076923076923,quin v vach vvach vleu chiqui
34,2,0,2,ahquix,ahquixb,XA_Q'ANA_JAL,92.3076923076923,tzatz cut xuxic ri ahquix ahcahb
34,2,0,2,ahcahb,ah cahb,XA_Q'ANA_JAL,92.3076923076923,tzatz cut xuxic ri ahquix ahcahb
34,2,0,3,e cahib,e caib,KA'IB'_K'AJOLAB',92.3076923076923,mana xa e cahib chic xuxic xere
34,2,0,13,vcahau,v cahau,KUCHUMA_KIK',92.3076923076923,lam quitze vmam vcahau beleheb
34,2,0,15,vcahau,v cahau,KUCHUMA_KIK',92.3076923076923,vmam vcahau beleheb nim ha chi
34,2,0,19,vcahau,v cahau,KUCHUMA_KIK',92.3076923076923,mavi zachel vbi vmam vcahau
34,2,0,26,cumatz,cu matz,KUMATZ,92.3076923076923,cumatz tuhal ha vchabaha ah chu
34,2,0,26,cumatz,cu matz,SAQIKAS,92.3076923076923,cumatz tuhal ha vchabaha ah chu
35,1,0,13,chiqui,chiquic,KIK',92.3076923076923,vach chicah ta chiqui tzonoh qui
35,2,2,32,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,u tamub ahauab quetaan cut
35,2,2,32,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,u tamub ahauab quetaan cut
35,2,2,32,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,u tamub ahauab quetaan cut
35,2,2,32,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,u tamub ahauab quetaan cut
35,2,2,35,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,quimam quicahau ahauab xa
35,2,2,35,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,quimam quicahau ahauab xa
35,2,2,35,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,quimam quicahau ahauab xa
35,2,2,35,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,quimam quicahau ahauab xa
35,2,3,38,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,ib chi quiche xma xutzocopih
36,2,0,13,qui cab,quicab,K'IKAB'_KQSIETE,92.3076923076923,qui cab maui quechapon chic ta
37,2,0,18,vbanic,vvbanic,WUB,92.3076923076923,vbanic ta xnic vachixic rumal to
38,1,0,20,chiqui,chiquic,KIK',92.3076923076923,retal vzaquiric chiqui qux ta
38,1,0,23,cabixic,abixic,AB'IX,92.3076923076923,chila nim xol cabixic vacamic
38,1,1,36,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,xic maui zachel oxib chi quiche
39,1,0,29,cumatz,cu matz,SAQIKAS,92.3076923076923,bal tohil tzatz chi cumatz tzatz
39,2,0,19,quique,quiquel,KIK',92.3076923076923,cotah quib queqha ta quique
39,2,0,46,cacaha,cacahau,JUNAJPU,92.3076923076923,xe zaquir vi camam cacaha uva
39,2,0,46,cacaha,cacahau,JUN_JUNAJPU,92.3076923076923,xe zaquir vi camam cacaha uva
40,2,0,13,cavitz,acavitz,JAQAWITZ,92.3076923076923,cavitz ruq v cabavilal coh ba
40,2,0,28,chiqui,chiquic,KIK',92.3076923076923,ta quia vinac chiqui qoheic
41,1,0,1,cachac,ca chac,KA'IB'_K'AJOLAB',92.3076923076923,chic catz cachac avi mixquil vi quih
41,1,0,18,cavitz,acavitz,JAQAWITZ,92.3076923076923,cavitz xavi quehe caquiban ri
41,2,0,4,cavitz,acavitz,JAQAWITZ,92.3076923076923,cavitz areqochic pa ec pa tzi
42,1,0,15,chiqui,chiquic,KIK',92.3076923076923,xqohe qui cu queh chiqui huhu
42,2,0,7,cavitz,acavitz,JAQAWITZ,92.3076923076923,cavitz xeqha cut chi qui qux are
42,2,0,10,cachuc,cachuch,XA_Q'ANA_JAL,92.3076923076923,xa caziza caxiquin cachuc ca
43,1,0,7,ahcahb,ah cahb,XA_Q'ANA_JAL,92.3076923076923,cacan ri ahquixb ahcahb ma
43,1,1,44,ahcahb,ah cahb,XA_Q'ANA_JAL,92.3076923076923,xeqha ronohel vi ahquixb ahcahb
43,2,0,14,chiqui,chiquic,KIK',92.3076923076923,re curi ca vec mauiharub chiqui
43,2,0,22,ahcahb,ah cahb,XA_Q'ANA_JAL,92.3076923076923,quixb e ahcahb xeqha chicut
43,2,0,46,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,mial ahauab quixqha cu chi
43,2,0,46,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,mial ahauab quixqha cu chi
43,2,0,46,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,mial ahauab quixqha cu chi
43,2,0,46,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,mial ahauab quixqha cu chi
44,1,0,7,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,apon chivih xeqha curi ahauab
44,1,0,7,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,apon chivih xeqha curi ahauab
44,1,0,7,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,apon chivih xeqha curi ahauab
44,1,1,18,quicot,xquicot,IXOQ_AJAWAB',92.3076923076923,quicot chicuri ahauab cumal ri
44,1,1,18,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,quicot chicuri ahauab cumal ri
44,1,1,18,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,quicot chicuri ahauab cumal ri
44,1,1,18,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,quicot chicuri ahauab cumal ri
44,1,1,39,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,xeqha ahauab chique quehe
44,1,1,39,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,xeqha ahauab chique quehe
44,1,1,39,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,xeqha ahauab chique quehe
44,2,0,5,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,quech ahauab xevqhax cut ca
44,2,0,5,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,quech ahauab xevqhax cut ca
44,2,0,5,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,quech ahauab xevqhax cut ca
44,2,0,5,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,quech ahauab xevqhax cut ca
44,2,1,29,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,oponic chiquivach ahauab qui
44,2,1,45,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,macunic xquina ri ahauab ta
44,2,1,45,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,macunic xquina ri ahauab ta
44,2,1,45,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,macunic xquina ri ahauab ta
44,2,1,45,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,macunic xquina ri ahauab ta
45,1,0,9,chiqui,chiquic,KIK',92.3076923076923,chiquivach catzunon vcuxic chiqui
45,1,0,21,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,ri rumal ahauab ri xtah xpu
45,1,0,21,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,ri rumal ahauab ri xtah xpu
45,1,0,21,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,ri rumal ahauab ri xtah xpu
45,1,0,21,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,ri rumal ahauab ri xtah xpu
45,1,0,25,quicha,quichac,KA'IB'_K'AJOLAB',92.3076923076923,ta xeyahic quicha catahic chi
46,1,0,34,chiqui,chiquic,KIK',92.3076923076923,mit cate puch ta xquitzonoh chiqui
46,2,1,44,chiqui,chiquic,KIK',92.3076923076923,qui chi chicacan chiqui cab a
47,2,0,26,chiqui,chiquic,KIK',92.3076923076923,qha chire quixoquil chiqui huhu
48,1,0,10,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,vinac cumal ahauab ta xecam be
48,1,0,12,vcahau,v cahau,KUCHUMA_KIK',92.3076923076923,v mam vcahau caviquib xmacui
48,1,0,18,yub hacavitz,huyub hacavitz,JAQAWITZ_JUYUB',92.3076923076923,yub hacavitz xeyaluh chi vi qui
48,1,0,23,chiqui,chiquic,KIK',92.3076923076923,quib conohel hutaquih chiqui
48,2,0,6,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,cutah rech ahau quiche are
48,2,1,26,rahaua,rahaual,RAJAWAL_XIB'ALB'A,92.3076923076923,xpe cut retal vq'aq'al rahaua
48,2,1,26,rahaua,rahaual,NAKXIT,92.3076923076923,xpe cut retal vq'aq'al rahaua
49,1,0,1,chiqui,chiquic,KIK',92.3076923076923,quinaha xe ar tal xcutun chiqui
49,1,0,18,cacahau,acahau,KUCHUMA_KIK',92.3076923076923,enabe cacahau xeqha oher
49,2,1,9,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,zahcab chucahle oc ahauab
49,2,1,9,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,zahcab chucahle oc ahauab
49,2,1,9,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,zahcab chucahle oc ahauab
49,2,1,9,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,zahcab chucahle oc ahauab
49,2,1,22,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,hun rech ahau quiche xaqui
49,2,1,29,chiqui,chiquic,KIK',92.3076923076923,zac xa amac qo chiqui qux ma
49,2,1,43,ztayul,iztayul,ISTAYUL_KQCUATRO,92.3076923076923,hau ztayul xrah quitihoh x
50,1,0,6,chiqui,chiquic,KIK',92.3076923076923,xata quituquel xahauaric chiqui
50,1,0,26,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,nim vi rahauarem quiche ahau
50,1,0,27,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,humah enaual ahauab xma
50,1,0,39,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,yul ruq nihaibab ahau quiche
50,2,0,12,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,quiche xeqha eoxib chinamit
50,2,1,20,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,taxevl chic ahauab cotuha ruq
50,2,1,20,cotuha,c otuha,K'OTUJA_KQCUATRO,92.3076923076923,taxevl chic ahauab cotuha ruq
51,1,0,9,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,chi ahauab chi ahauab caviquib
51,1,0,11,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,cahi chiahauab ahau quiche
51,1,0,13,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,chirih huhun ahauab xavnabe
51,1,0,13,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,chirih huhun ahauab xavnabe
51,1,0,13,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,chirih huhun ahauab xavnabe
51,1,0,13,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,chirih huhun ahauab xavnabe
51,1,1,18,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,v ae cute quibi ahauab chu
51,1,2,25,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,a re cut ahauab ri chuvach
51,1,2,25,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,a re cut ahauab ri chuvach
51,1,2,25,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,a re cut ahauab ri chuvach
51,1,2,25,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,a re cut ahauab ri chuvach
51,1,2,26,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,caviquib beleheb chi ahauab
51,1,2,26,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,caviquib beleheb chi ahauab
51,1,2,26,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,caviquib beleheb chi ahauab
51,1,2,26,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,caviquib beleheb chi ahauab
51,1,3,29,ahavab,aha vab,RAJAWAL_XIB'ALB'A,92.3076923076923,a re chicu ahavab va chu
51,1,3,33,nihaib,niha ib,NIJA'IB,92.3076923076923,chuch camha nimchocoh nihaib
51,1,3,36,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,beleheb cut chi ahauab chuva
51,1,3,36,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,beleheb cut chi ahauab chuva
51,1,3,36,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,beleheb cut chi ahauab chuva
51,1,3,36,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,beleheb cut chi ahauab chuva
51,1,4,38,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,a re chicut ahau quiche va
51,1,4,39,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,vae quibi ahauab ahtzic vinac
51,1,4,39,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,vae quibi ahauab ahtzic vinac
51,1,4,39,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,vae quibi ahauab ahtzic vinac
51,1,4,39,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,vae quibi ahauab ahtzic vinac
51,1,4,42,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,hauab chuvach ahau quiche
51,2,0,12,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,cabauil cochoch naipu ahauab
51,2,0,12,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,cabauil cochoch naipu ahauab
51,2,0,12,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,cabauil cochoch naipu ahauab
51,2,0,12,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,cabauil cochoch naipu ahauab
51,2,0,20,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,tzih vi chiquech ahauab chi
51,2,0,24,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,vtabal tzih hunchi ahauab qui
51,2,0,24,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,vtabal tzih hunchi ahauab qui
51,2,0,24,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,vtabal tzih hunchi ahauab qui
51,2,0,24,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,vtabal tzih hunchi ahauab qui
51,2,0,26,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,chinim qui ealem ahauab ni
51,2,0,26,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,chinim qui ealem ahauab ni
51,2,0,26,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,chinim qui ealem ahauab ni
51,2,0,26,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,chinim qui ealem ahauab ni
51,2,0,28,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,ralaxic ahauab rumal ral v
51,2,0,34,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,rumal qui naual ahauab xe
51,2,0,36,cotuha,c otuha,K'OTUJA_KQCUATRO,92.3076923076923,hau cotuha quitzih chinaual a
51,2,0,41,cumatz,cu matz,SAQIKAS,92.3076923076923,matzil quitzih chi cumatz chuxic
52,1,0,4,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,hel ahauab amac vqoheic naual
52,1,0,4,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,hel ahauab amac vqoheic naual
52,1,0,4,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,hel ahauab amac vqoheic naual
52,1,0,4,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,hel ahauab amac vqoheic naual
52,1,0,22,ztayul,iztayul,ISTAYUL_KQCUATRO,92.3076923076923,ztayul xaqui ahauarem xu
52,2,1,30,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,quinaoh conohel ahauab taxel
52,2,1,30,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,quinaoh conohel ahauab taxel
52,2,1,30,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,quinaoh conohel ahauab taxel
52,2,1,30,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,quinaoh conohel ahauab taxel
53,1,0,12,ah zac,ah tzac,TZ'AQOL,92.3076923076923,xayabah ah zac cabaha ah ziyaha
53,1,0,23,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,vach ahau quiche are cut qui
53,1,0,37,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,naoh cumal ahauab ahpop ahpop
53,1,0,45,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,nohel ahauab taxcam quinaoh
53,1,0,45,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,nohel ahauab taxcam quinaoh
53,1,0,45,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,nohel ahauab taxcam quinaoh
53,1,0,45,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,nohel ahauab taxcam quinaoh
53,1,0,45,nohel ahauab,conohel ahauab,RAJAWAL_XIB'ALB'A,92.3076923076923,nohel ahauab taxcam quinaoh
53,2,0,1,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,quiche ta xban chaponic xquicobi
53,2,3,41,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,ahau quiche tzutuha quilna cahba
53,2,3,43,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,abah xquihiloxic rumal ahauab
53,2,3,43,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,abah xquihiloxic rumal ahauab
53,2,3,43,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,abah xquihiloxic rumal ahauab
53,2,3,43,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,abah xquihiloxic rumal ahauab
53,2,3,44,quiche,qui che,TINAMIT_K'ICHE',92.3076923076923,quiche quihilox puch rumal ro
54,1,0,6,cotuha,c otuha,K'OTUJA_KQCUATRO,92.3076923076923,ual ahau ri cucumatz cotuha na
54,1,0,7,cotuha,c otuha,K'OTUJA_KQCUATRO,92.3076923076923,ual ahau ri cucumatz cotuha na
54,1,0,14,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,naxa quehe e ahauab nimqui qo
54,1,0,31,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,heic e ahauab ruq cut mahabi
55,1,0,23,ahavab,aha vab,RAJAWAL_XIB'ALB'A,92.3076923076923,ahavab ruq quibi conohel aha
55,1,1,33,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,chi roquic ahauab ta choquic ta
55,1,1,33,ahauab,aha uab,JUN_KAME'_WUQUB'_KAME',92.3076923076923,chi roquic ahauab ta choquic ta
55,1,1,33,ahauab,ahau ab,JUN_KAME'_WUQUB'_KAME,92.3076923076923,chi roquic ahauab ta choquic ta
55,1,1,33,ahauab,aha uab,XA_Q'ANA_JAL,92.3076923076923,chi roquic ahauab ta choquic ta
55,1,1,34,ahauab,aha uab,RAJAWAL_XIB'ALB'A,92.3076923076923,chi camiheic hutac le chi ahauab
