folio,side,para_num,lb_n,found_phrase,matched_form,ana_id,score,line_text
22,1,1,23,hun hunahpu,hun hunah pu,JUNAJPU,95.65217391304348,hun hunahpu vvcubhunahpu xr
32,1,0,35,hun hunahpu,hun hunah pu,JUNAJPU,95.65217391304348,hun hunahpu vvcub hun ahpu
47,2,0,17,qui cahichal,quicahichal,XA_Q'ANA_JAL,95.65217391304348,canoc xa hun e qo vi qui cahichal
50,1,0,39,ahau quiche,ahau qui che,AJAW_K'ICHE',95.65217391304348,yul ruq nihaibab ahau quiche
56,1,11,16,a hau cotuha,ahau cotuha,K'OTUJA_KQCUATRO,95.65217391304348,a hau cotuha vhulahu le
56,1,13,20,ahau q'alel,a hau q'alel,AJAW_Q'ALEL,95.65217391304348,z d don pedro de robles ahau q'alel
56,1,17,26,a hau q'alel,ahau q'alel,AJAW_Q'ALEL,95.65217391304348,a hau q'alel camha hun vnim ha
7,1,0,3,hunhunahpu,hunhu nahpu,JUN_JUNAJPU,95.23809523809523,copih chi cut hunhunahpu
7,1,0,8,hunhunahpu,hunhu nahpu,JUN_JUNAJPU,95.23809523809523,hunhunahpu rumal ri vu
7,1,0,9,cub caquix,vcub caquix,WUQUB'_KAQIX,95.23809523809523,cub caquix ta xbe chi rochoch
9,2,0,27,cub caquix,vcub caquix,WUQUB'_KAQIX,95.23809523809523,cub caquix quehe cut qui
12,1,2,27,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,ri hunhunahpu que vqhaxic are
12,1,2,30,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,xealaxic ri hunhunahpu vvcub
12,1,2,32,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,cane are curi hunhunahpu e
12,1,2,46,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,chouen hunhunahpu cah u v qahol
12,2,0,3,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,hunhunahpu vcub hunahpu
14,2,0,28,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,xeoc cut ri hunhunahpu vv
14,2,0,35,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,cuq ri hunhunahpu vvcub hun
15,1,0,47,hunhunahpu,hun hunahpu,JUNAJPU,95.23809523809523,holom hunhunahpu xahunam
33,1,1,32,nabe vinac,naabe vinac,XA_Q'ANA_JAL,95.23809523809523,quic xebitic are nabe vinac ri
39,1,0,15,xquitinamit,quitinamit,CHI_ISMACHI',95.23809523809523,vacamic xquitinamit curi xa
45,1,0,5,chirih aha,chirih ahau,JAQAWITZ,95.23809523809523,balam vtzibal nabe oc chirih aha
46,1,0,22,qui tinamit,quitinamit,CHI_ISMACHI',95.23809523809523,chuchi qui tinamit xa tzalam
46,2,0,2,qui tinamit,quitinamit,CHI_ISMACHI',95.23809523809523,cheex puch xnicox qui tinamit
46,2,0,7,tzih vinac,atzih vinac,AJTZIK_WINAQ,95.23809523809523,tzih vinac quevachinic quitzih chi
49,2,1,46,chirihahau,chirih ahau,JAQAWITZ,95.23809523809523,moxvachibal chirihahau co
50,1,0,40,oxchob chi,ox chob chi,OXIB_RI_NIM_JA,95.23809523809523,xa oxchob chi chinamit xqohe
50,2,1,45,qui tinamit,quitinamit,CHI_ISMACHI',95.23809523809523,chuvi qui tinamit ta xe tzacat hu
51,2,0,36,hau cotuha,ahau cotuha,K'OTUJA_KQCUATRO,95.23809523809523,hau cotuha quitzih chinaual a
55,2,13,35,n im chocoh,nim chocoh,NIM_CH'OKOJ,95.23809523809523,n im chocoh cavec hun vnimha ah
56,1,11,16,hau cotuha,ahau cotuha,K'OTUJA_KQCUATRO,95.23809523809523,a hau cotuha vhulahu le
56,1,17,26,hau q'alel,ahau q'alel,AJAW_Q'ALEL,95.23809523809523,a hau q'alel camha hun vnim ha
56,1,21,30,n im chocoh,nim chocoh,NIM_CH'OKOJ,95.23809523809523,n im chocoh nihaib hun vnim ha
56,1,26,41,nabe vinac,naabe vinac,XA_Q'ANA_JAL,95.23809523809523,mahucutah nabe vinac cu
56,2,8,15,n im chocoh,nim chocoh,NIM_CH'OKOJ,95.23809523809523,n im chocoh ahau roxahau hun
56,2,11,34,mal ahauab,mial ahauab,IXTAJ_IXPUCH',95.23809523809523,mal ahauab zachinac chic xere
8,2,0,4,ixqaholab,ix qaholab,KA'IB'_K'AJOLAB',94.73684210526316,na qui pa quibano ixqaholab
10,1,0,18,ix qaholab,ixqaholab,MOTZ,94.73684210526316,ix qaholab qha curi zipac
11,1,0,3,xbalanque,xbalan que,XB'ALAMQ'E,94.73684210526316,hun ahpu xbalanque v cab v
13,2,0,23,vcub came,vvcub came,WUQUB'_KAME',94.73684210526316,vcub came ahal puh ahal cana
22,2,0,14,chimalmat,chi malmat,CHIMALMAT,94.73684210526316,chimalmat cut xbec cubul curi
31,1,1,11,vcub came,vvcub came,WUQUB'_KAME',94.73684210526316,vcub came chibana chique cohipuzu
35,2,2,28,qui balam,iqui balam,IQ'I_B'ALAM,94.73684210526316,qui balam xere cut rach queche
35,2,3,47,q ' iquina,q ' iquin,TZ'IKIN,94.73684210526316,echequeleb ah q ' iquina ha ruq
38,1,2,43,q ' iquina,q ' iquin,TZ'IKIN,94.73684210526316,mic are chicuri ah q ' iquina ha
39,2,0,8,qui balam,iqui balam,IQ'I_B'ALAM,94.73684210526316,qui balam mahabi qui varan
47,1,0,43,mahucutah,mahucu tah,MAJUK'UTAJ,94.73684210526316,quitze balam acab mahucutah
51,1,3,33,nimchocoh,nim chocoh,NIM_CH'OKOJ,94.73684210526316,chuch camha nimchocoh nihaib
53,2,2,17,ealel ahau,ealelahau,AJAW_Q'ALEL,94.73684210526316,chocoh ealel ahau ealel zaquic v
55,2,13,35,im chocoh,nim chocoh,NIM_CH'OKOJ,94.73684210526316,n im chocoh cavec hun vnimha ah
56,1,21,30,im chocoh,nim chocoh,NIM_CH'OKOJ,94.73684210526316,n im chocoh nihaib hun vnim ha
56,2,8,15,im chocoh,nim chocoh,NIM_CH'OKOJ,94.73684210526316,n im chocoh ahau roxahau hun
56,2,11,28,nimchocoh,nim chocoh,NIM_CH'OKOJ,94.73684210526316,vcab curi nimchocoh ahau chuva
1,1,1,12,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,pu vuch hun ahpu vtiu za
1,1,1,38,vpa cah vpa vleu,vpam cah vpam vleu,PAM_KAJ_UPAM_ULEW,94.11764705882352,camaxic vpa cah vpa vleu
3,2,0,27,hun ahpu,xhun ahpu,JUNAJPU,94.11764705882352,pu vuch hun ahpu vtiu qui
4,2,1,40,qui chuch,quichuch,IXB'AQIYALO,94.11764705882352,qui chuch chuvach puch qui
