hac_label,n_chunks,gloss,top_terms
7,13,came,"came, xibalba, que, vholom, vvcub, quic, hunahpu"
6,9,catit,"catit, atit, batz, chouen, catecut, hun, xbalanque"
3,9,tohil,"tohil, amac, balam, quitze, acab, aulix, mahucutah"
5,8,zipacna,"zipacna, caquix, qaholab, in, nu, vvcub, cahoc"
1,8,ahpop,"ahpop, ahau, quiche, camha, ahauarem, chinamit, tinamit"
2,7,chila,"chila, quih, relebal, tamub, balam, vzaquiric, ilocab"
4,6,cah,"cah, alom, qaholom, bit, tzacol, bitol, tzac"
