hac_label,n_chunks,gloss,top_terms
1,17,came,"came, xibalba, zamahel, quic, vholom, xqha, ahpu"
6,15,balam,"balam, tohil, quitze, amac, mahucutah, acab, iqui"
4,9,cah,"cah, bit, qaholom, alom, bitol, tzacol, zaquil"
3,8,caquix,"caquix, qaholab, atit, vvcub, caib, cahoc, huiub"
5,8,ahpop,"ahpop, ahau, quiche, tinamit, ahauab, chinamit, camha"
2,3,batz,"batz, catit, catz, chouen, choven, atit, che"
