folio_num,side,lb_num,para_num,line_str
1,verso,38,5,"bizonic, xerico quib, xquicuch"
1,verso,39,5,"qui tzih, qui naoh, ta xcalah"
1,verso,40,5,ta xquiquxlaah quib xe vi zac ta
1,verso,41,5,"xcalah puch vinac, ta xqui-"
1,verso,42,5,naohih v tzuquic v vinaqui-
1,verso,43,5,"ric che, caam, v tzucuquic pu-"
1,verso,44,5,ch qazlem vinaquirem chi
1,verso,45,5,"queεumal, chi aεabal, rumal"
1,verso,46,5,"ri vqux cah huracan vbi,"
2,recto,1,5,"caculha huracan nabe, vcab"
2,recto,2,5,"cut chipa caculha, roxchic"
2,recto,3,5,raxa caculha chi e cu oxib
2,recto,4,5,rÿ vqux cah ta xeul cuq ri
2,recto,5,5,"tepeu qucumatz, ta xnaohi-"
2,recto,6,5,"xic zac qazlem, hupacha ta cha"
2,recto,7,5,"uaxoc ta caquiro puch, apa-"
2,recto,8,5,chinac tzucul cool ta chuxoc
2,recto,9,5,quixnohintah. areri ha chel
2,recto,10,5,"tah chihamatah, chivinaquir"
2,recto,11,5,va vleu vlaquel ta curib cha-
2,recto,12,5,"ta cut, ta chauaxoc ta zaquiroc,"
2,recto,13,5,"cah vleu, ma ta cut v quihila-"
2,recto,14,5,bal vcalaibal rÿ catzac ca-
2,recto,15,5,bit ta vinaquiroc vinac tzac
2,recto,16,5,vinac bit xeqha cut ta xvi-
2,recto,17,5,naquir cu ri vleu cumal; xa-
2,recto,18,5,quitzih xqohe vi v vinaqui-
2,recto,19,5,"ric chivinaquir vleu, vleuh"
2,recto,20,5,xecha libah chi xvinaquiric;
2,recto,21,5,queheri xa tzutz xa mayui v
2,recto,22,5,vinaquiric chic u pupuheic
2,recto,23,5,ta xtape pa ha ri huiub hu-
2,recto,24,5,zuc nimac huyub xuxic xa-
2,recto,25,5,qui naual xa qui puz xbana-
2,recto,26,5,tah vi vnaohixic huyub ta-
2,recto,27,5,"cah, huzuc rach vinaquiric"
2,recto,28,5,"v quizizil, v pachahil v vach."
2,recto,29,5,quehe cut xquicot vi ri qu-
2,recto,30,5,"cumatz, vtz mi xatulic at vqux"
2,recto,31,5,"cah, at huracan, at pu chipi-"
2,recto,32,5,"caculha, raxa caculha, xchu-"
2,recto,33,5,tzinic catzac cabit xeqha cut.
2,recto,34,5,nabe cut xvinaquir vleuh
2,recto,35,5,"huyub tacah, xchobochox vbe"
2,recto,36,5,ha xbiniheic colehe racan
2,recto,37,5,"xol tac huyub, xa chobol chic"
2,recto,38,5,"xeqohe vi ha, ta xcutunihe-"
2,recto,39,5,ic nimac huyub. quehe cut
2,recto,40,5,v vinaquiric vlew ri ta xvi-
2,recto,41,5,naquiric cumal ri vqux cah
2,recto,42,5,vqux vleu quevchaxic rÿ
2,recto,43,5,cute nabe xquinohih xcolo
2,recto,44,5,"vi ri cah, xcolo nai puch v-"
2,recto,45,5,leuh chupan ha. quehe cut
2,recto,46,5,vnaohixic ri ta xquinohih ta
2,recto,47,5,xquibizoh rutzinic vbana
2,verso,1,5,tahic cumal.
2,verso,2,6,Ta xquinohih chic vchicop-
2,verso,3,6,il huyub chahal re quichelah
2,verso,4,6,"ronohel, vvinaquil huyub ri"
2,verso,5,6,"quieh, tziquin, qoh, balam, cu-"
2,verso,6,6,"matz, zochoh, canti chahal ca-"
2,verso,7,6,"am cacha ri alom, qaholom"
2,verso,8,6,"xa pa chilolinic, ma xa on chi-"
2,verso,9,6,"tzininic vxeche, caam, cate vtz"
2,verso,10,6,chiqohe chahal re xeqha cut
2,verso,11,6,"ta xquinohih, xqhitzihoh puch"
2,verso,12,6,huzu cu xvinaquir queh tziquin
2,verso,13,6,ta zquizipah cut rochoch qu-
2,verso,14,6,eh tziquin. at queh pa beyaa
2,verso,15,6,"pa zivan catvar vi, varal cat"
2,verso,16,6,"qohe vi pa quim pa zacul, pa"
2,verso,17,6,"quechelah, quipoco vi ivib, ca-"
2,verso,18,6,"hcah ibinibal, ychacabal chu-"
2,verso,19,6,xic xevqhaxic ta xquichic cut
2,verso,20,6,"cochoch chuti tziquin, nima"
2,verso,21,6,tziquin. ixix tziquin chuvi
2,verso,22,6,"che, chuvi caam quixochoch-"
2,verso,23,6,"in vi, quixhain vi, chiri quix-"
2,verso,24,6,"poc vi, quixquiritah vi chuε-"
2,verso,25,6,"ab che, chuεab caam xevqh-"
2,verso,26,6,axic quieh tziquin ta  xquiba-
2,verso,27,6,no quibanoh ronohel xuca-
2,verso,28,6,"mo v varabal, v yacalibal"
2,verso,29,6,quehe cut cochoch vi chicop
2,verso,30,6,"ri vleu xuyao alom, qaho-"
2,verso,31,6,lom. xutzininaca chic ronohel
2,verso,32,6,ri queh tziquin
2,verso,33,7,Ta xevqhax chicut rÿ queh
2,verso,34,7,tziquin rumal tzacol bitol a-
2,verso,35,7,"lom, qaholom. quixqhauoc,"
2,verso,36,7,quixziquinoc mi xyonoliqui-
2,verso,37,7,"nic, mi xziquinic, quixqha va he"
2,verso,38,7,"tah chi huhunal, chu hutac chobil"
2,verso,39,7,"chi hutac molahil, xevqhaxic"
2,verso,40,7,"ri queh tziquin qoh, balam"
2,verso,41,7,"cumatz, chibÿh na cut ri ca bi"
2,verso,42,7,"cohicaharizah, oh ichuch, oh"
2,verso,43,7,"icahau quiqha va na cut, hu-"
2,verso,44,7,"racan, chipi caculha, raxa"
2,verso,45,7,"caculha, vqux cah, vqux vle-"
2,verso,46,7,"uh, tzacol, bitol, alom qaholom"
3,recto,1,7,"quixqhaoc cohiziquih, cohiqui-"
3,recto,2,7,"hila, xevqhaxic. macu xutzinic"
3,recto,3,7,"xeqhauic, queheta ri vinac, xa"
3,recto,4,7,"quevachelahic, xa quecaralahic"
3,recto,5,7,xa quevohonic; mavi xvachinic
3,recto,6,7,"v vach qui qhabal, halahoh xco-"
3,recto,7,7,quibeh chi qui huhunal. ta xqui
3,recto,8,7,ta ri tzacol bitol mavi mi xu-
3,recto,9,7,"tzinic, mi xeqhauic, xeqha chic"
3,recto,10,7,chi qui bil quib maui mi xutzin v
3,recto,11,7,bixic cabi rumal oh cah tzac
3,recto,12,7,oh pu cah bit mavi vtz xqha
3,recto,13,7,chic chiquibil quib ri alom qa-
3,recto,14,7,"holom, xevqhax cut xa"
3,recto,15,7,quixhalatahic rumal maui
3,recto,16,7,mi xutzinic maui mi xixqha-
3,recto,17,7,"vic, mi cu xcahal catzih iv-"
3,recto,18,7,"echa i cuxun, ivarabal i ia-"
3,recto,19,7,calibal xivech vi mi xeuxic
3,recto,20,7,zivan quechelah rumal ma-
3,recto,21,7,vi xutzin caquihiloxic mavi
3,recto,22,7,ix ziquÿ que ca qo couilo qui
3,recto,23,7,hilonel nimanel chi caban chic
3,recto,24,7,xa chicam i patan xa i tiohil
3,recto,25,7,chica chic ta chuxoc. are cut
3,recto,26,7,"chipatanih, xevqhaxic ta xe"
3,recto,27,7,pixabaxic chuti chicop nima
3,recto,28,7,chicop qo chuvach vleu. ta
3,recto,29,7,xrah cu quitih chic qui quih
3,recto,30,7,"xrah quitihtobeh chic, xrah"
3,recto,31,7,pu quinuc chic quihilabal
3,recto,32,7,xma xquita vi qui qhabal
3,recto,33,7,chiquibil quib. xma xnaua-
3,recto,34,7,"chir vi cut, xma xbanatah vi"
3,recto,35,7,"puch, quehe cut xechacatah"
3,recto,36,7,"vi quitiohil, xquipatanih xe"
3,recto,37,7,"tÿc, xecamizaxic, ri chicop qo"
3,recto,38,7,"varal chuvach vleuh, que"
3,recto,39,7,he cut v tihtobexic chic vinac
3,recto,40,7,tzac vinac bit cumal tzacol
3,recto,41,7,"bitol alom, qaholom xa ca"
3,recto,42,7,"tiha chic, mi xyopih ravaxic"
3,recto,43,7,v zaquiric cabana tzucul que
3,recto,44,7,cool que hupacha ta coh
3,recto,45,7,"ziquixoc, ta cohnabax puch"
3,recto,46,7,chuvach vleuh. mi xcatiho
3,recto,47,7,"chirech ri nabe ca tzac, ca"
3,verso,1,7,bit maui mi xutzinic ca quihilo-
3,verso,2,7,"xic, ca calaixic puch cumal, que-"
3,verso,3,7,he cut catiha vi vbanic ah nim
3,verso,4,7,"ah xob tzucul, cool xeqha ta v-"
3,verso,5,7,"tzaquic cut vbanic puch, vle-"
3,verso,6,7,v xocol vtiohil xquibano ma
3,verso,7,7,"cu vtz xquilo, xa chiyohoma-"
3,verso,8,7,"nic, xa tzubulic, xa nebelic, xa"
3,verso,9,7,"lubanic, xa vulanic, xa pu chi-"
3,verso,10,7,"vmaric, maui chicolol vholo"
