folio|side|para|lb|lb_n|lb_str|lb_str_plain
1|1|2|36|36|xucutaxic retaxic, vcah|xucutaxic retaxic, vcah
1|1|2|37|37|cheexic, vmeh camaxic, vyuc<pc> –</pc>|cheexic, vmeh camaxic, vyuc–
1|1|2|38|38|camaxic vpa cah, vpa vleu|camaxic vpa cah, vpa vleu
1|1|2|39|39|cah ꜩuc, cah xu cut chuqha<pc> –</pc>|cah tzuc, cah xu cut chuqha–
1|1|2|40|40|"xic rumal ri <rs ana=""TZ'AQOL"">ꜩacol</rs> <rs ana=""B'ITOL"">bitol</rs>"|xic rumal ri tzacol bitol
1|1|2|41|41|"<rs ana=""ALOM"">vchuch</rs>, <rs ana=""K'AJOLOM"">vcahau</rs> qazlem vi<pc> –</pc>"|vchuch, vcahau qazlem vi–
1|1|2|42|42|naquirem, abanel, quxla<pc> –</pc>|naquirem, abanel, quxla–
1|1|2|43|43|nel, alay rech, quxlaay|nel, alay rech, quxlaay
1|1|2|44|44|rech zaquil amaquil, za<pc> –</pc>|rech zaquil amaquil, za–
1|1|2|45|45|quil al, zaquil qahol, ah<pc> –</pc>|quil al, zaquil qahol, ah–
1|1|2|46|46|biz, ahnaoh chirech ronohel|biz, ahnaoh chirech ronohel
1|2|2|1|1|"ato qol vi cah vleu cho <rs ana=""PALO"">palo</rs>"|ato qol vi cah vleu cho palo
1|2|3|2|2|"<hi rend=""large"">ARE V ꜨIHOXIC VAE</hi>"|ARE V TzIHOXIC VAE
1|2|3|3|3|Cacaꜩinin oc, caca chamam oc|Cacatzinin oc, caca chamam oc
1|2|3|4|4|caꜩinonic cacazilanic, caca|catzinonic cacazilanic, caca
1|2|3|5|5|lolinic, catolona puch v|lolinic, catolona puch v
1|2|3|6|6|pa cah.|pa cah.
1|2|4|7|7|"<hi rend=""large"">V</hi>ae cute nabe ꜩih nabe vch<pc> –</pc>"|Vae cute nabe tzih nabe vch–
1|2|4|8|8|an. mahabi oꜫ hun vinac, hun|an. mahabi oq' hun vinac, hun
1|2|4|9|9|"chicop, <rs ana=""TZ'IKIN"">ꜩiquin</rs>, <rs ana=""KAR"">car</rs>, <rs ana=""TAP"">tap</rs>, che"|chicop, tziquin, car, tap, che
1|2|4|10|10|abah, hul, zivan, quim, qui<pc> –</pc>|abah, hul, zivan, quim, qui–
1|2|4|11|11|chelah; xa v tu quel cah qolic.|chelah; xa v tu quel cah qolic.
1|2|4|12|12|maui calah v vach vleu; xa|maui calah v vach vleu; xa
1|2|4|13|13|"vtuquel remanic <rs ana=""PALO"">palo</rs> vpa<pc> –</pc>"|vtuquel remanic palo vpa–
1|2|4|14|14|cah, ronohel, mahabi na quila|cah, ronohel, mahabi na quila
1|2|4|15|15|camolobic, cacoꜩobic, hun ta|camolobic, cacotzobic, hun ta
1|2|4|16|16|cazilobic camal cabantah, ca|cazilobic camal cabantah, ca
1|2|4|17|17|coꜩ cabantah pa cah. xma qo|cotz cabantah pa cah. xma qo
1|2|4|18|18|vinaquila qolic, yacalic; xa|vinaquila qolic, yacalic; xa
1|2|4|19|19|"remanic ha, xa lianic <rs ana=""PALO"">palo</rs>, xa"|remanic ha, xa lianic palo, xa
1|2|4|20|20|vtuquel remanic, xma qo vi na|vtuquel remanic, xma qo vi na
1|2|4|21|21|quilalo qolic; xa cachamanic|quilalo qolic; xa cachamanic
1|2|4|22|22|caꜩininic chi queꜫum, chi aꜫab,|catzininic chi queq'um, chi aq'ab,
1|2|4|23|23|"xa vtuquel ri <rs ana=""TZ'AQOL"">ꜩacol</rs>, <rs ana=""B'ITOL"">bitol</rs>, <rs ana=""TEPEW_Q'UKUMATZ"">te<pc> –</pc>"|xa vtuquel ri tzacol, bitol, te–
1|2|4|24|24|"peu, gucumaꜩ</rs> e <rs ana=""ALOM"">alom</rs>, e <rs ana=""K'AJOLOM"">qaho<pc> –</pc>"|peu, gucumatz e alom, e qaho–
1|2|4|25|25|lom</rs> qo pa ha zactetoh e qovi|lom qo pa ha zactetoh e qovi
1|2|4|26|26|e mucutal pa cuc, pa raxon|e mucutal pa cuc, pa raxon
1|2|4|27|27|"are vbinaam viri <rs ana=""Q'UKUMATZ"">gucumaꜩ</rs>"|are vbinaam viri gucumatz
1|2|4|28|28|e nimac etamanel, e nimac ah<pc> –</pc>|e nimac etamanel, e nimac ah–
