entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
TINAMIT_K'ICHE',colop,0,tinamit K'iche',2,exact,Tinamit K'iche',topónimo
JUNAJPU_WUCH,colop,0,"Junajpu Wuch',",2,exact,Junajpu Wuch',deidad
JUNAJPU_UTIW,colop,0,"Junajpu Utiw,",2,exact,Junajpu Utiw,deidad
TEPEW_Q'UKUMATZ,colop,0,"Tepew, Q'ukumatz,",2,exact,Tepew Q'ukumatz,deidad
UK'U'X_CHO,colop,0,"Uk'ux Cho,",2,fuzzy,Uk'u'x Cho,deidad
UK'U'X_PALO,colop,0,"Uk'ux Palo,",2,fuzzy,Uk'u'x Palo,deidad
AJRAXA_LAQ,colop,0,"Ajraxa Laq,",2,exact,Ajraxa Laq,deidad
AJRAXA_TZEL,colop,0,Ajraxa Tzel.,2,exact,Ajraxa Tzel,deidad
TZ'AQOL,colop,0,"Tz'aqol,",1,exact,Tz'aqol,deidad
B'ITOL,colop,0,"B'itol,",1,exact,B'itol,deidad
ALOM,colop,0,"Alom,",1,exact,Alom,deidad
K'AJOLOM,colop,0,K'ajolom,1,exact,K'ajolom,deidad
AQ,colop,0,Aq,1,exact,Aq,animal
SIS,colop,0,Sis,1,exact,Sis,animal
IXMUKANE,colop,0,"Iyom,",1,exact,Ixmukane,deidad
XPIYAKOK,colop,0,"Mamom,",1,exact,Xpiyakok,deidad
XPIYAKOK,colop,0,"Xpiyakok,",1,exact,Xpiyakok,deidad
IXMUKANE,colop,0,"Matzanel,",1,exact,Ixmukane,deidad
IXMUKANE,colop,0,"Iyom,",1,exact,Ixmukane,deidad
XPIYAKOK,colop,0,Mamom.,1,exact,Xpiyakok,deidad
DIOS,colop,0,"Dios,",1,exact,Dios,deidad
PALO,colop,0,palo,1,exact,Palo,lugar
KAJ,colop,0,"kaj,",1,exact,Kaj,objeto
KAJ,colop,0,"kaj,",1,exact,Kaj,objeto
KAJ,colop,0,kaj,1,exact,Kaj,objeto
KAJ,colop,0,kaj,1,exact,Kaj,objeto
TZ'AQOL,colop,0,"Tz'aqol,",1,exact,Tz'aqol,deidad
B'ITOL,colop,0,B'itol;,1,exact,B'itol,deidad
AJB'IS,colop,0,"Ajb'is,",1,exact,Ajb'is,deidad
KAQULJA_JUN_RAQAN,colop,1,"Kaqulja Jun Raqan,",3,exact,Kaqulja Jun Raqan,deidad
JUN_WINAQ,colop,1,"jun winaq,",2,exact,jun winaq,persona
