entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
POPOL_WUJ,ajtzibab,0,POPOL WUJ,2,exact,Popol Wuj,objeto
TINAMIT_K'ICHE',ajtzibab,2,"TINAMIT K'ICHE',",2,exact,Tinamit K'iche',topónimo
TINAMIT_K'ICHE',ajtzibab,12,tinamit K'iche',2,exact,Tinamit K'iche',topónimo
TZ'AQOL,ajtzibab,16,tz'aqol,1,exact,Tz'aqol,deidad
B'ITOL,ajtzibab,16,b'itol,1,exact,B'itol,deidad
ALOM,ajtzibab,17,alom,1,exact,Alom,deidad
K'AJOLOM,ajtzibab,17,k'ajolom,1,exact,K'ajolom,deidad
AJPU,ajtzibab,18,Ajpu,1,exact,Ajpu,oficio
WUCH',ajtzibab,18,"Wuch',",1,exact,Wuch',animal
AJPU,ajtzibab,18,Ajpu,1,exact,Ajpu,oficio
UTIW,ajtzibab,18,Utiw,1,exact,Utiw,animal
AQ,ajtzibab,19,"Aq,",1,exact,Aq,animal
TEPEW_Q'UKUMATZ,ajtzibab,20,Tepew Q'ukumatz,2,exact,Tepew Q'ukumatz,deidad
UK'U'X_CHO,ajtzibab,21,uk'u'x cho,2,exact,Uk'u'x Cho,deidad
UK'U'X_PALO,ajtzibab,21,uk'u'x palo,2,exact,Uk'u'x Palo,deidad
IXMUKANE,ajtzibab,23,iyom,1,exact,Ixmukane,deidad
XPIYAKOK,ajtzibab,24,Xpiyakok,1,exact,Xpiyakok,deidad
IXMUKANE,ajtzibab,25,matzanel,1,exact,Ixmukane,deidad
IXMUKANE,ajtzibab,26,iyom,1,exact,Ixmukane,deidad
XPIYAKOK,ajtzibab,26,mamom,1,exact,Xpiyakok,deidad
DIOS,ajtzibab,30,dios,1,exact,Dios,deidad
PALO,ajtzibab,34,palo.,1,exact,Palo,lugar
KAJ,ajtzibab,40,kaj,1,exact,Kaj,objeto
KAJ,ajtzibab,43,kaj,1,exact,Kaj,objeto
TZ'AQOL,ajtzibab,45,tz'aqol,1,exact,Tz'aqol,deidad
B'ITOL,ajtzibab,45,b'itol,1,exact,B'itol,deidad
AJB'IS,ajtzibab,49,ajb'is,1,exact,Ajb'is,deidad
KAJ,ajtzibab,50,kaj,1,exact,Kaj,objeto
CH'O,ajtzibab,50,cho,1,exact,Ch'o,animal
PALO,ajtzibab,50,palo.,1,exact,Palo,lugar
KA',ajtzibab,51,k'a,1,fuzzy,Ka',objeto
KA',ajtzibab,51,k'a,1,fuzzy,Ka',objeto
KA',ajtzibab,53,k'a,1,fuzzy,Ka',objeto
TZ'IKIN,ajtzibab,56,"tz'ikin,",1,exact,Tz'ikin,animal
KAR,ajtzibab,57,kar,1,exact,Kar,animal
TAP,ajtzibab,57,"tap,",1,exact,Tap,animal
CHE',ajtzibab,58,che',1,exact,Che',objeto
K'IM,ajtzibab,60,k'im,1,exact,K'im,objeto
KAJ,ajtzibab,61,kaj,1,exact,Kaj,objeto
PALO,ajtzibab,63,palo,1,exact,Palo,lugar
KAJ,ajtzibab,63,kaj,1,exact,Kaj,objeto
PALO,ajtzibab,69,palo,1,exact,Palo,lugar
TEPEW_Q'UKUMATZ,ajtzibab,74,Tepew Q'ukumatz,2,exact,Tepew Q'ukumatz,deidad
TZ'AQOL,ajtzibab,74,tz'aqol,1,exact,Tz'aqol,deidad
B'ITOL,ajtzibab,74,b'itol,1,exact,B'itol,deidad
ALOM,ajtzibab,75,alom,1,exact,Alom,deidad
K'AJOLOM,ajtzibab,75,k'ajolom,1,exact,K'ajolom,deidad
Q'UKUMATZ,ajtzibab,78,Q'ukumatz,1,exact,Q'ukumatz,deidad
KAJ,ajtzibab,80,kaj,1,exact,Kaj,objeto
UK'U'X_KAJ,ajtzibab,81,uk'u'x kaj,2,exact,Uk'u'x Kaj,deidad
TEPEW_Q'UKUMATZ,ajtzibab,84,Tepew Q'ukumatz,2,exact,Tepew Q'ukumatz,deidad
TEPEW_Q'UKUMATZ,ajtzibab,86,Tepew Q'ukumatz,2,exact,Tepew Q'ukumatz,deidad
CHE',ajtzibab,94,che',1,exact,Che',objeto
UK'U'X_KAJ,ajtzibab,97,uk'u'x kaj,2,exact,Uk'u'x Kaj,deidad
JUN_RAQAN,ajtzibab,97,Jun Raqan,2,exact,Jun Raqan,deidad
UK'U'X_KAJ,ajtzibab,101,uk'u'x kaj,2,exact,Uk'u'x Kaj,deidad
TEPEW_Q'UKUMATZ,ajtzibab,102,Tepew Q'ukumatz,2,exact,Tepew Q'ukumatz,deidad
Q'OL,ajtzibab,105,q'o'l,1,fuzzy,Q'ol,objeto
WA,ajtzibab,109,wa,1,exact,Wa,objeto
KAJ,ajtzibab,112,kaj,1,exact,Kaj,objeto
Q'UKUMATZ,ajtzibab,128,Q'ukumatz,1,exact,Q'ukumatz,deidad
UK'U'X_KAJ,ajtzibab,129,uk'u'x kaj,2,exact,Uk'u'x Kaj,deidad
UK'U'X_KAJ_UK'U'X_ULEW,ajtzibab,139,uk'u'x kaj uk'u'x ulew,4,exact,Uk'u'x Kaj Uk'u'x Ulew,grupo de deidades
TZ'IKIN,ajtzibab,149,"tz'ikin,",1,exact,Tz'ikin,animal
KOJ,ajtzibab,150,koj,1,exact,Koj,animal
B'ALAM,ajtzibab,150,"b'alam,",1,exact,B'alam,animal
KUMATZ,ajtzibab,151,kumatz,1,exact,Kumatz,animal
SOCHOJ,ajtzibab,151,sochoj,1,exact,Sochoj,animal
K'ANTI',ajtzibab,151,"k'anti',",1,exact,K'anti',animal
ALOM,ajtzibab,153,alom,1,exact,Alom,deidad
K'AJOLOM,ajtzibab,153,k'ajolom,1,exact,K'ajolom,deidad
CHE',ajtzibab,155,che',1,exact,Che',objeto
KA',ajtzibab,156,k'a,1,fuzzy,Ka',objeto
KEJ,ajtzibab,159,kej,1,exact,Kej,animal
TZ'IKIN,ajtzibab,159,tz'ikin,1,exact,Tz'ikin,animal
KEJ,ajtzibab,160,kej,1,exact,Kej,animal
TZ'IKIN,ajtzibab,160,tz'ikin.,1,exact,Tz'ikin,animal
KEJ,ajtzibab,161,kej,1,exact,Kej,animal
K'IM,ajtzibab,164,k'im,1,exact,K'im,objeto
TZ'IKIN,ajtzibab,169,tz'ikin,1,exact,Tz'ikin,animal
KEJ,ajtzibab,173,kej,1,exact,Kej,animal
TZ'IKIN,ajtzibab,173,tz'ikin,1,exact,Tz'ikin,animal
ALOM,ajtzibab,177,alom,1,exact,Alom,deidad
K'AJOLOM,ajtzibab,177,k'ajolom.,1,exact,K'ajolom,deidad
KEJ,ajtzibab,178,kej,1,exact,Kej,animal
TZ'IKIN,ajtzibab,178,tz'ikin,1,exact,Tz'ikin,animal
KEJ,ajtzibab,179,kej,1,exact,Kej,animal
TZ'IKIN,ajtzibab,179,tz'ikin,1,exact,Tz'ikin,animal
