entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
OXIB_RI_NIM_JA,tedlock,1.0,Quiche .,2,exact,Oxib' ri nim ja,linaje
Q'UMARKAJ,tedlock,1.0,ANCIENT,1,exact,Q'umarkaj,topónimo
OXIB_RI_NIM_JA,tedlock,1.1,"Quiche ,",2,exact,Oxib' ri nim ja,linaje
Q'UMARKAJ,tedlock,1.1,Ancient,1,exact,Q'umarkaj,topónimo
OXIB_RI_NIM_JA,tedlock,1.1,Quiche,1,exact,Oxib' ri nim ja,linaje
JUNAJPU_WUCH,tedlock,1.2,", Hunahpu Possum ,",4,exact,Junajpu Wuch',deidad
SAQI_NIM_AQ_SIS,tedlock,1.2,", Great White Peccary",4,exact,Saqi Nim Aq Sis,deidad
IXMUKANE,tedlock,1.2,", Xmucane ,",3,exact,Ixmukane,deidad
JUNAJPU_UTIW,tedlock,1.2,Hunahpu Coyote,2,exact,Junajpu Utiw,deidad
KUMATZ,tedlock,1.2,"Serpent ,",2,exact,Kumatz,animal
PALO,tedlock,1.2,"Sea ,",2,exact,Palo,lugar
IXMUKANE,tedlock,1.2,"midwife ,",2,exact,Ixmukane,deidad
IXMUKANE,tedlock,1.2,"midwife ,",2,exact,Ixmukane,deidad
OXIB_RI_NIM_JA,tedlock,1.2,Quiche .,2,exact,Oxib' ri nim ja,linaje
XPIYAKOK,tedlock,1.2,Xpiyacoc,1,exact,Xpiyakok,deidad
DIOS,tedlock,1.4,"God ,",2,exact,Dios,deidad
PALO,tedlock,1.5,"Sea , """,3,exact,Palo,lugar
MAQ'A,tedlock,1.5,Dawn,1,exact,Maq'a,topónimo
POPOL_WUJ,tedlock,1.6,original book,2,exact,Popol Wuj,objeto
Q'UMARKAJ,tedlock,1.6,ancient,1,exact,Q'umarkaj,topónimo
PALO,tedlock,1.7,- sea .,3,exact,Palo,lugar
TZ'IKIN,tedlock,1.9,", bird ,",3,exact,Tz'ikin,animal
TAP,tedlock,1.9,", crab ,",3,exact,Tap,animal
CHE',tedlock,1.9,"tree ,",2,exact,Che',objeto
JAQAWITZ_JUYUB,tedlock,1.9,first,1,exact,Jaqawitz Juyub',topónimo
JAQAWITZ_JUYUB,tedlock,1.9,first,1,exact,Jaqawitz Juyub',topónimo
KAR,tedlock,1.9,fish,1,exact,Kar,animal
PALO,tedlock,1.11,sea,1,exact,Palo,lugar
PALO,tedlock,1.14,"sea ,",2,exact,Palo,lugar
KUMATZ,tedlock,1.16,"Serpent ,",2,exact,Kumatz,animal
KUMATZ,tedlock,1.18,"Serpent . """,3,exact,Kumatz,animal
UK'U'X_KAJ,tedlock,1.20,Heart of Sky .,4,exact,Uk'u'x Kaj,deidad
DIOS,tedlock,1.21,"god ,",2,exact,Dios,deidad
KUMATZ,tedlock,1.22,"Serpent ,",2,exact,Kumatz,animal
MAQ'A,tedlock,1.22,dawn .,2,exact,Maq'a,topónimo
KUMATZ,tedlock,1.23,"Serpent ,",2,exact,Kumatz,animal
UK'U'X_KAJ,tedlock,1.25,"Heart of Sky ,",4,exact,Uk'u'x Kaj,deidad
MAQ'A,tedlock,1.25,"dawn ,",2,exact,Maq'a,topónimo
JAQAWITZ_JUYUB,tedlock,1.26,"first ,",2,exact,Jaqawitz Juyub',topónimo
UK'U'X_KAJ,tedlock,1.27,"Heart of Sky ,",4,exact,Uk'u'x Kaj,deidad
KUMATZ,tedlock,1.27,"Serpent ,",2,exact,Kumatz,animal
MAQ'A,tedlock,1.27,dawn ?,2,exact,Maq'a,topónimo
MAQ'A,tedlock,1.27,dawn,1,exact,Maq'a,topónimo
UK'U'X_KAJ,tedlock,1.36,", Heart of Sky",4,exact,Uk'u'x Kaj,deidad
KUMATZ,tedlock,1.36,Serpent,1,exact,Kumatz,animal
JAQAWITZ_JUYUB,tedlock,1.38,"first ,",2,exact,Jaqawitz Juyub',topónimo
CHI_CHAQ',tedlock,1.39,wound,1,exact,Chi Chaq',topónimo
UK'U'X_KAJ,tedlock,1.41,"Heart of Sky ,",4,exact,Uk'u'x Kaj,deidad
UK'U'X_ULEW,tedlock,1.41,"Heart of Earth ,",4,exact,Uk'u'x Ulew,deidad
JAQAWITZ_JUYUB,tedlock,1.41,first,1,exact,Jaqawitz Juyub',topónimo
KEJ,tedlock,1.44,"deer ,",2,exact,Kej,animal
KEJ,tedlock,1.48,", deer",2,exact,Kej,animal
KEJ,tedlock,1.49,deer :,2,exact,Kej,animal
KEJ,tedlock,1.49,deer,1,exact,Kej,animal
KEJ,tedlock,1.53,deer,1,exact,Kej,animal
KEJ,tedlock,1.56,deer,1,exact,Kej,animal
KEJ,tedlock,1.57,DEER,1,exact,Kej,animal
KOJ,tedlock,1.59,", puma ,",3,exact,Koj,animal
KUMATZ,tedlock,1.59,", serpent .",3,exact,Kumatz,animal
KEJ,tedlock,1.59,"deer ,",2,exact,Kej,animal
B'ALAM,tedlock,1.59,jaguar,1,exact,B'alam,animal
US,tedlock,1.60,us .,2,exact,Us,animal
UK'U'X_KAJ,tedlock,1.62,", Heart of Sky",4,exact,Uk'u'x Kaj,deidad
UK'U'X_ULEW,tedlock,1.62,", Heart of Earth",4,exact,Uk'u'x Ulew,deidad
US,tedlock,1.62,"us ,",2,exact,Us,animal
