entity_id,edition,ohco_path,ngram,ngram_len,match_type,label,type
OXIB_RI_NIM_JA,ximenez,0,Quiche,1,exact,Oxib' ri nim ja,linaje
JUNAJPU_UTIW,ximenez,1,"hun ahpu vtiu,",3,exact,Junajpu Utiw,deidad
TINAMIT_K'ICHE',ximenez,1,"tinamit quiche,",2,exact,Tinamit K'iche',topónimo
TINAMIT_K'ICHE',ximenez,1,quiche vinac;,2,exact,Tinamit K'iche',topónimo
JUNAJPU,ximenez,1,hun ahpu,2,exact,Junajpu,deidad
TEPEW_Q'UKUMATZ,ximenez,1,"tepeu, qucumatz",2,exact,Tepew Q'ukumatz,deidad
UK'U'X_CHO,ximenez,1,"vqux cho,",2,exact,Uk'u'x Cho,deidad
UK'U'X_PALO,ximenez,1,"vqux palo,",2,exact,Uk'u'x Palo,deidad
AJRAXA_TZEL,ximenez,1,ah raxatzel,2,exact,Ajraxa Tzel,deidad
IXMUKANE,ximenez,1,"camul yiom,",2,exact,Ixmukane,deidad
XPIYAKOK,ximenez,1,camul mamom,2,exact,Xpiyakok,deidad
TINAMIT_K'ICHE',ximenez,1,pa quiche,2,exact,Tinamit K'iche',topónimo
POPOL_WUJ,ximenez,1,popo vvh.,2,exact,Popol Wuj,objeto
KA'IB'_K'AJOLAB',ximenez,1,vi,1,exact,KA'IB'_K'AJOLAB',
KA'IB'_K'AJOLAB',ximenez,1,vi,1,exact,KA'IB'_K'AJOLAB',
KA'IB'_K'AJOLAB',ximenez,1,vi,1,exact,KA'IB'_K'AJOLAB',
TZ'AQOL,ximenez,1,tzacol,1,exact,Tz'aqol,deidad
B'ITOL,ximenez,1,bitol,1,exact,B'itol,deidad
ALOM,ximenez,1,"alom,",1,exact,Alom,deidad
K'AJOLOM,ximenez,1,qaholom,1,exact,K'ajolom,deidad
WUCH',ximenez,1,"vuch,",1,exact,Wuch',animal
AJ,ximenez,1,ah,1,exact,Aj,objeto
IXMUKANE,ximenez,1,"iyom,",1,exact,Ixmukane,deidad
XPIYAKOK,ximenez,1,mamom,1,exact,Xpiyakok,deidad
XPIYAKOK,ximenez,1,"xpiyacoc,",1,exact,Xpiyakok,deidad
IXMUKANE,ximenez,1,xmucane,1,exact,Ixmukane,deidad
IXMUKANE,ximenez,1,matzanel,1,exact,Ixmukane,deidad
SAKIL,ximenez,1,zaquil,1,exact,Sakil,objeto
DIOS,ximenez,1,Dios,1,exact,Dios,deidad
PALO,ximenez,1,palo.,1,exact,Palo,lugar
IKAJ,ximenez,1,cah,1,exact,IKAJ,
UK'U'X_ULEW,ximenez,1,"vleu,",1,exact,Uk'u'x Ulew,deidad
IKAJ,ximenez,1,"cah,",1,exact,IKAJ,
UK'U'X_ULEW,ximenez,1,vleu,1,exact,Uk'u'x Ulew,deidad
IKAJ,ximenez,1,cah,1,exact,IKAJ,
IKAJ,ximenez,1,cah,1,exact,IKAJ,
TZ'AQOL,ximenez,1,tzacol,1,exact,Tz'aqol,deidad
B'ITOL,ximenez,1,bitol,1,exact,B'itol,deidad
ALOM,ximenez,1,"vchuch,",1,exact,Alom,deidad
K'AJOLOM,ximenez,1,vcahau,1,exact,K'ajolom,deidad
SAKIL,ximenez,1,zaquil,1,exact,Sakil,objeto
SAKIL,ximenez,1,zaquil,1,exact,Sakil,objeto
SAKIL,ximenez,1,zaquil,1,exact,Sakil,objeto
K'AJOLOM,ximenez,1,"qahol,",1,exact,K'ajolom,deidad
Q'OL,ximenez,1,qol,1,fuzzy,Q'ol,objeto
KA'IB'_K'AJOLAB',ximenez,1,vi,1,exact,KA'IB'_K'AJOLAB',
IKAJ,ximenez,1,cah,1,exact,IKAJ,
UK'U'X_ULEW,ximenez,1,vleu,1,exact,Uk'u'x Ulew,deidad
CH'O,ximenez,1,cho,1,exact,Ch'o,animal
PALO,ximenez,1,palo,1,exact,Palo,lugar
IKAJ,ximenez,2,cah.,1,exact,IKAJ,
TEPEW_Q'UKUMATZ,ximenez,3,"tepeu, gucumatz",2,exact,Tepew Q'ukumatz,deidad
B'ALAM_JA,ximenez,3,pa ha,2,exact,B'ALAM_JA,
UK'U'X_KAJ,ximenez,3,vqux cah,2,exact,Uk'u'x Kaj,deidad
TZ'IKIN,ximenez,3,"tziquin,",1,exact,Tz'ikin,animal
KAR,ximenez,3,"car,",1,exact,Kar,animal
TAP,ximenez,3,"tap,",1,exact,Tap,animal
CHE',ximenez,3,che,1,fuzzy,Che',objeto
K'IM,ximenez,3,"quim,",1,exact,K'im,objeto
K'EL,ximenez,3,quel,1,exact,K'el,animal
IKAJ,ximenez,3,cah,1,exact,IKAJ,
UK'U'X_ULEW,ximenez,3,vleu;,1,exact,Uk'u'x Ulew,deidad
PALO,ximenez,3,palo,1,exact,Palo,lugar
IKAJ,ximenez,3,cah.,1,exact,IKAJ,
SOTZ'I_JA,ximenez,3,"ha,",1,exact,Sotz'i Ja,lugar
PALO,ximenez,3,"palo,",1,exact,Palo,lugar
KA'IB'_K'AJOLAB',ximenez,3,vi,1,exact,KA'IB'_K'AJOLAB',
TZ'AQOL,ximenez,3,"tzacol,",1,exact,Tz'aqol,deidad
B'ITOL,ximenez,3,"bitol,",1,exact,B'itol,deidad
ALOM,ximenez,3,"alom,",1,exact,Alom,deidad
K'AJOLOM,ximenez,3,qaholom,1,exact,K'ajolom,deidad
Q'UKUMATZ,ximenez,3,gucumatz,1,exact,Q'ukumatz,deidad
NIM_AQ,ximenez,3,nimac,1,exact,Nim Aq,deidad
NIM_AQ,ximenez,3,nimac,1,exact,Nim Aq,deidad
KA'IB'_K'AJOLAB',ximenez,3,vi,1,exact,KA'IB'_K'AJOLAB',
IKAJ,ximenez,3,cah,1,exact,IKAJ,
UK'U'X_KAJ,ximenez,4,vqu x cah,3,exact,Uk'u'x Kaj,deidad
TEPEW_Q'UKUMATZ,ximenez,4,tepeu gucumatz,2,exact,Tepew Q'ukumatz,deidad
TEPEW_Q'UKUMATZ,ximenez,4,"tepeu gucumatz,",2,exact,Tepew Q'ukumatz,deidad
UK'U'X_KAJ,ximenez,4,vqux cah,2,exact,Uk'u'x Kaj,deidad
KAQUILJA_JUN_RAQAN,ximenez,4,caculha huracan,2,exact,KAQUILJA_JUN_RAQAN,
CH'IPI_KAQULJA,ximenez,4,"chipa caculha,",2,exact,Ch'ipi Kaqulja,deidad
RAXA_KAQULJA,ximenez,4,raxa caculha,2,exact,Raxa Kaqulja,deidad
UK'U'X_KAJ,ximenez,4,vqux cah,2,exact,Uk'u'x Kaj,deidad
TEPEW_Q'UKUMATZ,ximenez,4,"tepeu gucumatz,",2,exact,Tepew Q'ukumatz,deidad
B'ALAM_JA,ximenez,4,pa ha,2,exact,B'ALAM_JA,
UK'U'X_KAJ,ximenez,4,"vqux cah,",2,exact,Uk'u'x Kaj,deidad
RAXA_KAQULJA,ximenez,4,"raxa caculha,",2,exact,Raxa Kaqulja,deidad
UK'U'X_ULEW,ximenez,4,vqux vleu,2,exact,Uk'u'x Ulew,deidad
IXKIK',ximenez,4,xquicuch,1,exact,Ixkik',deidad
CHE',ximenez,4,"che,",1,fuzzy,Che',objeto
JUN_RAQAN,ximenez,4,huracan,1,exact,Jun Raqan,deidad
K'OOL,ximenez,4,cool,1,exact,K'ool,lugar
SOTZ'I_JA,ximenez,4,ha,1,exact,Sotz'i Ja,lugar
WA,ximenez,4,va,1,exact,Wa,objeto
UK'U'X_ULEW,ximenez,4,vleu,1,exact,Uk'u'x Ulew,deidad
IKAJ,ximenez,4,cah,1,exact,IKAJ,
UK'U'X_ULEW,ximenez,4,"vleu,",1,exact,Uk'u'x Ulew,deidad
UK'U'X_ULEW,ximenez,4,vleu,1,exact,Uk'u'x Ulew,deidad
KA'IB'_K'AJOLAB',ximenez,4,vi,1,exact,KA'IB'_K'AJOLAB',
UK'U'X_ULEW,ximenez,4,"vleu,",1,exact,Uk'u'x Ulew,deidad
NIM_AQ,ximenez,4,nimac,1,exact,Nim Aq,deidad
JAQAWITZ_JUYUB',ximenez,4,huyub,1,exact,JAQAWITZ_JUYUB',
KA'IB'_K'AJOLAB',ximenez,4,vi,1,exact,KA'IB'_K'AJOLAB',
JAQAWITZ_JUYUB',ximenez,4,huyub,1,exact,JAQAWITZ_JUYUB',
IXOQ_AJAWAB',ximenez,4,xquicot,1,exact,Ixoq ajawab',linaje
KA'IB'_K'AJOLAB',ximenez,4,vi,1,exact,KA'IB'_K'AJOLAB',
JUN_RAQAN,ximenez,4,"huracan,",1,exact,Jun Raqan,deidad
CH'IPI_KAQULJA,ximenez,4,"chipicaculha,",1,exact,Ch'ipi Kaqulja,deidad
