entity_id,label,type,lang,form
CHOMI_JA',Chomi Ja',persona,eng,SHRIMP HOUSE
CHOMI_JA',Chomi Ja',persona,spa,CHUMÍHA
CHULIMAL,Chulimal,topónimo,quc,CHULIMAL
CHULIMAL,Chulimal,topónimo,eng,THEY OF THE STARS
CHULIMAL,Chulimal,topónimo,spa,"CHULIMAL, CHULÍMÁN"
CHUQ'ANAL,Chuq'anal,evento,quc,CHUQ'ANAL
CHUQ'ANAL,Chuq'anal,evento,eng,BECOMES YELLOW WITH JAUNDICE
CHUQ'ANAL,Chuq'anal,evento,spa,CHUEANAL
CHUWA_TZ'AQ,Chuwa Tz'aq,topónimo,quc,CHUWA TZ'AQ
CHUWA_TZ'AQ,Chuwa Tz'aq,topónimo,eng,BEFORE WALL
CHUWA_TZ'AQ,Chuwa Tz'aq,topónimo,eng,ALTAR
CHUWA_TZ'AQ,Chuwa Tz'aq,topónimo,spa,GUATTA
CHUWI'_MEQ'ENA',Chuwi' Meq'ena',topónimo,quc,CHUWI' MEQ'ENA'
CHUWI'_MEQ'ENA',Chuwi' Meq'ena',topónimo,eng,ABOVE HOT WATER
CHUWI'_MEQ'ENA',Chuwi' Meq'ena',topónimo,spa,"HUHUNÍCAPA, LOS DE TUTUNÍCAPA"
LANDA,Diego de Landa,persona,quc,DIEGO DE LANDA
LANDA,Diego de Landa,persona,quc,LANDA
DIOS,Dios,deidad,quc,DIOS
DIOS,Dios,deidad,eng,GOD
DIOS,Dios,deidad,spa,DÍOS
DOMINGO,Domingo,persona,quc,DOMINGO
DOMINGO,Domingo,persona,spa,DOMGO
DON_CRISTÓBAL_NJDOCE,Don Cristóbal (gen. 12),persona,quc,DON CRISTÓBAL (GEN. 12)
DON_CRISTÓBAL_NJDOCE,Don Cristóbal (gen. 12),persona,quc,DON CRISTÓBAL NJDOCE
DON_CRISTÓBAL_NJDOCE,Don Cristóbal (gen. 12),persona,eng,DON CHRISTOVAL
DON_CRISTÓBAL_NJDOCE,Don Cristóbal (gen. 12),persona,spa,DON CHRÍSTOUAL
DON_JUAN_CORTES_KQCATORCE,Don Juan Cortes (gen. 14),persona,quc,DON JUAN CORTES (GEN. 14)
DON_JUAN_CORTES_KQCATORCE,Don Juan Cortes (gen. 14),persona,quc,DON JUAN CORTES KQCATORCE
DON_JUAN_CORTES_KQCATORCE,Don Juan Cortes (gen. 14),persona,eng,DON JUAN CORTES
DON_JUAN_CORTES_KQCATORCE,Don Juan Cortes (gen. 14),persona,spa,D. JO CORTES
DON_JUAN_DE_ROJAS_KQCATORCE,Don Juan de Rojas (gen. 14),persona,quc,DON JUAN DE ROJAS (GEN. 14)
DON_JUAN_DE_ROJAS_KQCATORCE,Don Juan de Rojas (gen. 14),persona,quc,DON JUAN DE ROJAS KQCATORCE
DON_JUAN_DE_ROJAS_KQCATORCE,Don Juan de Rojas (gen. 14),persona,eng,DON JUAN DE ROJAS
DON_JUAN_DE_ROJAS_KQCATORCE,Don Juan de Rojas (gen. 14),persona,spa,D. JO DE ROXAS
DON_PEDRO_DE_ROBLES_NJTRECE,Don Pedro de Robles (gen. 13),persona,quc,DON PEDRO DE ROBLES (GEN. 13)
DON_PEDRO_DE_ROBLES_NJTRECE,Don Pedro de Robles (gen. 13),persona,quc,DON PEDRO DE ROBLES NJTRECE
DON_PEDRO_DE_ROBLES_NJTRECE,Don Pedro de Robles (gen. 13),persona,eng,DON PEDRO DE ROBLES
