entity_id,label,type,lang,form
AJLAB'AL,Ajlab'al,deidad,quc,AJLAB'AL
AJLAB'AL,Ajlab'al,deidad,eng,MALEVOLENT
AJLAB'AL,Ajlab'al,deidad,spa,PECCADORES
AJLATZAB',Ajlatzab',deidad,quc,AJLATZAB'
AJLATZAB',Ajlatzab',deidad,eng,MASTERS OF HARM
AJLATZAB',Ajlatzab',deidad,spa,LOS OPRÍMÍDORES
AJMAK,Ajmak,deidad,quc,AJMAK
AJMAK,Ajmak,deidad,eng,THE SINNER
AJMAK,Ajmak,deidad,spa,LOS MALOS
AJMOKEN,Ajmoken,deidad,quc,AJMOKEN
AJMOKEN,Ajmoken,deidad,eng,MOLESTER
AJMOKEN,Ajmoken,deidad,spa,LOS DESVENTURADOS
AJMOX_WACH,Ajmox wach,deidad,quc,AJMOX WACH
AJMOX_WACH,Ajmox wach,deidad,eng,MASTERS OF VEXATION
AJMOX_WACH,Ajmox wach,deidad,spa,"TRAÍDORES, ÍMBÍDÍOSOS"
AJMUQULIK_K'U'X,Ajmuqulik K'u'x,deidad,quc,AJMUQULIK K'U'X
AJMUQULIK_K'U'X,Ajmuqulik K'u'x,deidad,eng,MASTERS OF DECEPTION
AJMUQULIK_K'U'X,Ajmuqulik K'u'x,deidad,spa,DOBLADO CORAZON
AJPATAN,Ajpatan,persona,quc,AJPATAN
AJPATAN,Ajpatan,persona,eng,SHE OF THE PACK STRAP
AJPATAN,Ajpatan,persona,spa,SOR. PATAN
AJPOP,Ajpop,oficio,quc,AJPOP
AJPOP,Ajpop,oficio,eng,HE OF THE MAT
AJPOP,Ajpop,oficio,spa,SEÑORES DE TRONO
AJPOP_K'AMJA,Ajpop K'amja,oficio,quc,AJPOP K'AMJA
AJPOP_K'AMJA,Ajpop K'amja,oficio,eng,HE OF THE MAT RECEPTION HOUSE
AJPOP_K'AMJA,Ajpop K'amja,oficio,spa,SEÑORES DE ALFOMBRA
AJPOP_SOTZ'IL,Ajpop Sotz'il,linaje,quc,AJPOP SOTZ'IL
AJPOP_SOTZ'IL,Ajpop Sotz'il,linaje,eng,BAT LORDS
AJPOP_SOTZ'IL,Ajpop Sotz'il,linaje,spa,AHPOZOTZÍL
AJPOP_XAJIL,Ajpop Xajil,linaje,quc,AJPOP XAJIL
AJPOP_XAJIL,Ajpop Xajil,linaje,eng,DANCE LORDS
AJPOP_XAJIL,Ajpop Xajil,linaje,spa,AHPOXA
AJPU,Ajpu,oficio,quc,AJPU
AJPUWAQ,Ajpuwaq,oficio,quc,AJPUWAQ
AJPUWAQ,Ajpuwaq,oficio,eng,PRECIOUS METALSMITHS
AJPUWAQ,Ajpuwaq,oficio,spa,PLATEROS
AJQ'OL,Ajq'ol,deidad,quc,AJQ'OL
AJQ'OL,Ajq'ol,deidad,eng,INCENSE MAKER
AJQ'OL,Ajq'ol,deidad,spa,---
AJQ'UKUMATZ,Ajq'ukumatz,oficio,quc,AJQ'UKUMATZ
AJQ'UKUMATZ,Ajq'ukumatz,oficio,eng,HE OF CUCUMATZ
AJQ'UKUMATZ,Ajq'ukumatz,oficio,spa,AHCUCUMATZ
AJRAXA_LAQ,Ajraxa Laq,deidad,quc,AJRAXA LAQ
AJRAXA_LAQ,Ajraxa Laq,deidad,eng,CREATOR OF THE GREEN EARTH
AJRAXA_LAQ,Ajraxa Laq,deidad,spa,EL DE EL VERDE CAGETE
AJRAXA_TZEL,Ajraxa Tzel,deidad,quc,AJRAXA TZEL
AJRAXA_TZEL,Ajraxa Tzel,deidad,eng,CREATOR OF THE BLUE SKY
AJRAXA_TZEL,Ajraxa Tzel,deidad,spa,EL DE LA VERDE HÍCARA
AJTOJIL,Ajtojil,oficio,quc,AJTOJIL
AJTOJIL,Ajtojil,oficio,eng,HE OF TOJIL
AJTOJIL,Ajtojil,oficio,spa,AHTOHÍL
AJTOLTEKAT,Ajtoltekat,deidad,quc,AJTOLTEKAT
AJTOLTEKAT,Ajtoltekat,deidad,eng,MASTER ARTIST
AJTOLTEKAT,Ajtoltekat,deidad,spa,EL DE EL TOLTECAT
AJTUKUR,Ajtukur,deidad,quc,AJTUKUR
AJTUKUR,Ajtukur,deidad,eng,OWL MASTERS
AJTUKUR,Ajtukur,deidad,spa,ESTOS ENEMIGOS TECOLOTES
AJTZ'ALAM,Ajtz'alam,deidad,quc,AJTZ'ALAM
AJTZ'ALAM,Ajtz'alam,deidad,eng,WOOD WORKER
AJTZ'ALAM,Ajtz'alam,deidad,spa,O TRONO
AJTZ'IB',Ajtz'ib',oficio,quc,AJTZ'IB'
AJTZ'IB',Ajtz'ib',oficio,eng,WRITERS
AJTZ'IB',Ajtz'ib',oficio,spa,PINTORES
AJTZ'IKINA_JA,Ajtz'ikina Ja,linaje,quc,AJTZ'IKINA JA
AJTZ'IKINA_JA,Ajtz'ikina Ja,linaje,eng,THEY OF THE BIRD HOUSE
AJTZ'IKINA_JA,Ajtz'ikina Ja,linaje,spa,"AH Q,ÍQUÍNAHA"
AJTZA,Ajtza,deidad,quc,AJTZA
AJTZA,Ajtza,deidad,eng,STRIFE MAKERS
AJTZA,Ajtza,deidad,spa,MALES
AJTZIK_WINAQ,Ajtzik Winaq,oficio,quc,AJTZIK WINAQ
AJTZIK_WINAQ,Ajtzik Winaq,oficio,eng,HERALD PERSON
AJTZIK_WINAQ,Ajtzik Winaq,oficio,spa,AHTZÍC VÍNAC
AJTZIK_WINAQ_AJAW,Ajtzik Winaq Ajaw,persona,quc,AJTZIK WINAQ AJAW
AJTZIK_WINAQ_AJAW,Ajtzik Winaq Ajaw,persona,eng,HERALD PERSON LORD
AJTZIK_WINAQ_AJAW,Ajtzik Winaq Ajaw,persona,spa,AH ꜨÍC VÍNAC
AJXIT,Ajxit,oficio,quc,AJXIT
AJXIT,Ajxit,oficio,eng,JADE WORKERS
AJXIT,Ajxit,oficio,spa,LABRAR PIEDRAS PRECIOSAS
AJYAMANIK,Ajyamanik,deidad,quc,AJYAMANIK
AJYAMANIK,Ajyamanik,deidad,eng,WORKER IN PRECIOUS STONES
AJYAMANIK,Ajyamanik,deidad,spa,EL DE EL TORÍRON
AKUL_WINAQ,Akul Winaq,linaje,quc,AKUL WINAQ
AKUL_WINAQ,Akul Winaq,linaje,eng,ACUL PEOPLE
AKUL_WINAQ,Akul Winaq,linaje,spa,ACUL VÍNAC
ALOM,Alom,deidad,quc,ALOM
ALOM,Alom,deidad,spa,ALOM
MONTENEGRO,Alonso de la Peña Montenegro,persona,quc,ALONSO DE LA PEÑA MONTENEGRO
MONTENEGRO,Alonso de la Peña Montenegro,persona,quc,MONTENEGRO
MONTENEGRO,Alonso de la Peña Montenegro,persona,spa,EL ÍLLMO. SOR. MONTENEGRO
AMAQ'_TAM,Amaq' Tam,linaje,quc,AMAQ' TAM
AMAQ'_TAM,Amaq' Tam,linaje,eng,AMAC TAN
AMAQ'_TAM,Amaq' Tam,linaje,spa,PUEBLO QUE SE LLAMA DAN
AMAQ'_TAM,Amaq' Tam,topónimo,eng,NATION OF THE TAMUB
AMAQ'_TAM,Amaq' Tam,topónimo,spa,AMACTAN
AMAQ'_UQ'IN_K'AT,Amaq' Uq'in k'at,topónimo,quc,AMAQ' UQ'IN K'AT
AMAQ'_UQ'IN_K'AT,Amaq' Uq'in k'at,topónimo,eng,NATION ITS FRAME NET
AMAQ'_UQ'IN_K'AT,Amaq' Uq'in k'at,topónimo,spa,SU ÍDOLO
REMESAL,Antonio de Remesal,persona,quc,ANTONIO DE REMESAL
REMESAL,Antonio de Remesal,persona,quc,REMESAL
REMESAL,Antonio de Remesal,persona,spa,M.R.P. REMESAL
SANTIAGO,Apóstol Santiago,persona,quc,APÓSTOL SANTIAGO
SANTIAGO,Apóstol Santiago,persona,quc,SANTIAGO
SANTIAGO,Apóstol Santiago,persona,spa,"APOSTOL SANTÍAGO, APOSTOL"
AQ,Aq,animal,quc,AQ
AQ,Aq,animal,eng,PECCARY
AQ,Aq,animal,spa,EL PUERCO
AQAJ,Aqaj,animal,quc,AQAJ
AQAJ,Aqaj,animal,eng,BEE LARVAE
AQAJ,Aqaj,animal,spa,PANALES
ASTAPULUL,Astapulul,objeto,quc,ASTAPULUL
ASTAPULUL,Astapulul,objeto,eng,SNOWY EGRET FEATHERS
ASTAPULUL,Astapulul,objeto,spa,AZTAPOLUL
AWILIX,Awilix,deidad,quc,AWILIX
AWILIX,Awilix,deidad,spa,AUÍLÍX
