hac_label,n_chunks,gloss,top_terms
5,11,xib'alb'a,"xib'alb'a, kame, b'a, je', samajel, k'ajolab', utz"
7,9,b'it,"b'it, kaj, tz'aq, k'ajolom, alom, tz'aqol, b'itol"
9,9,b'alam,"b'alam, amaq', kitze, majukutaj, aq'ab', tojil, jaq'awitz"
6,8,pop,"pop, ajaw, k'iche', nim, q'alel, k'am, tinamit"
1,6,sipakna,"sipakna, kaqix, k'ajolab', qajoq, wuqub', ch'akatajik, lal"
8,6,k'ab'awil,"k'ab'awil, tulan, tojil, wakamik, xawi, tamub', chila'"
4,5,kame,"kame, sik', junajpu, puj, jolom, patan, xik'"
3,3,q'apoj,"q'apoj, ati't, sel, a, xcha', aq'anoq, wi'"
2,3,qati't,"qati't, chowen, su', kati't, b'atz', chaq', ix"
