chunk_num,xokik,xutzin,qochoch,tak'al,xukut,b'alami,wuq,kab'an,taqol,sik'ixik,wal,xob',ke'ul,koq'ik,lab'e,chik'ama',chiwil,ch'ek,ku'b'ul,xek'is,xepixab'an,jarub',xech'aw,xax,xb'anatajik,sik',kumatz,q'alel,tzijoxik,palo,q'apoj,lal,puj,ixim,rixoqil,kaqaj,jab',ya'oq,mi'al,sipakna,recha',kaqan,jumaj,keki'kotik,xkiya',xkita'o,xo'l,popol,xril,xe'ik'ow,tz'alam,istayul,itzel,qech,taq'aj,b'e'el,xoponik,chikamik,chuwa,pach',xekel,xkikoj,suywa,wi'y,eta'manel,winaqirik,qajoq,tzik',kixoqil,chajal,kakib'ano,ilol,tikarik,tz'um,b'anol,xkina',chik'am,b'inib'al,kanajoq,jo',q'ol,kaminaq,k'utb'al,ro',yamanik,xe'ik'owik,k'amik,anim,chiwech,kojkamik,xek'ajolanik,chiwila',rismal,xpetik,k'im,chiqab'ij,xub'ij,waram,xpiyakok,ajam,q'ana,xsaqirik,su',raj,rij,xub'i'naj,choq',chaq',sel,tuja,saqil,q'o'l,tzuqul,xik',achij,utzilaj,kuchuma,kati't,nijaib'ab',ik',mul,xuchaxik,chikij,xe'ulik,iwech,utiw,pixab',xech'awik,xkitaq,naj,xutzinik,xil,je,b'ixik,xkam,chuq'ab',sis,iwumal,xya',chel,xoq',aq'ab'al,chawaxoq,ch'i'pi,nab'ek,xkikuch,a',poy,kaqix,k'uwal,aq,xojpe,kamisaxik,mixb'isonik,keb'e,ra'il,relik,saqiroq,ixoq,iwuk',xe'oponik,xe'el,quk',chuchax,chopon,xkitz'onoj,puwaq,b'atz',iwib',b'elejeb',ajawarem,koj,alom,k'ajolom,k'olik,xech'akataj,ub'ik,kaweqib',xepetik,tulan,qati't,pop,ati't,wub',taqal,xuk'am,chowen,xikin,jom,ral,tio'jil,aponoq,xaqi,k'axtok',jupacha,tz'ikina,q'equ'mal,xub'an,iwe,kik'el,xkilo,rax,k'ama',kajawarem,xwinaqir,xkaj,chok,ch'ab'al,ch'umil,chinamit,tz'ikin,b'it,qe,kaqulja,k'axk'ol,chipe,xk'am,b'ate,kuk'a'am,kus,juyub'al,kej,b'aq,ojer,xb'ek,ox,k'a'am,akarok,on,xkipixab'aj,chikib'ano,tepew,lab'al,je',tamub',cha'j,xraj,kaqchekeleb',wachib'al,al,chuchi',xek'oje',chiya',xmuqane,kixcha',xb'an,toq'ob',xkanaj,ke'uchaxik,rab'inaleb',sachik,tz'aqol,b'itol,k'am,xch'awik,k'eche'laj,junam,qib',k'amol,b'i'nam,tzijel,aq'anoq,kech,xopon,chul,ilokab',rochoch,xk'is,nu,we',ch'ob',xe'uxik,rajawal,patan,tza'm,tukel,mam,xekam,jujunal,xekamik,xch'aw,k'iya,b'aq',xe'ul,xe'ok,kochoch,xkitikib'a',b'ix,chuxe',awilix,q'aq'al,q'ukumatz,q'aq',tz'aq,k'ajb',oxib',chuchaxik,q'alaj,wa,releb'al,kacha',nimal,xkib'ij,k'ixb',cha',ch'akatajik,tinamit,a,chiqe,chiwe,xuchax,saqirik,xkik'am,raxa,juraqan,ja',raqan,kecha',xqaj,ichal,la,ke,samajel,b'anoj,najt,saqi,ajilan,rox,lo,kanoq,xkil,keki'kot,k'ajolab',xepe,kamik,ka,in,apanoq,suk',sqaqi'n,xma,k'iche',tojil,ula,pam,kame,xul,kik',wakamik,xkib'an,xawi,nawal,k'ab'awil,nima'q,kuk',b'e,jolom,xk'oje',xe'uchaxik,saq,jaq'awitz,xchiqab'ij,kib'il,kajib',chuxik,lib'aj,wi',retal,chuxoq,ik'i,xpe,chikech,xeb'ek,xe'opon,xel,siwan,k'i,kitze,are,xib'alb'a,k'ute,at,kab',ajaw,xok,chib'e,ya',re,jujun,chirij,chu,chikop,majukutaj,xe'uchax,q'ab',rech,kaj,nim,chirech,waral,apa,ab'aj,kaib',wa'e,ch'uti,xeb'e,tzatz,wuqub',amaq',k'ajol,ajawab',xkib'ano,b'alam,taq,chuch,k'a,nay,che',k'oje'ik,chi',ix,we,xb'alanke,naqi,na'oj,chikiwach,chike,aq'ab',chupan,xb'e,ulew,su,xe',qi,chila',rib',qajaw,xuxik,b'a,oj,q'ij,junajpu,juyub',i,xere,xcha',konojel,ja,tzij,taj,aj,chiri',ruk',la',nima,kib',winaq,chuwach,chuwi',mi,wa',maja,utz,uloq,b'i,qitzij,chire,nab'e,k'u'x,ronojel,ju,b'i',kumal,wach,qa,k'o,jun,xecha',k'ate,pu,na,pa,ri',e,keje',puch,ma,mawi,rumal,chik,are',ki,k'u,u,wi,ri,xa,ta,k'ut,chi
0,0.0,0.0,0.0,0.0,0.08366810522395354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08366810522395354,0.0,0.0,0.0,0.0,0.28196955524419703,0.2721304694815465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07372543166943617,0.06355954846883977,0.0,0.0,0.0,0.0,0.0,0.07824363533745887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07824363533745887,0.0,0.0,0.0,0.060922475603677875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052618377679461724,0.0,0.23308164230650644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06651608804719913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06986883147654871,0.0,0.0,0.0,0.0,0.13973766295309742,0.0,0.06986883147654871,0.0,0.06986883147654871,0.0,0.0,0.0,0.0,0.07372543166943617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09592332930743769,0.09592332930743769,0.18276742681103364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13303217609439827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049402042063777685,0.0,0.0,0.026594716359417302,0.0,0.0,0.1398489853839039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1578551330383852,0.0,0.0,0.049402042063777685,0.0,0.0,0.0,0.0,0.24701021031888845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054426093896309306,0.0,0.0,0.0,0.052618377679461724,0.0,0.05854825036499466,0.0,0.0,0.0,0.0,0.0,0.13251493985612478,0.13251493985612478,0.0,0.0,0.04661632846130129,0.0,0.0,0.0,0.06355954846883977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16801252503007535,0.0,0.0,0.0,0.0,0.05854825036499466,0.0,0.0,0.045355874686868414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23499259114999285,0.0,0.0,0.0,0.04100681357587228,0.21528104620429603,0.03749935331017491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02359480162629961,0.0,0.0,0.0,0.0,0.0,0.0,0.1398489853839039,0.09323265692260257,0.07833086371666428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03831223053708513,0.0,0.04661632846130129,0.049402042063777685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09071174937373683,0.09934350914071097,0.0,0.0,0.0,0.0,0.03598276174334067,0.0,0.0,0.04200313125751884,0.0,0.0,0.020991070803304132,0.08611241848171841,0.08400626251503768,0.0,0.0,0.0,0.0,0.13577572602860233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03459494338365642,0.0,0.0,0.0,0.0,0.03459494338365642,0.0,0.0,0.0,0.0,0.0,0.0,0.03672376913239474,0.0,0.0,0.0,0.0,0.10582166427867681,0.0,0.0,0.0,0.02778250039428398,0.0,0.0,0.0,0.06317056818555458,0.2639017085790719,0.027598547494809687,0.03749935331017491,0.1410955523715691,0.0,0.03459494338365642,0.0,0.10794828523002202,0.0,0.0,0.0,0.0,0.0,0.01989975958589785,0.0,0.0,0.0,0.0,0.030035008612536156,0.12856463682073346,0.02359480162629961,0.031133201833618916,0.03053332630385846,0.0,0.0,0.0,0.0,0.05122873919589502,0.08591708094627004,0.0,0.0,0.020540024163101273,0.03053332630385846,0.0,0.0708092990556583,0.0,0.049025913579360585,0.0,0.0,0.0,0.0212243717033208,0.0,0.0,0.0,0.0,0.023040867079800364,0.0,0.0,0.0,0.0,0.0,0.0,0.1554977187984946,0.0,0.03967855422444685,0.0,0.03243522558663061,0.0408197571531722,0.0,0.033271231872242096,0.031932192399015395,0.0,0.0,0.0,0.0,0.05215054794883112,0.0,0.0,0.031385012486788315,0.0,0.0,0.0632820217941419,0.06278012412323597,0.06359779901914893,0.0,0.03755899734428394,0.0,0.018140438418881792,0.008786404620780959,0.06291084543551684,0.01789722611255795,0.008032882117892893,0.0,0.0,0.0,0.07440272201105717,0.02967767798671964,0.0518003597329451,0.010941170789378046,0.06032451501449441,0.0,0.008825850501113026,0.033216391696864606,0.026610354271154157,0.027347871724050402,0.009285056936791217,0.004071183447964535,0.07134086308708112,0.03458354091500182,0.01563363380351829,0.026027176958725032,0.024902462931432792,0.01368656218247124,0.02287914583249773
1,0.0,0.08720128157475723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09997402506171855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728192855638077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1536774881902421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26497428466726924,0.0,0.0,0.0,0.15446464463993217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08154774460628061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08154774460628061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06624357116681731,0.06624357116681731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13864992179587635,0.0,0.0,0.13248714233363462,0.0,0.0,0.0728192855638077,0.0,0.1456385711276154,0.0,0.0,0.0,0.0,0.0,0.0,0.1456385711276154,0.1456385711276154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07683874409512105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06102065359459845,0.0,0.0,0.11755067963613404,0.1999480501234371,0.1999480501234371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06932496089793817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19048541622142504,0.0,0.0,0.051488214879977394,0.0,0.0,0.27717770630168537,0.13399372515910107,0.0,0.194339459379631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20595285951990958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05672442475137458,0.0,0.0,0.05484037143845874,0.0,0.0,0.0,0.06102065359459845,0.0,0.0,0.13811084346090477,0.13811084346090477,0.0,0.0,0.0971697296898155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047271184031865754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06102065359459845,0.0,0.0,0.0,0.0,0.0,0.0,0.0971697296898155,0.0,0.0,0.0,0.0,0.0,0.04081932825338587,0.0,0.1252133646919112,0.0,0.0,0.0,0.0,0.0,0.0,0.04603694782030159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971697296898155,0.0971697296898155,0.20409664126692934,0.04603694782030159,0.0,0.0,0.0,0.0,0.0,0.0,0.05484037143845874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10968074287691748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038274557838122523,0.0,0.08974881444976064,0.0,0.050441161804704975,0.0,0.04858486484490775,0.17095387483877086,0.0,0.0,0.0,0.0971697296898155,0.0,0.042738468709692716,0.04998701253085928,0.0,0.0,0.03993009754289147,0.0,0.0,0.0,0.0,0.0,0.0,0.03605583502800949,0.0,0.0,0.0,0.0,0.0,0.09482457133712889,0.0,0.0,0.0,0.0,0.03908289375167651,0.07352690107159641,0.0,0.0,0.0,0.028955712971484495,0.0,0.03676345053579821,0.0,0.0,0.12033257024425537,0.0,0.0,0.03676345053579821,0.0,0.0,0.0,0.0,0.04081932825338587,0.0,0.0,0.0,0.0,0.0,0.0,0.037502258838295534,0.018480074839834906,0.07765397540092274,0.0313033411729778,0.0,0.024591174077723068,0.04867186412582776,0.0,0.0,0.04424128903587789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03182270205964263,0.0,0.18449866913252064,0.0,0.025548101531941956,0.0,0.0,0.03236091013629849,0.022120644517938944,0.02695263775842438,0.0,0.10088232360940995,0.0,0.0,0.1257586738474399,0.08127418509376548,0.0,0.011663778971425107,0.0,0.0,0.023152021438729523,0.0,0.0,0.013796116004013302,0.0,0.0,0.01862073151559469,0.03467622520032642,0.033280640134404224,0.0,0.03324844783740094,0.049484412513054105,0.046304042877459047,0.0,0.04284260121281353,0.0,0.0,0.0,0.0,0.03297716248216801,0.06543123292101514,0.039770062187682254,0.08595183588875384,0.015658022584915905,0.05070737346835718,0.01890648143901767,0.054944646444350126,0.0,0.0,0.04186049233123239,0.009768925193570222,0.020313502022961092,0.0270419041927223,0.04934658614701213,0.051551535033926094,0.006748476230362066,0.06841919837015145,0.02357697269568496,0.025219238846667307,0.03679421077478548,0.017309534604032537,0.03328088268845311,0.0057005461192074875,0.01209643839512607,0.00848620661931302,0.04495791742723174,0.050461531470715824,0.032587636583574664,0.03390783113378138,0.04541959786597969,0.0380387328232029,0.01854634229179859
2,0.0,0.09095353503310427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09095353503310427,0.0,0.09095353503310427,0.0,0.0,0.09095353503310427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06909401859735029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08014509966764537,0.0,0.0,0.16029019933529073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850567275156315,0.0,0.0,0.0,0.0850567275156315,0.0,0.0,0.0,0.0850567275156315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26490928672476627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057200141497693285,0.0,0.0,0.20728205579205086,0.20728205579205086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14461599980715092,0.0,0.0,0.0,0.0,0.13818803719470057,0.0,0.0,0.07595268465103229,0.0,0.0,0.07595268465103229,0.0,0.0,0.07595268465103229,0.0,0.0,0.07595268465103229,0.0,0.07595268465103229,0.0,0.0,0.05370374232244834,0.0,0.08014509966764537,0.08014509966764537,0.0,0.0,0.0,0.0,0.0,0.0,0.08014509966764537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15641383062224987,0.15641383062224987,0.0,0.06622732168119157,0.0,0.0,0.0,0.0,0.045660568744863655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15641383062224987,0.0,0.0,0.0,0.14461599980715092,0.0,0.0,0.0,0.0,0.0,0.07595268465103229,0.0,0.0,0.0,0.0,0.0,0.0,0.05370374232244834,0.0,0.0,0.0,0.2795188959471064,0.17749579572751362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05370374232244834,0.0,0.0,0.0,0.0,0.14041603159647034,0.0,0.0,0.0,0.0,0.0,0.0,0.22880056599077314,0.0,0.0,0.0,0.0,0.06364635994140987,0.0,0.0,0.09603581669384774,0.09603581669384774,0.0,0.0,0.05067546172428207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05916526524250454,0.0,0.044577496349245474,0.0,0.0,0.04801790834692387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04257577566838014,0.0,0.22855222315880336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11833053048500908,0.0,0.05213794354074995,0.0,0.0,0.0,0.0,0.0,0.0,0.043550796377372275,0.0,0.10135092344856414,0.05067546172428207,0.04257577566838014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05370374232244834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057200141497693285,0.057200141497693285,0.0,0.14791576047696148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029757898961653612,0.0,0.044577496349245474,0.07379922266037013,0.0,0.0,0.05067546172428207,0.0,0.0,0.0,0.0,0.0,0.16659312616313512,0.0,0.0,0.043550796377372275,0.0,0.0,0.0,0.037607310295737696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0349398619933883,0.0,0.0906050142819048,0.0,0.03834537435529459,0.0,0.0,0.0,0.03000170076414397,0.0815292454845575,0.03834537435529459,0.0,0.0,0.0,0.0,0.04257577566838014,0.0,0.0,0.0,0.0,0.0,0.0,0.03911597342918929,0.0,0.0,0.0,0.0349398619933883,0.0,0.0,0.0,0.02850554687971287,0.023072491364617965,0.0,0.0,0.0,0.062265560740433795,0.0,0.028910460678141722,0.0,0.0,0.0,0.07697504377671205,0.0,0.0,0.0349398619933883,0.0,0.0,0.0,0.0,0.0,0.0,0.060431433623528714,0.05009431743497289,0.0,0.12715709518917204,0.0,0.0,0.0,0.0,0.04829649645021354,0.07417864005573813,0.13802745070633493,0.0,0.017629767154423718,0.0,0.038843955631402895,0.036168336137008004,0.06942539865755633,0.04806963277848304,0.0,0.09032400430571957,0.0,0.01889719177601914,0.014895369884284486,0.0,0.017058936766230676,0.0,0.019243760944178012,0.01719808154736165,0.0,0.0,0.017930065190533674,0.01633178412068827,0.05288930146327115,0.01972002350036811,0.1528237424958324,0.03907933115332346,0.006485211132194164,0.052394088990369354,0.010189280063131204,0.05296896973660017,0.0,0.014705702782716934,0.021507914851911062,0.01407772358740168,0.035681631298971,0.04918297009690468,0.017536278385863965,0.08634928095253375,0.03610872073399311,0.06364041258644405,0.011891678924848605,0.017663723959895593,0.022128415922022446,0.028856890766098216,0.0375949149530983,0.016994937987862252,0.07073375645927954,0.04286218500173866,0.029756648835637056,0.019344387638694432
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22274608403711804,0.0,0.0,0.23310735357482032,0.0,0.0,0.0,0.0,0.12715843726488837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09140228228017061,0.0,0.0,0.0,0.0,0.0,0.09140228228017061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09140228228017061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711681312903964,0.3178960931622209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07424869467903934,0.07424869467903934,0.0,0.06357921863244419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07770245119160678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08161904325715572,0.0,0.0,0.0,0.08161904325715572,0.08161904325715572,0.0,0.08161904325715572,0.0,0.0,0.28855122684774526,0.0,0.0,0.0,0.0,0.08612422834923056,0.0,0.0,0.0,0.0,0.08612422834923056,0.13175594805475857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07379429751943764,0.0,0.0,0.0,0.0,0.07424869467903934,0.0,0.0,0.22411052821863756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06357921863244419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628255583562254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05771024536954905,0.0,0.0,0.0,0.0,0.05029720020004013,0.0,0.0,0.0,0.0,0.0,0.0,0.06146748919627825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15480067978475803,0.15480067978475803,0.0,0.0711681312903964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19073765589733258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12715843726488837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052983612575174976,0.0,0.0,0.0,0.0711681312903964,0.0,0.0,0.0,0.0,0.04575209015916263,0.0,0.10525846570076598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12715843726488837,0.0,0.0,0.0,0.0,0.0,0.06587797402737929,0.0,0.0,0.04679985111441373,0.0,0.0,0.05445604354281772,0.0,0.05160022659491934,0.0,0.0,0.0,0.05951793247638535,0.05951793247638535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11205526410931878,0.0,0.0,0.0,0.0,0.06146748919627825,0.0,0.0,0.0,0.0,0.09150418031832526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03197795119096248,0.0,0.04790314680174136,0.0,0.0,0.0,0.0,0.0,0.04790314680174136,0.0,0.044755401448699564,0.0,0.044755401448699564,0.0,0.16165183363384247,0.09359970222882746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13285441366739076,0.0,0.0,0.04679985111441373,0.0,0.0,0.0,0.0,0.0,0.0,0.06490966153438871,0.0,0.0,0.08082591681692124,0.0,0.1734094450778456,0.0,0.0,0.0412060848486951,0.0,0.04041295840846062,0.0,0.0,0.04575209015916263,0.0,0.03754650833660363,0.0,0.0,0.0,0.0,0.0,0.020713276930275477,0.0,0.035086155233588656,0.0,0.0,0.14547614972177134,0.0,0.03063216888953699,0.024793786808081062,0.029400458991358746,0.0,0.0,0.03345540397192169,0.0,0.0,0.0,0.0,0.0,0.08271767425468518,0.0,0.0,0.0,0.025358137084954997,0.0,0.024793786808081062,0.0,0.017619478413659163,0.0,0.12987969596262816,0.0,0.0,0.022773916200556236,0.0,0.0261465482128762,0.0,0.021388660643881337,0.0,0.02657088273347815,0.055621808440523786,0.0,0.0,0.03178975473920365,0.0626127932710688,0.0,0.04973653129981326,0.10331161973085765,0.0,0.0,0.0,0.040613988039847664,0.016006621023371904,0.033180309479589984,0.07332639283212708,0.0,0.020679418563671295,0.018481123718055756,0.07333819040932262,0.029717351210867687,0.05780314835928187,0.03510039442943819,0.03789002942033427,0.11655166662996133,0.020528121729332188,0.0,0.01393806500355611,0.03753525795146555,0.021898878072657488,0.04553652476756562,0.015154875051113117,0.015802804036014223,0.0,0.030255950417594688,0.03834361644828328,0.044043505311874676,0.037689102649142575,0.05155070283902771,0.04850321047059072,0.02486844689337123,0.04472595160518554,0.09490752411116925,0.019023423802859204,0.03876215545452047,0.008079927665241037,0.029677090426498545,0.022803228963069664,0.024242035113713263,0.02398245585059952,0.026726853074910604
