chap_num,line_num,eng_str,quc_str
2,113,"Rock,",Ab'aj
2,114,"Hollow,","Jul,"
2,115,"Canyon,","Siwan,"
2,116,"Meadow,","K'im,"
2,117,Forest.,K'eche'laj.
2,118,"Merely alone sky exists,","Xa u tukel kaj k'olik,"
2,119,"Not clear its face earth,","Mawi q'alaj u wach ulew,"
2,120,"Merely alone is spread out sea,","Xa u tukel remanik palo,"
2,121,Its womb sky everything.,U pa kaj ronojel.
2,122,There is not anything,Maja b'i naqi la'
2,123,"Gathered together,","Kamolob'ik,"
2,124,"It is at rest,","Kakotz'ob'ik,"
2,125,"Not one stirs,","Jun ta kasilob'ik,"
2,126,"Scattered it is made to be,","Kamal kab'antaj,"
2,127,At rest it is made to be in sky.,Kakotz' kab'antaj pa kaj.
2,128,There was not yet anything that exists standing erect.,Xma k'o wi naqi la' k'olik yakalik.
2,129,"Merely spread out water,","Xa remanik ja',"
2,130,"Merely tranquil sea,","Xa li'anik palo,"
2,131,Merely alone it is spread out.,Xa u tukel remanik.
2,132,There was not yet anything that might exist.,Xma k'o wi naqi la' lo k'olik.
2,133,"Merely it is placid,","Xa kachamanik,"
2,134,"It is silent,","Katz'ininik,"
2,135,"In darkness,","Chi q'equ'm,"
2,136,In night.,Chi aq'ab'.
2,137,"Merely alone the Framer,","Xa u tukel ri Tz'aqol,"
2,138,"Shaper,","B'itol,"
2,139,"Sovereign,","Tepew,"
2,140,"Quetzal Serpent,","Q'ukumatz,"
2,141,"They Who Have Borne Children,","E Alom,"
2,142,"They Who Have Begotten Sons,","E K'ajolom,"
2,143,Are in water.,K'o pa ja'.
2,144,"Luminous they are,",Saqtetoj e k'o wi.
2,145,"Covered in quetzal feathers,","E muqutal pa q'uq',"
2,146,In cotinga feathers.,Pa raxon.
2,147,This his having been named,Are' u b'i'nam wi
2,148,The Quetzal Serpent.,Ri Q'ukumatz.
2,149,"Great sages,","E nima'q eta'manel,"
2,150,Great knowers in their essence.,E nima'q aj na'oj chi ki k'oje'ik.
2,151,"Thus surely there is the sky,","Keje' k'ut xax k'o wi ri kaj,"
2,152,There is also its Heart Sky.,K'o nay puch u K'u'x Kaj.
2,153,This his name,Are' u b'i'
2,154,The god as it is said.,Ri k'ab'awil chuchaxik.
3,155,"THEN came therefore his word here,","TA xpe k'ut u tzij waral,"
3,156,He arrived with them,Xul kuk'
3,157,"The Sovereign,","Ri Tepew,"
3,158,"Quetzal Serpent,","Q'ukumatz,"
3,159,"Here in darkness,","Waral chi q'equ'mal,"
3,160,In night.,Chi aq'ab'al.
3,161,He spoke with,Xch'aw ruk'
3,162,"The Sovereign,","Ri Tepew,"
3,163,"Quetzal Serpent,","Q'ukumatz,"
3,164,"They talked therefore,","Xecha' k'ut,"
3,165,"Then they thought,","Ta xena'ojinik,"
3,166,"Then they pondered,","Ta xeb'isonik,"
3,167,"They found themselves,","Xeriqo kib',"
3,168,They gathered,Xkikuch
3,169,"Their words,","Ki tzij,"
3,170,Their thoughts.,Ki na'oj.
3,171,"Then they gave birth,","Ta xkalaj,"
3,172,Then they heartened themselves.,Ta xkik'u'xlaj kib'.
3,173,"Beneath light then,","Xe' wi saq ta,"
3,174,They gave birth to also people.,Xkalaj puch winaq.
3,175,"Then they considered its germination,","Ta xkina'ojij u tz'ukik,"
3,176,Its creation,U winaqirik
3,177,"Trees,","Che',"
3,178,"Bushes,","K'a'am,"
