line_num,spa_str,quc_str,line_marker
424,They wanted also to arrange again worship.,Xraj pu kinuk' chik q'ijilab'al.,
425,"It wasn't heard their speech to each other,","Xma xkita wi ki ch'ab'al chi kib'il kib',",
426,"It wasn't successful therefore,","Xma xnawachir wi k'ut,",
427,It wasn't made to be as well.,Xma xb'anataj wi puch.,
428,"Thus was defeated their flesh,","Keje' k'ut xech'akataj wi ki tio'jil,",
429,"They served,","Xkipatanij,",
430,"They were eaten,","Xeti'ik,",430
431,"They were killed,","Xekamisaxik,",
432,The animals that are here,Ri chikop k'o waral,
433,On its face earth.,Chuwach ulew.,
434,"THUS its being attempted again people framed,","KEJE' k'ut u tijtob'exik chik winaq tz'aq,",
435,"People shaped,","Winaq b'it,",
436,"By Framer,","Kumal Tz'aqol,",
437,"Shaper,","B'itol,",
438,"She Who Has Borne Children,","Alom,",
439,He Who Has Begotten Sons.,K'ajolom.,
440,“Merely let us try again.,“Xa qa tija' chik.,440
441,Approached,Mi xyopij,
442,"Its sowing,","Rawaxik,",
443,Its dawning.,U saqirik.,
444,"We shall make provider ours,","Qa b'ana' tzuqul qe,",
445,Sustainer ours.,Q'o'l qe.,
446,"How then may we be called upon,","Jupacha ta kojsik'ixoq,",
447,That we be remembered also on its face earth?,Ta kojna'b'ax puch chuwach ulew?,
448,"We tried it to the first our framing,","Mi xqatijo chirech ri nab'e qa tz'aq,",
449,Our shaping.,Qa b'it.,
450,"Not did it succeeded our being worshiped,","Mawi mi xutzinik qa q'ijiloxik,",450
451,Our being revered also by them.,Qa q'ala'ixik puch kumal.,
452,Thus let us try,Keje' k'ut qa tija' wi,
453,Its making,U b'anik,
454,"Honorer,","Aj nim,",
455,"Respecter,","Aj xob',",
456,"Provider,","Tzuqul,",
457,"Sustainer,” they said.","Q'o'l,” xecha'.",
458,"Then its framing therefore,","Ta u tz'aqik k'ut,",
459,Its making as well.,U b'anik puch.,
460,"Earth,","Ulew,",460
461,Mud,Xoq'o'l,
462,Its flesh they made.,U tio'jil xkib'ano.,
463,Not therefore good they saw it.,Ma k'u utz xkilo.,
464,"Merely it would come undone,","Xa chiyojomanik,",
465,"Merely crumbled,","Xa tzub'ulik,",
466,"Merely sodden,","Xa neb'elik,",
