topic_id,top_terms,gloss,label
0,"kati't, ix, qati't, xecha', b'a",kati't,kati't T0
1,"b'alam, tojil, kitze, amaq', majukutaj",b'alam,b'alam T1
2,"pop, ajaw, tinamit, nim, k'am",pop,pop T2
3,"b'it, kaj, tz'aq, b'itol, tz'aqol",b'it,b'it T3
4,"kaqix, nu, k'ajolab', in, ati't",kaqix,kaqix T4
5,"kame, kik', xib'alb'a, jolom, samajel",kame,kame T5
