chap_num,chap_title,page_num,xom_start,xom_end,xom_start_fixed,xom_end_fixed
77,The Titles Given to Those Who Were Ennobled,284,8181,8231,8191,8241
78,The Names of the Gods’ Houses,285,8232,8325,8242,8335
79,The Prayer of the Lords to their Gods,289,8326,8490,8336,8500
80,The Generations of Quiché Lords,292,8491,8515,8501,8525
81,The Dynasty of Cavec Quiché Lords,293,8516,8555,8526,8565
82,The Great Houses of the Cavec Lords,299,8556,8595,8566,8605
83,The Dynasty of Nihaib Lords,301,8596,8631,8606,8641
84,The Great Houses of the Nihaib Lords,302,8632,8663,8642,8673
85,The Dynasty of Ahau Quiché Lords,303,8664,8679,8674,8689
86,The Great Houses of the Ahau Quiché Lords,304,8680,8695,8690,8705
87,The Three Great Stewards as Mothers of the Word,305,8696,8716,8706,8726
