doc_id,0,1,2,3,4,5
0,1.8657802111360805e-21,3.7906226998850304e-22,9.516996077832912e-09,0.4203499035829348,1.764460654522512e-35,1.578225823933865e-34
1,4.139104341734695e-18,2.4531303264723627e-23,2.0982119607041223e-26,0.4433326150184879,2.635085623216239e-21,2.4817787758187223e-12
2,5.146130473107384e-25,8.500098567828456e-41,3.88047465386205e-39,0.44997088000794094,1.2531773879497534e-24,4.499610952455241e-23
3,2.097567972104537e-19,7.623989563585053e-24,1.3311537548457353e-38,0.43492223188763635,7.278350006424112e-08,2.888643087582283e-15
4,0.0004323977736946476,4.735682028673963e-11,9.472186715371038e-12,0.20925898578812246,0.20515046905302167,3.1406829093850556e-21
5,1.659425950357263e-24,1.4059112980761156e-12,1.688137721262959e-12,0.0013745703126531851,0.3757669673537614,6.249904714473899e-23
6,7.756140515381112e-17,1.904091605349235e-34,4.49111189644523e-14,3.1992758880811995e-23,0.38025691231985037,1.7555034751637093e-17
7,1.0383291122558129e-17,2.0809659886535237e-32,3.7410716072046977e-31,1.7961155713724762e-26,0.3943243598502366,4.473109243002787e-22
8,1.7510827180056885e-09,1.7357124215896178e-22,2.0663005563330177e-36,4.529665006999901e-28,0.35964022345911284,7.52079730851888e-24
9,8.491111495152931e-16,3.4342560816640035e-25,2.9941463590253302e-27,6.096126302682892e-11,0.4163629043470017,1.2349581369033107e-24
10,6.57493106825911e-05,3.81572297716594e-11,5.638602400232647e-27,0.03579222530904827,0.36542195770907515,1.970293773058812e-08
11,0.24870145132155955,6.420287698933145e-26,1.5373572715565608e-07,0.15569142434451969,7.065986664525752e-18,0.02795339986365604
12,0.38792361924812696,8.968593166239668e-36,0.00789015160536144,1.5581998730148286e-25,5.962787769592502e-14,0.0004626179128682098
13,0.3613212205268061,3.483356893410558e-31,1.0254529294947539e-34,6.247397185296325e-22,1.5746945584828508e-22,3.450615556751173e-20
14,0.36571960149208504,1.5603282563783697e-15,2.748657655130641e-06,4.242340903693888e-09,0.023583067579696443,1.08848424969636e-17
15,0.16947504352003714,1.190423826560383e-16,0.021359461384989845,0.03143663906372027,0.19631210746391675,1.5645988261431337e-22
16,0.15281280189889773,6.073091546006795e-19,7.787074202145673e-12,9.982241400049207e-13,0.20272768353667198,0.043849942528875814
17,2.7073821788034635e-15,5.945134810987448e-36,2.610340773472344e-16,2.313440186942972e-33,0.2564986347219935,0.1389877067052756
18,2.7215108529966365e-16,2.599634006233165e-25,7.40820785083297e-33,5.072429210788674e-30,9.361808188158966e-22,0.44323933115333564
19,5.3139255189540155e-21,1.1165048820989211e-38,2.899616930793041e-36,6.707579386201928e-29,3.6036098147439274e-23,0.45349914671024955
20,1.099624615287102e-29,2.9028029392759034e-32,1.5087410567484204e-32,9.299996027495664e-26,9.252387349992531e-32,0.48825579368384925
21,1.702508081460581e-10,6.824518712553171e-19,1.1804596235019896e-23,3.710652019993329e-24,0.03907093840205256,0.479908576762206
22,0.1954662603924717,2.1811824643030606e-21,7.787643368058706e-30,9.01123638849832e-23,0.03027055399557491,0.2360277724472478
23,0.02738778943896434,1.5597207855341102e-45,3.999228891704397e-39,1.2500936619440877e-44,0.3174361397883638,6.96058883967094e-18
24,0.32405089268934967,6.427045203900511e-24,2.1035022859160298e-24,9.100354628251843e-14,0.012051929740848972,0.12042073801225908
25,0.3264802511202438,1.5995818217865183e-25,2.0884719551676725e-33,3.8744732397157366e-33,1.748108453370849e-09,4.397596067226143e-25
26,0.38534574493456414,3.654231531184497e-27,1.1823672157347944e-36,6.558582016386545e-23,1.671069135541548e-10,2.9324202081040684e-17
27,0.38611741058671734,2.0016464957645405e-18,7.27581572697037e-27,1.5588653485141257e-28,4.076991338579051e-11,2.9079765586453322e-12
28,0.2617510535937083,0.0006737326888881188,1.4038591460107978e-14,4.944663456836345e-06,0.0022659524193924933,0.17572270546009103
29,0.40485751009732995,2.3592264131099743e-25,7.06100322608261e-15,5.103080650441831e-27,2.3526588725374383e-11,7.040739366139428e-12
30,0.2846583458696051,2.180309915305249e-21,3.99020248791912e-21,4.521673046191641e-23,4.476474658453977e-12,0.1787149564597519
31,0.40227842721642226,1.4399856779784553e-24,1.3969398519718376e-05,1.0924687496195826e-18,3.4453580167833846e-06,3.035378140585624e-13
32,0.3744160805496974,3.771880243838789e-10,0.026160285795860067,1.3165536470160649e-08,2.2267295159987414e-09,5.107666935098025e-09
33,0.023355758315273017,3.656341044775004e-09,0.04745161222446717,0.22167191320380156,0.008758871361497073,0.19584287917966403
34,2.2612307109581153e-21,1.2981993275228e-07,2.956565289607821e-19,0.4808528988588666,6.656351831837841e-22,1.8749419216566644e-31
35,3.0098119976445605e-22,0.0828343826071989,9.5995984879856e-13,0.419397353668328,2.3381487828119034e-22,2.6237033183469978e-15
36,1.1847341121687955e-30,0.1958633513892218,0.05331267492630503,0.21079152147920732,2.2731570823627676e-28,1.06275580615477e-20
37,0.0011513027314843049,0.42700919070020693,2.5958012928212544e-09,1.48394949129635e-14,2.860108024076896e-11,1.133375268847053e-25
38,0.09226762732949316,0.2265355655775277,3.370888661395601e-27,0.0364520355292955,7.647519339853383e-08,1.958137854734094e-11
39,2.846138344983841e-05,0.42532430491800644,1.3879839919763116e-25,4.450222344113639e-17,1.2756455257935876e-13,3.70434257535722e-18
40,3.5913422692853354e-21,0.39559292572196897,1.2719668166390912e-23,6.279955750260862e-18,0.010584506674640094,4.647237671356058e-22
41,3.42392873331969e-22,0.4065334437101502,1.5902196721645678e-22,4.026059088286273e-19,7.973607256156809e-24,2.512088475360822e-29
42,2.5334898080570855e-12,0.3503306089884114,1.0910944053556068e-22,4.12930547431282e-08,4.845390850957399e-11,0.07742960169416598
43,5.651632172751748e-17,0.39796714026835484,1.6143472656620863e-08,6.981254208250527e-18,6.670182842556402e-24,6.964932728065792e-26
44,1.1493779664771323e-10,0.26319662105417857,9.26788177957245e-16,1.140050471418243e-22,8.857998540202358e-29,0.1440925119088537
45,9.833019786029474e-07,0.29256517876050636,7.022532212318927e-16,6.720533491785841e-16,4.277678745814891e-10,0.11375097823447983
46,0.25912314338338155,0.11153413937806615,8.653827746222471e-12,4.893794937411821e-34,5.1238998136348434e-15,1.6514543046524528e-18
47,0.19548226562331142,0.20702500021064946,2.8564114183545748e-06,2.290799558397179e-10,2.3251385768248263e-05,3.0717577446536625e-07
48,0.06789214148509318,0.3288425348190547,2.523102906365984e-06,6.868559773751404e-11,0.002246700405206208,3.0020253957320365e-15
49,0.02638593409917791,0.29234758525497134,0.053875868333033046,8.765787228993946e-17,0.05037439103041241,4.883436831319168e-07
50,5.527324743396909e-08,0.3847334292164385,0.038407083481907474,2.5232771960751504e-06,1.0381053975489544e-20,1.4250404182241026e-17
51,1.1743933607398215e-13,0.24934345945513892,0.17732975335999002,5.654917000366979e-39,7.25626691333499e-25,0.03313357222955113
52,1.3919870831721414e-22,2.3009162747105265e-12,0.43808635089876047,5.5216060825415995e-36,3.924402052482435e-26,8.242909279992955e-32
53,5.868835386483483e-26,8.874713647913607e-18,0.44132646219735766,1.5574522556095276e-34,8.830543631782036e-33,2.5507815161832232e-17
54,4.142907589879546e-21,1.9432603223601615e-17,0.41803023751203744,1.2958572950916524e-33,2.058415933776288e-25,2.010058428204709e-19
55,0.005119837651943508,1.9245269913233595e-05,0.4541187987604557,5.738743628290787e-05,7.694421170509463e-05,6.038149275757895e-11
56,7.228783684585958e-34,3.95729665444735e-16,0.3531256799528103,7.197858445180236e-29,4.0476979331741955e-27,2.611848821221634e-35
57,2.965764746504748e-17,3.023055676061303e-10,0.4297409908701485,0.00251241829887493,4.0988446862522824e-10,2.816198309190977e-21
58,9.604454607858862e-37,0.011436963826385992,0.40550379567411665,6.2490980926733245e-30,4.493180747537944e-28,1.116315675956783e-55
59,5.852937103090766e-31,4.6742865818405723e-11,0.34218897499842144,2.1005811155976827e-21,5.488711175480247e-31,5.3825972853715656e-40
