doc_id,doc_str
216,"Ta winaqiroq winaq tz'aq,"
217,"Winaq b'it,” xecha' k'ut."
218,Ta xwinaqir k'u
219,Ri ulew
220,Kumal.
221,Xa ki tzij
222,Xk'oje' wi
223,U winaqirik.
224,Chiwinaqir
225,"Ulew,"
226,"“Uleuj,” xecha'."
227,Lib'aj chi xwinaqirik.
228,"Keje' ri xa sutz',"
229,"Xa may wi,"
230,"U winaqirik chik,"
231,U pupuje'ik.
232,Ta xta' pe pa ja'
233,Ri juyub'.
234,Ju suk' nima'q juyub'
235,Xuxik.
236,"Xa ki nawal,"
237,"Xa ki pus,"
238,Xb'antaj wi u na'ojixik
239,"Juyub',"
240,Taq'aj.
241,Ju suk' rach winaqirik
242,"U k'isisil,"
243,U pachajil u wach.
244,Keje' k'ut xki'kot wi ri Q'ukumatz:
245,"“Utz mi xatulik,"
246,At u K'u'x Kaj:
247,"At Juraqan,"
248,"At pu Ch'i'pi Kaqulja,"
249,Raxa Kaqulja.
250,"Xchutzinik qa tz'aq,"
251,"Qa b'it,” xecha' k'ut."
252,Nab'e k'ut xwinaqir
253,"Ulew,"
254,"Juyub', taq'aj,"
255,"Xch'ob'och'ox u b'e ja',"
256,Xb'inije'ik k'oleje' raqan
257,Xo'l taq juyub'.
258,"Xa ch'ob'ol chik xek'oje' wi ja',"
259,Ta xk'utunije'ik nima'q juyub'.
260,"Keje' k'ut u winaqirik ulew ri',"
261,Ta xwinaqirik kumal
262,"Ri u K'u'x Kaj,"
263,"U K'u'x Ulew, ke'uchaxik."
264,"Ri' k'ut,"
265,E nab'e
266,Xkino'jij.
267,"Xk'olo wi ri kaj,"
268,"Xk'olo nay puch ulew chupan ja',"
269,"Keje' k'ut u no'jixik ri',"
270,"Ta xkino'jij,"
271,Ta xkib'isoj
272,"Rutzinik,"
273,U b'anatajik kumal.
274,TA xkino'jij chik
275,"U chikopil juyub',"
276,"Chajal re k'eche'laj,"
277,Ronojel u winaqil juyub':
278,"Ri kiej,"
279,"Tz'ikin,"
280,"Koj,"
281,"B'alam,"
282,"Kumatz,"
283,"Sochoj,"
284,"K'an Ti',"
285,Chajal k'a'am.
286,"Kacha' ri Alom,"
287,K'ajolom:
288,“Xa pa chilolinik?
289,Ma xa'on chitz'ininik
290,"U xe' che',"
291,K'a'am?
292,K'ate utz chik'oje'
293,"Chajal re,” xecha' k'ut."
294,"Ta xkino'jij,"
295,"Xkitzijoj puch,"
296,Ju suk'u xwinaqir
297,"Kiej,"
298,Tz'ikin.
299,Ta xkisipaj k'ut rochoch
300,"Kiej,"
301,Tz'ikin.
302,"“At kiej,"
303,"Pa b'e ya',"
304,Pa siwan
305,Katwar wi.
306,Waral katk'oje' wi
307,"Pa k'im,"
308,"Pa saq'ul,"
309,Pa k'eche'laj
310,Kipoq'o' wi iwib'.
311,"Kajkaj i b'inib'al,"
312,"I chakab'al chuxik,” xe'uchaxik."
313,Ta xkich'ik k'ut
314,Kochoch
315,"Ch'uti tz'ikin,"
316,Nima tz'ikin.
317,"“Ix, ix tz'ikin, chuwi' che',"
318,Chuwi' k'a'am
319,"Kixochochin wi,"
320,Kixjain wi.
321,"Chiri' kixpoq' wi,"
322,Kixk'iritaj wi
323,"Chuq'ab' che',"
324,"Chuq'ab' k'a'am,”"
325,"Xe'uchaxik kiej,"
326,Tz'ikin.
327,Ta xkib'ano
328,"Ki b'anoj,"
329,"Ronojel xuk'amo u warab'al,"
330,U yakalib'al.
331,Keje' k'ut kochoch wi
332,Chikop ri ulew.
333,"Xuya'o,"
334,"Alom,"
335,K'ajolom.
336,Xutzininaqa chik ronojel
337,"Ri kiej,"
338,Tz'ikin.
339,"TA xe'uchax chi k'ut ri kiej,"
340,Tz'ikin
341,"Rumal Tz'aqol,"
342,"B'itol,"
343,"Alom,"
344,"K'ajolom,"
345,“Kixch'awoq!
346,Kixsik'inoq!
347,"Mixyonolikinik,"
348,Mixsik'inik.
349,Kixch'awajetaj
350,"Chi jujunal,"
351,"Chi ju taq ch'ob'il,"
352,"Chi ju taq molajil,”"
353,"Xe'uchaxik ri kiej,"
354,"Tz'ikin,"
355,"Koj,"
356,"B'alam,"
357,"Kumatz,"
358,“Chib'ij na k'ut ri qa b'i'.
359,"Kojiq'ijarisaj,"
360,"Oj i chuch,"
361,Oj i qajaw.
362,Kixcha' wa' na k'ut:
363,"‘Juraqan,"
364,"Ch'i'pi Kaqulja,"
365,"Raxa Kaqulja,"
366,"U K'u'x Kaj,"
367,"U K'u'x Ulew,"
368,"Tz'aqol,"
369,"B'itol,"
370,"Alom,"
371,K'ajolom.’
372,Kixch'awoq!
373,Kojisik'ij!
374,Kojiq'ijila'!” xe'uchaxik.
375,"Ma k'u xutzinik,"
376,Xech'awik keje' ta ri' winaq.
377,"Xa kewech'elajik,"
378,"Xa kek'aralajik,"
379,Xa kewojonik.
380,Mawi xwachinik u wach ki ch'ab'al.
381,
382,"Ri Tz'aqol,"
383,B'itol:
384,“Mawi mi xutzinik
385,"Mi xech'awik,”"
386,Xecha' chik chi kib'il kib':
387,“Mawi mi xutzin
388,U b'ixik qa b'i' rumal.
389,"Oj Kaj Tz'aq,"
390,"Oj pu Kaj B'it,"
391,"Mawi utz,” xcha' chik chi kib'il kib',"
392,"Ri Alom,"
393,K'ajolom.
394,Xe'uchax k'ut:
395,“Xa kixjalatajik
396,"Rumal mawi mi xutzinik,"
397,Mawi mi xixch'awik.
398,Mi k'u xqajal qa tzij.
399,"Iwecha',"
400,"I k'uxun,"
401,"I warab'al,"
402,I yakalib'al.
403,Xiwech wi
404,Mi xe'uxik
405,"Siwan,"
406,K'eche'laj.
407,"Rumal mawi xutzin qa q'ijiloxik,"
408,Mawi ix sik'iy qe.
409,"K'a k'o,"
410,"K'o wi lo,"
411,"Q'ijilonel,"
412,"Nimanel chiqab'an chik,"
413,Xa chik'am i patan.
414,Xa i tio'jil chikach'ik.
415,Ta chuxoq.
416,"Are' k'ut chipatanij,”"
417,Xe'uchaxik.
418,"Ta xepixab'axik,"
419,"Ch'uti chikop,"
420,Nima chikop k'o chuwach ulew.
421,"Ta xraj k'u kitij chik ki q'ij,"
422,"Xraj kitijitob'ej chik,"
423,Xraj pu kinuk' chik q'ijilab'al.
424,"Xma xkita wi ki ch'ab'al chi kib'il kib',"
425,"Xma xnawachir wi k'ut,"
426,Xma xb'anataj wi puch.
427,"Keje' k'ut xech'akataj wi ki tio'jil,"
428,"Xkipatanij,"
429,"Xeti'ik,"
430,"Xekamisaxik,"
431,Ri chikop k'o waral
432,Chuwach ulew.
433,"KEJE' k'ut u tijtob'exik chik winaq tz'aq,"
434,"Winaq b'it,"
435,"Kumal Tz'aqol,"
436,"B'itol,"
437,"Alom,"
438,K'ajolom.
439,“Xa qa tija' chik.
440,Mi xyopij
441,"Rawaxik,"
442,U saqirik.
443,"Qa b'ana' tzuqul qe,"
444,Q'o'l qe.
445,"Jupacha ta kojsik'ixoq,"
446,Ta kojna'b'ax puch chuwach ulew?
447,"Mi xqatijo chirech ri nab'e qa tz'aq,"
448,Qa b'it.
449,"Mawi mi xutzinik qa q'ijiloxik,"
450,Qa q'ala'ixik puch kumal.
451,Keje' k'ut qa tija' wi
452,U b'anik
453,"Aj nim,"
454,"Aj xob',"
455,"Tzuqul,"
456,"Q'o'l,” xecha'."
457,"Ta u tz'aqik k'ut,"
458,U b'anik puch.
459,"Ulew,"
