chunk_id,n_tokens,short_label,long_label,cluster_label,max_cluster,max_cluster_gloss,top_topic_6,max_topic
16,489,[16] 19 20,[16] 19: The Maiden Lady Blood and the Tree of One Hunahpu 20: The Ascent of Lady Blood from Xibalba,2,2,q'apoj,1,kame
17,489,[17] 20 21,[17] 20: The Ascent of Lady Blood from Xibalba 21: Lady Blood and the Miracle of the Maize,2,2,q'apoj,1,kame
18,489,[18] 21 22,[18] 21: Lady Blood and the Miracle of the Maize 22: Hunahpu and Xbalanque in the House of the Grandmother,2,2,q'apoj,5,ch'o
19,489,[19] 22,[19] 22: Hunahpu and Xbalanque in the House of the Grandmother,2,2,q'apoj,5,ch'o
20,489,[20] 22 23,[20] 22: Hunahpu and Xbalanque in the House of the Grandmother 23: The Fall of One Batz and One Chouen,2,2,q'apoj,5,ch'o
21,489,[21] 23 24,[21] 23: The Fall of One Batz and One Chouen 24: Hunahpu and Xbalanque in the Maizefield,2,2,q'apoj,5,ch'o
22,489,[22] 24,[22] 24: Hunahpu and Xbalanque in the Maizefield,2,2,q'apoj,5,ch'o
23,489,[23] 24 25 26,[23] 24: Hunahpu and Xbalanque in the Maizefield 25: Hunahpu and Xbalanque Discover the Gaming Things 26: The Summons of Hunahpu and Xbalanque to Xibalba,2,2,q'apoj,5,ch'o
24,489,[24] 26 27,[24] 26: The Summons of Hunahpu and Xbalanque to Xibalba 27: Hunahpu and Xbalanque Receive the Summons to Xibalba,3,3,xib'alb'a,1,kame
25,489,[25] 27 28,[25] 27: Hunahpu and Xbalanque Receive the Summons to Xibalba 28: The Descent of Hunahpu and Xbalanque into Xibalba,3,3,xib'alb'a,1,kame
26,489,[26] 28,[26] 28: The Descent of Hunahpu and Xbalanque into Xibalba,3,3,xib'alb'a,1,kame
27,489,[27] 28,[27] 28: The Descent of Hunahpu and Xbalanque into Xibalba,3,3,xib'alb'a,1,kame
28,489,[28] 28 29 30,[28] 28: The Descent of Hunahpu and Xbalanque into Xibalba 29: Hunahpu and Xbalanque in the House of Cold 30: Hunahpu and Xbalanque in the House of Jaguars,3,3,xib'alb'a,1,kame
29,489,[29] 30 31 32,[29] 30: Hunahpu and Xbalanque in the House of Jaguars 31: Hunahpu and Xbalanque in the House of Fire 32: Hunahpu and Xbalanque in the House of Bats,3,3,xib'alb'a,1,kame
30,489,[30] 32 33 34,[30] 32: Hunahpu and Xbalanque in the House of Bats 33: The Head of Hunahpu is Restored 34: The Deaths of Hunahpu and Xbalanque,3,3,xib'alb'a,1,kame
31,489,[31] 34 35 36,[31] 34: The Deaths of Hunahpu and Xbalanque 35: The Resurrection of Hunahpu and Xbalanque 36: The Summons of Hunahpu and Xbalanque Before the Lords,3,3,xib'alb'a,1,kame
32,489,[32] 36 37,[32] 36: The Summons of Hunahpu and Xbalanque Before the Lords 37: Hunahpu and Xbalanque Dance Before the Lords of Xibalba,3,3,xib'alb'a,1,kame
33,489,[33] 37 38 39,[33] 37: Hunahpu and Xbalanque Dance Before the Lords of Xibalba 38: The Defeat of the Lords of Xibalba 39: The Miraculous Maize of Hunahpu and Xbalanque,3,3,xib'alb'a,1,kame
34,489,[34] 39 40 41,"[34] 39: The Miraculous Maize of Hunahpu and Xbalanque 40: The Apotheosis of the Sun, Moon, and Stars 41: The Creation of Humanity",6,6,kaj,3,b'it
35,489,[35] 41 42 43 44 45,[35] 41: The Creation of Humanity 42: The Discovery of Maize 43: The First Four Men 44: The Miraculous Vision of the First Men 45: The Gratitude of the First Men,6,6,kaj,3,b'it
36,489,[36] 45 46 47,[36] 45: The Gratitude of the First Men 46: The Displeasure of the Gods 47: The Creation of the Mothers of the Quiché Nation,6,6,kaj,3,b'it
37,489,[37] 47,[37] 47: The Creation of the Mothers of the Quiché Nation,6,6,kaj,3,b'it
38,489,[38] 47 48 49 50 51,[38] 47: The Creation of the Mothers of the Quiché Nation 48: The Arrival at Tulan 49: The Progenitors Receive their Gods 50: The Progenitors Leave Tulan 51: The Nations Ask for their Fire,4,4,b'alam,0,amaq'
39,489,[39] 51 52,[39] 51: The Nations Ask for their Fire 52: The Nations Are Deceived into Offering Themselves,4,4,b'alam,0,amaq'
40,489,[40] 52 53,[40] 52: The Nations Are Deceived into Offering Themselves 53: The People Gather on the Mountain Chi Pixab,4,4,b'alam,0,amaq'
41,489,[41] 53 54 55,[41] 53: The People Gather on the Mountain Chi Pixab 54: Their Suffering on the Mountain Chi Pixab 55: The Progenitors Await the First Dawn,4,4,b'alam,0,amaq'
42,488,[42] 55 56,[42] 55: The Progenitors Await the First Dawn 56: The Appearance of the First Dawn,4,4,b'alam,0,amaq'
43,488,[43] 56,[43] 56: The Appearance of the First Dawn,4,4,b'alam,0,amaq'
