chunk_num,xpiyakok,puj,ukab'awil,tzel,kojb'ek,xukut,uk'utb'al,qatz'aq,usachik,chutzinik,chiqaya',chikamik,xutzinik,xokik,ub'aq',kul,taqol,xutz'onoj,ub'i'nam,mata,chiwil,xkitz'onoj,chaq'ab',iwumal,xkikot,qajuyub'al,xkitzukuj,ib'i',xkikojo,kixpe,xepixab'an,kub'ul,xkikob'isaj,wila,jalajoj,kojcha',qochoch,xekuchu,uwachinel,ke'ulik,ulo,k'aslik,xuya',kipam,jarub',kib'ij,xtikar,tzalam,xtikarik,xna'ojix,chuwa,xe'ik'ow,sipakna,chiwinaqir,b'elejeb',ajlab'al,uq'ab',nuwach,upa,palo,mama',kitinamit,wub',utyo'jil,k'ool,kuchumakik',tzuqul,kaqan,puwaq,saqil,jal,jumaj,q'alel,koj,xya',qa,xril,rajawarem,kib'i,xkita'o,kak'ix,chawaxoq,utiw,xe'ulik,uch'akatajik,kiwachib'al,aq,aq'ab'al,aponoq,karaj,istayul,itzel,choq',xch'akataj,xwinaqirik,xkikoj,ra'il,chuwi',qajaw,chib'ek,suywa,kich'ab'al,kib'ix,kab'an,kal,relik,nimaq,toq'ob',chuchax,kikajaw,loq,kuk'a'm,kaq,ajtzik',q'ana,k'otuja,lab'al,q'amja,alom,k'ajolom,ik',nija'ib'ab',kakib'ano,utzijel,xpetik,kamik,chiqab'ij,nimal,chik'am,keb'e,uwi',xekikot,xkina',unimal,uq'ij,xek'ajolanik,aq'aroq,k'im,ox,xub'ij,b'anol,iwach,kanajoq,rismal,kepetoq,uk'amik,chupan,kaminaq,ilol,kojkamik,xojpe,toqob',xsaqirik,b'atz',chowen,qati't,sanik,xub'ina'j,k'ux,xepetik,xech'akataj,qamam,kikamik,xkaj,kikab'ichal,recha',kixoqil,ati't,uqajaw,chajal,poy,jom,qachuch,iwech,ub'ixik,ch'ob',kiq'ab',xkitaq,kiq'aq'al,saqiroq,ajpop,ukoq,chel,ukik'el,xkam,xoponik,xkitik'ib'a,xucha'xik,xil,xub'an,xaqi,qak'ux,k'axtok',umam,ch'umil,chinamit,qech,xe'oponik,samajel,k'a'm,xe'el,anim,xkikuch,kiwa,saqirik,chuch,utikarik,ka,iwuk',chopon,xkiya',kinawal,kej,ujolom,kati't,iwib',ajawarem,chikib'ano,xb'ek,qaqajaw,kikab'awil,keje,utzilaj,ajam,k'echelaj,xk'is,b'aq,tulan,kiqajaw,kichi',xmukane,rixoqil,q'aq'chekeleb',xuk'am,xe',naj,xch'awik,ch'ipi,b'it,ral,b'itol,tz'aqol,q'equmal,qatzij,jujunal,xkipixab'aj,kib'e,xech'awik,chib'e,k'axk'ol,iwe,tepew,achij,kajawarem,usaqirik,utukel,xkilo,xax,kib'anoj,kiq'ij,kijujunal,rax,jolom,ub'aq,xkib'ij,releb'al,xkanaj,usamajel,ukaj,juraqan,k'olik,aq'anoq,kaqulja,chuchi',rab'inaleb',ub'i,kij,wach,q'aq'al,k'amol,xch'aw,jutaq,xk'am,kawiqib',tamub',kochoch,ojer,tz'ikina,chok,taqal,chiya',xe'ul,nawal,q'ukumatz,tinamit,tz'ikin,xe,xe'uxik,chipe,ixoq,k'eche',ub'ik,xopon,xb'an,chuxe',xe'ok,qib',xekamik,xwinaqir,utzij,ajk'ajb',kichuch,q'alaj,rochoch,ajk'ixb',uk'ajol,xuchax,junam,wech,jupa,mi,tz'aq,xraj,ki,rox,najt,ilokab',kik'ajol,uchi',ju,aj,xma,jusuk',al,kixcha',chaaj,unab'e,oxib',xek'oje,kekikot,kus,xekam,ula,q'aq',uk'oje'ik,k'iche',cha',k'ya,uxe',awilix,a,nima'q,je,k'ajol,tojil,ya',qawach,raxa,juta,ke'ucha'xik,kich'akatajik,xk'oje,chucha'xik,kecha',kacha',apanoq,xkil,siwan,kik',xepe,xe'uchax,kab'awil,xul,in,xe'ucha'xik,saqi,rajawal,cha,ajilan,tzij,xkib'an,ukab',kib'il,lo,k'ajolab',xchiqab'ij,ik'i,kame,raqan,ja',on,jakawitz,sqaqi'n,xb'e,wakamik,retal,kitzij,kitze',waral,xel,xkik'am,ajaw,majukutaj,saq,xqaj,kik'oje'ik,ab'aj,kanoq,chuxik,kuk',b'e,kajib',xe'opon,xkib'ano,lib'aj,qe,k'ute,kaj,chuxoq,xeb'ek,at,chikop,ch'uti,xib'alb'a,ka'ib',apa,che',jujun,wuqub',ajawab',q'ij,amaq',uk'ux,wa',xok,chila',xpe,chu,tzatz,upam,xb'alanke,ix,wa,nim,wa'e,aq'ab',chi',k'a,ulew,nay,rib',xeb'e,oj,taq,naki,kib'i',junajpu,rij,kech,kina'oj,jusu,xcha',ja,xuxik,we,mana,juyub',kiwach,chiri',k'i,b'a,konojel,ke,xere,taj,nima,kib',kik'ux,rech,ri',la,chuwi,na,winaq,uwach,uloq,utz,ruk',chuwach,ub'i',nab'e,maja,xawi,qitzij,kumal,b'i,ronojel,re,k'o,k'eje
0,0.0517072896261735,0.0,0.0,0.04856623346687412,0.0,0.05548829943937016,0.0,0.05548829943937016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05548829943937016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103414579252347,0.0,0.0,0.0,0.0,0.206829158504694,0.206829158504694,0.0,0.0,0.0,0.0,0.0517072896261735,0.0,0.0517072896261735,0.0,0.0,0.2585364481308675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103414579252347,0.0517072896261735,0.0,0.0,0.0,0.0517072896261735,0.103414579252347,0.0,0.0,0.0,0.0,0.0,0.0,0.0517072896261735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103414579252347,0.0,0.0,0.103414579252347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09713246693374825,0.09713246693374825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517072896261735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517072896261735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045891929061001695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09713246693374825,0.0,0.0,0.04856623346687412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045891929061001695,0.0,0.0,0.04856623346687412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04856623346687412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043572731253591804,0.0,0.0,0.0,0.045891929061001695,0.0,0.0,0.045891929061001695,0.043572731253591804,0.0,0.13767578718300508,0.13767578718300508,0.09178385812200339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21786365626795903,0.0,0.0,0.0,0.16612988378849752,0.0,0.045891929061001695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13071819376077543,0.0,0.13071819376077543,0.0,0.13071819376077543,0.0,0.0,0.043572731253591804,0.0,0.0,0.0,0.0,0.043572731253591804,0.0,0.0,0.0,0.0,0.0,0.12459741284137314,0.0,0.0,0.0,0.0,0.04153247094712438,0.0,0.23830123042742124,0.038085902270094146,0.036609200487007415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04153247094712438,0.0,0.0,0.0,0.0,0.04153247094712438,0.04153247094712438,0.0,0.0,0.03526319864131012,0.0,0.0,0.0,0.0,0.0,0.0,0.04153247094712438,0.0,0.036609200487007415,0.0,0.0,0.039716871737903545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07943374347580709,0.039716871737903545,0.0,0.0,0.0,0.038085902270094146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14643680194802966,0.0,0.0,0.03526319864131012,0.0,0.038085902270094146,0.038085902270094146,0.0,0.03526319864131012,0.0,0.0,0.0,0.038085902270094146,0.0,0.0,0.0,0.03526319864131012,0.14643680194802966,0.0,0.0,0.0,0.0,0.034029242746960724,0.0,0.0,0.0,0.031840174641921924,0.034029242746960724,0.0,0.0,0.0,0.0,0.03289232032498129,0.0,0.1701462137348036,0.03526319864131012,0.03526319864131012,0.0,0.034029242746960724,0.0,0.0,0.0,0.0,0.06578464064996258,0.13156928129992515,0.0,0.0,0.0,0.0,0.0,0.0,0.06805848549392145,0.0,0.1234506904372568,0.0,0.0,0.0,0.0,0.1234506904372568,0.0,0.03289232032498129,0.031840174641921924,0.0,0.0,0.06368034928384385,0.0,0.0,0.0,0.0,0.031840174641921924,0.0,0.0308626726093142,0.34021434309610527,0.0308626726093142,0.0,0.0,0.029099038478821424,0.0,0.0,0.0,0.0,0.05234066816863158,0.0,0.0,0.0,0.0,0.0,0.14149833937362866,0.0,0.0,0.0,0.02829966787472573,0.0,0.0,0.0255369555418577,0.0,0.0,0.02754800670823849,0.023823229821163566,0.08264402012471546,0.0255369555418577,0.02754800670823849,0.0,0.2042956443348616,0.024936378189966392,0.0268395384540432,0.0,0.0,0.0,0.07146968946349071,0.0255369555418577,0.04661233132288682,0.0,0.0,0.02617033408431579,0.0,0.0,0.0,0.023823229821163566,0.0,0.0,0.0670246355835859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11170772597264318,0.0,0.0405331311842968,0.0,0.0670246355835859,0.022812838891228076,0.0,0.0,0.0,0.10133282796074199,0.03909355484031153,0.0,0.0,0.04209042140527676,0.0,0.05568894073205162,0.0810662623685936,0.01989976293719512,0.0,0.0,0.03909355484031153,0.05762040995319421,0.09603401658865701,0.054773445136482295,0.12574112705136511,0.03427120019037028
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05528815003301776,0.0,0.0,0.0,0.0,0.05528815003301776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05528815003301776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05528815003301776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05152077853415349,0.10304155706830698,0.0,0.10304155706830698,0.0,0.0,0.0,0.0,0.0,0.0,0.10304155706830698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05152077853415349,0.0,0.0,0.0,0.0,0.0,0.0,0.10304155706830698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903463140429142,0.2903463140429142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05152077853415349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05152077853415349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048391052340485706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1451731570214571,0.0,0.0,0.0,0.0,0.048391052340485706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18290557720203002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27435836580304507,0.0,0.0,0.045726394300507504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08683112393917296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09145278860101501,0.04341556196958648,0.0,0.18290557720203002,0.18290557720203002,0.0,0.045726394300507504,0.045726394300507504,0.0,0.0,0.045726394300507504,0.0,0.0,0.0,0.0,0.0,0.0,0.04341556196958648,0.0,0.045726394300507504,0.0,0.045726394300507504,0.045726394300507504,0.045726394300507504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17366224787834592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08683112393917296,0.0,0.0,0.0,0.08276532199281357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03957361075530303,0.0,0.3647714904880256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08276532199281357,0.0,0.0,0.0,0.0,0.03794852428578443,0.0,0.0,0.0,0.0,0.041382660996406785,0.0,0.03794852428578443,0.03647714904880256,0.11384557285735329,0.0,0.0,0.0,0.0,0.0,0.0,0.03513600230720987,0.0,0.0,0.03957361075530303,0.0,0.03957361075530303,0.0,0.0,0.0,0.03957361075530303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03513600230720987,0.0,0.0,0.03794852428578443,0.03794852428578443,0.0,0.0,0.0,0.0,0.07589704857156886,0.0,0.03794852428578443,0.0,0.0,0.0,0.0,0.03647714904880256,0.0,0.0,0.06781299472187614,0.0,0.0,0.06781299472187614,0.0,0.0,0.0,0.16953248680469035,0.0,0.0,0.0327736758818624,0.0,0.0,0.0,0.0,0.1054080069216296,0.03390649736093807,0.0,0.0,0.0,0.0,0.0327736758818624,0.09832102764558721,0.03513600230720987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06150269843854634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03172532534725755,0.0,0.028197589386425952,0.0,0.0,0.06150269843854634,0.0,0.09517597604177265,0.0,0.10430374488941258,0.03075134921927317,0.0,0.11597630646378285,0.11597630646378285,0.06150269843854634,0.0,0.0,0.0,0.07822780866705943,0.0,0.0,0.0,0.0,0.0,0.14098794693212977,0.0,0.0,0.0,0.0,0.028197589386425952,0.0,0.02544484231180034,0.0,0.05088968462360068,0.0,0.0,0.0,0.0,0.0,0.027448639503898944,0.2544484231180034,0.024846431276081344,0.0,0.0,0.10177936924720137,0.02544484231180034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019137523301569224,0.0,0.0,0.0,0.08904383195482315,0.0,0.0,0.0,0.021381652672079695,0.0,0.0,0.0,0.0,0.04452191597741158,0.06058038886217927,0.0,0.02226095798870579,0.04546110340524781,0.0,0.04193859889598192,0.04276330534415939,0.06058038886217927,0.03895254219669929,0.0,0.07931193350737285,0.0,0.05741256990470768,0.0,0.06058038886217927,0.0,0.0,0.0,0.07790508439339858,0.0,0.05741256990470768,0.036383916166446664,0.07159289814739915,0.13659032820114742
2,0.2892995168429576,0.0,0.0,0.05434509516328218,0.0,0.0,0.0,0.062090812859475326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062090812859475326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062090812859475326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11571980673718303,0.0,0.0,0.11571980673718303,0.11571980673718303,0.0,0.11571980673718303,0.10869019032656436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11571980673718303,0.11571980673718303,0.0,0.0,0.0,0.057859903368591516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434509516328218,0.05434509516328218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057859903368591516,0.0,0.0,0.0,0.0,0.057859903368591516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05135257717170576,0.0,0.0,0.0,0.0,0.0,0.05434509516328218,0.0,0.0,0.0,0.0,0.0,0.09751483932208574,0.0,0.0,0.2567628858585288,0.0,0.0,0.0,0.05434509516328218,0.0,0.10869019032656436,0.0,0.0,0.10869019032656436,0.0,0.0,0.05434509516328218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20541030868682303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042617716785871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24378709830521433,0.0,0.0,0.0,0.0,0.0,0.0,0.24378709830521433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19502967864417148,0.0,0.20541030868682303,0.20541030868682303,0.0,0.0,0.0,0.0,0.0,0.05135257717170576,0.0,0.0,0.0,0.09751483932208574,0.04875741966104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18589756090739315,0.0,0.0,0.0,0.0,0.04875741966104287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888550830924312,0.0,0.0,0.0,0.09294878045369658,0.0,0.09294878045369658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04647439022684829,0.0,0.040965303304303105,0.042617716785871,0.08888550830924312,0.0,0.0,0.0,0.0,0.085235433571742,0.0,0.0,0.0,0.08888550830924312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042617716785871,0.0,0.0,0.0,0.0,0.0,0.040965303304303105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078358221445965,0.0,0.0,0.11041846261898228,0.0,0.038078358221445965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03680615420632742,0.03680615420632742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0345350001475903,0.0,0.0,0.0,0.0,0.0690700002951806,0.0,0.0,0.0,0.0,0.035628814454203184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08785297076231563,0.1381400005903612,0.0,0.16280756220988282,0.0,0.0,0.0,0.0,0.0,0.20499026511206977,0.0,0.0,0.0,0.15994763430986803,0.0,0.09500107588888362,0.0,0.0,0.0,0.03166702529629454,0.0,0.030825924500385488,0.0,0.0,0.0,0.0,0.02665793905164467,0.0,0.0,0.0,0.0,0.08572673934345892,0.0,0.0,0.0,0.0,0.0,0.0,0.028575579781152972,0.1043173991762209,0.028575579781152972,0.08572673934345892,0.02928432358743854,0.0,0.024012454638029368,0.04298441446139756,0.0,0.02449551238333632,0.02726521243034409,0.0,0.04899102476667264,0.047098730814540135,0.0,0.024012454638029368,0.0,0.04999989964301323,0.0,0.12499974910753309,0.04999989964301323,0.022678069866987647,0.025527322421122683,0.024999949821506617,0.05105464484224537,0.045356139733975294,0.0,0.0,0.1360684192019259,0.10936317305298245,0.02187263461059649,0.022267621624111722,0.023549365407270068,0.08596882892279512,0.04154355221157208,0.06803420960096294,0.06680286487233517,0.0,0.0,0.04374526922119298,0.10746103615349388,0.0,0.04086059903318438,0.020100424947673935,0.03834910600954704
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06752740437236601,0.0,0.0,0.0,0.0,0.06752740437236601,0.0,0.0,0.0,0.2517041676075051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06752740437236601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12585208380375254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11820696324434232,0.12585208380375254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10108725582028202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06292604190187627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23641392648868464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558489426138624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558489426138624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05910348162217116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1675468278415872,0.0,0.05302655645781173,0.05302655645781173,0.0,0.0,0.0,0.0,0.0558489426138624,0.0,0.0,0.0,0.0,0.0,0.1116978852277248,0.1116978852277248,0.0,0.1590796693734352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558489426138624,0.0,0.05054362791014101,0.0,0.0,0.0,0.0,0.0,0.05302655645781173,0.0,0.0,0.0,0.0,0.0,0.05302655645781173,0.0,0.05302655645781173,0.0,0.0,0.05302655645781173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05054362791014101,0.05054362791014101,0.0,0.04833410440306063,0.0,0.0,0.0,0.0,0.0,0.05054362791014101,0.0,0.0,0.0,0.0,0.05054362791014101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04833410440306063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05054362791014101,0.0,0.08910434488036022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04291413321679994,0.0,0.0,0.0,0.04833410440306063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046349269115540465,0.09269853823108093,0.046349269115540465,0.0,0.04833410440306063,0.0,0.04291413321679994,0.0,0.0,0.0,0.0,0.04291413321679994,0.0,0.0,0.09269853823108093,0.046349269115540465,0.09269853823108093,0.0,0.0,0.04291413321679994,0.0,0.0,0.04455217244018011,0.0,0.0,0.0,0.0,0.04455217244018011,0.0,0.0,0.0,0.3312996013468029,0.0,0.0,0.0,0.040028853610072294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11624528252200955,0.11267652069126526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07511768046084351,0.0,0.0,0.11624528252200955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07749685501467304,0.0,0.15924210600493086,0.07511768046084351,0.0,0.0,0.07082511297191475,0.037558840230421754,0.0,0.0,0.0,0.15924210600493086,0.0,0.09104021445760976,0.0,0.20294451675224146,0.0,0.03443974919916832,0.0,0.035412556485957376,0.031077620700890093,0.13775899679667328,0.0,0.0,0.0,0.0,0.062155241401780185,0.033525002702100966,0.05798414764349756,0.0,0.0,0.0,0.033525002702100966,0.12431048280356037,0.06069347630507318,0.09798846160355935,0.0,0.0,0.0,0.02899207382174878,0.0,0.0,0.0,0.031077620700890093,0.0,0.0,0.13057477102007833,0.0467480743667091,0.0,0.026640307862637772,0.029652519274457178,0.0,0.21312246290110218,0.0,0.027762461856897055,0.0,0.026640307862637772,0.1087556527698518,0.10656123145055109,0.0,0.0543778263849259,0.0,0.0,0.0,0.027762461856897055,0.024663732423002845,0.10244526990930887,0.026114954204015665,0.2959647890760342,0.16651442005874023,0.14272664576463445,0.0,0.0,0.07012211155006366,0.06777157811424649,0.04932746484600569,0.04843469172244109,0.022590526038082162,0.023787774294105744,0.023787774294105744,0.02337403718335455,0.0934961487334182,0.0,0.06558117671465646,0.10426726070917544
