chunk_num,jok,uk'utb'al,ub'i'nam,qajuyub'al,chiqaya',iwumal,xkitz'onoj,xkitzukuj,mata,xutz'onoj,pek,kipam,chaq'ab',kanti,chutzinik,xkikot,xkikojo,xkikob'isaj,chuwa,kanuta'o,kojb'ek,kojb'e,kojcha',xekuchu,ke'ulik,xe'ik'owik,ulo,xuya',k'aslik,chiwinaqir,uk',uq'ab',kikamik,upa,nuwach,xub'an,katz,kichaq',q'alel,xare,wub',kitinamit,kuchumakik',ixim,kaqan,saqil,kab'raqan,kimi'al,xril,chub'inik,xya',uch'ab'al,utyo'jil,xe'ik'ow,kiwa,nimaq,mixutzinik,ajtzik',k'aslem,kich'ab'al,kib'ix,suywa,chib'ek,kab'an,chuwi',ra'il,xch'akataj,kal,xkikoj,qatz,kikajaw,kuk'a'm,sis,karaj,chuch,aq'ab'al,toq'ob',kiwachib'al,ula',choq',kikab',kaq,b'elejeb',ajlab'al,ox,wij,uq'ij,kaminaq,aq'aroq,unimal,xojpe,b'anoj,kakib'ano,xkina',quk',chik'am,k'im,taq'aj,kepetoq,kamik,b'anol,uwi',nimal,kojkamik,keb'e,xub'ij,kanajoq,chupan,utzijel,xek'ajolanik,ilol,xpetik,iwach,rismal,uk'amik,chiqab'ij,toqob',umam,xpiyakok,q'apoj,lab'al,jal,xsaqirik,jumaj,k'ux,xub'ina'j,puwaq,kawisimaj,tzuqul,qamam,k'ool,puj,utzilaj,ajb'it,tzel,rixoqil,ajam,iwech,ajtz'aq,utiw,xe'ulik,ch'ob',chawaxoq,ukab'awil,kiq'aq'al,k'axtok',ukoq,xkita'o,xucha'xik,xil,xkitik'ib'a,ukik'el,xoponik,chel,poy,xkam,mama',kawiqib',kekikotik,saqirik,xkiya',istayul,iwuk',utikarik,chuchax,chopon,ka,xe'el,aq,relik,itzel,kinawal,xkikuch,mixb'isonik,anim,aponoq,qajoq,sipakna,chikib'ano,ik',kikab'awil,xkaj,kikab'ichal,achij,chajal,uqajaw,sanik,xk'is,kichi',alom,k'ajolom,nija'ib'ab',naj,q'aq'chekeleb',recha',xuk'am,saqiroq,ch'ipi,xech'akataj,xch'awik,xkitaq,jom,ral,chib'e,qachuch,k'axk'ol,ub'ixik,q'equmal,jujunal,kiq'ab',qatzij,xech'awik,kak'ix,b'aq,kib'anoj,rax,qak'ux,kib'i,kijujunal,xkilo,xaqi,kiq'ij,xax,chinamit,b'atz',chowen,k'otuja,q'ana,ukaj,iwib',xkanaj,koj,xepetik,kiqajaw,kaqulja,kixoqil,utukel,xe'oponik,qech,iwe,chipe,xe',kij,rab'inaleb',wach,ub'i,ixoq,chiya',xch'aw,jutaq,jupa,xk'am,qaqajaw,nawal,ajawarem,ajpop,xb'ek,ojer,qati't,tz'ikina,xkipixab'aj,kib'e,jolom,ujolom,kej,kajawarem,taqal,al,k'olik,usamajel,samajel,xe'ul,ub'ik,b'itol,ju,b'it,kati't,q'amja,k'a'm,aj,xe'uxik,ch'umil,k'eche',xmukane,juraqan,chuchi',cha',tulan,xekamik,q'aq'al,aq'anoq,xwinaqir,keje,utzij,ati't,tz'aqol,usaqirik,k'echelaj,xraj,k'amol,tamub',wech,junam,ub'aq,rox,nima'q,najt,chuxe',mi,ilokab',kixcha',chaaj,unab'e,kus,chok,releb'al,xb'an,k'ya,qib',xkib'ij,je,kochoch,uchi',xepe,juta,raxa,ki,uk'oje'ik,kich'akatajik,xma,ke'ucha'xik,tinamit,xek'oje,xekam,xe'ok,kacha',kik'ajol,k'ajol,tz'ikin,rochoch,q'ukumatz,tepew,xkil,xopon,oxib',q'alaj,xul,tz'aq,xe,kitzij,qawach,a,uxe',rajawal,ajilan,jusuk',q'aq',uk'ajol,cha,ajk'ajb',ukab',ya',ula,apanoq,kekikot,k'iche',kecha',chucha'xik,awilix,tzij,ajk'ixb',xk'oje,xe'ucha'xik,kichuch,raqan,xkik'am,saqi,xkib'an,xuchax,xe'uchax,on,xqaj,sqaqi'n,kik'oje'ik,xel,lo,chuxik,xb'e,wakamik,chuxoq,kik',xe'opon,kib'il,siwan,kajib',retal,k'ute,kab'awil,xpe,ja',tojil,ab'aj,in,kanoq,b'e,k'ajolab',kuk',xchiqab'ij,ch'uti,xeb'ek,waral,qe,saq,kame,lib'aj,jujun,ik'i,ka'ib',jakawitz,kaj,xok,apa,tzatz,wa',ajaw,chikop,k'a,xeb'e,xib'alb'a,xkib'ano,chu,wa,majukutaj,at,wa'e,kitze',uk'ux,che',chila',naki,kina'oj,kech,upam,q'ij,oj,ajawab',amaq',wuqub',ix,nay,xb'alanke,jusu,chi',rij,rib',kib'i',nim,taq,xcha',we,xuxik,juyub',aq'ab',mana,ulew,ri',ja,ke,rech,konojel,kiwach,junajpu,b'a,xere,k'i,taj,kib',kik'ux,chiri',nima,chuwi,la,na,nab'e,uwach,ruk',winaq,chuwach,utz,maja,b'i,uloq,qitzij,ub'i',ronojel,xawi,re,kumal,k'o,k'eje
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28349604017441804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35437005021802254,0.0,0.0,0.0,0.0,0.0,0.07087401004360451,0.0,0.0,0.0,0.14174802008720902,0.0,0.0,0.07087401004360451,0.0,0.0,0.0,0.0,0.14174802008720902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07087401004360451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07087401004360451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07087401004360451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06709139334804944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0610263154376668,0.0,0.0,0.0,0.0,0.06709139334804944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06709139334804944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06385183504177908,0.0,0.0,0.0,0.1220526308753336,0.1220526308753336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06385183504177908,0.0,0.0,0.0,0.0,0.0,0.18307894631300042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22516150762118217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17558028757669863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05852676252556622,0.17558028757669863,0.0,0.0,0.0,0.0,0.17558028757669863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05629037690529554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16887113071588664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05629037690529554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050749213547623274,0.0,0.0,0.0,0.0,0.0,0.050749213547623274,0.04919819339187072,0.0,0.15224764064286983,0.10486572879010528,0.0,0.0,0.0,0.04919819339187072,0.0,0.0,0.0,0.0,0.0,0.05243286439505264,0.04919819339187072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19679277356748287,0.0,0.19679277356748287,0.0,0.2388117633580692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04776235267161384,0.0,0.0,0.0,0.0,0.0,0.04776235267161384,0.0,0.04776235267161384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04518160702735509,0.0,0.0,0.04401501025653397,0.0,0.0,0.08803002051306794,0.0,0.04401501025653397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08583856297132166,0.0,0.08583856297132166,0.0,0.0,0.0,0.0,0.0,0.0,0.3306735264886126,0.0,0.0,0.0,0.0,0.0,0.03911652911697246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11734958735091737,0.0,0.07348300588635835,0.034043916292438955,0.0,0.09527244277989615,0.0,0.0,0.034043916292438955,0.0,0.0,0.0,0.0,0.0,0.0,0.03343805535234522,0.0,0.0,0.0,0.0,0.0,0.034675257645138555,0.03073775184468453,0.0,0.0,0.0,0.0,0.0,0.032296280949581244,0.0,0.09527244277989615,0.0,0.0,0.0,0.09527244277989615,0.0,0.0,0.05780119354055778,0.0,0.0,0.0,0.06147550368936906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08420775262525287,0.053106577960190075,0.027672830456107803,0.05240311068263986,0.0,0.0,0.026553288980095038,0.07860466602395978,0.0,0.0,0.04856962498897527,0.12444739421857721,0.0,0.06870513905706029,0.023994095955714296,0.1567588802184254,0.021909786320694347
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07897979233778274,0.0,0.0,0.0,0.0,0.07897979233778274,0.0,0.07897979233778274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14847833552330572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14847833552330572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14847833552330572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07423916776165286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07027694923801392,0.0,0.07027694923801392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14055389847602784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07027694923801392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07027694923801392,0.07027694923801392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13376714794716982,0.0,0.0,0.0,0.0,0.06392389631777744,0.06392389631777744,0.0,0.0,0.0,0.0,0.0,0.13376714794716982,0.13376714794716982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13376714794716982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06392389631777744,0.0,0.0,0.31961948158888726,0.0,0.0,0.0,0.0,0.0,0.0,0.06392389631777744,0.0,0.0,0.0,0.06392389631777744,0.0,0.0,0.06392389631777744,0.0,0.06392389631777744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613056625271905,0.0,0.0,0.0,0.0613056625271905,0.0,0.0,0.1839169875815715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122611325054381,0.0,0.0613056625271905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05896309143320448,0.11792618286640896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05684762982623634,0.0,0.0,0.0,0.0,0.11369525965247268,0.0,0.0,0.0,0.0,0.05684762982623634,0.0,0.05684762982623634,0.0,0.0,0.05492242097848623,0.0,0.0,0.05153416507041452,0.0,0.21263531588044676,0.16476726293545868,0.0,0.0,0.05315882897011169,0.0,0.05153416507041452,0.05315882897011169,0.0,0.10984484195697246,0.0,0.0,0.05153416507041452,0.0,0.0,0.10984484195697246,0.0,0.0,0.05003014942286501,0.0,0.05315882897011169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05153416507041452,0.0,0.0,0.15009044826859502,0.0,0.0,0.0,0.0,0.0,0.05153416507041452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0473268678007809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04495712513604412,0.04495712513604412,0.18441952012904678,0.0,0.0,0.0,0.0,0.0,0.0,0.09220976006452339,0.0,0.0,0.0,0.08991425027208824,0.0,0.08991425027208824,0.0,0.046104880032261694,0.0,0.0,0.0,0.0,0.2694021432391146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04097381488054442,0.0,0.11545806138819197,0.0,0.0,0.23091612277638393,0.0713207002494452,0.0,0.0,0.04097381488054442,0.0,0.0356603501247226,0.0,0.0,0.0,0.0,0.0,0.0,0.03502572239667138,0.0,0.0,0.03773226025848988,0.0,0.037011596356905485,0.0,0.0,0.0356603501247226,0.0,0.0,0.03441604480251229,0.22538044342160862,0.0,0.0,0.2993881759299759,0.07005144479334276,0.02744562726736823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09659161860926084,0.05797351952871893,0.0,0.0,0.0,0.0,0.0,0.0,0.08820600767660433,0.02781406151569673,0.028986759764359465,0.08233688180210469,0.0,0.05417515339612106,0.0,0.0,0.0,0.0,0.02543787585504679,0.026071252272051156,0.0,0.023989105651031017,0.07540006755013053,0.0,0.09180032574893209
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13695710725527718,0.0,0.0,0.13695710725527718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06847855362763859,0.06847855362763859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06169371970686401,0.0,0.0,0.0,0.0,0.29481849635884666,0.29481849635884666,0.0,0.0,0.0,0.0,0.0,0.0,0.06169371970686401,0.06169371970686401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06169371970686401,0.0,0.06169371970686401,0.0,0.06169371970686401,0.06169371970686401,0.0,0.0,0.06169371970686401,0.0,0.0,0.0,0.06169371970686401,0.0,0.0,0.06169371970686401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058963699271769324,0.0,0.058963699271769324,0.0,0.0,0.11792739854353865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11792739854353865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3263269786420479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22619451298399962,0.0,0.056548628245999905,0.0,0.0,0.11309725649199981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056548628245999905,0.0,0.0,0.0,0.2175513190946986,0.0,0.1087756595473493,0.15730955444536368,0.0,0.0,0.056548628245999905,0.0,0.0,0.0,0.0,0.0,0.0,0.052436518148454556,0.0,0.05438782977367465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10487303629690911,0.0,0.0,0.0,0.052436518148454556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4278181819041787,0.05066069655319742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04903395108225571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05066069655319742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22429117669908083,0.0,0.0,0.0,0.0,0.0,0.0,0.08971647067963234,0.0,0.0,0.0,0.0,0.0,0.04614804251647442,0.04485823533981617,0.0,0.0,0.043654522975376926,0.0,0.0,0.13457470601944851,0.08730904595075385,0.0,0.0,0.0,0.0,0.0,0.04252735577426393,0.0,0.0,0.0,0.0,0.03863923662660739,0.0,0.0,0.0,0.08505471154852785,0.0,0.08293732263963392,0.04252735577426393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03549968427222602,0.0,0.0,0.0,0.0,0.0,0.1511777496555184,0.03863923662660739,0.0,0.0,0.03863923662660739,0.03863923662660739,0.0,0.0,0.03549968427222602,0.0,0.0,0.07099936854445205,0.06578654562066759,0.0,0.0,0.0,0.0,0.0,0.0,0.13921764941646694,0.0,0.0,0.0,0.06578654562066759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12273646485503595,0.03230788924234356,0.0,0.0,0.0,0.0,0.0,0.0,0.027120543908190364,0.0,0.0,0.0,0.08021256606975895,0.0,0.0,0.05756232542557688,0.05584758262123727,0.0,0.053475044046505965,0.0,0.025655819704499767,0.0,0.07594792272079255,0.05063194848052837,0.0249857067298516,0.0,0.0,0.0,0.0,0.0,0.04809648870480822,0.0,0.022127662625169516,0.023183124330614268,0.08654892476737769,0.08467704743155889
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17988533015255656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08994266507627828,0.0,0.0,0.0,0.08994266507627828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08994266507627828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3405693408735792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2554270056551844,0.0851423352183948,0.2554270056551844,0.0,0.0,0.2554270056551844,0.07744544787112237,0.0,0.0,0.0,0.1702846704367896,0.1702846704367896,0.0,0.0,0.0851423352183948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851423352183948,0.08103117362958834,0.0,0.08103117362958834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851423352183948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07744544787112237,0.07744544787112237,0.0,0.0,0.0,0.0,0.0,0.08103117362958834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08103117362958834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08103117362958834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15489089574224474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07744544787112237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427339015525188,0.0,0.0,0.0,0.0,0.06887236864315283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07427339015525188,0.06653992850655262,0.14854678031050375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28574121960338156,0.07427339015525188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06653992850655262,0.07143530490084539,0.07143530490084539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13774473728630565,0.0,0.0,0.06653992850655262,0.0,0.0,0.0,0.13774473728630565,0.0,0.0,0.0,0.06887236864315283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06440329133613479,0.06653992850655262,0.0,0.0,0.0,0.0,0.0,0.06440329133613479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06653992850655262,0.0,0.0,0.24245126172231865,0.0,0.0,0.0,0.0,0.06440329133613479,0.0,0.0,0.0,0.0,0.0,0.06061281543057966,0.0,0.0,0.05891872744598282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17201316022485127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05585725039964241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11171450079928481,0.10893343152459721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05075042819402282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04320343323443708,0.0,0.0,0.0,0.04758329090591982,0.0,0.12730369615777498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04400463700151232,0.0,0.04400463700151232,0.039007745119308226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08060366469720058,0.042434565385924994,0.0,0.039007745119308226,0.08060366469720058,0.0,0.0,0.14670521361579578,0.0,0.0,0.0,0.11702323535792467,0.0351182065173824,0.0,0.03325108477835544,0.037802411722338045,0.0,0.0,0.0,0.07124256772959478,0.10109235709709208,0.0351182065173824,0.13300433911342177,0.03325108477835544,0.03281729728576117,0.03369745236569736,0.03325108477835544,0.0,0.0,0.0,0.0,0.0,0.029063419756769373,0.06089941672624844,0.028419266108456413,0.02780461514344438
