chunk_num,karaj,tew,jal,kawisimaj,juwinaq,xpiyakok,b'aqil,sipakna,k'aslem,xepixab'an,k'aslik,chiwil,kawub'al,xtikarik,pe,taqol,laq,jarub',kojcha',qochoch,xokik,xtikar,xkamik,xb'anatajik,xki'kot,wuq,lab'e,xkitzukuj,k'oleje',ke'ul,ch'ek,kojb'e,xek'is,chaq'ab',kojb'ek,sik'ixik,xax,xe'najik,xekuchu,xech'aw,xkikob'isaj,xutz'onoj,chiqaya',petik,xuya',tak'al,winaqil,wila',xukut,chiqab'an,ma'ixik,chutzinik,xob',chak,xkikojo,ulo,ku'b'ul,kab'an,kumatz,raj,xech'akataj,tzijoxik,xutzinik,sanik,puj,wonon,sita'l,rixoqil,qajoq,iwumal,kaqix,pixab',recha',q'o'l,pokob',tzuqul,kaqan,jumaj,xe'ik'ow,aq'ab'al,ki',xril,keki'kotik,nab'ek,xya',chuq'ab',chawaxoq,popol,utiw,xe'ulik,chuwa,kal,xoponik,b'e'el,xkikoj,k'uwal,xsaqirik,chikamik,itzel,xwinaqirik,istayul,quk',saqiroq,qech,suywa,eta'manel,tz'alam,tzik',chuchax,aq,k'ajolom,alom,b'elejeb',ati't,mi'al,chiwila',waram,tz'um,tikarik,kakib'ano,yamanik,anim,k'im,b'inib'al,chik'am,chiqab'ij,xub'ij,b'anol,chiwech,ro',k'utb'al,rismal,xkina',kanajoq,xeki'kot,kojkamik,kaminaq,xpetik,ilol,k'amik,q'alel,chowen,puwaq,chajal,b'atz',rij,saqil,qati't,xub'i'naj,tuja,chinamit,winaqirik,kati't,kuchuma,utzilaj,koj,kixoqil,tio'jil,kej,nijaib'ab',mul,chikij,q'equ'mal,iwech,xuchaxik,xech'awik,xikin,xkitaq,xkam,kaqaj,xkita'o,xkiya',xoq',xil,ch'i'pi,xkikuch,chel,b'ixik,sis,poy,q'ana,k'a'am,xojpe,xkitz'onoj,keb'e,kamisaxik,xe'el,relik,chopon,ra'il,iwuk',xe'oponik,xepetik,iwib',tepew,xik',ajawarem,ajam,k'olik,lab'al,a',k'eche'laj,b'it,ik',wub',qe,kaweqib',taqal,xch'awik,xuk'am,naj,b'ate,kus,jom,xub'an,xaqi,k'axtok',akarok,aponoq,choq',ch'ab'al,ixoq,achij,rax,xkilo,je,kik'el,xb'ek,xmuqane,kajawarem,xekamik,xkaj,ch'umil,kaqulja,k'axk'ol,xb'an,iwe,chipe,wachib'al,xopon,ub'ik,ral,b'itol,tz'aqol,xk'am,junam,tzijel,kuk'a'am,b'i'nam,k'ama',xe'ok,tz'ikin,pop,chul,ojer,xkipixab'aj,on,tz'ikina,ox,jupacha,chikib'ano,tulan,tamub',aq'anoq,rab'inaleb',k'am,kixcha',ch'ob',samajel,je',b'ix,cha'j,al,xe'uxik,xkib'ij,xek'oje',b'aq,sachik,xekam,ke'uchaxik,xkanaj,toq'ob',q'aq',releb'al,xuchax,awilix,tukel,xe'ul,patan,xkitikib'a',chok,xwinaqir,ilokab',q'ukumatz,qib',k'amol,b'aq',chuchi',chiya',rochoch,q'aq'al,tz'aq,we',juyub'al,xraj,nimal,tinamit,chuxe',kaqchekeleb',tza'm,xch'aw,xk'is,la,najt,k'ajb',xqaj,kochoch,chuchaxik,saqirik,ke,lo,cha',kacha',kech,tojil,k'ixb',mam,ch'akatajik,chiqe,rajawal,chiwe,kik',wa,oxib',xkik'am,in,k'iya,jujunal,raxa,juraqan,kame,nu,raqan,a,q'alaj,ja',b'anoj,xk'oje',k'iche',jolom,kecha',ajilan,xe'uchaxik,xul,pam,rox,kib'il,ula,keki'kot,xkil,saqi,siwan,xepe,kamik,nawal,xawi,ka,jaq'awitz,nima'q,k'ajolab',xkib'an,suk',xma,xchiqab'ij,wi',lib'aj,sqaqi'n,ik'i,ichal,k'ab'awil,xe'uchax,b'e,retal,kanoq,wakamik,kuk',kitze,majukutaj,nim,apanoq,ajaw,kajib',chuxik,waral,chikop,kab',k'i,are,xeb'ek,xel,saq,k'ute,chuxoq,wuqub',ch'uti,ya',ab'aj,xe'opon,chirij,rech,chikech,xib'alb'a,kaib',chu,q'ab',kaj,at,jujun,xok,che',ajawab',apa,xpe,b'alam,xb'alanke,amaq',re,ix,wa'e,chib'e,xe',xeb'e,k'oje'ik,tzatz,aq'ab',xkib'ano,we,chupan,chuch,k'ajol,naqi,nay,qajaw,ulew,chirech,k'a,junajpu,rib',chila',su,taq,ja,chikiwach,na'oj,chike,xb'e,b'a,xcha',chi',oj,xuxik,q'ij,juyub',qi,nan,chiri',i,konojel,tzij,nima,xere,taj,la',wa',winaq,ruk',mi,utz,chuwi',chuwach,chire,maja,b'i,qitzij,uloq,kib',ronojel,nab'e,k'ate,kumal,na,k'o,ju,wach,pu,qa,k'u'x,ri',keje',mawi
0,0.0,0.0,0.0,0.0,0.0,0.0498884374917466,0.0,0.0,0.1995537499669864,0.0,0.0,0.0,0.0,0.0,0.05353644675862299,0.0,0.05353644675862299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05353644675862299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05353644675862299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24944218745873303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498884374917466,0.0,0.0498884374917466,0.0,0.0,0.0,0.0997768749834932,0.0,0.0,0.0,0.0,0.0,0.0,0.0997768749834932,0.0,0.0498884374917466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498884374917466,0.0,0.0,0.0498884374917466,0.0,0.0,0.0498884374917466,0.0,0.0,0.0,0.0498884374917466,0.0937157418243515,0.0937157418243515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498884374917466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498884374917466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342893545608787,0.0,0.0,0.0,0.0,0.14057361273652724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937157418243515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04685787091217575,0.04685787091217575,0.0,0.0,0.04685787091217575,0.0,0.0,0.04427763765781589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22138818828907944,0.0,0.0,0.0,0.13283291297344768,0.0,0.0,0.040071527548691796,0.08014305509738359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04204001979614794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040071527548691796,0.0,0.0,0.0,0.0,0.1261200593884438,0.0,0.04204001979614794,0.0,0.0,0.0,0.0,0.0,0.0,0.1261200593884438,0.1261200593884438,0.0,0.0,0.0,0.0,0.04204001979614794,0.0,0.0,0.035321437718414145,0.0,0.0,0.12021458264607537,0.0,0.0,0.0,0.0,0.04204001979614794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040071527548691796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14128575087365658,0.03831979373486935,0.0,0.0,0.0,0.040071527548691796,0.0,0.2204771708347195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07064287543682829,0.0,0.0,0.0,0.0,0.032832232397922614,0.0,0.0,0.0,0.03831979373486935,0.0,0.0,0.0,0.0,0.0,0.0,0.1766071885920707,0.0,0.0,0.035321437718414145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03402278274291037,0.0,0.0,0.0,0.0,0.10596431315524243,0.07064287543682829,0.0,0.0,0.0,0.0,0.032832232397922614,0.13609113097164147,0.0,0.032832232397922614,0.13132892959169046,0.0,0.0,0.0,0.0,0.03173530228242154,0.0,0.03402278274291037,0.0,0.0,0.0,0.0,0.03173530228242154,0.03173530228242154,0.0,0.0,0.0,0.0,0.0,0.0,0.09849669719376786,0.0,0.032832232397922614,0.03402278274291037,0.06566446479584523,0.0,0.0,0.032832232397922614,0.0,0.0,0.0,0.02730420066517657,0.0,0.0,0.0,0.0,0.0,0.06347060456484308,0.0,0.0,0.04402075201629711,0.0,0.0,0.0,0.0,0.11559110977408499,0.028897777443521247,0.030720166804986876,0.0,0.0,0.0,0.0,0.11559110977408499,0.0,0.029777049317987112,0.0,0.0,0.0,0.029777049317987112,0.0,0.0,0.05615090532557247,0.0,0.0,0.0,0.0,0.0,0.41885737835672976,0.0,0.0,0.0,0.0481184356633142,0.0,0.0,0.02730420066517657,0.0,0.0,0.0,0.08191260199552972,0.0,0.08191260199552972,0.0,0.0504995363532897,0.0,0.026578979881214024,0.0,0.02463866931510175,0.0,0.0,0.025895432658572175,0.02524976817664485,0.022985225494840642,0.07052650109171063,0.022985225494840642,0.023508833697236876,0.1924737426532568,0.026578979881214024,0.1009990727065794,0.04701766739447375,0.02524976817664485,0.0,0.0,0.0,0.0,0.0,0.07391600794530524,0.0,0.0,0.0,0.0,0.0,0.0,0.022985225494840642,0.0,0.04311132101351089,0.0,0.0,0.0,0.0,0.0,0.16563371488560305,0.0,0.0,0.0,0.05976524299038124,0.02070421436070038,0.09429600647612688,0.040609851579138295,0.0,0.0,0.0,0.0,0.0,0.058661010740997534,0.038399540435022514,0.0,0.0,0.037062372197822116,0.09429600647612688,0.07046231749667588,0.0,0.017331152234587383,0.0,0.11939343565676792,0.017056205093823988,0.03208396155683906,0.0,0.04959851814391884,0.08395125809751541,0.06416792311367812,0.031615547405403024,0.015580581899888462
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04959819664603711,0.0,0.0,0.0,0.04959819664603711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04959819664603711,0.0,0.0,0.04959819664603711,0.0,0.0,0.04959819664603711,0.0,0.0,0.0,0.0,0.0,0.08204096881796179,0.0,0.046218542374230995,0.0,0.18487416949692398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09243708474846199,0.0,0.09243708474846199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09243708474846199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046218542374230995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26046546268508747,0.26046546268508747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046218542374230995,0.046218542374230995,0.046218542374230995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13023273134254373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08682182089502916,0.0,0.0,0.0,0.08682182089502916,0.0,0.08204096881796179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08682182089502916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08682182089502916,0.0,0.0,0.04341091044751458,0.0,0.0,0.0,0.16408193763592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041020484408980894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11137135299030604,0.14849513732040803,0.0,0.0,0.1230614532269427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07789494055343874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15578988110687747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15578988110687747,0.15578988110687747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3272312078680279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03894747027671937,0.0,0.0,0.0,0.0,0.0,0.0,0.03712378433010201,0.0,0.0,0.0,0.0,0.0,0.0,0.03712378433010201,0.0,0.035500911625060486,0.0,0.0,0.0,0.03712378433010201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035500911625060486,0.0,0.0,0.07424756866020402,0.0,0.03404307014847169,0.0,0.0,0.0,0.0,0.0,0.03404307014847169,0.0,0.13089248314721116,0.0,0.0,0.10212921044541508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06808614029694338,0.0,0.03151999751751304,0.0,0.03272312078680279,0.0,0.03272312078680279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03404307014847169,0.06544624157360558,0.06544624157360558,0.0,0.0,0.03272312078680279,0.0,0.0,0.09455999255253912,0.03272312078680279,0.0,0.0,0.0,0.0,0.0,0.152085132409191,0.0,0.0,0.0,0.09455999255253912,0.0,0.0,0.0,0.0,0.058801577561605756,0.0,0.0,0.028460328737588237,0.0,0.0,0.0,0.0304170264818382,0.0,0.0,0.03151999751751304,0.09125107944551461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056920657475176474,0.0520203303134268,0.0,0.0,0.0,0.0,0.0,0.0,0.020391247899348788,0.0,0.0,0.0,0.028460328737588237,0.053543996101920135,0.10708799220384027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027586588894683992,0.0,0.055173177789367985,0.026771998050960068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13695719157046224,0.1040406606268536,0.0,0.0,0.0668681182304373,0.0,0.0,0.0,0.0467846875583079,0.0,0.0,0.05059129605519293,0.07197153559844,0.0,0.0,0.02339234377915395,0.0,0.0,0.0,0.0,0.024623775962254846,0.0,0.023990511866146667,0.02339234377915395,0.0,0.0,0.021294385471388993,0.021779475987482002,0.222893727434791,0.024623775962254846,0.02339234377915395,0.0,0.0,0.0,0.0,0.065338427962446,0.0,0.0,0.0,0.0,0.0,0.0,0.019181170164198912,0.0,0.08711790394992801,0.0,0.018115262419918114,0.11981989318075967,0.0,0.021294385471388993,0.018456263311608212,0.1835212310941391,0.0,0.019181170164198912,0.039134074243279866,0.0,0.0,0.0,0.019181170164198912,0.052415640057983076,0.0,0.18562583445157751,0.05536878993482463,0.036912526623216424,0.0533621879931807,0.0,0.0,0.0,0.0,0.0,0.05150398286771211,0.052415640057983076,0.04895922438258472,0.015801515892392797,0.0642249494449325,0.031603031784785594,0.06320606356957119,0.06320606356957119,0.02972379996854555,0.0459499500843862,0.19911645036567355,0.07777563248782711,0.0594475999370911,0.11715937326622981,0.1299099829267802
2,0.0,0.0,0.0,0.0,0.0,0.2539639457418279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054506927630541734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054506927630541734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054506927630541734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054506927630541734,0.0,0.0,0.0,0.054506927630541734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10158557829673115,0.0,0.10158557829673115,0.09541457206701341,0.0,0.0,0.0,0.0,0.0,0.0,0.10158557829673115,0.0,0.0,0.10158557829673115,0.0,0.10158557829673115,0.0,0.0,0.0,0.0,0.0,0.0,0.050792789148365575,0.0,0.0,0.0,0.0,0.0,0.0,0.10158557829673115,0.10158557829673115,0.0,0.0,0.050792789148365575,0.0,0.0,0.050792789148365575,0.047707286033506706,0.047707286033506706,0.0,0.09016055930447768,0.0,0.0,0.0,0.0,0.0,0.0,0.050792789148365575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04508027965223884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09016055930447768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047707286033506706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047707286033506706,0.047707286033506706,0.047707286033506706,0.22540139826119418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09016055930447768,0.0,0.0,0.18032111860895536,0.0,0.0,0.0,0.0,0.4895750803910055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04508027965223884,0.0,0.04280209941736739,0.0,0.2039896168295856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08560419883473477,0.08560419883473477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04280209941736739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08159584673183425,0.1560577401291496,0.0,0.0,0.0,0.0,0.04079792336591712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04079792336591712,0.0,0.0,0.0,0.07482462211869403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2517320846381969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03741231105934702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03596172637688528,0.0,0.07482462211869403,0.0,0.0,0.03596172637688528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07192345275377056,0.03596172637688528,0.0,0.0,0.03596172637688528,0.0,0.0,0.03463953005918838,0.0,0.0,0.0,0.030316832186199842,0.0,0.0,0.03342739803654324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06927906011837676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224093686606859,0.03342739803654324,0.0,0.0,0.03127704601665385,0.029421621328348833,0.0,0.0,0.0,0.0,0.0,0.0,0.058843242656697665,0.0,0.12126732874479937,0.0,0.0,0.0,0.0,0.0,0.029421621328348833,0.0,0.060633664372399684,0.0,0.0,0.0,0.058843242656697665,0.12542653151096456,0.14292194935767816,0.0,0.0,0.1469721049411651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027060789809432256,0.0,0.027060789809432256,0.025707482846172663,0.0,0.0,0.0,0.0,0.0,0.0,0.07348605247058256,0.027060789809432256,0.0,0.09573995844670734,0.0,0.0,0.0,0.0,0.03646934690703171,0.0,0.07525591890657872,0.023934989611676834,0.0,0.02289397040256695,0.021079529593998503,0.04786997922335367,0.0,0.0,0.17917316113320395,0.0,0.023934989611676834,0.0,0.0,0.0448187373213718,0.0,0.021079529593998503,0.043007171568951306,0.0,0.08778564125240544,0.02028287874729474,0.0,0.1536085687275236,0.020673002927249794,0.0,0.04056575749458948,0.0,0.058643441008737994,0.03981625802960088,0.05972438704440132,0.09773906834789665,0.0,0.018867109805690552,0.018867109805690552,0.0,0.017934905438288903,0.05209617333546702,0.03529064470280335,0.017365391111822337,0.0,0.034730782223644674,0.11432947025743957,0.11782776668445212,0.13466030478223098,0.0683784662847789,0.03266556293069702,0.03218865761106385,0.11104113011488076
3,0.0,0.0,0.0,0.0,0.0,0.0,0.11038324328081972,0.0,0.0,0.0,0.0,0.0,0.0,0.05922741745444913,0.0,0.0,0.05922741745444913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1655748649212296,0.04433116566111217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05519162164040986,0.0,0.0,0.0,0.0,0.0,0.05519162164040986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05519162164040986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05519162164040986,0.0,0.0,0.05519162164040986,0.0,0.0,0.0,0.05519162164040986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796877784138361,0.0,0.0,0.0,0.1555167096196078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24492194460345904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05183890320653594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796877784138361,0.0,0.0,0.0,0.0,0.0,0.05183890320653594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09796877784138361,0.0,0.0,0.0,0.04433116566111217,0.22165582830556083,0.14695316676207543,0.0,0.0,0.0,0.048984388920691804,0.09796877784138361,0.0,0.048984388920691804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09301782068152341,0.046508910340761704,0.048984388920691804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046508910340761704,0.0,0.046508910340761704,0.0,0.0,0.0,0.0,0.09301782068152341,0.09301782068152341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046508910340761704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04433116566111217,0.0,0.0,0.0,0.04065234753400514,0.0,0.0,0.0,0.0,0.0,0.07264465432159242,0.0,0.0,0.0,0.0,0.0,0.04239322102447778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08130469506801027,0.0,0.04239322102447778,0.0,0.0,0.19538068582249404,0.04065234753400514,0.0,0.04065234753400514,0.0,0.0,0.0,0.0,0.04239322102447778,0.04239322102447778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037639434039425025,0.04065234753400514,0.0,0.0,0.03907613716449881,0.04065234753400514,0.0,0.0,0.0,0.0,0.08130469506801027,0.0,0.03907613716449881,0.0,0.07815227432899761,0.0,0.0,0.3011154723154002,0.0,0.0,0.03907613716449881,0.03907613716449881,0.0,0.18161163580398107,0.0,0.0,0.0,0.0,0.0,0.03632232716079621,0.0,0.0658847509424626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07264465432159242,0.0,0.0,0.0,0.0,0.07527886807885005,0.0,0.033985747164593245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329423754712313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0988271264136939,0.0,0.0988271264136939,0.0,0.0,0.0,0.048700196112811144,0.0,0.0,0.0,0.0,0.0,0.06393927246871395,0.0,0.0,0.0,0.0,0.0,0.1278785449374279,0.0,0.0658847509424626,0.0279338404203177,0.0329423754712313,0.0,0.0988271264136939,0.0,0.0,0.0,0.0329423754712313,0.0,0.0,0.0,0.0,0.16354668732055297,0.0,0.0,0.031969636234356974,0.1597004012501333,0.0,0.0,0.12082664345264854,0.0558676808406354,0.0,0.0,0.0,0.05729627919267156,0.0,0.0,0.0,0.0,0.029404348481243094,0.0,0.0,0.0,0.0,0.0,0.0279338404203177,0.025428574888532427,0.026007843096706895,0.050857149777064854,0.026007843096706895,0.07985020062506665,0.0,0.0279338404203177,0.0,0.0279338404203177,0.026007843096706895,0.0,0.0,0.0396277194010031,0.027257781220092158,0.0,0.10403137238682758,0.0,0.0,0.11452545146826464,0.07802352929012069,0.026007843096706895,0.0,0.12979345406024284,0.0,0.0,0.025428574888532427,0.0,0.024350098056405572,0.023847045903067042,0.0,0.04673174245510266,0.04673174245510266,0.0,0.022039446708254327,0.022905090293652928,0.25036740888073034,0.0,0.040302560579900656,0.0,0.08815778683301731,0.0849628897359633,0.0,0.021632242343373808,0.021240722433990826,0.0,0.12300640346432885,0.0,0.06259185222018258,0.03897626146164971,0.0,0.01917346873976434,0.018869294479613653,0.05660788343884097,0.05660788343884097,0.2484616013649309,0.16461265084381788,0.16461265084381788,0.018575069920444002,0.07098902896140884,0.12241707624632295,0.10342086756655682
