doc_id,token_num,token_str,term_str,chunk_num
0,0,ARE',are',0
0,1,U,u,0
0,2,XE',xe',0
0,3,OJER,ojer,0
0,4,"TZIJ,",tzij,0
1,0,Waral,waral,0
1,1,K'iche',k'iche',0
1,2,u,u,0
1,3,b'i'.,b'i',0
2,0,WARAL,waral,0
2,1,xchiqatz'ib'aj,xchiqatz'ib'aj,0
2,2,"wi,",wi,0
3,0,Xchiqatikib'a',xchiqatikib'a',0
3,1,wi,wi,0
3,2,ojer,ojer,0
3,3,"tzij,",tzij,0
4,0,U,u,0
4,1,"tikarib'al,",tikarib'al,0
5,0,U,u,0
5,1,xe'nab'al,xe'nab'al,0
5,2,"puch,",puch,0
6,0,Ronojel,ronojel,0
6,1,xb'an,xb'an,0
6,2,pa,pa,0
7,0,Tinamit,tinamit,0
7,1,"K'iche',",k'iche',0
8,0,Ramaq',ramaq',0
8,1,K'iche',k'iche',0
8,2,winaq.,winaq,0
9,0,Are',are',0
9,1,k'ut,k'ut,0
9,2,xchiqak'am,xchiqak'am,0
9,3,wi,wi,0
10,0,U,u,0
10,1,"k'utunisaxik,",k'utunisaxik,0
11,0,U,u,0
11,1,"q'alajob'isaxik,",q'alajob'isaxik,0
12,0,U,u,0
12,1,tzijoxik,tzijoxik,0
12,2,"puch,",puch,0
13,0,"Awaxib'al,",awaxib'al,0
14,0,"Saqirib'al,",saqirib'al,0
15,0,Rumal,rumal,0
15,1,"Tz'aqol,",tz'aqol,0
16,0,B'itol;,b'itol,0
17,0,"Alom,",alom,0
18,0,"K'ajolom,",k'ajolom,0
18,1,ki,ki,0
18,2,b'i'.,b'i',0
19,0,Junajpu,junajpu,0
19,1,"Wuch',",wuch',0
20,0,Junajpu,junajpu,0
20,1,"Utiw,",utiw,0
21,0,Saqi,saqi,0
21,1,Nim,nim,0
21,2,"Aq,",aq,0
22,0,"Sis,",sis,0
23,0,"Tepew,",tepew,0
24,0,"Q'ukumatz,",q'ukumatz,0
25,0,U,u,0
25,1,K'u'x,k'u'x,0
25,2,"Cho,",cho,0
26,0,U,u,0
26,1,K'u'x,k'u'x,0
