chunk_num,ma'ixik,petik,xutz'onoj,chik'ama',xepixab'an,xkitzukuj,xek'is,chiwil,xuya',chiqab'an,wal,k'aslik,chak,laq,xech'aw,taqol,chiqaya',xeqach'ako,b'alami,xutzin,xtikarik,lab'e,chutzinik,ku'b'ul,koq'ik,xkikojo,xkikob'isaj,kab'an,sik'ixik,kojb'ek,xukut,ch'ek,ke'ul,kojb'e,wuq,xob',xekuchu,kawub'al,pe,k'oleje',kojcha',xokik,xki'kot,qochoch,sik',kumatz,q'alel,tzijoxik,palo,q'apoj,lal,ixim,puj,rixoqil,kaqaj,jab',ya'oq,mi'al,sipakna,recha',kaqan,jumaj,keki'kotik,xkita'o,xo'l,xkiya',popol,xril,xe'ik'ow,itzel,chuwa,xoponik,kamisaxik,chikamik,xekel,xkikoj,tz'alam,pach',b'e'el,qech,suywa,puk'b'al,eta'manel,taq'aj,istayul,winaqirik,tzik',qajoq,kixoqil,chajal,xkina',xpetik,kaminaq,xe'ik'owik,q'ol,chiwila',waram,k'amik,tz'um,kanajoq,tikarik,k'utb'al,kakib'ano,yamanik,ilol,xek'ajolanik,jo',ro',b'anol,chiqab'ij,chik'am,b'inib'al,anim,chiwech,k'im,xub'ij,rismal,kojkamik,xpiyakok,ajam,puwaq,q'ana,xsaqirik,su',raj,rij,xub'i'naj,choq',chaq',sel,tuja,saqil,tzuqul,q'o'l,xik',achij,kuchuma,utzilaj,kati't,b'elejeb',nijaib'ab',mul,ik',pixab',xech'awik,xe'ulik,chikij,utiw,xuchaxik,iwech,xkitaq,naj,xutzinik,xil,je,nab'ek,xoq',sis,aq'ab'al,iwumal,xya',chuq'ab',ch'i'pi,chawaxoq,chel,b'ixik,xkam,xkikuch,a',poy,alom,ixoq,relik,xkitz'onoj,quk',aq,xojpe,mixb'isonik,k'uwal,xe'el,keb'e,xe'oponik,saqiroq,iwuk',ra'il,chuchax,chopon,iwib',ajawarem,koj,kaqix,k'ajolom,k'olik,xech'akataj,ub'ik,kaweqib',xepetik,tulan,qati't,pop,b'atz',ati't,qe,wub',taqal,xuk'am,chowen,xikin,jom,ral,tio'jil,xub'an,xaqi,k'axtok',aponoq,jupacha,q'equ'mal,tz'ikina,iwe,kik'el,xkilo,rax,k'ama',sachik,kajawarem,chok,xkaj,xwinaqir,ch'ab'al,ch'umil,chinamit,tz'ikin,b'it,kaqulja,k'axk'ol,chipe,kus,xk'am,b'ate,kuk'a'am,juyub'al,kej,b'aq,ojer,xb'ek,ox,k'a'am,xkipixab'aj,on,akarok,chikib'ano,tepew,lab'al,je',tamub',xraj,kaqchekeleb',wachib'al,chuchi',al,xek'oje',xmuqane,chiya',kixcha',toq'ob',xb'an,ke'uchaxik,xkanaj,rab'inaleb',b'itol,tz'aqol,k'am,xch'awik,k'eche'laj,k'amol,b'i'nam,tzijel,junam,qib',kech,aq'anoq,xopon,chul,cha'j,ilokab',rochoch,xk'is,nu,we',ch'ob',xe'uxik,rajawal,patan,tza'm,tukel,mam,xch'aw,xekam,jujunal,xekamik,k'iya,b'aq',xe'ul,xe'ok,kochoch,xkitikib'a',b'ix,chuxe',awilix,q'aq'al,q'ukumatz,tz'aq,k'ajb',q'aq',oxib',chuchaxik,q'alaj,wa,releb'al,kacha',xkib'ij,nimal,k'ixb',cha',ch'akatajik,tinamit,a,chiqe,chiwe,xuchax,saqirik,xkik'am,raxa,juraqan,ja',raqan,xqaj,ichal,la,ke,samajel,b'anoj,najt,saqi,ajilan,rox,lo,xkil,keki'kot,kanoq,k'ajolab',kecha',xepe,kamik,ka,apanoq,suk',sqaqi'n,xma,k'iche',ula,tojil,in,pam,b'e,kame,xul,kik',wakamik,xkib'an,xawi,nawal,nima'q,kuk',jolom,k'ab'awil,xk'oje',xe'uchaxik,saq,jaq'awitz,xchiqab'ij,kib'il,kajib',chuxik,lib'aj,wi',siwan,retal,chuxoq,ik'i,xpe,chikech,xeb'ek,xe'opon,xel,k'i,kitze,are,xib'alb'a,k'ute,at,kab',ajaw,xok,chib'e,ya',re,jujun,chirij,kaib',chu,chikop,majukutaj,xe'uchax,q'ab',rech,kaj,nim,chirech,waral,apa,ab'aj,wa'e,ch'uti,xeb'e,tzatz,wuqub',amaq',ajawab',k'ajol,xkib'ano,b'alam,taq,ix,chuch,k'a,nay,che',k'oje'ik,chi',we,xb'alanke,naqi,na'oj,chikiwach,chike,aq'ab',chupan,xb'e,ulew,su,xe',qajaw,qi,chila',rib',xuxik,b'a,oj,q'ij,juyub',junajpu,xere,xcha',i,ja,konojel,tzij,taj,chiri',ruk',nan,la',nima,kib',winaq,chuwach,chuwi',wa',maja,utz,mi,qitzij,uloq,b'i,chire,nab'e,k'u'x,ronojel,ju,kumal,qa,wach,k'o,k'ate,pu,na,ri',keje',mawi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08460409747542279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08460409747542279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28512393908200906,0.27517478380110266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07455019556954012,0.0,0.0,0.06427058697884877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07911894422854247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07911894422854247,0.0,0.0,0.0,0.061604013269108845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05320701768345165,0.0,0.23568911872269463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06726020126505648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07065045172127891,0.14130090344255783,0.0,0.0,0.0,0.07065045172127891,0.0,0.0,0.0,0.0,0.07065045172127891,0.0,0.0,0.09699642033449717,0.0,0.0,0.0,0.0,0.07455019556954012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09699642033449717,0.18481203980732652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06726020126505648,0.13452040253011296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049954701030473336,0.0,0.0,0.02689223054807745,0.0,0.1414134712336168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15962105305035496,0.0,0.0,0.049954701030473336,0.0,0.0,0.0,0.0,0.2497735051523667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055034956760220535,0.0,0.05320701768345165,0.0,0.0,0.0,0.05920322765331775,0.0,0.0,0.0,0.13399737998760913,0.13399737998760913,0.0,0.0,0.047137823744538926,0.0,0.06427058697884877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16989207544127446,0.0,0.05920322765331775,0.0,0.0,0.0,0.0,0.0,0.045863269316541035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2376214452859904,0.0,0.0,0.0,0.04146555540660602,0.21768938795646137,0.03791885730204232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023858755870728318,0.0,0.0,0.0,0.0,0.0,0.0,0.1414134712336168,0.09427564748907785,0.07920714842866347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03874082815888174,0.0,0.047137823744538926,0.049954701030473336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09172653863308207,0.10045486160340363,0.0,0.0,0.0,0.0,0.0,0.0,0.03638529967685883,0.0,0.0,0.042473018860318616,0.0,0.0,0.08707575518258455,0.08494603772063723,0.0,0.021225897199448094,0.0,0.0,0.1372946444642501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03498195584032013,0.0,0.0,0.0,0.03498195584032013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03713459669040696,0.0,0.0,0.0,0.0,0.10700548764287636,0.0,0.0,0.0,0.0,0.028093302282600745,0.0,0.0,0.0,0.06387725518634567,0.26685396802989053,0.02790729150828774,0.03791885730204232,0.14267398352383515,0.0,0.03498195584032013,0.10915589903057649,0.0,0.0,0.0,0.0,0.0,0.0,0.02012237752051756,0.0,0.0,0.0,0.0,0.030371009233787192,0.13000288504632745,0.023858755870728318,0.031481487905135594,0.03087490158819765,0.0,0.0,0.0,0.05180183336136643,0.08687823241276149,0.0,0.0,0.02076980471580046,0.03087490158819765,0.0,0.07160144027925433,0.0,0.049574364809475746,0.021461808028709502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023298624477270997,0.0,0.0,0.0,0.0,0.0,0.15723726649742908,0.0,0.0,0.0327980773536508,0.0,0.04127640639005831,0.0,0.03364343601318563,0.032289416750850564,0.0,0.0,0.0,0.05273395435751368,0.0,0.0,0.0,0.0,0.031736115555529604,0.0,0.06398995562266689,0.06348244323956279,0.06430926543676513,0.0,0.0,0.008884697830855593,0.018343374887358994,0.06361462692672436,0.0,0.0,0.0,0.030009681162395906,0.011063569295397127,0.008924584990911208
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620687140186853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08620687140186853,0.08620687140186853,0.0,0.0,0.08620687140186853,0.0,0.0,0.0988339593912298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07198888219083595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15192500869864942,0.0,0.2619526189363459,0.0,0.0,0.0,0.15270318871626085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806178052137833,0.0,0.0,0.0806178052137833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06548815473408648,0.06548815473408648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370688109427538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13097630946817296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1439777643816719,0.1439777643816719,0.1439777643816719,0.0,0.07198888219083595,0.0,0.0,0.0,0.0,0.24708489847807447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07596250434932471,0.0,0.0,0.0,0.0,0.060324797322821457,0.0,0.11621017649731329,0.0,0.1976679187824596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18831319315019487,0.05090106290542028,0.0,0.0,0.274016877402536,0.1324657117974255,0.1921232862694328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036042516216811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05607756103555099,0.0,0.0,0.05421499274839159,0.0,0.0,0.060324797322821457,0.0,0.0,0.13653588005161102,0.13653588005161102,0.0,0.0,0.0960616431347164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04673212146951702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060324797322821457,0.0,0.0,0.0,0.0,0.0,0.0960616431347164,0.0,0.0,0.0,0.0,0.0,0.040353840194808976,0.12378547921382317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04551196001720367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0960616431347164,0.0960616431347164,0.20176920097404488,0.04551196001720367,0.0,0.0,0.0,0.0,0.0,0.05421499274839159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10842998549678318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04986595002426889,0.0,0.0,0.0,0.0,0.0,0.0,0.037838089371263844,0.08872535318311593,0.0,0.0,0.0,0.0480308215673582,0.16900438201980722,0.0,0.0,0.0,0.0960616431347164,0.0,0.042251095504951805,0.0494169796956149,0.0,0.03564466803027321,0.0,0.0394747499323515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09374322807388093,0.0,0.0,0.0,0.0,0.03863720733020715,0.07268842832112549,0.0,0.0,0.0,0.0,0.028625513059027875,0.0,0.03634421416056274,0.0,0.0,0.11896034348543018,0.0,0.0,0.03634421416056274,0.0,0.0,0.0,0.040353840194808976,0.0,0.0,0.0,0.0,0.0,0.0,0.0370745973748211,0.01826933511119087,0.07676843906809114,0.043736778241030554,0.030946369803455793,0.0,0.024310745702995563,0.04811682874164379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314598080965558,0.0,0.1823947166428715,0.0,0.025256760721318928,0.021868389120515277,0.0,0.0,0.03199187865347694,0.02664528015210085,0.0,0.09973190004853778,0.0,0.12432456987162074,0.0,0.0,0.011530769682409472,0.0803473652696647,0.0,0.0,0.0228880046120746,0.0,0.013638790356350862,0.0,0.025589479689363714,0.0,0.018408387791840328,0.03428079074714097,0.03290112040129655,0.0,0.03286929521297619,0.0457760092241492,0.0,0.042354040520703615,0.04892011113681554,0.0,0.0,0.0,0.0,0.032601103492517054,0.06468508008396621,0.03931653955932565,0.08497167391816442,0.05012912591159194,0.054318078641866684,0.018690879132067937,0.0,0.009657524094695925,0.02008185458964544,0.02673352862601149,0.05096366098047176,0.06763897191416936,0.03637462362151078
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09276816096080072,0.0,0.0,0.0,0.09276816096080072,0.0,0.0,0.0,0.0,0.0,0.09276816096080072,0.0,0.09276816096080072,0.0,0.0,0.0,0.0,0.0,0.0,0.09276816096080072,0.0,0.0,0.0,0.0,0.0,0.0,0.09276816096080072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07047252244054733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08174408508126113,0.0,0.0,0.16348817016252226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08675370546177398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08675370546177398,0.0,0.0,0.0,0.0,0.0,0.0,0.08675370546177398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.270194526710253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058341349036156086,0.0,0.0,0.211417567321642,0.211417567321642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14750125262018657,0.0,0.0,0.0,0.0,0.14094504488109466,0.0,0.0,0.07746802664181637,0.0,0.07746802664181637,0.0,0.0,0.0,0.0,0.0,0.07746802664181637,0.07746802664181637,0.07746802664181637,0.0,0.0,0.0,0.05477519274157909,0.10635630900531808,0.0,0.0,0.0,0.0,0.08174408508126113,0.0,0.0,0.08174408508126113,0.0,0.0,0.0,0.08174408508126113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15953446350797712,0.0,0.06754863167756325,0.0,0.0,0.0,0.0,0.04657154875116729,0.0,0.0,0.0,0.18103703766898435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15953446350797712,0.0,0.0,0.0,0.0,0.14750125262018657,0.0,0.0,0.0,0.0,0.07746802664181637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05477519274157909,0.0,0.0,0.0,0.28509561416572304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05477519274157909,0.0,0.0,0.0,0.14321749029190708,0.0,0.0,0.0,0.0,0.0,0.23336539614462434,0.0,0.0,0.0,0.0,0.0649161768310024,0.0,0.0,0.09795183989071117,0.09795183989071117,0.0,0.0,0.05168649451931748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06034567922299478,0.0,0.045466867835880845,0.0,0.0,0.048975919945355585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043425210562708434,0.23311209859218454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12069135844598956,0.0,0.0,0.05317815450265904,0.0,0.0,0.0,0.0,0.0,0.0,0.0444196840379722,0.0,0.10337298903863495,0.05168649451931748,0.043425210562708434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05477519274157909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058341349036156086,0.058341349036156086,0.0,0.15086684724867114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030351602713684065,0.0,0.0,0.045466867835880845,0.07527160064803833,0.0,0.0,0.05168649451931748,0.0,0.0,0.0,0.0,0.03835761868461706,0.0,0.16991684751164127,0.0,0.0,0.0444196840379722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03563695177071538,0.0,0.0,0.09241268682630241,0.0,0.03911040795719932,0.0,0.0,0.0,0.030600268637968667,0.08315584617322737,0.03911040795719932,0.0,0.0,0.0,0.043425210562708434,0.0,0.0,0.0,0.0,0.0,0.0,0.03989638135446516,0.0,0.0,0.023532813671294103,0.0,0.03563695177071538,0.0,0.0,0.0,0.02907426479081183,0.0,0.0,0.0,0.06350782912374647,0.0,0.029487257077634162,0.0,0.0,0.0,0.07851078298873883,0.0,0.0,0.0,0.03563695177071538,0.0,0.0,0.0,0.0,0.0,0.061637109095748766,0.0,0.0510937557439366,0.0,0.0,0.12969402310227462,0.0,0.0,0.04926006619649727,0.0756585878497124,0.0,0.017981500955270756,0.0,0.0,0.039618936493855124,0.03688993536338185,0.0708105139078741,0.049028676337844794,0.0,0.0,0.01927421213201668,0.01519254936592655,0.09212607038316085,0.0,0.0,0.017399281855002315,0.019627695747184707,0.017541202731943664,0.0,0.0,0.018287790276954864,0.05394450286581227,0.15587274906165313,0.030170190420313183,0.039859008023739165,0.01039256772842523,0.05402576061132997,0.0,0.021937022087014785,0.036393520213173734,0.08807204680212255
3,0.0968233807628191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968233807628191,0.0,0.0,0.0,0.0,0.0,0.0,0.0968233807628191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22065936641108982,0.0,0.0,0.0,0.23092357007279335,0.0,0.0,0.0,0.0,0.1259671985794324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853174040851754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09054601244127432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09054601244127432,0.0,0.0,0.09054601244127432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07050141791306756,0.31491799644858093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07355312213702994,0.07355312213702994,0.0,0.0629835992897162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07697452335759779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08085442422054952,0.0,0.0,0.08085442422054952,0.16170884844109903,0.0,0.0,0.0,0.08085442422054952,0.0,0.0,0.0,0.0,0.0,0.28584803709840306,0.0,0.1305216392213242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0853174040851754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07310298183593265,0.0,0.0,0.0,0.0,0.0,0.07355312213702994,0.0,0.0,0.22201102828159533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0629835992897162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26036337040098734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05716960741968061,0.0,0.0,0.0,0.04982600873263007,0.0,0.0,0.0,0.0,0.0,0.060891652841228355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1533504845616888,0.1533504845616888,0.0,0.07050141791306756,0.0,0.0,0.0,0.0,0.0,0.0,0.1889507978691486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259671985794324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05248725440695306,0.0,0.0,0.0,0.07050141791306756,0.0,0.0,0.0,0.0,0.045323477941913284,0.10427238912565602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259671985794324,0.0,0.0,0.0,0.0,0.0,0.0,0.0652608196106621,0.0,0.0,0.04636142332055106,0.0,0.0,0.053945891427705235,0.0,0.051116828187229596,0.0,0.0,0.0589603598514833,0.0589603598514833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11100551414079766,0.0,0.0,0.0,0.060891652841228355,0.0,0.0,0.0,0.09064695588382657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316783771055957,0.0,0.0,0.047454383173839584,0.0,0.0,0.0,0.0,0.0,0.047454383173839584,0.0,0.04433612635586603,0.0,0.0,0.04433612635586603,0.0,0.1601374558077106,0.09272284664110211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13160981424875767,0.0,0.0,0.04636142332055106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0643015784095659,0.0,0.0,0.0800687279038553,0.0,0.1717849202421883,0.0,0.0,0.040820060268621866,0.0,0.04003436395192765,0.0,0.045323477941913284,0.0,0.037194767200141046,0.0,0.0,0.0,0.0,0.0,0.020519231947397094,0.0,0.024561515016762892,0.03475746304188534,0.0,0.0,0.14411330804891592,0.0,0.030345202287984444,0.029125031226799863,0.0,0.0,0.03314198889458875,0.0,0.0,0.0,0.0,0.0,0.08194276308353055,0.0,0.0,0.024561515016762892,0.0,0.025120578378380394,0.0,0.0,0.01745441658406004,0.0,0.1286629641309555,0.0,0.0,0.0,0.02590160355649107,0.022560566850084736,0.021188288568405093,0.0,0.0,0.026321962849751537,0.0,0.0,0.0,0.03149194370549607,0.06202622754131247,0.0,0.049270592259989206,0.10234378149119647,0.0,0.0,0.0402335103085672,0.015856668675760452,0.0,0.0,0.032869471527365454,0.07263946054760544,0.020485690770882636,0.018307989870257793,0.07265114760338648,0.02943895475402917,0.057261640080729426,0.03753507012852933,0.02033581130723421,0.1154597937103944,0.0,0.021693726206298114,0.045109931998173924,0.01501290198332108,0.0,0.037984407887404766,0.05106776837706691
