hac_label,n_chunks,gloss,top_terms
7,17,came,"came, xibalba, que, quic, zamahel, vvcub, vholom"
3,9,tohil,"tohil, amac, balam, quitze, acab, aulix, mahucutah"
1,8,ahpop,"ahpop, ahau, quiche, camha, chinamit, ahauarem, ahauab"
5,7,zipacna,"zipacna, caquix, qaholab, in, nu, vvcub, huiub"
2,7,chila,"chila, quih, relebal, tamub, balam, vzaquiric, vbi"
4,6,cah,"cah, alom, qaholom, bit, bitol, tzacol, tzac"
6,6,atit,"atit, batz, catit, chouen, choven, bix, q'iquin"
