doc_id,0,1,2,3,4,5
0,1.9224047250414384e-25,3.767788357801484e-18,0.4171609071142351,4.311764217767491e-08,2.5141507621397447e-29,1.1133969952131087e-30
1,3.7622576637656806e-17,6.284772477543544e-17,0.4456477921440013,1.077943300751368e-21,4.221587700297183e-18,4.484007383449374e-23
2,1.3548003573419312e-16,6.6010671431015415e-28,0.4328793840818905,6.040135977489652e-34,6.635196626859257e-20,9.184050565024832e-15
3,1.2795574378602648e-22,9.114434980058012e-24,0.4370091793374165,5.553886886293859e-24,3.0573920558214012e-12,3.978453027785618e-17
4,4.0263454644729334e-16,1.3310518806099576e-11,0.07069896330711223,1.7707843774656563e-14,0.32015958826801394,1.0287723094431099e-21
5,9.334113557121096e-20,3.428522836542479e-19,2.3291039330415753e-14,1.5907477757917917e-14,0.4087414202032773,1.695179930846477e-24
6,0.054600366805903786,6.007013340989151e-20,3.437302204467172e-24,1.9901059533515093e-18,0.34228725995911297,1.6075931427245278e-06
7,9.171941610921604e-16,8.296917338540159e-33,2.3997576842269014e-20,1.1901657353982417e-25,0.44143976777161187,4.76707905107504e-19
8,1.446197407476964e-09,1.4804687122273693e-28,1.953836155836769e-28,3.9175383314861175e-27,0.3999531160715994,1.9121865225028244e-14
9,9.897464232770846e-09,3.447521844575531e-22,2.241673399806111e-25,9.714931311180822e-23,0.4001209650593938,1.4658207812988246e-12
10,3.095739063495784e-18,4.5399013590407585e-20,2.0455032179730982e-12,3.142563237884092e-28,0.4481507509327689,1.5153416583111583e-16
11,4.326566832875818e-08,2.0514611953779745e-20,0.14087951261485596,1.4748801071841624e-15,0.23823470607469927,0.08352257933024987
12,0.31466023484440614,7.882929632745696e-24,7.745640174029794e-05,2.818054193148064e-07,1.6348810738269187e-10,0.05920518800378584
13,0.3691611830953099,9.187239248406792e-25,8.024734624772559e-10,1.8067960206144755e-16,3.907839259938848e-06,0.022477917360001622
14,0.3382149596688123,9.541056941028724e-11,3.254326012660883e-10,1.6256048933951725e-12,9.117753723471556e-11,3.4456397766444e-17
15,0.2081946151833828,1.5393961423159308e-12,1.6019112713536724e-09,2.1616236545627013e-07,0.15108235228797515,9.034961387706828e-07
16,0.25501062978213,8.200453763495884e-07,0.04727173003384302,4.224494078546523e-07,0.1246152286746891,1.0612805377913458e-07
17,0.03000565180996919,1.8903108148281982e-26,1.2720228173485954e-13,2.1602260142311562e-12,3.1887896961037184e-05,0.4220574013720378
18,2.155154146414849e-15,1.6847297876028677e-25,6.438651354861118e-23,1.3001098583210197e-26,9.94709283226177e-18,0.45089390694842446
19,3.077821131306354e-08,1.3235918267929853e-14,9.432142357276443e-16,3.842966342120385e-11,7.87149378251343e-10,0.48959608647674846
20,4.809582881348654e-16,9.864167017306608e-25,7.430216943138246e-12,6.699472729123136e-21,1.3116336128486171e-18,0.43605357942763623
21,1.4319580656491752e-15,3.711489850821328e-06,3.7267334854835938e-19,3.707524870366124e-11,5.129630492324742e-16,0.45020168724077764
22,0.0006538326085060674,3.12205544993591e-20,5.226408921775958e-16,1.8383226955850305e-24,4.384027770798183e-05,0.5182018259575027
23,0.16572510305485827,6.342161751253202e-26,1.0557130873262187e-21,5.015298137505387e-14,5.62867280854842e-12,0.24101184865645223
24,0.3014041628387106,2.3142169733299266e-19,6.921460438869476e-09,3.189696836151082e-12,9.758805109838183e-06,0.14509792008740774
25,0.26763070002574835,1.4917258637060224e-25,5.291686409204723e-19,3.420133296167446e-20,3.924041904023854e-14,1.2962710161125319e-13
26,0.39260464461600575,3.7792789789040736e-19,8.003168101936442e-24,6.882100583446998e-19,4.155176387257826e-07,4.934160058820019e-15
27,0.3705429903943624,3.483646580930819e-21,3.3638775707913064e-13,4.633323165718782e-16,2.2810094092027015e-11,5.926888667952126e-14
28,0.37490714726656277,0.00901113242886184,1.2652239660178072e-18,2.1341179485962075e-15,1.0677873506810381e-13,1.341589576892264e-08
29,0.297210018921436,1.066518157585545e-21,6.5016738452632e-16,3.61367333118779e-09,0.0834837342605139,1.7046925095033343e-06
30,0.4245125490070419,6.986183344366483e-16,5.323348370679335e-12,4.3708902666558274e-13,0.000526445596447921,1.441189806251307e-06
31,0.4055679202453729,2.369069310769464e-16,3.575978628975016e-15,2.1458855002562374e-14,8.702095663786968e-07,0.00029769129506969475
32,0.38117312858447516,2.9323251131269933e-21,2.3185176232094958e-18,9.769206081050959e-12,4.242910474338025e-10,2.0625642400266249e-10
33,0.07206258390856807,2.0770193813902265e-17,0.11867901772726121,0.14663617096074594,2.2122569031723548e-10,0.11938210661579231
34,7.122882429821516e-05,2.7142748160475167e-15,0.46717057826227226,5.200450768654707e-19,0.012337841626401573,0.00014785898762428808
35,1.7180425323478451e-16,1.203007483377783e-07,0.4794947539057101,6.4169508299352854e-21,1.9347816953140654e-19,9.971121836524471e-22
36,2.4880652083451256e-17,0.24032955934517428,0.1017350183689214,0.06670071215780525,1.8013040124982723e-10,2.5561426163331458e-21
37,3.7631403454144504e-06,0.2547748625324488,0.212121817943265,2.5474987850092165e-06,7.008361909873913e-19,7.112743288597303e-18
38,0.1377247710996959,0.19073847186264514,0.05918169813057772,3.172274825886384e-17,5.8087166309619006e-08,1.4911407839526417e-06
39,0.1865001451408177,0.16819691226012548,0.01158708161576353,8.7373351263145e-17,2.047087328325267e-12,2.11642402701575e-11
40,1.1117487689862921e-11,0.40099097175424653,3.2710342337419778e-09,2.555597218413173e-07,2.1024066789033055e-14,0.029458914637059307
41,6.114529386436148e-24,0.36777454734196985,8.344626500167906e-22,4.6805299914587186e-18,1.3835252286593916e-11,2.6173038152504744e-16
42,1.3041982548640693e-13,0.3989947973637863,6.942415988751314e-13,1.054091780304809e-23,9.334382914840585e-12,0.014451143879513653
