chunk_num,xukut,q'ol,uk'utb'al,xare,ub'i'nam,qajuyub'al,chiqaya',xkitz'onoj,kib'ij,chikiya',xna'ojix,mata,xutz'onoj,taqol,xutzinik,ib'i',xtikar,xtikarik,usachik,xokik,ub'aq',kul,chiwil,xkitzukuj,chik'ama',chaq'ab',chuwa,chutzinik,xkikot,xkikojo,xkikob'isaj,jarub',kojcha',xekuchu,ke'ulik,ulo,kojb'e,uxe'najik,xe'ik'owik,k'aslik,chikamik,xuya',wal,kipam,chulkiya',kub'ul,kaweq,kojb'ek,sanik,q'alel,xe'ik'ow,lal,chiwinaqir,q'apoj,puj,uq'ab',kikamik,ajtzik',upa,nuwach,kichaq',xub'an,wub',sipakna,ixim,kaqan,saqil,jumaj,xkita'o,xya',xril,ukik'el,ajb'it,ajtz'aq,xe'ulik,xkiya',chuchax,istayul,xch'akataj,choq',nimaq,mixutzinik,kiwa,xkikoj,xekel,kekikotik,ra'il,chuwi',loq,kikajaw,chib'ek,kiwachib'al,toq'ob',chuch,kuk'a'm,kib'ix,karaj,aponoq,kab'an,mixb'isonik,aq'ab'al,ral,kaq,kichi',mama',ik',b'elejeb',q'ana,chiqab'ij,utzijel,ox,kanajoq,keb'e,uwi',aq'aroq,xojpe,xub'ij,kakib'ano,toqob',kaminaq,quk',kepetoq,k'im,kamik,xpetik,nimal,b'anol,chupan,unimal,xkina',kojkamik,uk'amik,rismal,iwach,ilol,uq'ij,chik'am,xpiyakok,umam,ajam,chajal,rixoqil,ajlab'al,xub'ina'j,iwumal,xepetik,koj,alom,k'ajolom,xech'akataj,k'ool,qamam,tzuqul,xkaj,kikab'awil,tzel,achij,kitinamit,kikab'ichal,recha',k'otuja,nija'ib'ab',puwaq,utiw,iwech,ub'ixik,qachuch,ch'ob',xch'awik,kiq'aq'al,xkitaq,kixoqil,xil,k'axtok',kib'i,chel,xucha'xik,xoponik,xkam,ukoq,xaqi,kak'ix,ajawarem,xe'oponik,b'atz',chowen,ka,aq,utikarik,sis,relik,anim,iwuk',chopon,xe'el,kich'ab'al,itzel,saqirik,xkikuch,kinawal,kati't,poy,chikib'ano,keje,xsaqirik,utzilaj,uqajaw,kawiqib',lab'al,b'aq,tulan,qati't,ajpop,q'amja,q'aq'chekeleb',xuk'am,naj,ub'i,ch'ipi,xch'aw,jom,kej,chawaxoq,q'equmal,qatzij,jujunal,kiq'ab',k'ux,k'axk'ol,xech'awik,chib'e,k'echelaj,kib'anoj,kijujunal,rax,xkilo,qak'ux,xax,kiq'ij,xkitik'ib'a,chinamit,jolom,xb'ek,ub'aq,tz'ikin,k'olik,iwib',xk'is,xkanaj,ukaj,chuchi',juraqan,xwinaqir,aq'anoq,ub'ik,utukel,ati't,ujolom,b'it,aj,tepew,kaqulja,iwe,xe',rab'inaleb',kij,ixoq,k'eche',k'amol,jupa,qaqajaw,jutaq,xk'am,k'a'm,tamub',b'itol,tz'aqol,ojer,tinamit,tz'ikina,kib'e,xkipixab'aj,ch'umil,kajawarem,chok,taqal,chiya',xe'ul,nima'q,chaaj,xe'uxik,chipe,xmukane,usamajel,xb'an,qech,cha',releb'al,kik'ajol,q'aq'al,wach,xekamik,qib',utzij,usaqirik,kiqajaw,nawal,junam,saqiroq,wech,kochoch,ya',rox,chuxe',samajel,al,kixcha',unab'e,uxe',kus,xek'oje,ilokab',k'ya,kichuch,q'ukumatz,mi,xe'ok,xul,xkib'ij,ju,xopon,xraj,q'alaj,jusuk',je,saqi,rajawal,uchi',xepe,xe,ki,raxa,juta,uk'ajol,ajk'ajb',ke'ucha'xik,xma,kich'akatajik,q'aq',tz'aq,xk'oje,xekam,najt,xuchax,kacha',rochoch,apanoq,uk'oje'ik,xkik'am,xkil,awilix,ula,oxib',k'iche',kecha',a,ajk'ixb',chucha'xik,k'ajol,ajilan,kekikot,kik',qawach,kik'oje'ik,tzij,tojil,on,kab'awil,ja',xel,cha,ukab',siwan,raqan,kame,k'ajolab',xqaj,in,retal,kitzij,xe'uchax,wakamik,kajib',xe'ucha'xik,sqaqi'n,xkib'an,xe'opon,b'e,lo,xb'e,jakawitz,qe,k'ute,kanoq,chuxoq,lib'aj,saq,kaj,ik'i,kitze',waral,chuxik,kuk',xeb'ek,ab'aj,xpe,majukutaj,apa,kib'il,jujun,at,ajaw,xkib'ano,xchiqab'ij,chikop,xok,ajawab',xib'alb'a,wuqub',uk'ux,chu,ka'ib',naki,wa'e,upam,amaq',chi',wa',xeb'e,tzatz,ch'uti,che',ix,q'ij,chila',oj,k'a,wa,taq,jusu,nay,nim,aq'ab',xcha',kech,kina'oj,xb'alanke,kib'i',rij,rib',juyub',mana,b'a,xuxik,ulew,we,konojel,ja,junajpu,ri',la,ke,chiri',kiwach,kib',kik'ux,rech,k'i,xere,winaq,nima,utz,ruk',taj,chuwi,nab'e,b'i,na,chuwach,ub'i',uloq,maja,xawi,uwach,qitzij,ronojel,re,k'o,kumal,k'eje
0,0.06189672031896672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23153503477860002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28941879347325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11576751738930001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11576751738930001,0.0,0.11576751738930001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057883758694650005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057883758694650005,0.0,0.0,0.05454124259445672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10908248518891343,0.10908248518891343,0.0,0.05454124259445672,0.0,0.05454124259445672,0.0,0.0,0.05168817328109922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454124259445672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454124259445672,0.0,0.05454124259445672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454124259445672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168817328109922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168817328109922,0.05168817328109922,0.05168817328109922,0.0,0.0,0.05168817328109922,0.10337634656219843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05168817328109922,0.0,0.0,0.0,0.0,0.0,0.0,0.0450697601372278,0.1476235545510076,0.0,0.0,0.0,0.1476235545510076,0.0,0.0,0.0,0.0,0.0,0.18808254756792428,0.0,0.0,0.0,0.0,0.23510318445990536,0.1476235545510076,0.0,0.049207851517002535,0.0,0.0,0.0,0.0,0.0,0.049207851517002535,0.0,0.0,0.0,0.04702063689198107,0.0,0.1476235545510076,0.1476235545510076,0.1410619106759432,0.04331333509115261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04702063689198107,0.0,0.0,0.0,0.0,0.0450697601372278,0.0,0.04702063689198107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04702063689198107,0.0,0.0,0.0,0.0,0.04702063689198107,0.0,0.0,0.0,0.0450697601372278,0.0,0.0,0.0450697601372278,0.0,0.0,0.041719579169857524,0.0,0.0,0.0,0.0,0.0,0.25031747501914514,0.0,0.0,0.040263810240909075,0.0,0.0,0.0,0.0,0.040263810240909075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04331333509115261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040263810240909075,0.1610552409636363,0.0,0.041719579169857524,0.0,0.1610552409636363,0.040263810240909075,0.0,0.0,0.0,0.0,0.03892648217795395,0.18845927888908798,0.0,0.0,0.0354814984175523,0.0753837115556352,0.0,0.03654707337548317,0.03892648217795395,0.03654707337548317,0.0778529643559079,0.0,0.0,0.0,0.0,0.0,0.03892648217795395,0.0,0.0,0.0,0.0,0.0,0.0376918557778176,0.0,0.0,0.0376918557778176,0.0,0.0,0.0,0.0354814984175523,0.0,0.0354814984175523,0.0,0.13794493552079085,0.36403653663969104,0.0,0.0,0.13421505759217142,0.0,0.0709629968351046,0.0,0.03448623388019771,0.033553764398042855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03185249784542022,0.0,0.0,0.0,0.0,0.1592624892271011,0.0,0.0,0.07985892356364506,0.09555749353626067,0.029637676667073433,0.0,0.0,0.0,0.0,0.0,0.0,0.056685911841847715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027167830094416603,0.025592948822457953,0.02774159851916314,0.0,0.0,0.030336378053307588,0.0,0.028342955920923858,0.0,0.0,0.0,0.0,0.0,0.0,0.07533401274238812,0.0,0.0,0.0,0.04929809964881261,0.026619641187881685,0.0,0.0,0.0,0.0,0.045176420658241685,0.0,0.07677884646737387,0.0,0.0,0.0655906702830909,0.0,0.0,0.04673287366679927,0.04755533394058643,0.0,0.09035284131648337,0.06665868156898347,0.0,0.0,0.06165954106634615,0.0,0.022588210329120843,0.0,0.04172979119215735,0.0,0.10432447798039336,0.05902341338034131,0.13772129788746304,0.01913136884073668,0.018871473463694943
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05897693110295172,0.0,0.0,0.05897693110295172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05897693110295172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103065374359804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103065374359804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0551532687179902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15590527689608355,0.0,0.0,0.0,0.0,0.0,0.1039368512640557,0.2598421281601393,0.2598421281601393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196842563202785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196842563202785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196842563202785,0.0,0.0,0.0,0.05196842563202785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984998823436113,0.0,0.0,0.26881548955467216,0.04924994117180565,0.0,0.0,0.04924994117180565,0.0,0.0,0.0,0.04924994117180565,0.0,0.044802581592445365,0.04924994117180565,0.04924994117180565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4294373150535638,0.0,0.046886621030763256,0.0,0.0,0.0,0.0,0.0,0.14065986309228976,0.0,0.0,0.0,0.0,0.0,0.046886621030763256,0.0,0.0,0.18754648412305303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09377324206152651,0.0,0.17921032636978146,0.0,0.14065986309228976,0.14065986309228976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08960516318489073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044802581592445365,0.0,0.08588746301071276,0.0,0.0,0.0,0.0,0.0,0.04294373150535638,0.0,0.03975158511897551,0.0,0.04294373150535638,0.0,0.0,0.0,0.03975158511897551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1238104813799258,0.041270160459975266,0.0,0.0,0.0,0.0,0.0,0.0,0.08254032091995053,0.0,0.0,0.0,0.041270160459975266,0.0,0.0,0.0,0.03975158511897551,0.03836448765432839,0.0,0.0,0.0,0.03975158511897551,0.03975158511897551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03836448765432839,0.0,0.179569286538561,0.0,0.0,0.0,0.034823076527689824,0.0370902439686451,0.0,0.0,0.0,0.0,0.0,0.0370902439686451,0.06964615305537965,0.0,0.0,0.1392923061107593,0.0,0.0,0.0,0.031970967782305314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034823076527689824,0.0,0.14452675918394164,0.0,0.0,0.031970967782305314,0.03380776682218249,0.0,0.0,0.0,0.0,0.0,0.0,0.06761553364436498,0.0,0.11843059056505169,0.0,0.03113621555504838,0.0,0.03034995329648552,0.0,0.0,0.0,0.0,0.1517497664824276,0.03113621555504838,0.0,0.0,0.0,0.028239609559893544,0.0,0.03034995329648552,0.0,0.0,0.0,0.03034995329648552,0.08101788996193919,0.05521475525574374,0.0,0.0,0.11295843823957417,0.0,0.028239609559893544,0.027005963320646396,0.0,0.02588627047504694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027005963320646396,0.17404983219752712,0.0,0.023926786730762494,0.025363940710149763,0.2631946540383875,0.0,0.0,0.01988065771011686,0.0,0.05072788142029953,0.0,0.0,0.0,0.0,0.04304536064122698,0.0,0.0,0.0,0.0,0.0624966302309384,0.022656027968354298,0.061513212436030924,0.0,0.06796808390506288,0.04377337426861324,0.04304536064122698,0.0,0.04304536064122698,0.0,0.0,0.0,0.0,0.0,0.03976131542023372,0.0,0.05964197313035058,0.03749277577718718,0.0,0.05468671439508606,0.10788761516384957
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08179826146111088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15299003900877028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294850585131554,0.15299003900877028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07649501950438514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207779021513307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07649501950438514,0.28831116086053227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14415558043026613,0.14415558043026613,0.07207779021513307,0.21623337064539921,0.07207779021513307,0.21623337064539921,0.0,0.0,0.06830737865765389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14415558043026613,0.0,0.07207779021513307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207779021513307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07207779021513307,0.0,0.07207779021513307,0.0,0.0,0.0,0.0,0.0,0.07207779021513307,0.0,0.0,0.0,0.0,0.0,0.06830737865765389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06502956349843785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06830737865765389,0.0,0.06830737865765389,0.0,0.0,0.0,0.0,0.0,0.0,0.062139097689472386,0.0,0.0,0.0,0.06830737865765389,0.0,0.0,0.06830737865765389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06502956349843785,0.0,0.0,0.0,0.0,0.05956095904106951,0.05956095904106951,0.19508869049531352,0.0,0.062139097689472386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06502956349843785,0.0,0.0,0.0,0.0,0.0,0.1300591269968757,0.1300591269968757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23824383616427805,0.0,0.0,0.12427819537894477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05956095904106951,0.0,0.0,0.0,0.062139097689472386,0.062139097689472386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055133600413684876,0.055133600413684876,0.0,0.0,0.11447958761889872,0.05320976071970036,0.0,0.16540080124105463,0.0,0.05723979380944936,0.0,0.0,0.0,0.055133600413684876,0.0,0.0,0.11447958761889872,0.0,0.0,0.0,0.0,0.05723979380944936,0.0,0.0,0.0,0.11026720082736975,0.0,0.0,0.0,0.0,0.0,0.0,0.055133600413684876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04981085036461387,0.0,0.0,0.0,0.04981085036461387,0.0,0.19319195254292798,0.0,0.048297988135731995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09659597627146399,0.0,0.0,0.0,0.0,0.04981085036461387,0.0,0.0,0.14489396440719599,0.0,0.0,0.18755920311348637,0.0,0.09114906124927699,0.0,0.0,0.0,0.04434224590724553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04688980077837159,0.0,0.0,0.0,0.043184483377669114,0.0,0.12628192254077006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04209397418025668,0.03745601555386534,0.0,0.10553581960400313,0.0,0.0,0.04106443074802949,0.0,0.0,0.0,0.0,0.03382180361983988,0.0,0.0,0.0382901492367965,0.0,0.0,0.03745601555386534,0.03745601555386534,0.0,0.0,0.0,0.0,0.0,0.1327413631279431,0.0,0.0,0.0,0.13029765789945458,0.03517860653466771,0.0,0.032574414474863644,0.029363775848620304,0.0,0.05970191392754027,0.0,0.06764360723967976,0.0,0.0,0.17335984102478372,0.06284571491828383,0.028438655250767397,0.030879405236068285,0.09426857237742575,0.0,0.05970191392754027,0.029363775848620304,0.0,0.08667992051239186,0.0,0.0,0.029850956963770135,0.0,0.08272064383371754,0.0,0.0,0.026000368437038516,0.1300018421851926,0.07584793034974423,0.07481755313940536
3,0.0,0.07474468906411247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474468906411247,0.07474468906411247,0.0,0.0,0.0,0.0,0.0,0.07474468906411247,0.0,0.0,0.07474468906411247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13979750536695176,0.13172485384960855,0.0,0.0,0.0,0.0,0.0,0.0,0.13979750536695176,0.06989875268347588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06989875268347588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06586242692480428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06989875268347588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06586242692480428,0.0,0.3293121346240214,0.0,0.0,0.0,0.0,0.19758728077441284,0.0,0.0,0.0,0.0,0.0,0.06586242692480428,0.0,0.06586242692480428,0.0,0.0,0.0,0.062417142948426596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13172485384960855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06586242692480428,0.0,0.0,0.0,0.24966857179370638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062417142948426596,0.0,0.0,0.0,0.0,0.062417142948426596,0.0,0.0,0.0,0.12483428589685319,0.0,0.0,0.062417142948426596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05942197813063012,0.0,0.0,0.0,0.0,0.054424938676742134,0.0,0.11884395626126024,0.0,0.05678076101571275,0.0,0.0,0.0,0.0,0.0,0.1135615220314255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17826593439189034,0.17826593439189034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05678076101571275,0.0,0.0,0.0,0.1135615220314255,0.0,0.054424938676742134,0.0,0.0,0.1135615220314255,0.0,0.0,0.0,0.0,0.05678076101571275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05678076101571275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052303930596559876,0.05037935704617765,0.0,0.0,0.0,0.10460786119311975,0.0,0.0,0.05037935704617765,0.0,0.052303930596559876,0.0,0.0,0.0,0.05037935704617765,0.052303930596559876,0.0,0.0,0.0,0.10460786119311975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05037935704617765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048621412596411624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047006493910458844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04413318866616477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04413318866616477,0.0,0.0,0.042846431169247086,0.0,0.0,0.1831666632126086,0.0,0.0,0.04051855532794192,0.042846431169247086,0.0,0.0,0.04164457850245383,0.20259277663970962,0.0,0.0,0.0,0.0,0.18761695255072722,0.0,0.0,0.0,0.07692831009793286,0.04051855532794192,0.0,0.0,0.0,0.1538566201958657,0.0,0.0,0.03214510871227487,0.0,0.0,0.0,0.0,0.0,0.0,0.03752339051014544,0.03846415504896643,0.23958293615319376,0.06997667793424885,0.16072554356137433,0.03422613373617053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11906191832826475,0.10496501690137326,0.03663333264252172,0.0,0.0,0.0,0.0,0.0,0.03422613373617053,0.030323724904781756,0.0,0.12129489961912703,0.028713222852616762,0.0,0.05039168878891916,0.0,0.03214510871227487,0.08613966855785028,0.059530959164132376,0.026831698575853973,0.17227933711570056,0.0,0.030905304709370696,0.0,0.0,0.028713222852616762,0.07920539619146968,0.08613966855785028,0.025986352352130183,0.0,0.057426445705233524,0.0,0.08183060825506572,0.10732679430341589,0.02727686941835524,0.15841079238293937,0.09927770434556582,0.10560719492195958,0.05455373883671048,0.0,0.07558753318337874,0.0,0.05039168878891916,0.023758322238948172,0.0,0.04620497525564483,0.06836593646432518
