chunk_num,b'anoj,kok,chikilo,pokob',raxakaqulja,chaq'ab',cha'j,ikaj,chiwij,xech'akatajik,ke'ulik,utza'm,kisachik,uq'ij,ya'ol,xwinaqirik,xk'is,ukoq,uchuch,kumatz,kimi'al,puwaq,xpiyakok,kuchumakik',sipakna,xtikarik,kojb'ek,jusu',chiwila',chiwil,iwach,chutzinik,kanajoq,chik'astaj,tza'm,chiqaj,juch'ob',kixpe,taqol,qajuyub'al,utzijel,nimak'axk'ol,saqirik,kar,ik'oq'ij,karaj,chiqab'ij,xkikojo,rax,ulo,atan,naypu,xub'ij,jarub',wal,xutz'onoj,kub'ul,kojcha',xch'akataj,usachik,k'im,xepixab'an,nimatz'ikin,xtikar,chiqaya',iqajaw,xe'el,xekuchu,xkitzukuj,k'aslik,xutzinik,tz'u'm,ra'il,kakib'ano,jalajoj,ub'i,uk'utb'al,sel,chiwinaqir,nuwach,palo,ukab'awil,sita'l,lab'al,sanik,chuchaxik,ajlab'al,iwumal,mama',keta'm,q'o'l,wub',ukik'el,rixoqil,saqil,upa,kikab'ichal,kaqan,jumaj,k'echelaj,q'alel,te',koj,kaqix,nimachikop,qachuch,uch'akatajik,xril,kiq'aq'al,tzuqul,qanab'e,xkita'o,xya',rajawarem,ch'umil,aq'ab'al,chawaxoq,utiw,kal,kib'ix,mixb'isonik,chib'ek,xub'an,taq'aj,relik,chuch,xraj,kich'ab'al,ch'utichikop,xkikoj,aq,k'ya,chaj,kib'e,awlix,poy,kej,loq',k'otuja,ajtzik',alom,k'ajolom,nija'ib'ab',ch'utijuyub',rismal,k'axk'ol,xkina',uk'amik,kinawal,uwa,xkiya',nimal,itzel,unimal,quk',xek'ajolanik,xe'ik'owik,kepetoq,wach,chik'am,anim,utikarik,xojpe,ilol,kojkamik,b'anol,xpetik,chopon,xki'kot,chuq'ab',kiwi',kaminaq,xeki'kot,kamik,maja',chowen,b'atz',ajpop,xub'ina'j,xepetik,cha,kajawarem,ik',nimajuyub',nimaq,xsaqirik,uti'ojil,q'amja,xb'ek,achij,kixoqil,ajam,xcha,chajal,qati't,b'aq,chinamit,puchi',saqiroq,iwech,kiq'ab',xe'ulik,chib'e,xkitaq,kichaq',jom,xkam,qak'u'x,chuwi,je,kiwachib'al,iwib',ub'ixik,xil,xkikuch,xoponik,k'axtok',qajoq,umam,usaqirik,ixoq,are',xe'oponik,ub'ina'm,iwuk',aponoq,kiq'ij,xkilo,xkitz'onoj,kiwa,jujunal,a',tz'ikin,ajawarem,xkanaj,qaqajaw,xech'akataj,tepew,uqajaw,kichi',kati't,xmukane,ub'ik,tz'aq,b'it,xuk'am,recha',naj,jolom,kikamik,chiwe,xch'awik,chucha'xik,xkaj,qamam,b'itol,tz'aqol,qatzij,q'aq'chekeleb',xwinaqir,xech'awik,chel,xkipixab'aj,iwe,tulan,ral,chupam,utukel,uwe,xkitikib'a',uwi',qib',ch'uti'amaq',kib'anoj,nima'amaq',kijujunal,chikib'ano,qech,k'olik,aq'anoq,utzilaj,releb'al,chuchi',ya',ati't,k'a'm,kik'ajol,xb'an,ujolom,rab'inaleb',taqal,toq'ob',jutaq'ij,q'aq'al,ojer,chuxe',xekamik,k'amol,kikab'awil,xk'am,chok,tamub',q'ukumatz,xuchax,ajkajb',xe',xkib'ij,tz'ikinaja,aqaroq,oxib',rochoch,awilix,usamajel,chipe,k'eche',chiya',xek'oje',xe'ul,samajel,kiqajaw,xe'uxik,rox,k'i,keki'kot,ilokab',xe'ok,kij,jupacha,utzij,xaqi,xch'aw,nima'q,kawiqib',ja',nawal,b'a',junam,xopon,kik',juraqan,tinamit,al,q'aq',unab'e,uk'ajol,k'iche',uk'oje'ik,kich'akatajik,aj,q'alaj,ajk'ixb',xax,kuk'a'm,najt,ub'aq',mi,kichuch,xecha,ke'uchaxik,lo,xekam,k'ajol,qe,kixcha',xul,tzij,upam,xepe,apanoq,tojil,qus,kacha',xb'e,xk'oje',uchi',jusuk',ula,raqan,ukab',xkil,ajilan,on,kochoch,uxe',kib'il,qawach,cha',siwan,saq,jaqawitz,chupan,xkib'an,xma,kik'oje'ik,xe'uchaxik,kame,q'ij,kab'awil,xe'uchax,iq'ib'alam,kaj,b'e,wakamik,in,rajawal,xqaj,k'ajolab',k'itze',wa,kitzij,xkik'am,xchiqab'ij,chuxik,kajib',xel,sqaqi'n,xe'opon,retal,kecha',majukutaj,ajaw,ab'aj,k'ute,waral,jujun,lib'ajchi',xib'alb'a,xpe,xeb'ek,kanoq,chuxoq,at,wuqub',amaq',xkib'ano,nay,ajawab',xok,chikop,ka'ib',uk'u'x,b'alam,ulew,kuk',aq'ab',la,xb'alanq'e,rib',che',kina'oj,ja,tzatz,wa'e,nim,kech,wa',naqi,rij,a,jusu,ix,mana,xeb'e,taq,juyub',we,ajpu,oj,kib'i',ke,xuxik,konojel,kik'u'x,kiwach,b'a,xere,taj,kib',rech,xcha',uloq,winaq,chuwach,qi,uwach,na,maja,utz,chuwi',ruk',nab'e,ub'i',b'i,kumal,pu,qitzij,ronojel,la',re,keje
0,0.0,0.0,0.0,0.0,0.07474666380469279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474666380469279,0.0,0.0,0.06634013535946683,0.0,0.0,0.0,0.05741363897875756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08021238965094171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08021238965094171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12007644049056738,0.0,0.25487764612843866,0.0,0.0,0.0,0.0,0.22965455591503023,0.0,0.0,0.0,0.0,0.06298756553690743,0.0,0.0,0.0,0.23013649010117015,0.18011466073585108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06634013535946683,0.0,0.0,0.0,0.0,0.0,0.13268027071893365,0.12597513107381486,0.06298756553690743,0.0,0.0,0.0,0.0,0.0,0.07020603770674382,0.0,0.0,0.0,0.0,0.0,0.0,0.07020603770674382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08922849487260685,0.08922849487260685,0.0,0.0,0.0,0.0,0.0,0.0,0.07474666380469279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474666380469279,0.0,0.0,0.0,0.0,0.07474666380469279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06003822024528369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06298756553690743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06634013535946683,0.0,0.0,0.0,0.0,0.0,0.0,0.07020603770674382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030422389192350418,0.0,0.0,0.0,0.0,0.23013649010117015,0.04602729802023403,0.0,0.0,0.04919175585346933,0.0,0.04461424743630343,0.05097552922568773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06003822024528369,0.0,0.0,0.12272771067926086,0.12272771067926086,0.0,0.0,0.0,0.0,0.06298756553690743,0.0,0.0,0.0,0.0,0.0,0.1682591419462297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16516786046585433,0.0,0.0,0.0,0.0,0.0,0.0,0.04919175585346933,0.0,0.1101119069772362,0.0,0.0,0.0,0.0,0.0,0.0,0.1901930058111679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26481790562208674,0.0,0.0,0.0,0.0,0.0,0.0,0.03879851316905998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04602729802023403,0.0,0.0,0.0,0.05292127320430666,0.0,0.0,0.0,0.0,0.0,0.05741363897875756,0.05741363897875756,0.0,0.05741363897875756,0.05741363897875756,0.0,0.11946796732899102,0.0,0.0,0.0,0.0,0.0,0.09205459604046806,0.05859360162731374,0.04919175585346933,0.0,0.0,0.0,0.15580112842471383,0.0,0.0,0.0,0.03443821873198854,0.0,0.0550559534886181,0.0,0.0,0.0,0.0,0.0,0.03164467484808902,0.0,0.04754825145279198,0.0,0.04090923689308695,0.0,0.0,0.03879851316905998,0.23893593465798205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04461424743630343,0.0,0.10584254640861332,0.0,0.04206478548655743,0.04461424743630343,0.0,0.0,0.0,0.0,0.03164467484808902,0.0,0.0,0.0,0.03691553443010897,0.11639553950717994,0.0,0.04461424743630343,0.03879851316905998,0.04206478548655743,0.0,0.0,0.0,0.0,0.03229633538338613,0.0,0.0,0.22191586346223835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04090923689308695,0.09205459604046806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035222728494924395,0.03691553443010897,0.13775287492795416,0.0,0.04090923689308695,0.0,0.03229633538338613,0.0,0.0,0.03691553443010897,0.04356763332203443,0.0,0.0,0.0,0.023013649010117015,0.0,0.0,0.033690764723250576,0.0,0.14210647667431606,0.0,0.16176091282853636,0.07383106886021794,0.01817112205599692,0.06284129986917023,0.0,0.0,0.031505601461526686,0.033690764723250576,0.0,0.0,0.09893287453439288,0.016703882634170334,0.0,0.0,0.04595233986793967,0.0,0.02776483704198304,0.0,0.0,0.0,0.0,0.026393005181285154,0.033747834403882515,0.0,0.020012703888395794,0.0,0.0,0.0,0.024397252428215162,0.0,0.0,0.0,0.0,0.0,0.04189419991278015,0.0,0.059788262407889654,0.0,0.0,0.05125267916342011,0.0,0.0,0.04471770098891877,0.0,0.03211464648004302,0.0120120363112197,0.0,0.03035543819038785,0.08612412057017145,0.028492754133605885,0.02736546327765203,0.015177719095193925,0.0,0.0,0.05758348571036271,0.0,0.03656059072232764,0.019894252935017433
1,0.0,0.0,0.0,0.0,0.16842811290776138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08421405645388069,0.0,0.0,0.0,0.11084474125384298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09037206968882781,0.0,0.09037206968882781,0.0,0.0,0.09037206968882781,0.0,0.0,0.0,0.0,0.09037206968882781,0.0,0.0,0.0,0.09037206968882781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07096555391258286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12405865196411946,0.0,0.0,0.12405865196411946,0.0,0.07474275934131355,0.0,0.0,0.0,0.0,0.07474275934131355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07909831585644372,0.0,0.0,0.07909831585644372,0.15819663171288745,0.07909831585644372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911387237364613,0.0,0.0,0.0,0.3015904572328785,0.3015904572328785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08421405645388069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08421405645388069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0676426453271271,0.0,0.0,0.0,0.0,0.0,0.0,0.15079522861643924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474275934131355,0.0,0.0,0.0,0.0,0.0,0.0,0.05962426765806931,0.0,0.0,0.0,0.0,0.0,0.0,0.07909831585644372,0.07909831585644372,0.0,0.0,0.07909831585644372,0.0,0.27420544762782356,0.0,0.0,0.0,0.06468563529221029,0.0,0.0,0.0,0.0,0.0,0.0,0.05026507620547975,0.05743207626223172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18436316003087264,0.18436316003087264,0.07096555391258286,0.0,0.07096555391258286,0.07096555391258286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07474275934131355,0.0,0.07474275934131355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053570700393953126,0.0,0.11084474125384298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04739270008011948,0.0,0.0,0.0,0.0,0.0,0.06202932598205973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06468563529221029,0.0,0.0,0.0,0.06468563529221029,0.0,0.17946633125749176,0.0,0.0,0.0,0.0,0.0,0.051857103402282216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05026507620547975,0.0,0.0,0.0,0.053570700393953126,0.0,0.0,0.13827237002315448,0.048780823440761914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04609079000771816,0.0,0.0,0.0,0.05962426765806931,0.0,0.0,0.0,0.0,0.0,0.06202932598205973,0.09756164688152383,0.035652780986786405,0.09756164688152383,0.0,0.0,0.08318249249613181,0.0,0.0,0.05026507620547975,0.0,0.14217810024035843,0.0,0.1345997484431188,0.0,0.0,0.0,0.07430912415439007,0.0,0.045458848723401446,0.04061310457050454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04371272257559562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041591246248065906,0.07760030879892443,0.0,0.0,0.0,0.0,0.0,0.0,0.041591246248065906,0.02454294911228821,0.0,0.0,0.0759160561277146,0.025928551701141108,0.0,0.0,0.0759160561277146,0.0,0.10673709692589284,0.021401092552694255,0.2024994524700761,0.0,0.0,0.0,0.0,0.0,0.01774804630095008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029735936230303954,0.0,0.0,0.06210143312130934,0.0,0.0,0.0,0.07604465235025909,0.0,0.0,0.1022685146708712,0.0,0.0,0.0,0.0,0.0,0.0,0.01664489804936097,0.0,0.0,0.03763918397290934,0.022453675965407392,0.013730448488074747,0.0,0.034646597962623024,0.04587144777235144,0.0,0.05038163315768123,0.03841352133328248,0.018091139550612076,0.04060043295105342,0.018631921862769504,0.0,0.07762606310497985,0.0,0.015415782805854813,0.06840049991066259,0.035074682547880646,0.0,0.03892619685952536,0.0,0.027460896976149493,0.04482810748998687
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312836912914459,0.0,0.0,0.08741266640554379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08741266640554379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11110270995395476,0.0,0.137283306928891,0.0,0.0,0.0,0.0,0.0,0.0,0.11110270995395476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14459033440372293,0.0,0.0,0.0,0.0,0.0,0.07229516720186147,0.137283306928891,0.137283306928891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07650809283229698,0.0,0.0,0.0,0.0,0.268037304650466,0.0,0.06542755976628524,0.0,0.0,0.048619051808016955,0.048619051808016955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08145630888843912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08145630888843912,0.0,0.0,0.0,0.0,0.08145630888843912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13085511953257048,0.0,0.0,0.05555135497697738,0.0,0.28835879472582143,0.0,0.0,0.04122704617274346,0.0,0.0,0.0,0.137283306928891,0.0,0.137283306928891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07229516720186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11534351789032858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10031789016384274,0.0,0.0,0.0,0.268037304650466,0.0,0.048619051808016955,0.2222054199079095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06542755976628524,0.17832584183078465,0.17832584183078465,0.0,0.0,0.0,0.0686416534644455,0.0686416534644455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07229516720186147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1199961182276835,0.0,0.0,0.0,0.0,0.0,0.0,0.06385326474920164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08245409234548692,0.0,0.0,0.0,0.20063578032768548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11534351789032858,0.0,0.0,0.0,0.0,0.0,0.0,0.06256738258289178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10031789016384274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048619051808016955,0.0,0.04718340368984814,0.0,0.06256738258289178,0.0,0.0,0.0,0.0,0.0,0.0,0.04339734222988952,0.0,0.0518164271192614,0.0518164271192614,0.0,0.0,0.0,0.0,0.0,0.045840737037735606,0.05767175894516429,0.04228126731340089,0.045840737037735606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518164271192614,0.0,0.08456253462680179,0.0,0.0,0.0,0.0,0.0,0.04339734222988952,0.0,0.10921985444384116,0.0,0.0,0.0,0.10992553319629278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04228126731340089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03752957041574837,0.0,0.0,0.0,0.14078168239468966,0.0,0.0,0.0804585254313913,0.11869622056613724,0.0,0.0,0.0,0.0,0.0,0.04122704617274346,0.0,0.0,0.1032417900663915,0.0207002735520408,0.07834729091419851,0.0,0.0,0.02282741941263197,0.0,0.0,0.10300111899596472,0.036715021089844695,0.024929738130604565,0.03192663237460082,0.0,0.018203309073973526,0.1596331618730041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027848847958345923,0.0,0.0,0.025079472540960684,0.043436776284984754,0.0,0.0,0.02373924411322745,0.038340080706004545,0.0160998295773561,0.0,0.04565483882526394,0.0,0.021718388142492377,0.013280819144888488,0.029106534283539588,0.06702405998273075,0.08873860199219458,0.024390270166457072,0.04873179188374076,0.018577799188013784,0.034997422364651046,0.013090298487468129,0.0,0.01654014924425908,0.018771012941098293,0.031050410328061204,0.05964385609086444,0.04962044773277724,0.056543493570434186,0.0,0.0,0.023488406754548004,0.026561638289776975,0.03252009513923837
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10223732515066204,0.0,0.0,0.0,0.0,0.20447465030132408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14476979013037986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10971326002298534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10971326002298534,0.0,0.0,0.0,0.16423868925368038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27221701855510466,0.0,0.0,0.0,0.0,0.0,0.0,0.12591084588863358,0.0,0.0,0.0,0.0,0.07530467758404738,0.0,0.0,0.0,0.21310236223007822,0.09073900618503487,0.0,0.09073900618503487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09602672733754003,0.0,0.09602672733754003,0.0,0.0,0.0,0.0,0.0,0.0,0.06728371919132232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10223732515066204,0.0,0.10223732515066204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07852948315782139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895395802607597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238489506518993,0.03864852041559179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09073900618503487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07530467758404738,0.0,0.0,0.0,0.06102267431514551,0.06972353668909186,0.0,0.07852948315782139,0.15705896631564278,0.0,0.0,0.08211934462684019,0.16423868925368038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07530467758404738,0.0,0.0,0.0,0.0,0.07852948315782139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07238489506518993,0.0,0.06972353668909186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07852948315782139,0.0,0.0,0.07852948315782139,0.0,0.0,0.0,0.05595501847189339,0.0,0.0,0.0,0.0,0.0,0.0,0.06728371919132232,0.10893761941284033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06102267431514551,0.0,0.0,0.0,0.0,0.0,0.0,0.05595501847189339,0.11191003694378678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05595501847189339,0.0,0.06102267431514551,0.0,0.0,0.05306800336389584,0.0,0.0,0.0,0.0,0.0,0.0,0.0865661889655585,0.0,0.13007151882595014,0.06503575941297507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11423655540068077,0.044174425635820525,0.0,0.0,0.11037566158458063,0.0,0.13252327690746157,0.2986269196623633,0.0,0.0,0.04114449060036392,0.0,0.05595501847189339,0.0,0.0,0.05306800336389584,0.0,0.0,0.0,0.0,0.0,0.11803936438400807,0.0,0.0,0.0,0.1445313019684093,0.0,0.047104060394075845,0.0,0.0,0.0,0.0,0.0,0.0,0.1514774829216348,0.0,0.11512164436494043,0.0,0.0,0.06295542294431679,0.0,0.0,0.0,0.03239517173129645,0.03239517173129645,0.0,0.09833513898645686,0.0,0.0,0.02865111779170025,0.024583784746614216,0.11594556124677535,0.08618574413182174,0.0,0.03128977703458417,0.0,0.04510628277355238,0.04569462216027231,0.04007170886564665,0.0,0.020950965449498867,0.0,0.0,0.0,0.050261477934485786,0.047104060394075845,0.0,0.0,0.0,0.034953605959339724,0.01368653268544531,0.031038937641031123,0.0,0.10903660824176706,0.0,0.025703246772059814,0.0,0.0721820203542037,0.0,0.10281298708823926,0.0,0.0,0.0,0.08334501303285853,0.07306430281859905,0.1261847125203667,0.03712582212924539,0.030612680780020874,0.10194029412781944,0.02331734057296868,0.04392591437736633,0.016429876593296536,0.06785842888504805,0.0,0.04711969348119391,0.01299064877065656,0.018715027698936317,0.020759848308886417,0.11355006120362639,0.01918694072749007,0.06300943750224465,0.0,0.0,0.1224497249894165
