doc_id,0,1,2,3,4,5
0,7.401453725490384e-20,3.8555810309679383e-23,1.0698819959633354e-08,0.4183614706661854,7.581256061880945e-27,2.711106235509445e-27
1,1.505797216357558e-07,1.5635763303343275e-16,9.85389347614181e-21,0.30847479039164244,1.2315972707068458e-15,0.11241810803507943
2,1.95527759621634e-12,2.521108356557716e-25,4.2004828621747036e-26,0.4221275251718814,3.3667853491631773e-16,1.1176009111851004e-12
3,3.8390007001736024e-10,8.871353712732837e-15,1.3495948896890902e-29,0.42042341281347034,1.0170788494381237e-05,1.0004418776435306e-08
4,9.781737963982887e-09,1.2834698786967857e-06,5.405647401943862e-08,0.1856554255678109,0.22302757708131882,2.1915788453679593e-18
5,1.3805344611657624e-12,1.3835609503084807e-14,5.137692383258205e-13,1.0970036521365115e-09,0.38787210633408403,1.5428397958525438e-20
6,3.1581108148951395e-09,3.51831640906299e-22,1.691547572418724e-13,1.8298549995927033e-13,0.36635107727308336,3.981367168120199e-14
7,8.047327674165722e-11,2.533010197857029e-30,2.1104568561516638e-29,9.92555438124017e-23,0.3705267546220632,2.236197295407989e-14
8,9.45732912749653e-10,1.6836145049395034e-15,1.575700914768228e-27,3.2036388462586024e-25,0.37287342294048476,1.2417140217278873e-14
9,4.8111243075586664e-14,3.8015417012262806e-25,1.106037098189418e-27,2.966537476949272e-11,0.4188752922560181,2.6991448316992157e-15
10,3.181476755811569e-06,3.7305383666917937e-13,2.048562610974534e-21,0.059062783369129436,0.3175622256776873,2.095625869463786e-09
11,0.22257789479083256,7.643020900761912e-19,1.6133645292833084e-08,0.1714769007151088,0.0171068390938332,0.0032893973699103093
12,0.38065941530249636,5.6053056372432485e-25,3.729427227591898e-11,1.4792392268556623e-15,2.1180505935258827e-05,0.00043431494601808634
13,0.34885551503449974,6.095546865975608e-19,4.225033959353674e-27,9.886215215838903e-16,3.229405111122366e-20,6.6858539878019465e-12
14,0.2987028255267396,9.59442397708554e-11,0.04445519690287624,5.85196761666899e-10,0.007006063612173872,1.0864826096104198e-24
15,0.12797912158232647,4.1705860409198157e-23,0.06644829155539285,8.570074389119922e-05,0.21259495218017102,9.255349653480742e-11
16,0.12477346282488605,8.240277619261721e-20,4.220164482683905e-11,2.5930904155331984e-10,0.22988397023165016,0.03000802759743018
17,5.118960263086586e-07,7.545079342321928e-26,2.6461468012087995e-19,3.3596597384539036e-26,0.3697668692934923,3.0271475070663747e-09
18,7.152108518735841e-11,1.127108640093467e-18,3.5631913159986724e-30,3.890005104206048e-24,9.108209561749003e-17,0.46330287313960067
19,3.1234671036807576e-12,1.1757676616173833e-33,1.887192732703717e-37,9.369891383892844e-32,2.4579308306899006e-19,0.45984274276827664
20,6.019676063638845e-19,1.7588725765262915e-21,5.1348030954745036e-27,3.1442020065193465e-21,7.564178234864356e-26,0.46957638080094666
21,9.100780785266239e-14,1.6810468660222016e-17,8.81431800130712e-27,3.5796143598648994e-17,1.4105638336815883e-08,0.5322985711109377
22,0.22139631867966642,2.3503040782024112e-20,6.172412127631946e-25,5.775332107267953e-27,3.35682632459188e-07,0.2170213799281476
23,0.15366989858193494,2.703261123511147e-31,2.2512989677659514e-26,1.0966546185529749e-16,0.148798473633621,0.0698024211802325
24,0.26355626410594013,3.4768705884377674e-19,8.058581349504946e-15,3.1580655854530837e-06,0.0023217136129535824,0.2078062958388373
25,0.26734305632270255,4.992289472333421e-22,3.0377763637902696e-20,1.5414685452492317e-17,1.8484757097217582e-05,2.3927338887998094e-20
26,0.37184976763161187,1.0782674379553016e-17,2.658441183279043e-21,1.717555463787924e-21,0.000165024880606228,9.606856266963136e-15
27,0.3645463753010303,3.709155057512583e-17,3.726976208742756e-26,4.150064721316689e-18,2.3299663189632292e-11,8.741229132671505e-16
28,0.4077243316345832,5.41407274905836e-05,7.795685274340046e-21,1.0518617450423723e-14,5.958311359967984e-07,1.4728079513109368e-07
29,0.38273494811995534,4.268402248565222e-18,2.7292533235843064e-12,2.3068426283037083e-07,1.0349086683790758e-06,1.0794385767735847e-09
30,0.41472808093308694,2.1242914641999576e-12,9.588214266315495e-10,5.665489238633109e-09,1.9333995807926374e-07,8.767692848613069e-07
31,0.39964937341751877,1.3088529465954314e-18,3.5513721311141976e-17,5.154247455144265e-17,5.416746980778137e-15,1.0878209568570092e-09
32,0.30939341409697174,1.5432493059695027e-11,0.038368675669604405,5.546364694935922e-16,0.03508384392817815,2.7935669645898134e-10
33,0.0021068208154620383,1.7283532243451052e-11,0.07474858250687329,0.09268327608885976,1.0297870621349715e-09,0.27962688406904485
34,6.330987964477631e-11,4.2783939483679345e-07,2.84418763579123e-13,0.4827212243475434,2.790322775314874e-11,2.1541140913066847e-19
35,2.1771499284201415e-13,3.459439032107474e-05,1.1368415633832374e-20,0.4509575367189657,9.473606120286122e-17,6.556114288737407e-15
36,2.4873913310518257e-22,0.1634044451367584,0.11982307738085662,0.14422294428706095,7.026830970685061e-22,1.1943112003209366e-21
37,1.2038964946629132e-05,0.3369276049312361,0.00010398518549278113,0.12673110810590893,6.258249820088416e-13,6.650516686863853e-14
38,0.06061937061805472,0.2548217142890839,2.688278411478736e-22,0.04550807178822313,1.0121986275810095e-09,0.015465299019363997
39,0.017478098487260143,0.3076589195983746,1.0122558914578583e-15,1.3175586403504543e-08,0.10609285316236024,1.0042556102915323e-15
40,9.626125996083017e-13,0.4128360620067774,7.133194440629881e-17,1.893886289167878e-16,0.000408492672032938,7.013674152186772e-14
41,1.1210080531578844e-14,0.3868084141572422,2.824836866704151e-17,2.0056863890218997e-12,5.212744968429764e-19,4.3418836393378996e-16
42,5.959999574043351e-15,0.39240464247906326,1.4360673513087677e-18,4.320444028418551e-09,0.0002070791895030876,2.3612184572596826e-08
43,3.4043577498590013e-16,0.41943935885143435,1.0236804155517623e-15,1.402005539928204e-11,3.037702677706933e-23,6.836871373553351e-19
44,4.041829396553202e-17,0.14644939568456533,1.0688323977542535e-16,4.8715294601789656e-08,4.8848822453766936e-21,0.26790967600218923
45,0.01667041311372738,0.31587564504680776,0.0006350588893884564,7.911139638976355e-13,6.292763175989682e-14,0.07843333955240848
