topic_id,top_terms,gloss,label
0,"xibalba, came, quic, zamahel, vholom",xibalba,xibalba T0
1,"balam, quitze, mahucutah, tohil, acab",balam,balam T1
2,"cah, bit, bitol, tzacol, tzac",cah,cah T2
3,"ahpop, ahau, quiche, tinamit, ahauab",ahpop,ahpop T3
4,"batz, atit, catit, chouen, qiquin",batz,batz T4
5,"caquix, qaholab, caib, vbic, vtz",caquix,caquix T5
