,ajtzibab,ajtzibab,christenson,christenson,christenson_english_prose,christenson_english_prose,christenson_ximenez,christenson_ximenez,colop,colop,recinos,recinos,tedlock,tedlock,ximenez,ximenez
,chunk_str,doc_id,chunk_str,doc_id,chunk_str,doc_id,chunk_str,doc_id,chunk_str,doc_id,chunk_str,doc_id,chunk_str,doc_id,chunk_str,doc_id
chunk_num,,,,,,,,,,,,,,,,
0,popol wuj ojer taq tzij xb'an pa tinamit k'iche' ramaq' k'iche' winaq versin crtica y actualizada ajtz'ib'ab' nab'e are' uxe' ojer tzij waral k'iche' ub'i' waral xchiqatz'ib'aj wi xchiqatikib'a' wi ojer tzij utikarib'al uxe'nab'al puch ronojel xb'an pa tinamit k'iche' ramaq' k'iche' winaq are k'ut xchiqak'am wi uk'utunisaxik uq'alajob'isaxik utzijoxik puch ewaxib'al saqirib'al rumal tz'aqol b'itol alom k'ajolom jun ajpu wuch' jun ajpu utiw saqinim aq saqinim tzis tepew q'ukumatz uk'u'x cho uk'u'x palo ajraxalaq ajraxatzel chuchaxik rachb'ixik rachtzijoxik ri iyom mamon xpiyakok xmukane ub'i' matzanel ch'uqunel kamul iyom kamul mamom chuchaxik pa k'iche' tzij ta xkitzijoj ronojel ruk' xkib'an chik chi saqil k'olem saqil tzij wa'e xchiqatz'ib'aj chupan chik uch'ab'al dios pa kristyano'il chik xchiqelesaj rumal maja b'i chik ilb'al re popo wuj ilb'al saq petenaq ch'aqa palo utzijoxik qamujib'al ilb'al saq k'aslem chuchaxik k'o nab'e wujil ojer tz'ib'am puch xa ewal uwach ilol re b'isol re nim upeyoxik utzijoxik puch ta chik'istz'uk ronojel kaj ulew ukaj tz'ukuxik ukaj xukutaxik retaxik ukaj che'xik umej k'a'maxik uyuq k'a'maxik upa kaj upa ulew kajtz'uk kajxukut chucha'xik rumal tz'aqol b'itol uchuch uqajaw k'aslem winaqirem ab'anel k'u'xlanel alay rech k'u'xla'y rech saqil amaq'il saqil al saqil k'ajol ajb'is ajna'oj chi rech ronojel a toq'ol wi kaj ulew cho palo are utzijoxik wa'e k'a katz'ininoq k'a kachamamoq katz'inonik k'a tolona wa'e k'ute nab'e tzij nab'e uchan majab'i'oq jun chikop tz'ikin kar tap che' ab'aj jul siwan k'im k'iche'laj xa utukel kaj k'olik ma wi q'alaj uwach ulew xa utukel remanik palo upa kaj ronojel maja b'i naqi la kamolob'ik kakotzob'ik jun ta kasilob'ik kamalkab'an xa ma k'o wi naqi la k'olik yakalik xa remanik ja' xa li'anik palo xa utukel remanik xma naqi la lo k'olik xa kachamanik katz'ininik chi q'equ'm chi aq'ab' xa utukel ri tz'aqol b'itol tepew q'ukumatz e alom e k'ajolom k'o pa ja' saqtetoj e k'o wi e muqutal pa q'uq' pa raxon are ub'inam wi ri q'ukumatz e nimaq keje k'ut xax k'o wi ri kaj k'o wi nay puch uk'u'x kaj are ub'i' ri kab'awil chuchaxik ta xpe k'ut utzij waral xul kuk' ri tepew q'ukumatz waral chi q'equ'mal chi aq'ab'al xch'aw ruk' ri tepew q'ukumatz xecha' k'ut ta xena'ojinik ta xeb'isonik xeriqo xkikuch kitzij kina'oj ta xq'alaj xe wi ta xq'alaj puch winaq ta xkina'ojij utz'ukik uwinaqirik che' k'a'm utz'ukukik puch k'aslem winaqirem chi q'equ'mal chi aq'ab'al rumal ri uk'u'x kaj jun raqan kaqulja juraqan nab'e ukab' k'ut ch'ipakaqulja rox chik raxakaqulja chi e k'u oxib' ri' uk'u'x kaj ta xe'ul kuk' ri tepew q'ukumatz ta xna'ojixik saq k'aslem jupacha ta chawaxoq ta saqiro apachinaq tzuqul q'o'l ta chuxoq kixno'jin taj are ri ja' chel,0 1 2 3 4 5 6,are' u xe' ojer tzij waral k'iche' u b'i' waral xchiqatz'ib'aj wi xchiqatikib'a' wi ojer tzij u tikarib'al u xe'nab'al puch ronojel xb'an pa tinamit k'iche' ramaq' k'iche' winaq are' k'ut xchiqak'am wi u k'utunisaxik u q'alajob'isaxik u tzijoxik puch awaxib'al saqirib'al rumal tz'aqol b'itol alom k'ajolom ki b'i' junajpu wuch' junajpu utiw saqi nim aq sis tepew q'ukumatz u k'u'x cho u k'u'x palo aj raxa laq aj raxa sel chuchaxik rach b'i'xik rach tzijoxik ri' i'yom mamom xpiyakok xmuqane u b'i' matzanel chuqenel kamul i'yom kamul mamom chuchaxik pa k'iche' tzij ta xkitzijoj ronojel ruk' xkib'an chik chi saqil k'olem saqil tzij wa'e xchiqatz'ib'aj chupan chik u ch'ab'al dios pa christianoil chik xchiqelesaj rumal maja b'i chik ilb'al re popo wuj ilb'al saq petenaq ch'aqa palo u tzijoxik qa mujib'al ilb'al saq k'aslem chuchaxik k'o nab'e wujil ojer tz'ib'am puch xa ewal u wach ilol re b'isol re nim u pe'oxik u tzijoxik puch ta chik'is tz'uk ronojel kaj ulew u kaj tz'ukuxik u kaj xukutaxik retaxik u kaj che'xik u mej k'a'amaxik u yuq k'a'amaxik u pa kaj u pa ulew kaj tz'uk kaj xukut chuchaxik rumal ri tz'aqol b'itol u chuch u qajaw k'aslem winaqirem ab'anel k'u'xlanel alay rech k'u'xlay rech saqil amaq'il saqil al saqil k'ajol aj b'is aj na'oj chirech ronojel atok'ol wi kaj ulew cho palo are' u tzijoxik wa'e k'a katz'ininoq k'a kachamamoq katz'inonik k'a kasilanik k'a kalolinik katolona' puch u pa kaj wa'e k'ut e nab'e tzij nab'e ucha'n maja b'i'oq jun winaq jun chikop tz'ikin kar tap che' ab'aj jul siwan k'im k'eche'laj xa u tukel kaj k'olik mawi q'alaj u wach ulew xa u tukel remanik palo u pa kaj ronojel maja b'i naqi la' kamolob'ik kakotz'ob'ik jun ta kasilob'ik kamal kab'antaj kakotz' kab'antaj pa kaj xma k'o wi naqi la' k'olik yakalik xa remanik ja' xa li'anik palo xa u tukel remanik xma k'o wi naqi la' lo k'olik xa kachamanik katz'ininik chi q'equ'm chi aq'ab' xa u tukel ri tz'aqol b'itol tepew q'ukumatz e alom e k'ajolom k'o pa ja' saqtetoj e k'o wi e muqutal pa q'uq' pa raxon are' u b'i'nam wi ri q'ukumatz e nima'q eta'manel e nima'q aj na'oj chi ki k'oje'ik keje' k'ut xax k'o wi ri kaj k'o nay puch u k'u'x kaj are' u b'i' ri k'ab'awil chuchaxik ta xpe k'ut u tzij waral xul kuk' ri tepew q'ukumatz waral chi q'equ'mal chi aq'ab'al xch'aw ruk' ri tepew q'ukumatz xecha' k'ut ta xena'ojinik ta xeb'isonik xeriqo kib' xkikuch ki tzij ki na'oj ta xkalaj ta xkik'u'xlaj kib' xe' wi saq ta xkalaj puch winaq ta xkina'ojij u tz'ukik u winaqirik che' k'a'am u tz'ukuxik puch k'aslem winaqirem chi q'equ'mal chi aq'ab'al rumal ri' u k'u'x kaj juraqan u b'i' kaqulja juraqan nab'e u kab' k'ut ch'i'pi kaqulja rox chik raxa kaqulja chi e k'u oxib' ri' u k'u'x kaj ta xe'ul kuk' ri tepew q'ukumatz ta xna'ojixik saq k'aslem jupacha,1 2 3,this is the beginning of the ancient traditions of this place called quiche here we shall write we shall begin to tell the ancient stories of the beginning the origin of all that was done in the citadel of quiche among the people of the quiche nation here we shall gather the manifestation the declaration the account of the sowing and the dawning by the framer and the shaper she who has borne children and he who has begotten sons as they are called along with hunahpu possum and hunahpu coyote great white peccary and coati sovereign and quetzal serpent heart of lake and heart of sea creator of the green earth and creator of the blue sky as they are called these collectively are evoked and given expression as the midwife and the patriarch whose names are xpiyacoc and xmucane the protector and the shelterer twice midwife and twice patriarch as they are called in quiche traditions they gave voice to all things and accomplished their purpose in purity of being and in truth this account we shall now write under the law of god and christianity we shall bring it forth because there is no longer the means whereby the popol vuh may be seen the means of seeing clearly that had come from across the seathe account of our obscurity and the means of seeing life clearly as it is said the original book exists that was written anciently but its witnesses and those who ponder it hide their faces great is its performance and its account of the completion and germination of all the sky and earthits four corners and its four sides all then was measured and staked out into four divisions doubling over and stretching the measuring cords of the womb of sky and the womb of earth thus were established the four corners the four sides as it is said by the framer and the shaper the mother and the father of life and all creation the giver of breath and the giver of heart they who give birth and give heart to the light everlasting the child of light born of woman and the son of light born of man they who are compassionate and wise in all thingsall that exists in the sky and on the earth in the lakes and in the sea this is the account of when all is still silent and placid all is silent and calm hushed and empty is the womb of the sky these then are the first words the first speech there is not yet one person one animal bird fish crab tree rock hollow canyon meadow or forest all alone the sky exists the face of the earth has not yet appeared alone lies the expanse of the sea along with the womb of all the sky there is not yet anything gathered together all is at rest nothing stirs all is languid at rest in the sky there is not yet anything standing erect only the expanse of the water only the tranquil sea lies alone there is not yet anything that might exist all lies placid and silent in the darkness in the night all alone are the framer and the shaper sovereign and quetzal serpent they who have borne children and they who have begotten sons luminous they are in the water wrapped in quetzal feathers and cotinga feathers thus they are called quetzal serpent in their essence they are great sages great possessors of knowledge thus surely there is the sky there is also heart of sky which is said to be the name of the god then came his word heart of sky arrived here with sovereign and quetzal serpent in the darkness in the night he spoke with sovereign and quetzal serpent they talked together then they thought and they pondered they reached an accord bringing together their words and their thoughts then they gave birth heartening one another beneath the light they gave birth,1 2 3,are v xe oher tzih varal quiche vbi varal xchicatzibah vi xchicatiquiba vi oher tzih vticaribal vxenabal puch ronohel xban pa tinamit quiche ramac quiche vinac arecut xchicacam vi vcutunizaxic vcalahobizaxic vtzihoxic puch euaxibal zaquiribal rumal tzacol bitol alom qaholom quibi hun ahpu vuch hun ahpu vtiu zaquinimac tzz tepeu qucumatz vqux cho vqux palo ah raxala ah raxatzel chu qhaxic rachbixic rachtzihoxic r iyom mamom xpiyacoc xmucane vbi matzanel chuquenel camul yiom camul mamom chuqhaxic pa quiche tzih ta xquitzihoh ronohel ruq xquiban chic chizaquil qolem zaquil tzih vae xchicatzibah chupan chic vqhabal dios pa christianoil chic xchiquelezah rumal mahabi chic ilbal re popo vuh ilbal zac petenac chaca palo vtzihoxic camuhibal ilbal zacqazlem chuqhaxic qo nabe vuhil oher tzibam puch xa eval vvach ilol re bizol re nim vpeoxic vtzihoxic puch ta chiquiz tzuk ronohel cah vleu vcah tzucuxic vcah xucutaxic retaxic vcah cheexic vmeh camaxic vyuccamaxic vpa cah vpa vleu cah tzuc cah xu cut chuqhaxic rumal ri tzacol bitol vchuch vcahau qazlem vinaquirem abanel quxlanel alay rech quxlaay rech zaquil amaquil zaquil al zaquil qahol ahbiz ahnaoh chirech ronohel ato qol vi cah vleu cho palo are v tzihoxic vae cacatzinin oc caca chamam oc catzinonic cacazilanic caca lolinic catolona puch v pa cah vae cute nabe tzih nabe vchan mahabi o hun vinac hun chicop tziquin car tap che abah hul zivan quim quichelah xa v tu quel cah qolic maui calah v vach vleu xa vtuquel remanic palo vpacah ronohel mahabi na quila camolobic cacotzobic hun ta cazilobic camal cabantah ca cotz cabantah pa cah xma qo vinaquila qolic yacalic xa remanic ha xa lianic palo xa vtuquel remanic xma qo vi na quilalo qolic xa cachamanic catzininic chi queum chi aab xa vtuquel ri tzacol bitol tepeu qucumatz e alom e qaholom qo pa ha zactetoh e qovi e mucutal pa cuc pa raxon are vbinaam viri qucumatz e nimac etamanel e nimac ahnaoh chiqui qoheic quehe cut xax qo vi ri cah qonaipuch vqux cah are vbi ri cabauil chuqhaxic ta xpe cut vtzih varal xul cuq ri tepeu qucumatz varal chi quecumal chi aabal xqhau ruq ri tepeu qucumatz xe qha cut ta xenaohinic ta xe bizonic xerico quib xquicuch qui tzih qui naoh ta xcalah ta xquiquxlaah quib xe vi zac ta xcalah puch vinac ta xquinaohih v tzuquic v vinaquiric che caam v tzucuquic puch qazlem vinaquirem chi queumal chi aabal rumal ri vqux cah huracan vbi caculha huracan nabe vcab cut chipa caculha roxchic raxa caculha chi e cu oxib r vqux cah ta xeul cuq ri tepeu qucumatz ta xnaohixic zac qazlem hupacha ta cha uaxoc ta caquiro puch apachinac tzucul cool ta chuxoc quixnohintah areri,0 1 2 3 4 5,are' uxe' ojer tzij waral k'iche' ub'i' waral xchiqatz'ib'aj wi xchiqatikib'a' wi ojer tzij utikarib'al uxe'nab'al puch ronojel xb'an pa tinamit k'iche' ramaq' k'iche' winaq are k'ut xchiqak'am wi uk'utunisaxik uq'alajob'isaxik utzijoxik puch ewaxib'al saqirib'al rumal tz'aqol b'itol alom k'ajolom kib'i' junajpu wuch' junajpu utiw saqinim aq sis tepew q'ukumatz uk'ux cho uk'ux palo ajraxa laq ajraxa tzel chucha'xik rachb'ixik rachtzijoxik ri iyom mamom xpiyakok xmukane ub'i' matzanel chuqenel kamul iyom kamul mamom chucha'xik pa k'iche' tzij ta xkitzijoj ronojel ruk' xkib'an chik chi saqil k'olem saqil tzij wa'e xchiqatz'ib'aj chi upam chik uch'ab'al dios pa christianoil chik xchiqelesaj rumal maja b'i chik ilb'al re popo wuj ilb'al saq petenaq ch'aqa palo utzijoxik qamujib'al ilb'al saq k'aslem' chucha'xik k'o nab'e wujil ojer tzib'am puch xa ewal uwach ilol re b'isol re nim upe'oxik utzijoxik puch ta chi k'is tz'uq ronojel kaj ulew ukaj tz'uquxik ukaj xukutaxik retaxik ukaj che'xik umej k'a'maxik uyuq k'a'maxik upa kaj upa ulew kaj tz'uq kaj xukut chucha'xik rumal ri tz'aqol b'itol uchuch uqajaw k'aslem winaqirem ab'anel k'uxlanel alay rech k'uxlay rech saqil amaqil saqil al saqil k'ajol ajb'is ajna'oj chi rech ronojel a ta k'ol wi kajulew chopalo are utzijoxik wa'e k'akatz'ininoq k'akachamamoq katz'inonik k'akasilanik k'akalolinik katolona puch upa kaj wa'e k'ute nab'e tzij nab'e uchan maja' b'i oq jun winaq jun chikop tz'ikin kar tap che' ab'aj jul siwan k'im k'ichelaj xa utukel kaj k'olik mawi q'alaj uwach ulew xa utukel remanik palo upa kaj ronojel maja' b'i naki la' kamolob'ik k'akotzob'ik jun ta kasilob'ik kumal kab'an taj k'akotz kab'an taj pa kaj xa ma k'o wi naki la' k'olik yakalik xa remanik ja' xa li'anik palo xa utukel remanik xa ma k'o wi naki la' lo k'olik xa kachamanik katz'ininik chi q'equ'm chi aq'ab' xa utukel ri tz'aqol b'itol tepew q'ukumatz e alom e k'ajolom k'o pa ja' saqtetoj e k'o wi e muqutal pa q'uq' pa raxon are ub'inam wi ri q'ukumatz e nimaq etamanel e nimaq ajna'oj chi kik'oje'ik k'eje k'ut xax k'o wi ri kaj k'o wi nay puch uk'ux kaj are' ub'i' ri kab'awil chuchaxik ta xpe k'ut utzij waral xul kuk' ri tepew q'ukumatz waral chi q'equmal chi aq'ab'al xch'aw ruk' ri tepew q'ukumatz xecha' k'ut ta xena'ojinik ta xeb'isonik xeriqo kib' xkikuch kitzij kina'oj ta xq'alaj ta xkik'uxlaj kib' xe' wi saq ta xq'alaj puch winaq ta xkina'ojij utz'uqik uwinaqirik che' k'a'm utz'uquxik puch k'aslem winaqirem chi q'equmal chi aq'ab'al rumal ri uk'ux kaj jun raqan ub'i kaqulja jun raqan nab'e ukab' k'ut ch'ipi kaqulja rox chik raxa kaqulja chi e k'u oxib' ri' uk'ux kaj ta xe'ul kuk' ri tepew q'ukumatz ta xna'ojixik saq k'aslem jupa cha ta chawaxoq ta saqiroq puch apachinaq tzuqul k'ool ta chuxoq,1,este es el principio de las antiguas historias de este lugar llamado quich aqu escribiremos y comenzaremos las antiguas historias el principio y el origen de todo lo que se hizo en la ciudad de quich por las tribus de la nacin quich y aqu traeremos la manifestacin la publicacin y la narracin de lo que estaba oculto la revelacin por tzacol bitol alom qaholom que se llaman hunahpvuch hunahputi zaquinimtzis tepeu gucumatz u qux cho u qux palo ah rax lac ah rax tzel as llamados y al mismo tiempo la declaracin la narracin conjuntas de la abuela y el abuelo cuyos nombres son ixpiyacoc e ixmucan amparadores y protectores dos veces abuela dos veces abuelo as llamados en las historias quichs cuando contaban todo lo que hicieron en el principio de la vida el principio de la historia esto lo escribiremos ya dentro de la ley de dios en el cristianismo lo sacaremos a luz porque ya no se ve el popol vuh as llamado donde se vea claramente la venida del otro lado del mar la narracin de nuestra oscuridad y se vea claramente la vida existia el libro original escrito antiguamente pero su vista est oculta al investigador y al pensa dor grande era la descripcin y el relato de cmo se acab de formar todo el cielo y la tierra como fue formado y repartido en cuatro partes cmo fue sealado y el cielo fue medido y se trajo la cuerda de medir y fue extendida en el cielo y en la tierra en los cuatro ngulos en los cuatro rincones como fue dicho por el creador y el formador la madre y el padre de la vida de todo lo creado el que da la respiracin y el pensamiento la que da a luz a los hijos el que vela por la felicidad de los pueblos la felicidad del linaje humano el sabio el que medita en la bondad de todo lo que existe en el cielo en la tierra en los lagos y en el mar esta es la relacin de cmo todo estaba en suspenso todo en calma en silencio todo inmvil callado y vaca la extensin del cielo esta es la primera relacin el primer discurso no haba todava un hombre ni un animal pjaros peces cangrejos rboles piedras cuevas barrancas hierbas ni bosques slo el cielo exista no se manifestaba la faz de la tierra slo estaban el mar en calma y el cielo en toda su extensin no haba nada junto que hiciera ruido ni cosa alguna que se moviera ni se agitara ni hiciera ruido en el cielo no haba nada que estuviera en pie slo el agua en reposo el mar apacible solo y tranquilo no haba nada dotado de existencia solamente haba inmovilidad y silencio en la oscuridad en la noche slo el creador el formador tepeu gucumatz los progenitores estaban en elagua rodeados de claridad estaban ocultos bajo plumas verdes y azules por eso se les llama gucumatz de grandes sabios de grandes pensadores es su naturaleza de esta manera exista el cielo y tambin el corazn del cielo que ste es el nombre de dios as contaban lleg aqu entonces la palabra vinieron juntos tepeu y gucumatz en la oscuridad en la noche y hablaron entre s tepeu y gucumatz hablaron pues consultando entre s y meditando se pusieron de acuerdo juntaron sus palabras y su pensamiento entonces se manifest con claridad mientras meditaban que cuando amaneciera deba aparecer el hombre entonces dispusieron la creacin y crecimiento de los rboles y,0 1,this is the beginning of the ancient word here in this place called quiche here we shall inscribe we shall implant the ancient word the potential and source for everything done in the citadel of quiche in the nation of quiche people and here we shall take up the demonstration revelation and account of how things were put in shadow and brought to light by the maker modeler named bearer begetter hunahpu possum hunahpu coyote great white peccary tapir sovereign plumed serpent heart of the lake heart of the sea maker of the bluegreen plate maker of the bluegreen bowl as they are called also named also described as the midwife matchmaker named xpiyacoc xmucane defender protector twice a midwife twice a matchmaker as is said in the words of quiche they accounted for everythingand did it too as enlightened beings in enlightened words we shall write about this now amid the preaching of god in christendom now we shall bring it out because there is no longer a place to see it a council book a place to see the light that came from across the sea the account of our place in the shadows a place to see the dawn of life as it is called there is the original book and ancient writing but he who reads and ponders it hides his face it takes a long performance and account to complete the emergence of all the skyearth the fourfold siding fourfold cornering measuring fourfold staking halving the cord stretching the cord in the sky on the earth the four sides the four corners as it is said by the maker modeler motherfather of life of humankind giver of breath giver of heart bearer upbringer in the light that lasts of those born in the light begotten in the light worrier knower of everything whatever there is skyearth lakesea this is the account here it is now it still ripples now it still murmurs ripples it still sighs still hums and it is empty under the sky here follow the first words the first eloquence there is not yet one person one animal bird fish crab tree rock hollow canyon meadow forest only the sky alone is there the face of the earth is not clear only the sea alone is pooled under all the sky there is nothing whatever gathered together it is at rest not a single thing stirs it is held back kept at rest under the sky whatever there is that might be is simply not there only the pooled water only the calm sea only it alone is pooled whatever might be is simply not there only murmurs ripples in the dark in the night only the maker modeler alone sovereign plumed serpent the bearers begetters are in the water a glittering light they are there they are enclosed in quetzal feathers in bluegreen thus the name plumed serpent they are great knowers great thinkers in their very being and of course there is the sky and there is also the heart of sky this is the name of the god as it is spoken and then came his word he came here to the sovereign plumed serpent here in the blackness in the early dawn he spoke with the sovereign plumed serpent and they talked then they thought then they worried they agreed with each other they joined their words their thoughts then it was clear then they reached accord in the light and then humanity was clear when they conceived the growth the generation of trees of bushes and the growth of life of humankind in the blackness in the early dawn all because of the heart of sky named hurricane thunderbolt hurricanecomes first the second is newborn thunderbolt and the third is raw thunderbolt so there were three of them as heart of sky who came to the sovereign plumed serpent when the dawn of life,1,are v xe oher tzih varal quiche vbi varal xchicatzibah vi xchicatiquiba vi oher tzih vticaribal vxenabal puch ronohel xban pa tinamit quiche ramac quiche vinac arecut xchicacam vi vcutunizaxic vcalahobizaxic vtzihoxic puch euaxibal zaquiribal rumal tzacol bitol alom qaholom quibi hun ahpu vuch hun ahpu vtiu zaquinimac tziz tepeu qucumatz vqux cho vqux palo ah raxalaq' ah raxatzel chu qhaxic rachbixic rachtzihoxic ri iyom mamom xpiyacoc xmucane vbi matzanel chuquenel camul yiom camul mamom chuqhaxic pa quiche tzih ta xquitzihoh ronohel ruq xquiban chic chizaquil qolem zaquil tzih vae xchicatzibah chupan chic vqhabal dios pa christianoil chic xchiquelezah rumal mahabi chic ilbal re popo vvh ilbal zac petenac chaca palo vtzihoxic camuhibal ilbal zacqazlem chuqhaxic qo nabe vuhil oher tzibam puch xa eval vvach ilol re bizol re nim vpeoxic vtzihoxic puch ta chiquiz tzuk ronohel cah vleu vcah tzucuxic vcah xucutaxic retaxic vcah cheexic vmeh camaxic vyuccamaxic vpa cah vpa vleu cah tzuc cah xu cut chuqhaxic rumal ri tzacol bitol vchuch vcahau qazlem vinaquirem abanel quxlanel alay rech quxlaay rech zaquil amaquil zaquil al zaquil qahol ahbiz ahnaoh chirech ronohel ato qol vi cah vleu cho palo are v tzihoxic vae cacatzinin oc caca chamam oc catzinonic cacazilanic caca lolinic catolona puch v pa cah vae cute nabe tzih nabe vchan mahabi oq' hun vinac hun chicop tziquin car tap che abah hul zivan quim quichelah xa v tu quel cah qolic maui calah v vach vleu xa vtuquel remanic palo vpacah ronohel mahabi na quila camolobic cacotzobic hun ta cazilobic camal cabantah ca cotz cabantah pa cah xma qo vinaquila qolic yacalic xa remanic ha xa lianic palo xa vtuquel remanic xma qo vi na quilalo qolic xa cachamanic catzininic chi queq'um chi aq'ab xa vtuquel ri tzacol bitol tepeu gucumatz e alom e qaholom qo pa ha zactetoh e qovi e mucutal pa cuc pa raxon are vbinaam viri gucumatz e nimac etamanel e nimac ahnaoh chiqui qoheic quehe cut xax qo vi ri cah qonaipuch vqux cah are vbi ri cabauil chuqhaxic ta xpe cut vtzih varal xul cuq ri tepeu gucumatz varal chi quecumal chi aq'abal xqhau ruq ri tepeu gucumatz xe qha cut ta xenaohinic ta xe bizonic xerico quib xquicuch qui tzih qui naoh ta xcalah ta xquiquxlaah quib zac taxevi xcalah puch vinac ta xquinaohih v tzuquic v vinaquiric che caam v tzucuquic puch qazlem vinaquirem chi queq'umal chi aq'abal rumal ri vqux cah huracan vbi caculha huracan nabe vcab cut chipa caculha roxchic raxa caculha chi e cu oxib ri vqux cah ta xeul cuq ri tepeu gucumatz ta xnaohixic zac qazlem,1 2 3 4 5
