chunk_num,popol,sanik,utza'm,cha'j,mixutzinik,b'anoj,xuchaxik,wach,xelik,xeki'kot,ya'ol,yak,uq'ij,kok,ke'ulik,chiwij,kisachik,xek'ajolanik,xkiya',xech'akatajik,raxakaqulja,pokob',te',uchuch,kumatz,kimi'al,chub'inik,xpiyakok,sel,tza'm,xtikar,q'equmal,xtikarik,chutzinik,chiqaya',jusu',ik'oq'ij,xepixab'an,saqirik,usachik,xch'akataj,k'im,naypu,uk'utb'al,tz'u'm,kojb'e,utzijel,chiwil,kub'ul,ra'il,xub'ij,xutzinik,jarub',iwach,xutz'onoj,kojcha',ulo,kanajoq,karaj,xekuchu,nimak'axk'ol,xkitzukuj,chiwila',atan,nimatz'ikin,chiqab'ij,qajuyub'al,kakib'ano,kojb'ek,rax,chiqaj,taqol,chik'astaj,xe'el,jalajoj,chulkiya',xkikojo,juch'ob',k'aslik,q'alel,ukab'awil,nuwach,uti'ojil,chiwinaqir,chuchaxik,q'apoj,iwumal,je,mama',q'o'l,keta'm,wub',saqil,ajtzik',upa,kikab'ichal,kaqan,k'echelaj,jumaj,kichi',ch'umil,xkita'o,kiq'aq'al,uch'akatajik,xya',xril,xe'ulik,kiwa,chib'ek,kib'ix,choq',keki'kotik,kal,xekel,chuch,xkikoj,k'ya,chimalmat,loq',b'elejeb',kaqix,sipakna,chajal,rixoqil,ch'utijuyub',ilol,xkina',kamik,uk'amik,uwa,itzel,kaminaq,xk'is,chopon,xe'ik'owik,b'anol,kinawal,xki'kot,k'axk'ol,utikarik,unimal,kiwi',chik'am,rismal,xojpe,chuq'ab',anim,xpetik,nimal,chaq'ab',kojkamik,kepetoq,ukoq,quk',qajoq,umam,awlix,xkanaj,kati't,ajlab'al,xub'ina'j,koj,ik',k'ajolom,alom,kikamik,kikab'awil,achij,kuchumakik',k'otuja,kitinamit,ajam,chaj,nija'ib'ab',b'aq,chawaxoq,xkitaq,puchi',chib'e,kichaq',ukik'el,utiw,saqiroq,kixoqil,xil,qachuch,xoponik,kiwachib'al,ub'ixik,aq'ab'al,xkam,qak'u'x,chuwi,iwib',xkitikib'a',k'axtok',xkikuch,qati't,ajawarem,cha,xcha,iwuk',are',xraj,xkilo,kich'ab'al,aq,aponoq,kiq'ij,kib'e,mixb'isonik,ch'utichikop,jujunal,relik,a',ub'ina'm,xkitz'onoj,tulan,b'atz',chowen,nimajuyub',nimaq,ujolom,maja',xech'akataj,utzilaj,xb'ek,tz'aq,xepetik,lab'al,kej,ajpop,ral,jolom,recha',xuk'am,naj,chiwe,qamam,xch'awik,xsaqirik,chupam,jom,iwech,xech'awik,chel,q'aq'chekeleb',qatzij,kiq'ab',kajawarem,ixoq,poy,tz'ikin,q'amja,b'it,ati't,uwe,utukel,qib',kijujunal,uwi',nima'amaq',k'a'm,kib'anoj,nimachikop,ch'uti'amaq',uqajaw,xmukane,chikib'ano,aq'anoq,qaqajaw,chuchi',usaqirik,chipe,kik'ajol,ya',k'eche',chinamit,tepew,xb'an,iwe,xe'oponik,jutaq'ij,rab'inaleb',jupacha,taqal,nima'q,ojer,xekamik,xkaj,xk'am,chucha'xik,tamub',b'itol,tz'aqol,kawiqib',aqaroq,xwinaqir,xkipixab'aj,tz'ikinaja,mi,usamajel,chuxe',chok,chiya',k'olik,xek'oje',xe'ul,al,aj,releb'al,awilix,rox,xe'uxik,qech,ub'ik,uchi',rochoch,toq'ob',q'aq'al,utzij,kij,ke'uchaxik,xch'aw,xaqi,nawal,xul,b'a',k'amol,junam,samajel,tinamit,unab'e,uk'oje'ik,kich'akatajik,xe'ok,ilokab',kuk'a'm,xax,k'i,ub'aq',ja',xuchax,kiqajaw,cha',xopon,juraqan,xe',k'ajol,kixcha',q'alaj,upam,qawach,xepe,qus,kacha',kik',xk'oje',ajkajb',q'ukumatz,k'iche',jusuk',kichuch,oxib',xkib'ij,xkik'am,kik'oje'ik,ukab',lo,ajilan,najt,on,keki'kot,xkil,kochoch,tzij,uxe',rajawal,xekam,xb'e,q'aq',uk'ajol,in,kab'awil,kajib',apanoq,tojil,xqaj,saq,ajk'ixb',siwan,ula,kame,raqan,qe,chuxoq,xe'opon,k'ajolab',jaqawitz,kitzij,xecha,kaj,xel,wakamik,b'e,wa,xma,retal,kanoq,jujun,xe'uchaxik,kecha',chupan,xkib'an,q'ij,iq'ib'alam,sqaqi'n,xeb'ek,k'ute,chuxik,waral,k'itze',xe'uchax,lib'ajchi',xchiqab'ij,ajaw,majukutaj,xkib'ano,xpe,kib'il,che',at,wuqub',ab'aj,xib'alb'a,ajawab',chikop,uk'u'x,nay,wa'e,xok,ka'ib',kuk',wa',amaq',jusu,xb'alanq'e,nim,kech,mana,xeb'e,juyub',b'alam,tzatz,ix,ulew,kina'oj,ja,a,la,aq'ab',rij,taq,kib'i',naqi,rib',ke,konojel,xuxik,ajpu,oj,we,b'a,kiwach,xere,rech,kib',kik'u'x,xcha',taj,winaq,qi,utz,uwach,chuwach,nab'e,uloq,chuwi',na,maja,ruk',b'i,qitzij,ub'i',la',ronojel,pu,re,kumal,keje
0,0.063483230312176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063483230312176,0.0,0.0,0.063483230312176,0.0,0.0,0.0,0.05936741018927429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063483230312176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23746964075709717,0.0,0.0,0.0,0.0,0.05936741018927429,0.0,0.0,0.2968370509463715,0.0,0.17810223056782287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05936741018927429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11187844032101893,0.11187844032101893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055939220160509465,0.0,0.0,0.0,0.0,0.0,0.055939220160509465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11187844032101893,0.0,0.0,0.0,0.0,0.0,0.0,0.055939220160509465,0.0,0.0,0.0,0.0,0.0,0.055939220160509465,0.0,0.0,0.0,0.055939220160509465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05301302220715885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05301302220715885,0.0,0.0,0.0,0.0,0.0,0.0,0.0462249687570187,0.0,0.0,0.0,0.0,0.19290339816755347,0.0,0.0,0.0,0.0,0.050469125907208964,0.0,0.0,0.0,0.050469125907208964,0.04822584954188837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24112924770944183,0.10093825181441793,0.0,0.0,0.0,0.0,0.050469125907208964,0.0,0.0,0.19290339816755347,0.0,0.0,0.0,0.050469125907208964,0.0,0.15140737772162688,0.15140737772162688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1446775486256651,0.0,0.04822584954188837,0.04822584954188837,0.0,0.0,0.0,0.04822584954188837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04822584954188837,0.0,0.0,0.04822584954188837,0.0,0.0,0.042788917398512955,0.0,0.0,0.0,0.0,0.08557783479702591,0.0,0.0,0.0,0.0,0.0,0.0,0.0462249687570187,0.0,0.0,0.1332705713490377,0.0,0.0,0.0,0.0,0.044423523783012564,0.0,0.04129583482933157,0.0,0.04129583482933157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24777500897598945,0.24777500897598945,0.0,0.0,0.04129583482933157,0.0,0.0,0.0,0.042788917398512955,0.042788917398512955,0.0,0.0,0.0,0.0,0.0,0.0,0.23954537370749507,0.03992422895124918,0.0,0.0,0.0,0.0,0.0,0.0,0.03865795714063547,0.0,0.0,0.0,0.0,0.11597387142190639,0.0,0.03865795714063547,0.0,0.0,0.03992422895124918,0.0,0.03748383217035892,0.0,0.0,0.0,0.03992422895124918,0.0,0.3097241999140068,0.0,0.0,0.0,0.0,0.03865795714063547,0.0,0.0,0.0,0.0,0.0,0.03865795714063547,0.03748383217035892,0.0,0.0,0.0,0.0,0.03537017012750031,0.0,0.14148068051000123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344137999904452,0.0,0.05813886064346158,0.0,0.0,0.0344137999904452,0.0,0.0,0.0344137999904452,0.16334463654282497,0.031113946988968934,0.10054579847569073,0.0,0.0,0.0688275999808904,0.0,0.0,0.0,0.0,0.027864184177742665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11886718955966086,0.03186990369049531,0.0,0.031113946988968934,0.08720829096519238,0.02906943032173079,0.0,0.02906943032173079,0.0,0.07874680868830988,0.0,0.0,0.0,0.0,0.051509961073009806,0.0,0.0,0.0,0.0,0.0,0.08029225793316669,0.0,0.0,0.0,0.02528084362007129,0.06836724809558409,0.0,0.0,0.046334363154425344,0.0,0.11982677623511154,0.0,0.0,0.0,0.047118002721853625,0.046334363154425344,0.044142202262119366,0.0,0.06053627601149011,0.0,0.10699847792739085,0.0,0.06140996466154139,0.0,0.018128653252118904
1,0.0,0.0,0.0,0.0,0.12641566112494326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12641566112494326,0.0,0.0,0.0,0.11139309491073955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06320783056247163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06320783056247163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06320783056247163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06320783056247163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11821973096591713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11139309491073955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16708964236610932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059109865482958567,0.059109865482958567,0.0,0.0,0.0,0.0,0.059109865482958567,0.0,0.0,0.059109865482958567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11139309491073955,0.0,0.2784827372768489,0.2784827372768489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055696547455369776,0.0,0.0,0.0,0.0,0.0,0.0,0.055696547455369776,0.0,0.0,0.0,0.0,0.0,0.055696547455369776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055696547455369776,0.0,0.0,0.0,0.0,0.0,0.055696547455369776,0.055696547455369776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05025018328922473,0.0,0.0,0.3361164701464783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052783043786477836,0.0,0.0,0.052783043786477836,0.0,0.0,0.0,0.0,0.3681955034211659,0.0,0.05025018328922473,0.0,0.0,0.0,0.0,0.052783043786477836,0.0,0.0,0.10050036657844946,0.052783043786477836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04801663859235404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10050036657844946,0.0,0.0,0.0,0.0,0.0,0.0,0.1507505498676742,0.1507505498676742,0.0,0.0,0.05025018328922473,0.0,0.0,0.04602443792764574,0.0,0.0,0.0,0.0,0.0,0.04801663859235404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044230807891419366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13269242367425807,0.0,0.0,0.0,0.0,0.08846161578283873,0.0,0.0,0.044230807891419366,0.0,0.0,0.0,0.0,0.0,0.04260329267394043,0.0,0.041116687320298,0.0,0.041116687320298,0.0,0.08846161578283873,0.0,0.0,0.0,0.0,0.0,0.0,0.04260329267394043,0.0,0.0,0.044230807891419366,0.0,0.0,0.08520658534788086,0.0,0.03975103167369658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07698050627924394,0.0,0.0,0.0,0.03975103167369658,0.037321221699106684,0.0,0.0,0.0,0.03975103167369658,0.03849025313962197,0.13705803111217188,0.0,0.0,0.037321221699106684,0.03849025313962197,0.0,0.0,0.0,0.0,0.11196366509732004,0.0,0.03849025313962197,0.0,0.0,0.0,0.0,0.0,0.03521672903837781,0.03623307549288727,0.03521672903837781,0.0,0.07043345807675562,0.03623307549288727,0.0,0.0,0.0,0.03426450777804297,0.0,0.03623307549288727,0.028943322784428648,0.09758161384462949,0.0,0.0,0.0,0.0,0.03426450777804297,0.16263602307438246,0.030978970032520113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1736599367065719,0.057886645568857295,0.0,0.08682996835328595,0.3254666962517309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027183504411328795,0.0,0.10873401764531518,0.0,0.025171171538624804,0.0,0.0,0.0,0.02269022024870775,0.0,0.0238613899509252,0.025171171538624804,0.06807066074612325,0.0,0.06920003663368779,0.046133357755791866,0.0,0.0477227799018504,0.0,0.0238613899509252,0.0477227799018504,0.0,0.0,0.0,0.0,0.0,0.0,0.06392058151438826,0.019809826815501926,0.04076237269891621,0.062040433110557514,0.05415002532720622
2,0.0,0.0,0.0,0.0,0.08199298359296417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38338558589955063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07667711717991012,0.0,0.0,0.0,0.0,0.0,0.15335423435982024,0.23003135153973037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449874520465777,0.14449874520465777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14449874520465777,0.0,0.0,0.0,0.0,0.0,0.14449874520465777,0.14449874520465777,0.0,0.0,0.0,0.0,0.0,0.07224937260232889,0.0,0.0,0.0,0.0,0.0,0.07224937260232889,0.0,0.0,0.06518436746384884,0.0,0.0,0.0,0.0,0.0,0.07224937260232889,0.07224937260232889,0.07224937260232889,0.07224937260232889,0.0,0.07224937260232889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06846998551696779,0.0,0.0,0.13036873492769768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06846998551696779,0.0,0.0,0.0,0.0,0.0,0.0,0.06846998551696779,0.0,0.0,0.0,0.0,0.0,0.06518436746384884,0.0,0.0,0.26073746985539537,0.13036873492769768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06846998551696779,0.0,0.0,0.31143510426299187,0.0,0.0,0.0,0.0,0.06518436746384884,0.0,0.0,0.0,0.0,0.0,0.06228702085259838,0.0,0.0,0.0,0.0,0.0,0.13036873492769768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13036873492769768,0.13036873492769768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12457404170519676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06228702085259838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05737605409760619,0.0,0.0,0.05737605409760619,0.0,0.05737605409760619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333642744656801,0.0,0.05737605409760619,0.0,0.0,0.110529693746352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0515649035700325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333642744656801,0.0,0.0,0.09985885185687204,0.0,0.0,0.0,0.0,0.0515649035700325,0.103129807140065,0.04841296230567186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14978827778530807,0.0,0.0,0.0,0.04841296230567186,0.0,0.0,0.0,0.2597237085831656,0.0,0.0,0.0,0.0,0.0,0.045683021558344486,0.0,0.0,0.0,0.0,0.0,0.0,0.044447803366536115,0.0,0.04700142273471454,0.03754518022642805,0.16877671836413483,0.0,0.0,0.0,0.0,0.044447803366536115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035988521454913894,0.08037162987560148,0.0,0.0,0.0,0.0,0.0,0.0,0.1535251983142659,0.0,0.0,0.0,0.0,0.0,0.039260263293017975,0.0,0.03754518022642805,0.0,0.0,0.0345676685269616,0.0,0.0,0.0,0.0,0.03526234979690459,0.0,0.0,0.0,0.0691353370539232,0.029433676808987584,0.0,0.030952914177585184,0.06530391682854324,0.17660206085392552,0.03206355766452815,0.029922017666944245,0.05984403533388849,0.08976605300083274,0.06190582835517037,0.0,0.0,0.0,0.03042808002293167,0.029922017666944245,0.02850635394605205,0.0,0.052124525499424236,0.0,0.0,0.10278896083658892,0.05287681172049129,0.10730485276623444,0.04682881955924754
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807363103083954,0.0,0.0807363103083954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807363103083954,0.0,0.0,0.0,0.0,0.0,0.0807363103083954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15100383605803164,0.0,0.0,0.0,0.22650575408704746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14228407140215468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07114203570107734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07550191802901582,0.0,0.0,0.0,0.0,0.0,0.07550191802901582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06742057375240593,0.0,0.0,0.0,0.33710286876202966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07114203570107734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05878770508700383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07114203570107734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06742057375240593,0.0,0.13484114750481185,0.0,0.0,0.0,0.0,0.06742057375240593,0.0,0.0,0.0,0.13484114750481185,0.0,0.1283706260756041,0.2567412521512082,0.0,0.0,0.06418531303780205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06742057375240593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613323728857746,0.0,0.0,0.0,0.06418531303780205,0.0,0.06418531303780205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19255593911340613,0.19255593911340613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613323728857746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1226647457715492,0.0,0.0,0.05649667453122313,0.0,0.0,0.0,0.0,0.0,0.0,0.0613323728857746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054417824925711906,0.0,0.0,0.0,0.0,0.0,0.05649667453122313,0.0,0.0,0.0,0.0,0.0,0.11299334906244626,0.05649667453122313,0.0,0.0,0.0,0.0,0.0,0.052518961603402935,0.0,0.05649667453122313,0.054417824925711906,0.0,0.10883564985142381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052518961603402935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10154917831310314,0.0,0.0,0.10154917831310314,0.04767095642065131,0.0,0.0,0.0,0.0,0.0,0.21883284934121702,0.0,0.09534191284130263,0.0,0.049164177819041636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04628105094557882,0.04498285637060424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17506627947297362,0.0,0.22181844264091197,0.041547486472515466,0.0,0.08753313973648681,0.0,0.0,0.0,0.16618994589006186,0.0,0.0,0.043766569868243406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15827961284689432,0.0,0.0,0.0,0.07393948088030398,0.03956990321172358,0.07393948088030398,0.15117217971712077,0.040531309153639526,0.05992344230368766,0.0,0.07393948088030398,0.0,0.0,0.0,0.0,0.03338270989462567,0.0,0.13615145543112106,0.0,0.0,0.0,0.03472189802897196,0.0,0.032151515058877166,0.1310180399048235,0.032151515058877166,0.0,0.0,0.03338270989462567,0.09143553415728212,0.0,0.08694767626085116,0.0,0.029463415008830093,0.08839024502649027,0.17678049005298055,0.0609570227715214,0.08694767626085116,0.0304785113857607,0.0609570227715214,0.05992344230368766,0.0,0.11227779437200049,0.0,0.025662816993529326,0.054431145195300124,0.08164671779295019,0.12651694502876443,0.0,0.02641505867605357,0.06916663978371855
