topic_id,top_terms,gloss,label
0,"xibalba, came, que, quic, qha",xibalba,xibalba T0
1,"balam, tohil, quitze, amac, mahucutah",balam,balam T1
2,"cah, bit, tzacol, bitol, alom",cah,cah T2
3,"ahpop, ahau, quiche, chinamit, camha",ahpop,ahpop T3
4,"zipacna, caquix, qaholab, nu, che",zipacna,zipacna T4
5,"catit, batz, atit, chouen, choven",catit,catit T5
