term_str,0,1,2,3,4
petik,-0.001171990078350614,-0.004232562141032672,-0.004401712636105896,-0.0018486200264994286,-0.005351588546698353
kab'an,-0.0061833765432590835,0.002822365293940252,-0.00019817247965965294,-0.003236091351673845,-0.001414775261644116
xeqach'ako,-0.008945791405272992,0.0012998894671708272,-0.0057392112160898155,-0.0030992598326316846,-0.004528640680941951
qochoch,-0.0015841205556962746,-0.004075288929463004,-0.005387677873032539,-0.005343497200276504,-0.004642709875065982
ulo,-0.003032328480407231,-0.002721265238356817,-0.00017248764724776006,0.006414413098156996,-0.0004108867398104306
xek'is,-0.00702336493139551,0.0019565080497714175,-0.002741724371845831,0.002386328837530413,-0.0013247128010402116
xutzin,-0.0012248752342623927,-0.0037831672772482964,0.005754480352660983,0.003323247892813688,0.0021283677453228494
wuq,0.005519323769385934,0.01220935935252191,-0.0023186170573368113,-0.00031331329058534996,-0.0017436419020927646
xkitzukuj,0.0009894789535011986,-0.0009404041736872399,-0.0012077364591680847,-0.004266489921385157,0.001013583353113993
chaq'ab',-0.0044865036131793955,-0.0006734825679866153,-0.004878299988493357,-0.0014066801931676984,-0.0037660536615581374
b'alami,-0.0022509371882696574,0.00018746723828643908,2.4692169993140668e-05,-0.00319275695952097,-0.006710055753223527
taqol,-0.008128350514471675,0.0023227644194125496,-0.0049164468215063565,-0.006437752471950857,-0.0022059927865821275
chutzinik,-0.0006533825758029461,-0.002207143538525153,-0.002916484390501072,0.00022154551514813047,-0.002647207094502585
wal,-0.002996411358284269,0.004605999686388034,0.0011753107582614822,0.0019021537021432834,-0.002040536497336249
k'aslik,-0.007886754620288353,0.00040572153990799673,-0.002664366061666349,0.004072995240817049,0.00022606652536693163
winaqil,-0.0002224631941593115,-0.0036307164406633717,0.010477211015667124,-0.003663946737739774,-0.0012882847613013473
koq'ik,-0.0022067031324645068,-0.00014565378755463678,-0.0013649809984615147,-0.005867973374597533,0.0017764564631503825
xki'kot,0.0002603119765400602,-0.0037431626627342897,0.004724307054599419,-0.001690354969725588,0.0029365885152530624
ku'b'ul,-0.0046859935502439375,-1.0190527169813475e-06,-0.002693958581746935,0.0017566170097513415,-0.003881554169481372
xtikar,0.0034979819315949755,-0.001982266689961115,-0.0028317930605959965,0.00582719385000191,0.003262271342884305
xtikarik,0.003023910380481701,-0.00030907741058743915,0.0021772610797233787,0.00442925230026948,-0.002153241838818718
jarub',0.006101292557299937,-0.0025817020811156393,-0.004108750902726495,0.0018095618982921996,0.001007243073254132
xech'aw,0.0013181457309253796,-0.004559436721704569,-0.006792617090997532,-0.002218040264009558,-0.0023492755806050767
wila',-0.006190947603061282,0.0020816008045859836,-0.00047492958116321653,0.001546683993337873,-0.0034705201813874623
sik',-0.011205621397598047,0.002377381552455387,-0.008367525039706182,-0.011854168495671146,-0.019309009120865712
kumatz,-0.007604555122644767,0.0003730386589261846,0.002392331521827118,0.004435645353076865,-0.00751359211736591
q'alel,0.022245045174690913,0.03229854444292735,0.0002993440876152654,0.006590975655508548,0.002087902232542686
tzijoxik,-0.004729678806415458,0.006468126059733248,0.011589984013331793,-0.009627610357884429,-0.012560144387205695
palo,0.01217231429166616,-0.0034338369527387664,0.006899786632797076,-0.004835562087239381,-0.0035518200186115388
q'apoj,-0.019819399133167596,0.010782591242042085,-0.00024566750059209244,0.005007589569048562,-0.014673687325680177
lal,-0.012937955820246873,0.0023414478394383344,0.004943527189982604,0.021787111070966675,-0.004350222987813145
ixim,-0.0032885758349820555,-0.004897998358707586,0.01278164859836439,0.006664908130301383,-0.002071743755202475
puj,-0.011456591609372352,0.00709935426786338,-0.001653343213633948,-0.015330295657730567,-0.013949122613346614
rixoqil,0.00485748724043946,-0.008924055388243904,0.010616300311791114,0.0038422293542512078,-0.006866896088966285
kaqaj,-0.00884169165341383,0.0015611833018092309,-0.007361237154911446,-0.005635563664660002,-0.004650448737639398
jab',0.0052572330758090535,-0.01147328247561288,0.003027265733756763,-0.0025441337818679424,0.0009169277570131619
ya'oq,-0.010819354838103252,0.00381293974757793,-0.0045772956842185745,-0.010814066866548,-0.009645510895387156
mi'al,0.011563172112525317,0.011849601223014723,-0.008365175472437451,-0.0005160781588671383,0.00659174807936275
sipakna,-0.022091741269935797,-0.005386552449027189,0.007251417600770524,0.06034043835481755,0.008903186501064416
recha',-0.008980288204668759,-0.0007605493072045836,0.003745721444795591,0.009850219199602963,-0.0014450391907701767
kaqan,0.005308131034019049,-0.012088718891414876,-0.0042386612185196584,-0.003371053397238589,0.009255830713006846
jumaj,0.0020687060985836946,-0.005257848536108417,-0.010382002664556658,0.008402596431845672,-0.0012544399146507887
xo'l,0.0018012849495491934,-0.0010715448263192895,0.0003923133161936388,-0.0020752455692340426,-0.01080343994061409
xkita'o,-0.0017969958021761137,-0.0048937725160441556,-0.003435674777616036,-0.004100906526723661,7.405473318657457e-05
xkiya',-0.006089963540393536,0.002171213159290941,-0.005169189842505211,-0.0011237934199395988,0.0018024701043141908
xril,-0.006087883998070085,-0.00044058900049500076,-0.0004748956004466631,0.003801646577236243,0.005682577463807631
keki'kotik,0.005428501243099704,-0.005862681712068657,-0.007483836671657619,-0.001984807047663698,-0.00299756533974514
popol,0.014247859482134794,0.018095427127854384,-0.002301339104797798,0.0013351953631420587,0.003536991610866109
xe'ik'ow,-0.004999800328393102,-0.005423581867433929,-0.008601252218260655,-0.008205609255543776,-0.009732302303600296
chikamik,-0.008495364743737344,0.0064194235874120995,-0.001062084540852194,-0.008129500269474602,-0.007142819102658887
chuwa,-0.0035406496071283696,0.005756477158537279,-0.0030333497852362465,-0.004539351005666499,-0.0031437921977364395
qech,0.0033982845497189684,-0.007346161206169253,0.009946349274857814,-0.0007713387202225132,0.0007547166581817063
pach',-0.00955062104726742,0.003048817004416938,-0.004836084168587719,-0.01047581892240903,-0.001989691081758459
kamisaxik,0.001973084924281644,-0.007048517429370293,-0.002221220848326307,0.005006179704968769,0.004133069734796978
xekel,-0.0048927383228699935,-0.00258374376242539,-0.007647583453115604,-0.0034305021986046954,0.002608610952605144
b'e'el,-0.0019351164767679257,-0.001025977330401398,0.005782221557300578,-0.006655028270876219,0.0010470920839471965
xoponik,-0.006606789200392104,0.0010997251639243226,-0.004494764531952163,-0.0019264998594729539,-0.00728295595566752
taq'aj,0.00532127089577902,-0.005166338805764356,0.01151298279159332,-0.0037110935243802696,-0.0011341485401385066
tz'alam,0.007372114225407163,0.0005538055665471366,0.0015400263967128229,0.001085958481393761,-0.0022679994717891803
suywa,0.010612640977988233,-0.013869233450888708,-0.007630374302821911,0.0005429545617676849,-0.006166251864486006
eta'manel,-0.0021439888487405426,-0.0015134819917141794,0.005097040560113369,-0.0028340247391470726,0.005975451930710156
puk'b'al,-0.005292584255909167,0.004353984712686041,0.0029562117477991106,-0.004497411648566516,-0.005310349222034544
xkikoj,-0.0022987710309481805,-0.00455327843984017,-0.00043972080850789095,0.009551326410507445,0.0011706913076201502
itzel,-0.007085342095154505,0.0006396595681722618,0.0031321868895582573,0.009342928538803955,0.005363976640104507
istayul,0.013323363553798824,0.018895302685151064,-0.0025930901759825646,0.004047162989101351,0.0028950276172873034
winaqirik,0.00465433549164724,0.00037099223472640417,0.012525681204694678,-0.0028254848045113985,-0.0005879339031861453
qajoq,-0.0117680647946149,0.0005517863591745626,0.003749221884148511,0.028459707195904797,0.006079147915036753
tzik',0.016115545947699244,0.02310030829722611,0.00041085807620932184,0.004190610271383844,0.0014651133365912487
kixoqil,0.013954001995995911,-0.011063474200216781,-0.001415483648576597,-0.0020527274785226684,0.0067375876363953025
chajal,-0.004606813741677204,0.001922914479043564,-0.00025191676010906275,-0.0003168203438564935,-0.0037986040416108377
kojkamik,0.0013878321623285378,-0.0014370705182262195,-0.006904283890617045,-0.0022080801747810224,-0.0015694176598047322
k'utb'al,-0.0006127514763140198,0.001892064638290655,-0.0015570005429789706,-0.00040517380951949017,0.007931484147131615
jo',-0.001060065328627654,-0.0019652477368946038,-0.002035783654223582,-0.007513855597529824,-0.0058332897666298865
xub'ij,0.00018759373791215762,-0.004821400970807907,-0.0025818787578678806,-0.0025674037670868426,-0.0009751905214729471
waram,0.0014166322062614451,-0.005030220403428228,0.0019111086201958644,0.004294773100092942,-0.0020161817037959713
b'anol,-0.0022603189759213506,0.0010470000478571368,0.005132980835639502,0.01395112509556194,0.0008594097423580108
kanajoq,0.0015455891949901763,-0.0020163686741451734,-0.0015226968351301025,-0.0007614628900317021,0.0013553781398136114
xpetik,-0.0032648854370669416,0.0006065461768214822,-0.0005438815429143081,0.004027694453666272,0.0027819748187634962
xkina',-0.00089026971490199,-0.003264982230509236,-0.006791333812667831,0.0009520042032810177,-0.0014545873100952514
kakib'ano,-0.006602662462470222,-0.0007544886017641893,-0.004322333451846642,-0.0005066884806075192,0.004675695737891567
chiqab'ij,0.0022860134851407934,0.00025711170331554705,0.0003173412922841545,0.002254062237863577,-5.565163505454386e-05
k'im,0.00039420525597807875,-0.0018467092928061517,0.0033911389493558332,-0.004107241196639727,0.00037352927616190427
tikarik,0.00829938873757683,0.0025634733942705686,0.000559517773354362,-2.7603687506500944e-05,0.0019451602065085202
q'ol,0.005217871096717602,-0.004628729162418812,0.0048094563181123335,-0.002184222757411262,0.0008543526127280781
anim,-0.0046344694557727195,0.0014790488352981988,-6.0793476459566116e-05,0.002965631984352679,0.007040455293645606
b'inib'al,0.005876703835398497,-0.006999703339468324,0.010315494238827827,-0.0009569903734254701,-0.0028303645192052458
