topic_id,top_terms,gloss,label
0,"xib'alb'a, kame, kik', samajel, jolom",xib'alb'a,xib'alb'a T0
1,"b'alam, tojil, kitze, majukutaj, amaq'",b'alam,b'alam T1
2,"pop, ajaw, tinamit, nim, k'am",pop,pop T2
3,"b'it, kaj, tz'aq, b'itol, tz'aqol",b'it,b'it T3
4,"sipakna, kaqix, nu, k'ajolab', q'apoj",sipakna,sipakna T4
5,"kati't, qati't, chowen, b'atz', su'",kati't,kati't T5
