hac_label,n_chunks,gloss,top_terms
3,17,kame,"kame, xib'alb'a, xcha, ajpu, b'a, naqi, samajel"
8,8,tojil,"tojil, amaq', b'alam, awlix, k'itze', majukutaj, aq'ab'"
6,7,alom,"alom, k'ajolom, tz'aqol, b'itol, kaj, ulew, uk'u'x"
5,7,tinamit,"tinamit, kik'ajol, releb'al, ub'i', ajawarem, ajaw, amaq'"
1,6,sipakna,"sipakna, kaqix, k'ajolab', wuqub', in, k'ajol, nuwach"
2,6,chowen,"chowen, b'atz', ati't, qati't, tz'ikin, kati't, q'apoj"
7,5,ukab'awil,"ukab'awil, tamub', wakamik, q'ij, tulan, awilix, jaqawitz"
4,4,q'alel,"q'alel, ajpop, q'amja, b'elejeb', ajawab', ajaw, ajtzik'"
