chunk_num,yakalik,chikik'am,katok,k'ajisab'al,q'eqal,kikik',kaqaya',xecha,xoq',xuk'ulu,xojpetik,wa'ij,petenaq,xech'aw,qati't,katz,lab'al,xsaqirik,qajoq,kati't,ajam,chowen,b'atz',ukab'awil,utyo'jil,k'ool,tzuqul,saqil,q'aq'chekeleb',umam,chinamit,jal,ra'il,qajaw,la',chuch,kiwa,mixutzinik,xekel,k'aslem,ula',kaqaj,kumatz,kak'ix,nija'ib'ab',b'elejeb',kiq'aq'al,xril,ukoq,qa,upa,keje,palo,tzel,koj,kawiqib',tz'aqol,b'itol,ub'ixik,ch'ob',xe'ulik,wub',kiwachib'al,kikajaw,chuwi',kekikotik,mixb'isonik,xwinaqirik,uch'akatajik,q'eqa,jalan,sis,aq'ab'al,xikin,ilol,xkina',kisachik,iwach,etamanel,kojkamik,xpetik,k'im,wij,chupan,taq'aj,uwa,b'anol,kepetoq,yak,aq'aroq,xek'ajolanik,ya'ol,quk',ral,q'ana,uchuch,xucha'xik,chub'inik,xpiyakok,poy,puwaq,xukut,xutzinik,xkitzukuj,xutz'onoj,taqol,kojb'e,kojb'ek,chutzinik,xtikarik,xokik,xkikojo,kul,chiwil,chikamik,ib'i',kojcha',kib'ij,jarub',xekuchu,ke'ulik,kipam,iwumal,chiqaya',k'aslik,uk'utb'al,tzalam,chulkiya',kub'ul,tulan,sanik,xe'ik'ow,mama',ik',recha',chiwinaqir,kaq,b'it,chajal,kikab'awil,kikamik,uq'ab',utzilaj,nuwach,xaqi,qak'ux,xub'an,xkitik'ib'a,xil,kixoqil,achij,chawaxoq,utiw,aq'anoq,kikab'ichal,tinamit,ixim,ch'ipi,usaqirik,kaqan,releb'al,jom,utukel,jumaj,ati't,kib'i,k'axtok',ukik'el,chel,xkita'o,xoponik,xya',rab'inaleb',tz'ikina,chib'ek,choq',kib'ix,ch'umil,toq'ob',kuk'a'm,kab'an,xkikoj,karaj,itzel,nimaq,chopon,aq,aponoq,xch'akataj,xkiya',chuchax,tamub',chikib'ano,tz'ikin,awilix,k'iche',tepew,kichi',ajk'ajb',chuchi',iwib',kaqulja,uwi',unimal,toqob',chiqab'ij,chik'am,uk'amik,rismal,nimal,kaminaq,ox,keb'e,kakib'ano,xojpe,uq'ij,kamik,xub'ij,kanajoq,utzijel,xuk'am,rixoqil,kajawarem,ilokab',ajk'ixb',xb'ek,xe'oponik,xekamik,k'a'm,xech'awik,k'ux,xub'ina'j,ujolom,xepetik,uqajaw,xech'akataj,qamam,qaqajaw,xkaj,saqiroq,tojil,samajel,q'ukumatz,wach,aj,kik'ajol,ixoq,k'echelaj,ub'aq,xmukane,xopon,iwech,jujunal,k'axk'ol,q'equmal,chib'e,qachuch,xch'awik,xkitaq,jutaq,nawal,kib'anoj,xkam,xax,naj,ub'ik,xe'ul,oxib',kame,b'aq,xe'uxik,iwuk',utikarik,ka,kinawal,xkikuch,saqirik,anim,xe'el,ukaj,jolom,ik'i,xek'oje,xk'am,k'amol,q'aq'al,xwinaqir,kij,kej,chiya',xkib'ij,xk'is,usamajel,k'eche',ub'i,xe',jupa,junam,xch'aw,k'ajolab',kitze',jakawitz,qatzij,xkipixab'aj,kiq'ab',iwe,xe'ok,majukutaj,k'ajol,taqal,jusuk',ke'ucha'xik,rajawal,uxe',kiq'ij,rax,kijujunal,xkilo,uchi',al,kichuch,kixcha',juraqan,k'olik,xb'an,cha',xkanaj,kiqajaw,chok,xekam,mi,unab'e,xul,chaaj,nima'q,ula,apanoq,xraj,tz'aq,qech,xuchax,chipe,najt,kekikot,qib',kacha',amaq',wech,uk'ajol,rox,tzij,xib'alb'a,q'aq',ju,kochoch,ojer,xkib'an,kib'e,chuxe',ajilan,retal,kitzij,xe'ucha'xik,ki,raxa,juta,raqan,kecha',ajaw,chuxoq,kab'awil,rochoch,ya',xqaj,ka'ib',xe,kaj,sqaqi'n,cha,kus,kich'akatajik,je,kik',wakamik,ajawab',k'ya,utzij,in,lo,wuqub',ja',a,xb'alanke,uk'oje'ik,xk'oje,k'ute,jujun,chucha'xik,xepe,qawach,kanoq,xchiqab'ij,saqi,aq'ab',kik'oje'ik,xkik'am,apa,xkil,b'e,siwan,kajib',xe'uchax,q'ij,chila',on,ix,kib'il,naki,q'alaj,xb'e,uk'ux,xeb'e,xpe,saq,xeb'ek,che',ukab',xcha',xma,xkib'ano,junajpu,lib'aj,xe'opon,chuxik,waral,at,nim,wa',kuk',ulew,la,chikop,nay,upam,ab'aj,tzatz,xel,qe,k'a,chiri',rij,b'a,ja,wa,winaq,juyub',ke,kech,ch'uti,mana,kiwach,kik'ux,kib'i',chi',xok,xuxik,jusu,taq,wa'e,k'i,kib',oj,uloq,we,chu,kina'oj,nima,chuwach,rech,nab'e,utz,xere,chuwi,konojel,ub'i',rib',ronojel,taj,ri',re,qitzij,ruk',xawi,uwach,na,maja,b'i,k'eje,k'o,kumal
0,0.06000293279291399,0.0,0.06000293279291399,0.0,0.0,0.0,0.0,0.06000293279291399,0.0,0.0,0.0,0.0,0.06000293279291399,0.0,0.020582093560641175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03942083923227282,0.14817883122904985,0.14817883122904985,0.1265800779326394,0.0,0.0,0.0,0.0,0.0,0.0,0.13617139924246788,0.0,0.0,0.13617139924246788,0.0,0.13617139924246788,0.0,0.0,0.052674032728002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13985423474590872,0.0,0.125915252970296,0.05489765237206872,0.0662442818695135,0.0,0.18156186565662383,0.18156186565662383,0.07884167846454564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09078093282831191,0.0,0.0,0.0,0.09078093282831191,0.09078093282831191,0.0,0.04924695394960229,0.0,0.0,0.0,0.04924695394960229,0.0,0.0,0.09849390789920458,0.0,0.0,0.04924695394960229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04216731197873906,0.0,0.0,0.1748177934323859,0.028664860388961117,0.0,0.053980875975489,0.053980875975489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053980875975489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030001466396456997,0.0,0.0,0.07408941561452492,0.0,0.10979530474413744,0.07901104909200306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11826251769681845,0.11826251769681845,0.0,0.0,0.015389000017698964,0.07408941561452492,0.11113412342178737,0.024374693660403863,0.0,0.0,0.0,0.09401490458465836,0.0,0.015046145571868955,0.0,0.0,0.0,0.08433462395747812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09078093282831191,0.0,0.0,0.0,0.09078093282831191,0.0,0.09078093282831191,0.0,0.0,0.0,0.0,0.0,0.0,0.14603446408388374,0.0,0.05310344148504864,0.15802209818400612,0.0,0.0,0.0,0.03312214093475675,0.17062285562282706,0.0,0.0,0.0,0.0,0.04924695394960229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1316850818200051,0.03942083923227282,0.0,0.0,0.017835620814174925,0.0,0.02744882618603436,0.03704470780726246,0.03704470780726246,0.0,0.0,0.11113412342178737,0.0,0.0,0.1646567484851294,0.0,0.0,0.0,0.0,0.052674032728002036,0.0,0.14332430194480558,0.0,0.0,0.03942083923227282,0.0,0.07884167846454564,0.0,0.0,0.0,0.0,0.07408941561452492,0.0,0.04216731197873906,0.0,0.04216731197873906,0.0,0.0,0.026337016364001018,0.021239780243688933,0.0,0.0,0.0,0.0,0.0,0.0,0.04539046641415596,0.04539046641415596,0.0,0.0,0.0,0.09936642280427026,0.0,0.0,0.031478813242574,0.0,0.0,0.0,0.10489067605943155,0.0,0.1274386814621336,0.0,0.05489765237206872,0.0,0.0,0.0,0.03496355868647718,0.03496355868647718,0.07408941561452492,0.0,0.03704470780726246,0.0,0.0,0.0,0.03942083923227282,0.0,0.0,0.0,0.0,0.0,0.02269523320707798,0.0,0.12000586558582799,0.06000293279291399,0.0,0.03567124162834985,0.04216731197873906,0.0,0.04216731197873906,0.04216731197873906,0.021942503495321206,0.030001466396456997,0.0,0.024374693660403863,0.03312214093475675,0.09936642280427026,0.03312214093475675,0.0,0.0,0.0,0.0,0.0,0.02350372614616459,0.0,0.01996512751938776,0.0,0.057329720777922234,0.0,0.026337016364001018,0.06582751048596362,0.06582751048596362,0.0662442818695135,0.0,0.0,0.0,0.0,0.0,0.02350372614616459,0.0,0.03704470780726246,0.0,0.028664860388961117,0.13165502097192724,0.0,0.0,0.01996512751938776,0.05063203117305575,0.08599458116688335,0.021942503495321206,0.0,0.0,0.0,0.0,0.052674032728002036,0.1163106826754129,0.057329720777922234,0.08599458116688335,0.0,0.05651623701489491,0.0,0.0,0.09419372835815817,0.015748151337927698,0.02269523320707798,0.0,0.0,0.0,0.0,0.1407329817411667,0.0,0.0998256375969388,0.0,0.0,0.030001466396456997,0.0,0.0,0.0,0.0,0.03496355868647718,0.0,0.048749387320807726,0.0,0.12899850411876432,0.02744882618603436,0.0,0.0,0.025316015586527876,0.019385113779235484,0.0,0.09078093282831191,0.0,0.0,0.0,0.0,0.0,0.008379847418301337,0.02350372614616459,0.0,0.0,0.0,0.011678358159477405,0.05651623701489491,0.0,0.03664621647395918,0.019431809744688708,0.0,0.028664860388961117,0.017853996275545275,0.07051117843849376,0.020808779270616178,0.018838745671631633,0.0,0.11290870792132064,0.0,0.01612481301484554,0.10701372488504955,0.0,0.038863619489377416,0.025316015586527876,0.0,0.0,0.03474797919365811,0.026743683274773777,0.02269523320707798,0.0,0.020582093560641175,0.1016170090093592,0.039304458869317944,0.015264059822499097,0.0,0.04116418712128235,0.13151219740882228,0.0,0.06156391052958148,0.020539740029317844,0.022213406177157235,0.01832310823697959,0.0,0.0,0.05989538255816329,0.017373989596829054,0.0052002495478662685,0.011882360691067819,0.005969627181883142,0.0041351470931613715,0.015748151337927698,0.04992239946977089,0.04329526480927196,0.009291222768509109,0.015046145571868955,0.037677491343263265,0.0,0.0,0.0,0.02418739892667702,0.015748151337927698,0.0,0.011882360691067819,0.0,0.012775968212412296,0.049560973417542044,0.0,0.041617558541232356,0.04442681235431447,0.0,0.0,0.017835620814174925,0.01832310823697959,0.02239669029821845,0.01745307144142698,0.04709686417907909,0.05972450746191588,0.021451354986258293,0.0,0.013872519513744118,0.0,0.01197285907144818,0.01327586037126216,0.03922406738913768,0.0714159851021811,0.0520842207646239,0.03168174080094327,0.0,0.019806211672731826,0.0,0.04329526480927196,0.01543618291011611,0.013872519513744118,0.024518946197342146,0.045761275016888,0.048741229057525925,0.04577350992360254
1,0.0,0.0,0.0,0.06842097326535435,0.06842097326535435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394734064287402,0.0,0.0,0.0,0.08990267847466601,0.04224185126502507,0.04224185126502507,0.05773539208855719,0.0,0.0,0.0,0.0,0.0,0.05175846820260242,0.0,0.05175846820260242,0.0,0.0,0.0,0.0,0.05175846820260242,0.0,0.0,0.3118044032298695,0.0,0.0,0.0,0.0,0.0,0.09616625025735004,0.0,0.15947491916139225,0.0,0.0,0.0,0.0,0.07763770230390363,0.07763770230390363,0.0,0.0,0.0,0.04495133923733301,0.0,0.10351693640520485,0.0,0.0,0.0,0.0,0.05175846820260242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056155997094591965,0.0,0.0,0.0,0.0,0.0,0.056155997094591965,0.0,0.0,0.056155997094591965,0.11231199418918393,0.0,0.0,0.0,0.056155997094591965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986872979034806,0.19611817839942378,0.1026314598980315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06155405911084923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17980535694933203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368419465307087,0.17105243316338586,0.1196061893710442,0.04224185126502507,0.0,0.15649863391859117,0.0,0.0,0.04224185126502507,0.1267255537950752,0.0,0.07973745958069613,0.0,0.0,0.0,0.0,0.0,0.0,0.03421048663267717,0.04495133923733301,0.0,0.0,0.03986872979034806,0.0,0.08448370253005014,0.0,0.0,0.06842097326535435,0.0,0.0,0.0,0.0,0.06862810706086356,0.0,0.09616625025735004,0.0,0.0,0.0,0.04808312512867502,0.0,0.0,0.0,0.0,0.0,0.0,0.03589509610686214,0.0,0.0,0.0,0.0,0.0,0.10351693640520485,0.05175846820260242,0.0,0.05175846820260242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030031936917978785,0.03589509610686214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056155997094591965,0.056155997094591965,0.0,0.0,0.0,0.0,0.0,0.056155997094591965,0.0,0.0,0.0,0.0,0.0,0.06537272613314125,0.0,0.0,0.0,0.03268636306657063,0.0,0.0,0.0,0.04495133923733301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04224185126502507,0.0,0.0,0.02346963402802134,0.03986872979034806,0.0,0.0,0.06842097326535435,0.030031936917978785,0.03268636306657063,0.03268636306657063,0.03268636306657063,0.0,0.0,0.0,0.0,0.0,0.0,0.08448370253005014,0.0,0.0,0.026801153600826164,0.0,0.0,0.0,0.07973745958069613,0.0,0.0,0.0,0.0,0.0,0.07179019221372428,0.0,0.0,0.0,0.0,0.0,0.05175846820260242,0.05175846820260242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03986872979034806,0.0,0.0,0.0,0.03421048663267717,0.09389918035115472,0.0,0.0,0.0,0.03986872979034806,0.0,0.04224185126502507,0.0,0.04224185126502507,0.054810649289878305,0.0,0.0,0.0,0.0,0.08990267847466601,0.0,0.0,0.0,0.02587923410130121,0.1368419465307087,0.06842097326535435,0.0,0.0,0.04067569627335863,0.0,0.04808312512867502,0.04808312512867502,0.04808312512867502,0.05004180213023237,0.1026314598980315,0.05773539208855719,0.0,0.03776897251355557,0.0,0.03776897251355557,0.03776897251355557,0.0,0.0,0.0,0.0,0.026801153600826164,0.0,0.0,0.031299726783718236,0.0,0.05360230720165233,0.0,0.05004180213023237,0.05004180213023237,0.07553794502711114,0.0,0.03589509610686214,0.0,0.0,0.0,0.026801153600826164,0.0,0.0,0.06268118109229959,0.0,0.0,0.0,0.11734817014010669,0.022766111465883903,0.0,0.0,0.0,0.0,0.031299726783718236,0.0,0.049277855825284204,0.0,0.0,0.0,0.03268636306657063,0.09805908919971189,0.02148170520931166,0.0,0.0,0.1074085260465583,0.017957519599747836,0.02587923410130121,0.026801153600826164,0.0,0.06774691213667307,0.0,0.09439820525105193,0.0,0.022766111465883903,0.0,0.06842097326535435,0.0,0.0,0.0551610737431092,0.0,0.0,0.0,0.20072906963458567,0.02779431247211712,0.15657337875864943,0.0,0.031299726783718236,0.029386772724740405,0.028867696044278596,0.028867696044278596,0.022104725384215842,0.016083643193054407,0.02587923410130121,0.031299726783718236,0.06259945356743647,0.0,0.04693926805604268,0.05004180213023237,0.00955548819845444,0.0,0.031299726783718236,0.0,0.03776897251355557,0.0,0.0,0.0,0.0,0.09601788085457008,0.01074085260465583,0.0,0.020358801561664364,0.0,0.02372812234150706,0.0,0.05773539208855719,0.06437455076381449,0.0,0.1103221474862184,0.061013544410037944,0.0,0.1255618441944378,0.05773539208855719,0.0579800578738125,0.0,0.039622905827615455,0.05082609446984934,0.0,0.0,0.02346963402802134,0.0386244156916483,0.05602328928629485,0.026108269556766955,0.036774049162072796,0.0,0.09164377784513555,0.02302138213648461,0.028080378610777546,0.023421338558125417,0.0,0.06268118109229959,0.01715702676521589,0.0,0.045532222931767806,0.019811452913807728,0.011859624812530752,0.013549382427334613,0.006807128965269418,0.018861130650794755,0.017957519599747836,0.08538930516743626,0.03526380197656731,0.05297361937629219,0.05147108029564766,0.04296341041862332,0.03151103382847156,0.07909374113835688,0.010594723875258437,0.0,0.0,0.02148170520931166,0.0,0.0,0.0,0.037676047701533245,0.012074417318230947,0.007909374113835686,0.0,0.057745567445040474,0.025263330595730438,0.04067569627335863,0.02089372703076653,0.0510776149364417,0.0663387648407978,0.01074085260465583,0.07661642240466256,0.0183456355927539,0.041256610460477815,0.07909374113835688,0.00967404166567742,0.050059449626744947,0.07569190748322689,0.03354522114093541,0.03053820234249655,0.05939131490092752,0.012042164382322869,0.037282321677189006,0.0,0.03913922903296033,0.07052760395313462,0.008800891965208245,0.04745624468301412,0.0349485034350922,0.05739942885554516,0.013894830531764145,0.05965171468350241
2,0.0,0.0,0.0,0.0,0.0,0.0,0.07744139900334386,0.0,0.0,0.0,0.0,0.07744139900334386,0.0,0.0,0.0,0.0,0.0,0.0,0.2564899559985909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05858215685320041,0.0,0.0,0.0,0.0,0.0,0.2184692128596322,0.0,0.0,0.0,0.05442226704341441,0.10884453408682881,0.0,0.0,0.09024981856007092,0.0,0.03542619338595314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05858215685320041,0.0,0.0,0.0,0.0,0.11716431370640082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06355944339708733,0.0,0.0,0.0,0.06355944339708733,0.0,0.0,0.0,0.0,0.0,0.12711888679417466,0.0,0.0,0.0,0.10884453408682881,0.05442226704341441,0.0,0.0,0.03872069950167193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06966917049530516,0.06966917049530516,0.06966917049530516,0.06966917049530516,0.0,0.0,0.0,0.06966917049530516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06966917049530516,0.0,0.0,0.0,0.0,0.0,0.17099330399906063,0.032673530658533116,0.19360349750835965,0.0,0.04512490928003546,0.0,0.0,0.0,0.0,0.0,0.047810896313443,0.047810896313443,0.0,0.18049963712014183,0.0,0.05442226704341441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04512490928003546,0.0,0.0,0.14343268894032898,0.0,0.0,0.0,0.0,0.0,0.030334541160384886,0.08549665199953031,0.09709480090872342,0.0,0.10884453408682881,0.0,0.10884453408682881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11716431370640082,0.0,0.05858215685320041,0.0,0.0,0.0,0.0,0.05858215685320041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042748325999765156,0.0,0.0,0.06355944339708733,0.0,0.0,0.06355944339708733,0.0,0.0,0.06355944339708733,0.0,0.06355944339708733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04512490928003546,0.036995639836772044,0.0,0.0,0.0,0.0,0.0,0.04512490928003546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14343268894032898,0.0,0.047810896313443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03399126172451127,0.1849781991838602,0.0,0.036995639836772044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047810896313443,0.0,0.06066908232076977,0.0,0.10884453408682881,0.0,0.09024981856007092,0.0,0.0,0.0,0.0,0.07969141068094585,0.0,0.0,0.0,0.05858215685320041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047810896313443,0.0,0.0,0.0,0.04512490928003546,0.0,0.0,0.03542619338595314,0.12824497799929546,0.0,0.0,0.04512490928003546,0.04512490928003546,0.0,0.0,0.0,0.23928452529222205,0.0,0.0,0.0,0.0,0.05087759544302857,0.0,0.03145863526128389,0.0,0.08787323527980061,0.0,0.0,0.0,0.0,0.0,0.0,0.05442226704341441,0.05442226704341441,0.05442226704341441,0.08495875564172972,0.0,0.032673530658533116,0.03145863526128389,0.0,0.0,0.0,0.08549665199953031,0.0,0.0,0.040627403078500914,0.0,0.12133816464153954,0.07085238677190628,0.0,0.0,0.0,0.1820072469623093,0.03399126172451127,0.028319585213909905,0.0,0.0,0.05663917042781981,0.040627403078500914,0.040627403078500914,0.040627403078500914,0.04512490928003546,0.030334541160384886,0.0,0.047810896313443,0.023648296340090975,0.0,0.028319585213909905,0.0,0.0,0.02576753059250693,0.0,0.0,0.0,0.0,0.10627858015785942,0.0,0.0,0.0,0.0,0.07399127967354409,0.0,0.07399127967354409,0.04862758376542655,0.0,0.06496680565076292,0.024313791882713275,0.0,0.029291078426600205,0.0,0.08787323527980061,0.12268555452840138,0.03399126172451127,0.010684339507558453,0.0,0.0,0.0,0.0,0.03872069950167193,0.0,0.0,0.0,0.0,0.04512490928003546,0.05242906545917432,0.12583454104513556,0.10471828895042389,0.04162223479464435,0.0,0.05543506821052375,0.0,0.0,0.05003789851686311,0.0,0.0,0.0,0.0,0.0,0.0,0.05663917042781981,0.0,0.0,0.03542619338595314,0.07505684777529467,0.042748325999765156,0.0301448063231619,0.024313791882713275,0.0,0.0,0.0250792163274595,0.024313791882713275,0.036995639836772044,0.03456427173694746,0.06066908232076977,0.05371274046986591,0.0,0.032673530658533116,0.014572301542766586,0.023648296340090975,0.020811117397322176,0.023019131959929447,0.022423338294005456,0.07523764898237849,0.032673530658533116,0.07109264840253557,0.03872069950167193,0.04484667658801091,0.03451611697795864,0.0,0.0,0.0,0.02185827418186216,0.025363695908117535,0.0,0.0,0.026563803560315284,0.056577726450430334,0.10422582167755864,0.01589120777139916,0.013254570476788434,0.0,0.023648296340090975,0.0,0.02576753059250693,0.0,0.04484667658801091,0.04026949164733113,0.0,0.08475017551189024,0.0,0.0,0.0,0.03193030474619177,0.011991502017548698,0.07767584072697874,0.0,0.017832679274047844,0.017904246823288637,0.011991502017548698,0.0,0.04064997541151939,0.0,0.030671388632100345,0.022423338294005456,0.016489008219083248,0.04264315024587428,0.02733254803750314,0.017904246823288637,0.08600765850523862,0.08714477088465647,0.09531325320526157,0.06905739587978833,0.04729659268018195,0.06744679880938739,0.015016935633175446,0.0,0.0,0.07613566327770888,0.046695764174597004,0.0,0.032848319083443184,0.010301662639978157,0.06853672994097426,0.0,0.03456427173694746,0.05041597219837666,0.05451907579148883,0.025318509904063327,0.02556242952634221,0.029532822150597472,0.03991288093273971,0.059767058584779834,0.05371274046986591,0.05537842006465601,0.03543643944587068,0.041937827499025186,0.03375801320541777
