hac_label,n_chunks,gloss,top_terms
1,17,came,"came, xibalba, zamahel, quic, xqha, vholom, ahpu"
6,15,balam,"balam, tohil, quitze, amac, mahucutah, acab, iqui"
4,9,cah,"cah, bit, qaholom, alom, bitol, tzacol, zaquil"
5,8,ahau,"ahau, ahpop, quiche, tinamit, ahauab, chinamit, camha"
3,7,caquix,"caquix, qaholab, vvcub, cahoc, caib, huiub, vleuh"
2,4,batz,"batz, atit, chouen, catit, catz, choven, zu"
